Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2388x3095
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2388x3095
Scaled Tile Size: 48x48
Total Mask: 72.14%, Total Tissue: 27.86%
Tiles: 50x65 = 3250
   727 (22.37%) tiles >=80% tissue
   379 (11.66%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
66,2,16,19.27,MEDIUM,720,48,768,96,48,48,  26,1.00,0.20,0.0633
75,2,25,16.32,MEDIUM,1152,48,1200,96,48,48,   0,1.00,0.20,0.0007
78,2,28,47.79,MEDIUM,1296,48,1344,96,48,48,   1,1.00,0.20,0.0410
79,2,29,76.48,MEDIUM,1344,48,1392,96,48,48,  12,1.00,0.20,0.4181
80,2,30,99.57,HIGH,1392,48,1440,96,48,48, 199,1.00,1.00,0.8401
81,2,31,26.22,MEDIUM,1440,48,1488,96,48,48,  26,1.00,0.20,0.1120
114,3,14,16.93,MEDIUM,624,96,672,144,48,48,   0,1.00,0.20,0.0000
115,3,15,55.82,MEDIUM,672,96,720,144,48,48,  54,1.00,0.20,0.4341
116,3,16,98.52,HIGH,720,96,768,144,48,48, 136,1.00,1.00,0.8269
117,3,17,28.95,MEDIUM,768,96,816,144,48,48,  27,1.00,0.20,0.1345
125,3,25,49.44,MEDIUM,1152,96,1200,144,48,48,   2,1.00,0.20,0.0714
126,3,26,54.47,MEDIUM,1200,96,1248,144,48,48,   7,1.00,0.20,0.2036
127,3,27,80.12,HIGH,1248,96,1296,144,48,48,   6,1.00,1.00,0.5627
128,3,28,76.35,MEDIUM,1296,96,1344,144,48,48,   1,1.00,0.20,0.0581
129,3,29,82.64,HIGH,1344,96,1392,144,48,48,   2,1.00,1.00,0.4135
130,3,30,99.48,HIGH,1392,96,1440,144,48,48,  54,1.00,1.00,0.7988
131,3,31,66.62,MEDIUM,1440,96,1488,144,48,48,  54,1.00,0.20,0.5234
163,4,13,73.87,MEDIUM,576,144,624,192,48,48,   0,1.00,0.20,0.0000
164,4,14,94.10,HIGH,624,144,672,192,48,48,   5,1.00,1.00,0.6031
165,4,15,97.92,HIGH,672,144,720,192,48,48,   1,1.00,1.00,0.2976
166,4,16,98.78,HIGH,720,144,768,192,48,48,  24,1.00,1.00,0.7579
167,4,17,78.65,MEDIUM,768,144,816,192,48,48, 103,1.00,0.20,0.6549
175,4,25,18.36,MEDIUM,1152,144,1200,192,48,48,   0,1.00,0.20,0.0000
176,4,26,62.59,MEDIUM,1200,144,1248,192,48,48,   1,1.00,0.20,0.0899
177,4,27,76.22,MEDIUM,1248,144,1296,192,48,48,   3,1.00,0.20,0.2049
178,4,28,81.73,HIGH,1296,144,1344,192,48,48,   4,1.00,1.00,0.5180
179,4,29,82.16,HIGH,1344,144,1392,192,48,48,   6,1.00,1.00,0.5645
180,4,30,99.05,HIGH,1392,144,1440,192,48,48,   5,1.00,1.00,0.6419
181,4,31,90.36,HIGH,1440,144,1488,192,48,48, 161,1.00,1.00,0.8060
212,5,12,17.32,MEDIUM,528,192,576,240,48,48,   0,0.49,0.20,0.0000
213,5,13,81.68,HIGH,576,192,624,240,48,48,   0,0.49,1.00,0.0000
214,5,14,87.07,HIGH,624,192,672,240,48,48,   0,1.00,1.00,0.0349
215,5,15,94.62,HIGH,672,192,720,240,48,48,   1,1.00,1.00,0.3459
216,5,16,98.26,HIGH,720,192,768,240,48,48,   3,1.00,1.00,0.5556
217,5,17,99.26,HIGH,768,192,816,240,48,48, 110,1.00,1.00,0.8226
229,5,29,82.29,HIGH,1344,192,1392,240,48,48,   3,1.00,1.00,0.4967
230,5,30,99.61,HIGH,1392,192,1440,240,48,48,   9,1.00,1.00,0.6944
231,5,31,96.09,HIGH,1440,192,1488,240,48,48, 153,1.00,1.00,0.8230
232,5,32,24.31,MEDIUM,1488,192,1536,240,48,48,  22,1.00,0.20,0.0897
261,6,11,17.40,MEDIUM,480,240,528,288,48,48,   0,0.49,0.20,0.0000
262,6,12,38.67,MEDIUM,528,240,576,288,48,48,   0,0.49,0.20,0.0000
263,6,13,65.36,MEDIUM,576,240,624,288,48,48,   0,1.00,0.20,0.0109
264,6,14,85.16,HIGH,624,240,672,288,48,48,   0,1.00,1.00,0.0703
265,6,15,90.54,HIGH,672,240,720,288,48,48,   1,1.00,1.00,0.3198
266,6,16,97.92,HIGH,720,240,768,288,48,48,   3,1.00,1.00,0.5699
267,6,17,99.91,HIGH,768,240,816,288,48,48,  79,1.00,1.00,0.8138
277,6,27,45.10,MEDIUM,1248,240,1296,288,48,48,   2,1.00,0.20,0.0703
278,6,28,60.63,MEDIUM,1296,240,1344,288,48,48,   2,1.00,0.20,0.0914
279,6,29,98.31,HIGH,1344,240,1392,288,48,48,   4,1.00,1.00,0.6057
280,6,30,99.48,HIGH,1392,240,1440,288,48,48,   9,1.00,1.00,0.6931
281,6,31,99.57,HIGH,1440,240,1488,288,48,48, 110,1.00,1.00,0.8237
282,6,32,40.49,MEDIUM,1488,240,1536,288,48,48,  32,1.00,0.20,0.2469
310,7,10,24.22,MEDIUM,432,288,480,336,48,48,   8,1.00,0.20,0.0524
311,7,11,16.02,MEDIUM,480,288,528,336,48,48,   1,0.49,0.20,0.0014
312,7,12,26.82,MEDIUM,528,288,576,336,48,48,   1,0.49,0.20,0.0045
313,7,13,54.43,MEDIUM,576,288,624,336,48,48,   3,1.00,0.20,0.1152
314,7,14,86.15,HIGH,624,288,672,336,48,48,   0,1.00,1.00,0.0000
315,7,15,95.31,HIGH,672,288,720,336,48,48,   1,1.00,1.00,0.3862
316,7,16,98.26,HIGH,720,288,768,336,48,48,   5,1.00,1.00,0.6316
317,7,17,99.78,HIGH,768,288,816,336,48,48,  55,1.00,1.00,0.8004
318,7,18,38.24,MEDIUM,816,288,864,336,48,48,  23,1.00,0.20,0.2017
325,7,25,18.10,MEDIUM,1152,288,1200,336,48,48,   0,1.00,0.20,0.0000
