Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2692x6111
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2692x6111
Scaled Tile Size: 48x48
Total Mask: 95.05%, Total Tissue: 4.95%
Tiles: 57x128 = 7296
    89 ( 1.22%) tiles >=80% tissue
   576 ( 7.89%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
1260,23,6,67.80,MEDIUM,240,1056,288,1104,48,48,  59,1.00,0.20,0.5392
1261,23,7,45.83,MEDIUM,288,1056,336,1104,48,48,  20,1.00,0.20,0.2547
1316,24,5,18.14,MEDIUM,192,1104,240,1152,48,48, 114,1.00,0.20,0.0946
1317,24,6,95.49,HIGH,240,1104,288,1152,48,48, 105,1.00,1.00,0.8095
1318,24,7,51.00,MEDIUM,288,1104,336,1152,48,48, 322,1.00,0.20,0.5209
1319,24,8,46.96,MEDIUM,336,1104,384,1152,48,48,   9,1.00,0.20,0.1841
1328,24,17,72.87,MEDIUM,768,1104,816,1152,48,48, 157,1.00,0.20,0.6487
1329,24,18,45.88,MEDIUM,816,1104,864,1152,48,48, 158,1.00,0.20,0.4229
1330,24,19,16.23,MEDIUM,864,1104,912,1152,48,48, 124,1.00,0.20,0.0789
1339,24,28,21.61,MEDIUM,1296,1104,1344,1152,48,48,  13,1.00,0.20,0.0557
1373,25,5,40.93,MEDIUM,192,1152,240,1200,48,48, 173,1.00,0.20,0.3742
1374,25,6,87.24,HIGH,240,1152,288,1200,48,48, 238,1.00,1.00,0.8065
1375,25,7,57.55,MEDIUM,288,1152,336,1200,48,48,  28,1.00,0.20,0.3847
1376,25,8,49.87,MEDIUM,336,1152,384,1200,48,48, 225,1.00,0.20,0.4879
1381,25,13,36.41,MEDIUM,576,1152,624,1200,48,48, 319,1.00,0.20,0.3562
1385,25,17,84.77,HIGH,768,1152,816,1200,48,48, 667,1.00,1.00,0.8238
1386,25,18,53.65,MEDIUM,816,1152,864,1200,48,48, 264,1.00,0.20,0.5342
1387,25,19,28.91,MEDIUM,864,1152,912,1200,48,48, 482,1.00,0.20,0.2767
1389,25,21,16.49,MEDIUM,960,1152,1008,1200,48,48, 115,1.00,0.20,0.0797
1395,25,27,36.28,MEDIUM,1248,1152,1296,1200,48,48,  90,1.00,0.20,0.2791
1396,25,28,70.23,MEDIUM,1296,1152,1344,1200,48,48,  81,1.00,0.20,0.5836
1430,26,5,62.46,MEDIUM,192,1200,240,1248,48,48,  85,1.00,0.20,0.5301
1431,26,6,88.80,HIGH,240,1200,288,1248,48,48, 273,1.00,1.00,0.8157
1432,26,7,79.60,MEDIUM,288,1200,336,1248,48,48,  38,1.00,0.20,0.5764
1433,26,8,49.96,MEDIUM,336,1200,384,1248,48,48, 351,1.00,0.20,0.5156
1434,26,9,17.06,MEDIUM,384,1200,432,1248,48,48,  54,1.00,0.20,0.0672
1442,26,17,92.93,HIGH,768,1200,816,1248,48,48, 324,1.00,1.00,0.8332
1443,26,18,47.44,MEDIUM,816,1200,864,1248,48,48,  94,1.00,0.20,0.4018
1444,26,19,50.35,MEDIUM,864,1200,912,1248,48,48,  29,1.00,0.20,0.3255
1445,26,20,25.87,MEDIUM,912,1200,960,1248,48,48, 357,1.00,0.20,0.2227
1452,26,27,39.97,MEDIUM,1248,1200,1296,1248,48,48, 109,1.00,0.20,0.3330
1453,26,28,29.69,MEDIUM,1296,1200,1344,1248,48,48,  84,1.00,0.20,0.2024
1454,26,29,32.64,MEDIUM,1344,1200,1392,1248,48,48,  45,1.00,0.20,0.1969
1455,26,30,31.51,MEDIUM,1392,1200,1440,1248,48,48,  47,1.00,0.20,0.1887
1487,27,5,69.57,MEDIUM,192,1248,240,1296,48,48,  80,1.00,0.20,0.5785
1488,27,6,88.89,HIGH,240,1248,288,1296,48,48, 313,1.00,1.00,0.8196
1489,27,7,72.18,MEDIUM,288,1248,336,1296,48,48,  44,1.00,0.20,0.5429
1490,27,8,37.85,MEDIUM,336,1248,384,1296,48,48,  17,1.00,0.20,0.1748
1499,27,17,93.14,HIGH,768,1248,816,1296,48,48, 517,1.00,1.00,0.8443
1500,27,18,41.88,MEDIUM,816,1248,864,1296,48,48, 444,1.00,0.20,0.4411
1501,27,19,28.39,MEDIUM,864,1248,912,1296,48,48, 132,1.00,0.20,0.2106
1502,27,20,26.04,MEDIUM,912,1248,960,1296,48,48, 137,1.00,0.20,0.1851
1509,27,27,28.78,MEDIUM,1248,1248,1296,1296,48,48, 171,1.00,0.20,0.2278
1510,27,28,47.40,MEDIUM,1296,1248,1344,1296,48,48, 313,1.00,0.20,0.4826
