Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2304x1920
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2304x1920
Scaled Tile Size: 48x48
Total Mask: 96.30%, Total Tissue: 3.70%
Tiles: 48x40 = 1920
     7 ( 0.36%) tiles >=80% tissue
   138 ( 7.19%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
71,2,23,23.39,MEDIUM,1056,48,1104,96,48,48,   0,1.00,0.20,0.0000
72,2,24,18.71,MEDIUM,1104,48,1152,96,48,48,   0,1.00,0.20,0.0000
89,2,41,29.86,MEDIUM,1920,48,1968,96,48,48,   0,1.00,0.20,0.0000
102,3,6,21.48,MEDIUM,240,96,288,144,48,48,   0,1.00,0.20,0.0000
103,3,7,26.78,MEDIUM,288,96,336,144,48,48,   0,1.00,0.20,0.0000
104,3,8,50.04,MEDIUM,336,96,384,144,48,48,   0,1.00,0.20,0.0014
105,3,9,38.28,MEDIUM,384,96,432,144,48,48,   0,1.00,0.20,0.0009
106,3,10,24.00,MEDIUM,432,96,480,144,48,48,   0,1.00,0.20,0.0005
120,3,24,20.57,MEDIUM,1104,96,1152,144,48,48,   0,1.00,0.20,0.0004
121,3,25,48.39,MEDIUM,1152,96,1200,144,48,48,   3,1.00,0.20,0.0980
122,3,26,34.16,MEDIUM,1200,96,1248,144,48,48,   1,1.00,0.20,0.0293
135,3,39,50.52,MEDIUM,1824,96,1872,144,48,48,   1,1.00,0.20,0.0258
136,3,40,35.37,MEDIUM,1872,96,1920,144,48,48,   0,1.00,0.20,0.0011
149,4,5,14.45,MEDIUM,192,144,240,192,48,48,   0,1.00,0.20,0.0000
155,4,11,21.83,MEDIUM,480,144,528,192,48,48,   0,1.00,0.20,0.0006
156,4,12,36.63,MEDIUM,528,144,576,192,48,48,   0,1.00,0.20,0.0035
170,4,26,23.78,MEDIUM,1200,144,1248,192,48,48,   1,1.00,0.20,0.0085
171,4,27,45.79,MEDIUM,1248,144,1296,192,48,48,   1,1.00,0.20,0.0467
182,4,38,58.38,MEDIUM,1776,144,1824,192,48,48,   6,1.00,0.20,0.2132
183,4,39,17.10,MEDIUM,1824,144,1872,192,48,48,   5,0.49,0.20,0.0116
205,5,13,44.10,MEDIUM,576,192,624,240,48,48,   2,1.00,0.20,0.0571
219,5,27,38.67,MEDIUM,1248,192,1296,240,48,48,  17,1.00,0.20,0.1828
220,5,28,23.22,MEDIUM,1296,192,1344,240,48,48,   5,1.00,0.20,0.0353
229,5,37,36.85,MEDIUM,1728,192,1776,240,48,48,   4,1.00,0.20,0.0774
230,5,38,27.73,MEDIUM,1776,192,1824,240,48,48,  15,1.00,0.20,0.0975
254,6,14,47.66,MEDIUM,624,240,672,288,48,48,  17,1.00,0.20,0.2500
268,6,28,58.16,MEDIUM,1296,240,1344,288,48,48,  33,1.00,0.20,0.4058
277,6,37,50.35,MEDIUM,1728,240,1776,288,48,48,   5,1.00,0.20,0.1434
278,6,38,18.32,MEDIUM,1776,240,1824,288,48,48,   7,0.49,0.20,0.0173
303,7,15,40.32,MEDIUM,672,288,720,336,48,48,   5,1.00,0.20,0.0987
316,7,28,24.35,MEDIUM,1296,288,1344,336,48,48,  23,1.00,0.20,0.0924
317,7,29,23.26,MEDIUM,1344,288,1392,336,48,48,   3,1.00,0.20,0.0240
