Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3100x3104
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 3100x3104
Scaled Tile Size: 48x48
Total Mask: 78.63%, Total Tissue: 21.37%
Tiles: 65x65 = 4225
   446 (10.56%) tiles >=80% tissue
   968 (22.91%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
181,3,51,39.19,MEDIUM,2400,96,2448,144,48,48,  47,1.00,0.20,0.2650
182,3,52,84.72,HIGH,2448,96,2496,144,48,48,  36,1.00,1.00,0.7213
183,3,53,72.61,MEDIUM,2496,96,2544,144,48,48,  46,1.00,0.20,0.5497
184,3,54,55.34,MEDIUM,2544,96,2592,144,48,48,  73,1.00,0.20,0.4571
185,3,55,26.87,MEDIUM,2592,96,2640,144,48,48,  85,1.00,0.20,0.1726
186,3,56,52.17,MEDIUM,2640,96,2688,144,48,48,  89,1.00,0.20,0.4437
187,3,57,61.33,MEDIUM,2688,96,2736,144,48,48,  58,1.00,0.20,0.4880
188,3,58,86.24,HIGH,2736,96,2784,144,48,48, 357,1.00,1.00,0.8139
189,3,59,90.19,HIGH,2784,96,2832,144,48,48, 131,1.00,1.00,0.7989
190,3,60,89.15,HIGH,2832,96,2880,144,48,48,  59,1.00,1.00,0.7653
191,3,61,67.66,MEDIUM,2880,96,2928,144,48,48, 105,1.00,0.20,0.5861
192,3,62,45.36,MEDIUM,2928,96,2976,144,48,48, 411,1.00,0.20,0.4763
233,4,38,23.65,MEDIUM,1776,144,1824,192,48,48, 152,1.00,0.20,0.1617
234,4,39,27.99,MEDIUM,1824,144,1872,192,48,48, 108,1.00,0.20,0.1965
235,4,40,32.77,MEDIUM,1872,144,1920,192,48,48, 227,1.00,0.20,0.2918
236,4,41,30.34,MEDIUM,1920,144,1968,192,48,48, 161,1.00,0.20,0.2438
237,4,42,36.89,MEDIUM,1968,144,2016,192,48,48, 169,1.00,0.20,0.3258
238,4,43,45.88,MEDIUM,2016,144,2064,192,48,48, 133,1.00,0.20,0.4110
239,4,44,71.57,MEDIUM,2064,144,2112,192,48,48, 108,1.00,0.20,0.6151
240,4,45,65.54,MEDIUM,2112,144,2160,192,48,48,  91,1.00,0.20,0.5593
241,4,46,59.72,MEDIUM,2160,144,2208,192,48,48,  64,1.00,0.20,0.4841
242,4,47,49.78,MEDIUM,2208,144,2256,192,48,48, 104,1.00,0.20,0.4329
243,4,48,43.19,MEDIUM,2256,144,2304,192,48,48, 101,1.00,0.20,0.3627
244,4,49,41.49,MEDIUM,2304,144,2352,192,48,48,  38,1.00,0.20,0.2709
245,4,50,90.97,HIGH,2352,144,2400,192,48,48,  86,1.00,1.00,0.7872
246,4,51,83.07,HIGH,2400,144,2448,192,48,48,  57,1.00,1.00,0.7370
247,4,52,98.65,HIGH,2448,144,2496,192,48,48,  20,0.49,1.00,0.6983
248,4,53,98.96,HIGH,2496,144,2544,192,48,48,  68,0.49,1.00,0.7756
249,4,54,98.26,HIGH,2544,144,2592,192,48,48,  83,1.00,1.00,0.8105
250,4,55,99.00,HIGH,2592,144,2640,192,48,48, 161,1.00,1.00,0.8329
251,4,56,98.74,HIGH,2640,144,2688,192,48,48,  27,0.49,1.00,0.7201
252,4,57,99.05,HIGH,2688,144,2736,192,48,48,  77,0.49,1.00,0.7817
253,4,58,98.96,HIGH,2736,144,2784,192,48,48, 472,0.49,1.00,0.8421
254,4,59,98.78,HIGH,2784,144,2832,192,48,48, 559,0.49,1.00,0.8457
255,4,60,98.96,HIGH,2832,144,2880,192,48,48, 284,0.49,1.00,0.8288
256,4,61,98.00,HIGH,2880,144,2928,192,48,48, 460,1.00,1.00,0.8549
257,4,62,35.03,MEDIUM,2928,144,2976,192,48,48,1267,1.00,0.20,0.4046
296,5,36,54.90,MEDIUM,1680,192,1728,240,48,48, 102,1.00,0.20,0.4802
297,5,37,90.28,HIGH,1728,192,1776,240,48,48, 491,1.00,1.00,0.8348
298,5,38,98.74,HIGH,1776,192,1824,240,48,48, 265,0.49,1.00,0.8262
299,5,39,99.13,HIGH,1824,192,1872,240,48,48, 162,1.00,1.00,0.8335
300,5,40,98.91,HIGH,1872,192,1920,240,48,48, 167,0.49,1.00,0.8121
301,5,41,99.13,HIGH,1920,192,1968,240,48,48,  44,0.49,1.00,0.7542
302,5,42,99.22,HIGH,1968,192,2016,240,48,48,  47,0.49,1.00,0.7574
303,5,43,98.39,HIGH,2016,192,2064,240,48,48,   8,0.49,1.00,0.6064
304,5,44,99.13,HIGH,2064,192,2112,240,48,48,  39,0.49,1.00,0.7471
305,5,45,99.22,HIGH,2112,192,2160,240,48,48,  22,0.49,1.00,0.7084
306,5,46,99.48,HIGH,2160,192,2208,240,48,48,  63,0.49,1.00,0.7740
307,5,47,99.13,HIGH,2208,192,2256,240,48,48, 353,0.49,1.00,0.8352
308,5,48,96.57,HIGH,2256,192,2304,240,48,48,  87,1.00,1.00,0.8069
309,5,49,98.57,HIGH,2304,192,2352,240,48,48,  71,1.00,1.00,0.8063
310,5,50,98.74,HIGH,2352,192,2400,240,48,48,  64,0.49,1.00,0.7724
311,5,51,99.22,HIGH,2400,192,2448,240,48,48,  13,0.49,1.00,0.6626
312,5,52,94.31,HIGH,2448,192,2496,240,48,48,   4,1.00,1.00,0.5840
313,5,53,93.36,HIGH,2496,192,2544,240,48,48,   5,1.00,1.00,0.6094
314,5,54,91.97,HIGH,2544,192,2592,240,48,48,   7,1.00,1.00,0.6429
315,5,55,99.00,HIGH,2592,192,2640,240,48,48,  40,0.49,1.00,0.7482
316,5,56,97.35,HIGH,2640,192,2688,240,48,48,  10,1.00,1.00,0.6953
317,5,57,98.87,HIGH,2688,192,2736,240,48,48,   7,0.49,1.00,0.5847
318,5,58,98.13,HIGH,2736,192,2784,240,48,48,   5,0.49,1.00,0.5423
