Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 1664x4032
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 1664x4032
Scaled Tile Size: 48x48
Total Mask: 85.67%, Total Tissue: 14.33%
Tiles: 35x84 = 2940
   165 ( 5.61%) tiles >=80% tissue
   477 (16.22%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
95,3,25,50.26,MEDIUM,1152,96,1200,144,48,48,   0,1.00,0.20,0.0000
96,3,26,61.81,MEDIUM,1200,96,1248,144,48,48,   0,1.00,0.20,0.0000
97,3,27,40.67,MEDIUM,1248,96,1296,144,48,48,   0,1.00,0.20,0.0000
98,3,28,18.14,MEDIUM,1296,96,1344,144,48,48,   0,1.00,0.20,0.0000
99,3,29,20.62,MEDIUM,1344,96,1392,144,48,48,   0,1.00,0.20,0.0000
128,4,23,47.05,MEDIUM,1056,144,1104,192,48,48, 157,1.00,0.20,0.4349
129,4,24,47.44,MEDIUM,1104,144,1152,192,48,48,   0,1.00,0.20,0.0000
130,4,25,73.48,MEDIUM,1152,144,1200,192,48,48,   0,1.00,0.20,0.0000
131,4,26,65.71,MEDIUM,1200,144,1248,192,48,48,   0,1.00,0.20,0.0000
132,4,27,67.01,MEDIUM,1248,144,1296,192,48,48,   0,1.00,0.20,0.0000
133,4,28,75.17,MEDIUM,1296,144,1344,192,48,48,   0,1.00,0.20,0.0000
134,4,29,57.64,MEDIUM,1344,144,1392,192,48,48,   0,1.00,0.20,0.0000
135,4,30,20.36,MEDIUM,1392,144,1440,192,48,48,   0,1.00,0.20,0.0000
161,5,21,33.07,MEDIUM,960,192,1008,240,48,48, 187,1.00,0.20,0.2852
162,5,22,59.03,MEDIUM,1008,192,1056,240,48,48, 246,1.00,0.20,0.5770
163,5,23,69.18,MEDIUM,1056,192,1104,240,48,48,   4,1.00,0.20,0.2192
164,5,24,63.11,MEDIUM,1104,192,1152,240,48,48,  12,1.00,0.20,0.3263
165,5,25,66.62,MEDIUM,1152,192,1200,240,48,48,   0,1.00,0.20,0.0000
166,5,26,38.37,MEDIUM,1200,192,1248,240,48,48,   0,1.00,0.20,0.0000
167,5,27,54.51,MEDIUM,1248,192,1296,240,48,48,   0,1.00,0.20,0.0000
168,5,28,70.10,MEDIUM,1296,192,1344,240,48,48,   0,1.00,0.20,0.0000
169,5,29,74.39,MEDIUM,1344,192,1392,240,48,48,  16,1.00,0.20,0.4462
170,5,30,50.30,MEDIUM,1392,192,1440,240,48,48,   0,1.00,0.20,0.0000
195,6,20,31.86,MEDIUM,912,240,960,288,48,48,  11,1.00,0.20,0.1074
196,6,21,68.79,MEDIUM,960,240,1008,288,48,48, 129,1.00,0.20,0.6087
197,6,22,85.94,HIGH,1008,240,1056,288,48,48, 157,1.00,1.00,0.7890
198,6,23,68.32,MEDIUM,1056,240,1104,288,48,48,   5,1.00,0.20,0.2431
199,6,24,66.97,MEDIUM,1104,240,1152,288,48,48,   1,1.00,0.20,0.0823
200,6,25,53.73,MEDIUM,1152,240,1200,288,48,48,   0,1.00,0.20,0.0000
201,6,26,56.60,MEDIUM,1200,240,1248,288,48,48,   0,1.00,0.20,0.0000
202,6,27,64.80,MEDIUM,1248,240,1296,288,48,48,   0,1.00,0.20,0.0107
203,6,28,51.17,MEDIUM,1296,240,1344,288,48,48,   0,1.00,0.20,0.0000
204,6,29,53.91,MEDIUM,1344,240,1392,288,48,48,   0,1.00,0.20,0.0000
205,6,30,29.56,MEDIUM,1392,240,1440,288,48,48,   0,1.00,0.20,0.0000
230,7,20,66.62,MEDIUM,912,288,960,336,48,48,  50,1.00,0.20,0.5164
231,7,21,86.11,HIGH,960,288,1008,336,48,48,  73,1.00,1.00,0.7616
232,7,22,89.58,HIGH,1008,288,1056,336,48,48, 202,1.00,1.00,0.8100
233,7,23,61.85,MEDIUM,1056,288,1104,336,48,48,  91,1.00,0.20,0.5309
234,7,24,46.09,MEDIUM,1104,288,1152,336,48,48,   0,1.00,0.20,0.0000
235,7,25,62.93,MEDIUM,1152,288,1200,336,48,48,   0,1.00,0.20,0.0000
236,7,26,48.91,MEDIUM,1200,288,1248,336,48,48,   0,1.00,0.20,0.0000
237,7,27,68.14,MEDIUM,1248,288,1296,336,48,48,   0,1.00,0.20,0.0000
238,7,28,62.07,MEDIUM,1296,288,1344,336,48,48,   0,1.00,0.20,0.0098
239,7,29,47.66,MEDIUM,1344,288,1392,336,48,48,  38,1.00,0.20,0.3274
264,8,19,62.33,MEDIUM,864,336,912,384,48,48,  43,1.00,0.20,0.4688
265,8,20,86.81,HIGH,912,336,960,384,48,48,  84,1.00,1.00,0.7698
266,8,21,80.08,HIGH,960,336,1008,384,48,48, 181,1.00,1.00,0.7695
267,8,22,77.34,MEDIUM,1008,336,1056,384,48,48,   0,1.00,0.20,0.0000
268,8,23,66.19,MEDIUM,1056,336,1104,384,48,48,   4,1.00,0.20,0.1959
269,8,24,73.31,MEDIUM,1104,336,1152,384,48,48,   7,1.00,0.20,0.3272
270,8,25,65.76,MEDIUM,1152,336,1200,384,48,48,   0,1.00,0.20,0.0000
271,8,26,66.02,MEDIUM,1200,336,1248,384,48,48,   0,1.00,0.20,0.0000
272,8,27,59.42,MEDIUM,1248,336,1296,384,48,48,   0,1.00,0.20,0.0000
273,8,28,74.05,MEDIUM,1296,336,1344,384,48,48,   0,1.00,0.20,0.0000
274,8,29,42.32,MEDIUM,1344,336,1392,384,48,48,   4,1.00,0.20,0.0913
299,9,19,81.29,HIGH,864,384,912,432,48,48,  69,1.00,1.00,0.7375
300,9,20,85.55,HIGH,912,384,960,432,48,48,  95,1.00,1.00,0.7696
301,9,21,80.03,HIGH,960,384,1008,432,48,48, 154,1.00,1.00,0.7637
302,9,22,79.08,MEDIUM,1008,384,1056,432,48,48,   0,1.00,0.20,0.0000
303,9,23,74.70,MEDIUM,1056,384,1104,432,48,48,  20,1.00,0.20,0.4757
304,9,24,70.14,MEDIUM,1104,384,1152,432,48,48,  33,1.00,0.20,0.5002
305,9,25,68.40,MEDIUM,1152,384,1200,432,48,48,   0,1.00,0.20,0.0000
306,9,26,61.50,MEDIUM,1200,384,1248,432,48,48,   0,1.00,0.20,0.0000
307,9,27,68.88,MEDIUM,1248,384,1296,432,48,48,   0,1.00,0.20,0.0121
308,9,28,73.44,MEDIUM,1296,384,1344,432,48,48,   3,1.00,0.20,0.1875
309,9,29,26.43,MEDIUM,1344,384,1392,432,48,48,  26,1.00,0.20,0.1137
310,9,30,27.26,MEDIUM,1392,384,1440,432,48,48,   0,1.00,0.20,0.0000
333,10,18,43.45,MEDIUM,816,432,864,480,48,48,  95,1.00,0.20,0.3609
334,10,19,93.01,HIGH,864,432,912,480,48,48,  34,1.00,1.00,0.7546
335,10,20,85.20,HIGH,912,432,960,480,48,48,   2,1.00,1.00,0.4124
336,10,21,74.22,MEDIUM,960,432,1008,480,48,48,   0,1.00,0.20,0.0000
337,10,22,70.57,MEDIUM,1008,432,1056,480,48,48,   0,1.00,0.20,0.0000
338,10,23,68.40,MEDIUM,1056,432,1104,480,48,48,  12,1.00,0.20,0.3639
339,10,24,71.88,MEDIUM,1104,432,1152,480,48,48,  22,1.00,0.20,0.4635
340,10,25,73.39,MEDIUM,1152,432,1200,480,48,48,   0,1.00,0.20,0.0064
341,10,26,72.70,MEDIUM,1200,432,1248,480,48,48,   0,1.00,0.20,0.0000
342,10,27,75.39,MEDIUM,1248,432,1296,480,48,48,   0,1.00,0.20,0.0000
343,10,28,66.84,MEDIUM,1296,432,1344,480,48,48,   0,1.00,0.20,0.0000
344,10,29,62.85,MEDIUM,1344,432,1392,480,48,48,  28,1.00,0.20,0.4261
345,10,30,53.65,MEDIUM,1392,432,1440,480,48,48,   0,1.00,0.20,0.0000
368,11,18,61.94,MEDIUM,816,480,864,528,48,48,  75,1.00,0.20,0.5159
369,11,19,97.83,HIGH,864,480,912,528,48,48,  46,1.00,1.00,0.7865
370,11,20,90.23,HIGH,912,480,960,528,48,48,   4,1.00,1.00,0.5580
371,11,21,82.51,HIGH,960,480,1008,528,48,48,   1,1.00,1.00,0.2377
372,11,22,79.34,MEDIUM,1008,480,1056,528,48,48,  24,1.00,0.20,0.5236
373,11,23,77.17,MEDIUM,1056,480,1104,528,48,48,   0,1.00,0.20,0.0000
374,11,24,71.61,MEDIUM,1104,480,1152,528,48,48,   0,1.00,0.20,0.0000
375,11,25,73.44,MEDIUM,1152,480,1200,528,48,48,   0,1.00,0.20,0.0000
376,11,26,71.31,MEDIUM,1200,480,1248,528,48,48,   0,1.00,0.20,0.0000
377,11,27,80.25,HIGH,1248,480,1296,528,48,48,   0,1.00,1.00,0.0000
378,11,28,74.35,MEDIUM,1296,480,1344,528,48,48,   0,1.00,0.20,0.0000
379,11,29,38.63,MEDIUM,1344,480,1392,528,48,48,   2,1.00,0.20,0.0471
403,12,18,35.94,MEDIUM,816,528,864,576,48,48,  17,1.00,0.20,0.1596
404,12,19,95.40,HIGH,864,528,912,576,48,48,  68,1.00,1.00,0.7939
405,12,20,96.18,HIGH,912,528,960,576,48,48, 211,1.00,1.00,0.8321
406,12,21,77.08,MEDIUM,960,528,1008,576,48,48,  10,1.00,0.20,0.3943
407,12,22,83.46,HIGH,1008,528,1056,576,48,48,  97,1.00,1.00,0.7617
408,12,23,75.91,MEDIUM,1056,528,1104,576,48,48,   0,1.00,0.20,0.0000
409,12,24,81.03,HIGH,1104,528,1152,576,48,48,   0,1.00,1.00,0.0000
410,12,25,75.30,MEDIUM,1152,528,1200,576,48,48,   0,1.00,0.20,0.0000
411,12,26,69.92,MEDIUM,1200,528,1248,576,48,48,   0,1.00,0.20,0.0000
412,12,27,75.00,MEDIUM,1248,528,1296,576,48,48,   0,1.00,0.20,0.0000
