Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3655x2519
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 3655x2519
Scaled Tile Size: 48x48
Total Mask: 76.62%, Total Tissue: 23.38%
Tiles: 77x53 = 4081
   602 (14.75%) tiles >=80% tissue
   679 (16.64%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
50,1,50,62.54,MEDIUM,2352,0,2400,48,48,48, 796,1.00,0.20,0.6651
51,1,51,93.40,HIGH,2400,0,2448,48,48,48, 248,1.00,1.00,0.8280
52,1,52,81.60,HIGH,2448,0,2496,48,48,48,  96,1.00,1.00,0.7526
53,1,53,77.21,MEDIUM,2496,0,2544,48,48,48,  86,1.00,0.20,0.6340
54,1,54,85.63,HIGH,2544,0,2592,48,48,48, 157,1.00,1.00,0.7877
125,2,48,41.41,MEDIUM,2256,48,2304,96,48,48, 638,1.00,0.20,0.4544
126,2,49,85.63,HIGH,2304,48,2352,96,48,48, 512,1.00,1.00,0.8207
127,2,50,85.24,HIGH,2352,48,2400,96,48,48, 199,1.00,1.00,0.7938
128,2,51,74.83,MEDIUM,2400,48,2448,96,48,48, 225,1.00,0.20,0.6820
129,2,52,78.43,MEDIUM,2448,48,2496,96,48,48, 171,1.00,0.20,0.6866
130,2,53,75.22,MEDIUM,2496,48,2544,96,48,48, 121,1.00,0.20,0.6460
131,2,54,91.80,HIGH,2544,48,2592,96,48,48,  90,1.00,1.00,0.7918
132,2,55,48.13,MEDIUM,2592,48,2640,96,48,48, 320,1.00,0.20,0.4917
199,3,45,19.79,MEDIUM,2112,96,2160,144,48,48,1363,1.00,0.20,0.1802
200,3,46,78.91,MEDIUM,2160,96,2208,144,48,48, 929,1.00,0.20,0.7651
201,3,47,91.15,HIGH,2208,96,2256,144,48,48, 695,1.00,1.00,0.8447
202,3,48,92.19,HIGH,2256,96,2304,144,48,48, 409,1.00,1.00,0.8364
203,3,49,85.07,HIGH,2304,96,2352,144,48,48, 232,1.00,1.00,0.7978
204,3,50,81.08,HIGH,2352,96,2400,144,48,48, 163,1.00,1.00,0.7703
205,3,51,77.00,MEDIUM,2400,96,2448,144,48,48,  86,1.00,0.20,0.6320
206,3,52,79.69,MEDIUM,2448,96,2496,144,48,48, 132,1.00,0.20,0.6776
207,3,53,83.81,HIGH,2496,96,2544,144,48,48,  44,1.00,1.00,0.7281
208,3,54,88.89,HIGH,2544,96,2592,144,48,48,  45,1.00,1.00,0.7513
209,3,55,63.93,MEDIUM,2592,96,2640,144,48,48,  29,1.00,0.20,0.4406
269,4,38,15.45,MEDIUM,1776,144,1824,192,48,48,  71,1.00,0.20,0.0610
270,4,39,15.93,MEDIUM,1824,144,1872,192,48,48, 598,1.00,0.20,0.1084
271,4,40,20.44,MEDIUM,1872,144,1920,192,48,48, 727,1.00,0.20,0.1725
272,4,41,24.52,MEDIUM,1920,144,1968,192,48,48, 371,1.00,0.20,0.2062
273,4,42,23.18,MEDIUM,1968,144,2016,192,48,48,1900,1.00,0.20,0.2420
274,4,43,72.48,MEDIUM,2016,144,2064,192,48,48,3137,1.00,0.20,0.7720
275,4,44,88.11,HIGH,2064,144,2112,192,48,48,2131,1.00,1.00,0.8561
276,4,45,99.61,HIGH,2112,144,2160,192,48,48, 826,1.00,1.00,0.8695
277,4,46,94.66,HIGH,2160,144,2208,192,48,48, 305,1.00,1.00,0.8368
278,4,47,82.90,HIGH,2208,144,2256,192,48,48, 167,1.00,1.00,0.7788
279,4,48,70.70,MEDIUM,2256,144,2304,192,48,48, 160,1.00,0.20,0.6361
280,4,49,75.04,MEDIUM,2304,144,2352,192,48,48, 145,1.00,0.20,0.6568
281,4,50,75.39,MEDIUM,2352,144,2400,192,48,48, 132,1.00,0.20,0.6528
282,4,51,74.31,MEDIUM,2400,144,2448,192,48,48,  96,1.00,0.20,0.6236
283,4,52,65.97,MEDIUM,2448,144,2496,192,48,48,  80,1.00,0.20,0.5525
284,4,53,75.13,MEDIUM,2496,144,2544,192,48,48, 111,1.00,0.20,0.6395
285,4,54,77.56,MEDIUM,2544,144,2592,192,48,48,  60,1.00,0.20,0.6067
286,4,55,65.32,MEDIUM,2592,144,2640,192,48,48,  39,1.00,0.20,0.4817
