Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 1536x1472
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 1536x1472
Scaled Tile Size: 48x48
Total Mask: 80.86%, Total Tissue: 19.14%
Tiles: 32x31 = 992
   150 (15.12%) tiles >=80% tissue
    86 ( 8.67%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
54,2,22,42.62,MEDIUM,1008,48,1056,96,48,48,  16,1.00,0.20,0.2052
85,3,21,63.85,MEDIUM,960,96,1008,144,48,48,  24,1.00,0.20,0.4164
86,3,22,98.57,HIGH,1008,96,1056,144,48,48,  87,1.00,1.00,0.8129
87,3,23,63.32,MEDIUM,1056,96,1104,144,48,48,  37,1.00,0.20,0.4618
116,4,20,24.22,MEDIUM,912,144,960,192,48,48,   0,1.00,0.20,0.0000
117,4,21,84.98,HIGH,960,144,1008,192,48,48,   2,1.00,1.00,0.4717
118,4,22,98.44,HIGH,1008,144,1056,192,48,48,  21,1.00,1.00,0.7486
119,4,23,99.57,HIGH,1056,144,1104,192,48,48,  65,1.00,1.00,0.8057
120,4,24,27.82,MEDIUM,1104,144,1152,192,48,48,  97,1.00,0.20,0.1893
146,5,18,20.23,MEDIUM,816,192,864,240,48,48,  42,1.00,0.20,0.0839
147,5,19,18.36,MEDIUM,864,192,912,240,48,48,  11,1.00,0.20,0.0378
148,5,20,79.17,MEDIUM,912,192,960,240,48,48,   0,1.00,0.20,0.0000
149,5,21,87.07,HIGH,960,192,1008,240,48,48,   0,1.00,1.00,0.0000
150,5,22,91.97,HIGH,1008,192,1056,240,48,48,   3,1.00,1.00,0.5301
151,5,23,97.01,HIGH,1056,192,1104,240,48,48,   4,1.00,1.00,0.6060
152,5,24,96.14,HIGH,1104,192,1152,240,48,48,  18,1.00,1.00,0.7302
178,6,18,31.47,MEDIUM,816,240,864,288,48,48,   5,1.00,0.20,0.0676
179,6,19,86.63,HIGH,864,240,912,288,48,48,  14,1.00,1.00,0.6719
180,6,20,84.81,HIGH,912,240,960,288,48,48,   2,1.00,1.00,0.4559
181,6,21,84.38,HIGH,960,240,1008,288,48,48,   2,1.00,1.00,0.3998
182,6,22,86.98,HIGH,1008,240,1056,288,48,48,   2,1.00,1.00,0.4247
183,6,23,93.45,HIGH,1056,240,1104,288,48,48,  10,1.00,1.00,0.6794
184,6,24,99.35,HIGH,1104,240,1152,288,48,48,   9,1.00,1.00,0.6919
185,6,25,59.59,MEDIUM,1152,240,1200,288,48,48,  13,1.00,0.20,0.3171
210,7,18,54.30,MEDIUM,816,288,864,336,48,48,   2,1.00,0.20,0.1015
211,7,19,83.77,HIGH,864,288,912,336,48,48,  12,1.00,1.00,0.6416
212,7,20,73.18,MEDIUM,912,288,960,336,48,48,   0,1.00,0.20,0.0000
213,7,21,79.08,MEDIUM,960,288,1008,336,48,48,  12,1.00,0.20,0.4278
214,7,22,97.18,HIGH,1008,288,1056,336,48,48,  54,1.00,1.00,0.7909
215,7,23,95.83,HIGH,1056,288,1104,336,48,48,   2,1.00,1.00,0.5210
216,7,24,99.18,HIGH,1104,288,1152,336,48,48,  36,1.00,1.00,0.7801
217,7,25,88.93,HIGH,1152,288,1200,336,48,48,  21,1.00,1.00,0.7088
