Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2688x2528
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2688x2528
Scaled Tile Size: 48x48
Total Mask: 95.09%, Total Tissue: 4.91%
Tiles: 56x53 = 2968
    53 ( 1.79%) tiles >=80% tissue
   204 ( 6.87%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
87,2,31,44.79,MEDIUM,1440,48,1488,96,48,48,   1,1.00,0.20,0.0321
88,2,32,46.09,MEDIUM,1488,48,1536,96,48,48,   1,1.00,0.20,0.0430
89,2,33,34.94,MEDIUM,1536,48,1584,96,48,48,   1,1.00,0.20,0.0193
90,2,34,30.16,MEDIUM,1584,48,1632,96,48,48,   1,1.00,0.20,0.0135
143,3,31,15.49,MEDIUM,1440,96,1488,144,48,48,   0,1.00,0.20,0.0000
144,3,32,19.44,MEDIUM,1488,96,1536,144,48,48,   0,1.00,0.20,0.0000
145,3,33,29.95,MEDIUM,1536,96,1584,144,48,48,   0,1.00,0.20,0.0000
146,3,34,48.18,MEDIUM,1584,96,1632,144,48,48,   1,1.00,0.20,0.0231
147,3,35,68.88,MEDIUM,1632,96,1680,144,48,48,   0,1.00,0.20,0.0260
148,3,36,92.19,HIGH,1680,96,1728,144,48,48,   0,1.00,1.00,0.1982
149,3,37,66.15,MEDIUM,1728,96,1776,144,48,48,   0,1.00,0.20,0.0350
150,3,38,49.09,MEDIUM,1776,96,1824,144,48,48,   0,1.00,0.20,0.0014
151,3,39,28.39,MEDIUM,1824,96,1872,144,48,48,   0,1.00,0.20,0.0067
201,4,33,18.19,MEDIUM,1536,144,1584,192,48,48,  10,1.00,0.20,0.0342
202,4,34,24.22,MEDIUM,1584,144,1632,192,48,48,  22,0.49,0.20,0.0636
203,4,35,18.10,MEDIUM,1632,144,1680,192,48,48,  25,0.49,0.20,0.0390
204,4,36,29.12,MEDIUM,1680,144,1728,192,48,48,  20,1.00,0.20,0.1188
205,4,37,49.78,MEDIUM,1728,144,1776,192,48,48,  22,1.00,0.20,0.2932
206,4,38,46.74,MEDIUM,1776,144,1824,192,48,48,  10,1.00,0.20,0.1982
207,4,39,71.22,MEDIUM,1824,144,1872,192,48,48,   0,1.00,0.20,0.0097
208,4,40,62.28,MEDIUM,1872,144,1920,192,48,48,   0,1.00,0.20,0.0084
209,4,41,24.31,MEDIUM,1920,144,1968,192,48,48,   0,1.00,0.20,0.0004
255,5,31,30.30,MEDIUM,1440,192,1488,240,48,48, 102,1.00,0.20,0.2193
256,5,32,46.01,MEDIUM,1488,192,1536,240,48,48,  61,1.00,0.20,0.3533
257,5,33,28.30,MEDIUM,1536,192,1584,240,48,48, 196,0.49,0.20,0.1940
258,5,34,24.26,MEDIUM,1584,192,1632,240,48,48, 163,0.49,0.20,0.1430
261,5,37,19.97,MEDIUM,1728,192,1776,240,48,48,  99,0.49,0.20,0.0863
262,5,38,19.18,MEDIUM,1776,192,1824,240,48,48,  45,0.49,0.20,0.0586
263,5,39,31.34,MEDIUM,1824,192,1872,240,48,48,  24,0.49,0.20,0.1059
264,5,40,18.62,MEDIUM,1872,192,1920,240,48,48,  19,1.00,0.20,0.0512
265,5,41,65.62,MEDIUM,1920,192,1968,240,48,48,   2,1.00,0.20,0.1148
266,5,42,79.99,MEDIUM,1968,192,2016,240,48,48,   1,1.00,0.20,0.0581
267,5,43,45.66,MEDIUM,2016,192,2064,240,48,48,   0,1.00,0.20,0.0116
293,6,13,17.97,MEDIUM,576,240,624,288,48,48,   0,1.00,0.20,0.0000
307,6,27,39.19,MEDIUM,1248,240,1296,288,48,48, 114,1.00,0.20,0.3274
308,6,28,37.63,MEDIUM,1296,240,1344,288,48,48, 654,1.00,0.20,0.4087
309,6,29,27.34,MEDIUM,1344,240,1392,288,48,48, 549,1.00,0.20,0.2603
319,6,39,52.78,MEDIUM,1824,240,1872,288,48,48,  41,0.49,0.20,0.3100
320,6,40,55.77,MEDIUM,1872,240,1920,288,48,48, 100,0.49,0.20,0.4254
323,6,43,37.67,MEDIUM,2016,240,2064,288,48,48,   0,1.00,0.20,0.0007
324,6,44,80.08,HIGH,2064,240,2112,288,48,48,   2,1.00,1.00,0.4074
345,7,9,72.35,MEDIUM,384,288,432,336,48,48, 240,1.00,0.20,0.6708
349,7,13,22.57,MEDIUM,576,288,624,336,48,48,   0,1.00,0.20,0.0000
362,7,26,17.27,MEDIUM,1200,288,1248,336,48,48,  62,1.00,0.20,0.0718
363,7,27,49.31,MEDIUM,1248,288,1296,336,48,48, 568,1.00,0.20,0.5354
364,7,28,23.18,MEDIUM,1296,288,1344,336,48,48,4034,0.49,0.20,0.2432
365,7,29,17.32,MEDIUM,1344,288,1392,336,48,48,2247,0.49,0.20,0.1394
376,7,40,35.33,MEDIUM,1872,288,1920,336,48,48,  31,0.49,0.20,0.1478
377,7,41,58.94,MEDIUM,1920,288,1968,336,48,48,  10,0.49,0.20,0.1955
