Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 992x2712
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 992x2712
Scaled Tile Size: 48x48
Total Mask: 93.06%, Total Tissue: 6.94%
Tiles: 21x57 = 1197
    65 ( 5.43%) tiles >=80% tissue
    44 ( 3.68%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
56,3,14,30.21,MEDIUM,624,96,672,144,48,48,   2,1.00,0.20,0.0264
57,3,15,42.36,MEDIUM,672,96,720,144,48,48,   5,1.00,0.20,0.1066
58,3,16,55.99,MEDIUM,720,96,768,144,48,48,   4,1.00,0.20,0.1593
59,3,17,81.03,HIGH,768,96,816,144,48,48,   4,1.00,1.00,0.5201
60,3,18,89.41,HIGH,816,96,864,144,48,48,   2,1.00,1.00,0.4743
76,4,13,24.09,MEDIUM,576,144,624,192,48,48,   1,1.00,0.20,0.0072
77,4,14,99.48,HIGH,624,144,672,192,48,48,  18,1.00,1.00,0.7459
78,4,15,99.96,HIGH,672,144,720,192,48,48,  94,1.00,1.00,0.8199
79,4,16,99.96,HIGH,720,144,768,192,48,48,  99,1.00,1.00,0.8215
80,4,17,99.74,HIGH,768,144,816,192,48,48, 104,1.00,1.00,0.8224
81,4,18,91.28,HIGH,816,144,864,192,48,48,  14,1.00,1.00,0.6915
97,5,13,47.61,MEDIUM,576,192,624,240,48,48,   1,1.00,0.20,0.0439
98,5,14,99.87,HIGH,624,192,672,240,48,48, 451,1.00,1.00,0.8591
99,5,15,99.96,HIGH,672,192,720,240,48,48, 761,1.00,1.00,0.8689
100,5,16,99.87,HIGH,720,192,768,240,48,48, 623,0.49,1.00,0.8510
101,5,17,100.00,HIGH,768,192,816,240,48,48, 383,0.49,1.00,0.8397
102,5,18,99.87,HIGH,816,192,864,240,48,48, 221,1.00,1.00,0.8434
103,5,19,35.16,MEDIUM,864,192,912,240,48,48,   2,1.00,0.20,0.0352
118,6,13,50.43,MEDIUM,576,240,624,288,48,48,   0,1.00,0.20,0.0000
119,6,14,98.48,HIGH,624,240,672,288,48,48, 506,0.49,1.00,0.8425
120,6,15,99.65,HIGH,672,240,720,288,48,48, 276,0.49,1.00,0.8299
121,6,16,99.05,HIGH,720,240,768,288,48,48, 466,0.49,1.00,0.8421
122,6,17,99.52,HIGH,768,240,816,288,48,48, 502,0.49,1.00,0.8451
123,6,18,99.44,HIGH,816,240,864,288,48,48, 322,0.49,1.00,0.8336
124,6,19,41.84,MEDIUM,864,240,912,288,48,48,   4,1.00,0.20,0.0922
139,7,13,28.99,MEDIUM,576,288,624,336,48,48,   0,1.00,0.20,0.0000
140,7,14,98.00,HIGH,624,288,672,336,48,48,  63,0.49,1.00,0.7688
141,7,15,97.35,HIGH,672,288,720,336,48,48,   9,0.49,1.00,0.6163
142,7,16,98.09,HIGH,720,288,768,336,48,48,  56,0.49,1.00,0.7634
143,7,17,96.01,HIGH,768,288,816,336,48,48,   6,0.49,1.00,0.5681
144,7,18,96.96,HIGH,816,288,864,336,48,48,   2,0.49,1.00,0.4206
145,7,19,29.47,MEDIUM,864,288,912,336,48,48,   0,1.00,0.20,0.0000
161,8,14,94.27,HIGH,624,336,672,384,48,48,   0,0.49,1.00,0.0000
162,8,15,97.05,HIGH,672,336,720,384,48,48,   9,0.49,1.00,0.6189
163,8,16,97.35,HIGH,720,336,768,384,48,48,   3,0.49,1.00,0.4448
164,8,17,98.00,HIGH,768,336,816,384,48,48,   5,0.49,1.00,0.5443
165,8,18,96.44,HIGH,816,336,864,384,48,48,   0,0.49,1.00,0.0000
166,8,19,35.68,MEDIUM,864,336,912,384,48,48,   0,1.00,0.20,0.0000
182,9,14,73.26,MEDIUM,624,384,672,432,48,48,   0,1.00,0.20,0.0000
183,9,15,93.01,HIGH,672,384,720,432,48,48, 112,0.49,1.00,0.7767
184,9,16,96.74,HIGH,720,384,768,432,48,48,  14,0.49,1.00,0.6592
185,9,17,96.57,HIGH,768,384,816,432,48,48,  13,0.49,1.00,0.6510
186,9,18,94.62,HIGH,816,384,864,432,48,48,   0,0.49,1.00,0.0000
187,9,19,40.49,MEDIUM,864,384,912,432,48,48,   0,1.00,0.20,0.0000
203,10,14,43.36,MEDIUM,624,432,672,480,48,48,   0,1.00,0.20,0.0000
204,10,15,84.59,HIGH,672,432,720,480,48,48,   0,1.00,1.00,0.0807
205,10,16,90.62,HIGH,720,432,768,480,48,48,   0,1.00,1.00,0.0000
206,10,17,87.76,HIGH,768,432,816,480,48,48,   0,1.00,1.00,0.0000
207,10,18,40.23,MEDIUM,816,432,864,480,48,48,   0,1.00,0.20,0.0000
226,11,16,25.30,MEDIUM,720,480,768,528,48,48,   0,1.00,0.20,0.0000
227,11,17,15.67,MEDIUM,768,480,816,528,48,48,   0,0.49,0.20,0.0000
698,34,5,16.32,MEDIUM,192,1584,240,1632,48,48,   0,1.00,0.20,0.0000
699,34,6,34.55,MEDIUM,240,1584,288,1632,48,48,   0,1.00,0.20,0.0000
700,34,7,18.88,MEDIUM,288,1584,336,1632,48,48,   0,1.00,0.20,0.0000
717,35,3,17.84,MEDIUM,96,1632,144,1680,48,48,   0,1.00,0.20,0.0000
718,35,4,74.39,MEDIUM,144,1632,192,1680,48,48, 114,1.00,0.20,0.6369
719,35,5,99.65,HIGH,192,1632,240,1680,48,48, 454,1.00,1.00,0.8587
720,35,6,99.61,HIGH,240,1632,288,1680,48,48, 222,1.00,1.00,0.8429
721,35,7,99.74,HIGH,288,1632,336,1680,48,48, 156,1.00,1.00,0.8342
722,35,8,57.38,MEDIUM,336,1632,384,1680,48,48,  32,1.00,0.20,0.3980
738,36,3,89.24,HIGH,96,1680,144,1728,48,48,   0,1.00,1.00,0.0000
739,36,4,99.39,HIGH,144,1680,192,1728,48,48, 123,1.00,1.00,0.8264
740,36,5,99.52,HIGH,192,1680,240,1728,48,48,  14,0.49,1.00,0.6686
741,36,6,98.44,HIGH,240,1680,288,1728,48,48,   5,0.49,1.00,0.5513
742,36,7,99.05,HIGH,288,1680,336,1728,48,48,  15,0.49,1.00,0.6759
743,36,8,99.78,HIGH,336,1680,384,1728,48,48, 360,1.00,1.00,0.8543
744,36,9,90.10,HIGH,384,1680,432,1728,48,48, 261,1.00,1.00,0.8189
760,37,4,75.30,MEDIUM,144,1728,192,1776,48,48,   0,1.00,0.20,0.0000
761,37,5,91.71,HIGH,192,1728,240,1776,48,48,   0,0.49,1.00,0.0000
762,37,6,95.53,HIGH,240,1728,288,1776,48,48,  32,0.49,1.00,0.7200
763,37,7,98.70,HIGH,288,1728,336,1776,48,48,   0,0.49,1.00,0.0569
764,37,8,94.92,HIGH,336,1728,384,1776,48,48,   0,0.49,1.00,0.1647
765,37,9,98.87,HIGH,384,1728,432,1776,48,48, 145,1.00,1.00,0.8297
766,37,10,73.39,MEDIUM,432,1728,480,1776,48,48,  63,1.00,0.20,0.5838
782,38,5,16.88,MEDIUM,192,1776,240,1824,48,48,   0,0.49,0.20,0.0000
783,38,6,23.52,MEDIUM,240,1776,288,1824,48,48,   0,1.00,0.20,0.0000
784,38,7,22.66,MEDIUM,288,1776,336,1824,48,48,   0,1.00,0.20,0.0000
786,38,9,13.93,MEDIUM,384,1776,432,1824,48,48,   0,0.49,0.20,0.0000
787,38,10,77.00,MEDIUM,432,1776,480,1824,48,48,   0,1.00,0.20,0.0000
788,38,11,29.38,MEDIUM,480,1776,528,1824,48,48,   0,1.00,0.20,0.0000
809,39,11,38.63,MEDIUM,480,1824,528,1872,48,48,   0,1.00,0.20,0.0000
1035,50,6,39.54,MEDIUM,240,2352,288,2400,48,48,   0,1.00,0.20,0.0000
1036,50,7,59.16,MEDIUM,288,2352,336,2400,48,48,   1,1.00,0.20,0.0618
1037,50,8,52.08,MEDIUM,336,2352,384,2400,48,48,   2,1.00,0.20,0.0925
1038,50,9,20.23,MEDIUM,384,2352,432,2400,48,48,   1,1.00,0.20,0.0084
1055,51,5,83.46,HIGH,192,2400,240,2448,48,48,  11,1.00,1.00,0.6361
1056,51,6,99.74,HIGH,240,2400,288,2448,48,48, 299,1.00,1.00,0.8502
1057,51,7,99.26,HIGH,288,2400,336,2448,48,48, 341,1.00,1.00,0.8518
1058,51,8,99.74,HIGH,336,2400,384,2448,48,48, 923,1.00,1.00,0.8717
1059,51,9,97.83,HIGH,384,2400,432,2448,48,48, 217,1.00,1.00,0.8374
1060,51,10,27.99,MEDIUM,432,2400,480,2448,48,48,   1,1.00,0.20,0.0155
1075,52,4,21.44,MEDIUM,144,2448,192,2496,48,48,   0,1.00,0.20,0.0000
1076,52,5,56.29,MEDIUM,192,2448,240,2496,48,48,   4,1.00,0.20,0.1481
1077,52,6,90.32,HIGH,240,2448,288,2496,48,48,   3,1.00,1.00,0.5228
1078,52,7,98.74,HIGH,288,2448,336,2496,48,48,   5,0.49,1.00,0.5379
1079,52,8,98.83,HIGH,336,2448,384,2496,48,48,  56,0.49,1.00,0.7659
1080,52,9,99.70,HIGH,384,2448,432,2496,48,48, 630,1.00,1.00,0.8650
1081,52,10,91.88,HIGH,432,2448,480,2496,48,48, 127,1.00,1.00,0.8038
1098,53,6,41.58,MEDIUM,240,2496,288,2544,48,48,   0,1.00,0.20,0.0000
1099,53,7,97.27,HIGH,288,2496,336,2544,48,48,   2,0.49,1.00,0.3864
1100,53,8,95.88,HIGH,336,2496,384,2544,48,48,   8,0.49,1.00,0.5867
1101,53,9,97.14,HIGH,384,2496,432,2544,48,48,   9,0.49,1.00,0.6151
1102,53,10,99.39,HIGH,432,2496,480,2544,48,48, 284,1.00,1.00,0.8481
1103,53,11,56.68,MEDIUM,480,2496,528,2544,48,48,   6,1.00,0.20,0.2096
1120,54,7,28.26,MEDIUM,288,2544,336,2592,48,48,   0,1.00,0.20,0.0000
1122,54,9,31.42,MEDIUM,384,2544,432,2592,48,48,   0,1.00,0.20,0.0000
1123,54,10,93.53,HIGH,432,2544,480,2592,48,48,  27,0.49,1.00,0.6999
1124,54,11,95.44,HIGH,480,2544,528,2592,48,48,  60,1.00,1.00,0.7891
