Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 5544x12712
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 5544x12712
Scaled Tile Size: 48x48
Total Mask: 79.35%, Total Tissue: 20.65%
Tiles: 116x265 = 30740
  2507 ( 8.16%) tiles >=80% tissue
  6978 (22.70%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
66,1,66,42.58,MEDIUM,3120,0,3168,48,48,48,   0,1.00,0.20,0.0000
67,1,67,97.79,HIGH,3168,0,3216,48,48,48,  14,1.00,1.00,0.7213
68,1,68,70.57,MEDIUM,3216,0,3264,48,48,48,  12,1.00,0.20,0.3842
81,1,81,28.21,MEDIUM,3840,0,3888,48,48,48,   0,1.00,0.20,0.0008
82,1,82,32.73,MEDIUM,3888,0,3936,48,48,48,   0,1.00,0.20,0.0000
84,1,84,22.31,MEDIUM,3984,0,4032,48,48,48,   0,1.00,0.20,0.0000
183,2,67,75.87,MEDIUM,3168,48,3216,96,48,48, 233,1.00,0.20,0.6898
184,2,68,71.70,MEDIUM,3216,48,3264,96,48,48, 231,1.00,0.20,0.6647
185,2,69,18.97,MEDIUM,3264,48,3312,96,48,48, 103,1.00,0.20,0.0996
190,2,74,19.66,MEDIUM,3504,48,3552,96,48,48,   0,1.00,0.20,0.0000
191,2,75,13.67,MEDIUM,3552,48,3600,96,48,48,   0,1.00,0.20,0.0000
198,2,82,23.87,MEDIUM,3888,48,3936,96,48,48,   0,1.00,0.20,0.0000
299,3,67,35.94,MEDIUM,3168,96,3216,144,48,48, 600,1.00,0.20,0.3825
300,3,68,49.13,MEDIUM,3216,96,3264,144,48,48, 634,1.00,0.20,0.5394
301,3,69,33.68,MEDIUM,3264,96,3312,144,48,48, 731,0.49,0.20,0.3271
314,3,82,24.13,MEDIUM,3888,96,3936,144,48,48,   0,1.00,0.20,0.0000
315,3,83,19.40,MEDIUM,3936,96,3984,144,48,48,   0,1.00,0.20,0.0000
416,4,68,29.86,MEDIUM,3216,144,3264,192,48,48, 312,1.00,0.20,0.2701
417,4,69,39.24,MEDIUM,3264,144,3312,192,48,48, 436,1.00,0.20,0.4081
418,4,70,52.26,MEDIUM,3312,144,3360,192,48,48, 469,1.00,0.20,0.5542
419,4,71,17.40,MEDIUM,3360,144,3408,192,48,48,4623,0.49,0.20,0.1564
421,4,73,15.41,MEDIUM,3456,144,3504,192,48,48,1672,0.49,0.20,0.1081
429,4,81,17.14,MEDIUM,3840,144,3888,192,48,48,  72,1.00,0.20,0.0744
430,4,82,68.23,MEDIUM,3888,144,3936,192,48,48,   0,1.00,0.20,0.0000
431,4,83,37.76,MEDIUM,3936,144,3984,192,48,48,   0,1.00,0.20,0.0037
534,5,70,62.89,MEDIUM,3312,192,3360,240,48,48, 846,1.00,0.20,0.6702
535,5,71,67.14,MEDIUM,3360,192,3408,240,48,48,1856,1.00,0.20,0.7274
536,5,72,66.67,MEDIUM,3408,192,3456,240,48,48,3559,1.00,0.20,0.7449
537,5,73,54.99,MEDIUM,3456,192,3504,240,48,48,1401,1.00,0.20,0.6304
538,5,74,50.26,MEDIUM,3504,192,3552,240,48,48,1391,1.00,0.20,0.5872
544,5,80,20.57,MEDIUM,3792,192,3840,240,48,48,1129,1.00,0.20,0.1867
545,5,81,46.79,MEDIUM,3840,192,3888,240,48,48,1214,1.00,0.20,0.5461
546,5,82,28.69,MEDIUM,3888,192,3936,240,48,48,   3,1.00,0.20,0.0391
652,6,72,15.80,MEDIUM,3408,240,3456,288,48,48, 693,1.00,0.20,0.1098
654,6,74,27.73,MEDIUM,3504,240,3552,288,48,48,2091,1.00,0.20,0.3172
655,6,75,61.11,MEDIUM,3552,240,3600,288,48,48,1815,1.00,0.20,0.6877
656,6,76,20.62,MEDIUM,3600,240,3648,288,48,48,1684,1.00,0.20,0.1984
658,6,78,23.39,MEDIUM,3696,240,3744,288,48,48,3077,1.00,0.20,0.2601
659,6,79,30.69,MEDIUM,3744,240,3792,288,48,48,1500,1.00,0.20,0.3495
660,6,80,33.07,MEDIUM,3792,240,3840,288,48,48,1073,1.00,0.20,0.3702
730,7,34,20.10,MEDIUM,1584,288,1632,336,48,48, 123,1.00,0.20,0.1157
731,7,35,59.55,MEDIUM,1632,288,1680,336,48,48, 255,1.00,0.20,0.5835
732,7,36,55.12,MEDIUM,1680,288,1728,336,48,48, 117,1.00,0.20,0.4924
733,7,37,13.93,MEDIUM,1728,288,1776,336,48,48,  44,1.00,0.20,0.0424
771,7,75,13.41,MEDIUM,3552,288,3600,336,48,48, 351,1.00,0.20,0.0712
772,7,76,34.46,MEDIUM,3600,288,3648,336,48,48,1833,1.00,0.20,0.4123
773,7,77,47.01,MEDIUM,3648,288,3696,336,48,48,2625,1.00,0.20,0.5806
774,7,78,28.08,MEDIUM,3696,288,3744,336,48,48, 932,1.00,0.20,0.2921
775,7,79,12.85,MEDIUM,3744,288,3792,336,48,48,   7,1.00,0.20,0.0137
848,8,36,47.83,MEDIUM,1680,336,1728,384,48,48, 245,1.00,0.20,0.4722
849,8,37,88.19,HIGH,1728,336,1776,384,48,48, 403,1.00,1.00,0.8236
850,8,38,17.06,MEDIUM,1776,336,1824,384,48,48,  94,1.00,0.20,0.0799
965,9,37,31.73,MEDIUM,1728,384,1776,432,48,48, 325,1.00,0.20,0.2967
966,9,38,57.38,MEDIUM,1776,384,1824,432,48,48, 279,1.00,0.20,0.5708
967,9,39,38.11,MEDIUM,1824,384,1872,432,48,48, 189,1.00,0.20,0.3471
1083,10,39,65.67,MEDIUM,1824,432,1872,480,48,48, 645,1.00,0.20,0.6773
1084,10,40,59.51,MEDIUM,1872,432,1920,480,48,48, 246,1.00,0.20,0.5809
