Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2688x3008
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2688x3008
Scaled Tile Size: 48x48
Total Mask: 67.11%, Total Tissue: 32.89%
Tiles: 56x63 = 3528
   835 (23.67%) tiles >=80% tissue
   726 (20.58%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
78,2,22,22.96,MEDIUM,1008,48,1056,96,48,48,   0,1.00,0.20,0.0031
132,3,20,30.56,MEDIUM,912,96,960,144,48,48,   0,1.00,0.20,0.0000
133,3,21,67.84,MEDIUM,960,96,1008,144,48,48,   6,1.00,0.20,0.2594
134,3,22,92.58,HIGH,1008,96,1056,144,48,48,  85,1.00,1.00,0.7924
135,3,23,24.39,MEDIUM,1056,96,1104,144,48,48,   1,1.00,0.20,0.0085
185,4,17,33.55,MEDIUM,768,144,816,192,48,48,   0,1.00,0.20,0.0000
186,4,18,53.21,MEDIUM,816,144,864,192,48,48,   0,1.00,0.20,0.0000
187,4,19,79.86,MEDIUM,864,144,912,192,48,48,   0,1.00,0.20,0.0000
188,4,20,84.85,HIGH,912,144,960,192,48,48,   0,1.00,1.00,0.0000
189,4,21,92.23,HIGH,960,144,1008,192,48,48,   2,1.00,1.00,0.5074
190,4,22,93.53,HIGH,1008,144,1056,192,48,48,  22,1.00,1.00,0.7321
191,4,23,33.81,MEDIUM,1056,144,1104,192,48,48,   2,1.00,0.20,0.0392
240,5,16,57.99,MEDIUM,720,192,768,240,48,48,   1,1.00,0.20,0.0548
241,5,17,78.99,MEDIUM,768,192,816,240,48,48,   0,1.00,0.20,0.0000
242,5,18,85.20,HIGH,816,192,864,240,48,48,   0,1.00,1.00,0.0000
243,5,19,84.64,HIGH,864,192,912,240,48,48,   0,1.00,1.00,0.0000
244,5,20,87.72,HIGH,912,192,960,240,48,48,   1,1.00,1.00,0.2605
245,5,21,90.19,HIGH,960,192,1008,240,48,48,   0,1.00,1.00,0.0000
246,5,22,97.31,HIGH,1008,192,1056,240,48,48,   6,1.00,1.00,0.6526
247,5,23,29.08,MEDIUM,1056,192,1104,240,48,48,   2,1.00,0.20,0.0251
293,6,13,28.30,MEDIUM,576,240,624,288,48,48,   0,1.00,0.20,0.0000
294,6,14,59.94,MEDIUM,624,240,672,288,48,48,   0,1.00,0.20,0.0313
295,6,15,81.03,HIGH,672,240,720,288,48,48,   0,1.00,1.00,0.0000
296,6,16,84.90,HIGH,720,240,768,288,48,48,   0,1.00,1.00,0.0000
297,6,17,84.64,HIGH,768,240,816,288,48,48,   0,1.00,1.00,0.0000
298,6,18,88.59,HIGH,816,240,864,288,48,48,   0,1.00,1.00,0.0000
299,6,19,90.62,HIGH,864,240,912,288,48,48, 130,1.00,1.00,0.8001
300,6,20,91.15,HIGH,912,240,960,288,48,48, 172,1.00,1.00,0.8106
301,6,21,88.02,HIGH,960,240,1008,288,48,48, 186,1.00,1.00,0.8021
302,6,22,91.62,HIGH,1008,240,1056,288,48,48,   6,1.00,1.00,0.6161
303,6,23,25.22,MEDIUM,1056,240,1104,288,48,48,   9,1.00,0.20,0.0622
348,7,12,54.04,MEDIUM,528,288,576,336,48,48,   0,1.00,0.20,0.0256
349,7,13,74.48,MEDIUM,576,288,624,336,48,48,   0,1.00,0.20,0.0475
350,7,14,81.60,HIGH,624,288,672,336,48,48,   0,1.00,1.00,0.2043
351,7,15,89.54,HIGH,672,288,720,336,48,48,   0,1.00,1.00,0.0000
352,7,16,72.35,MEDIUM,720,288,768,336,48,48,   2,1.00,0.20,0.1367
353,7,17,65.58,MEDIUM,768,288,816,336,48,48,  14,1.00,0.20,0.3680
354,7,18,86.15,HIGH,816,288,864,336,48,48,  13,1.00,1.00,0.6634
355,7,19,92.10,HIGH,864,288,912,336,48,48,  98,1.00,1.00,0.7959
356,7,20,78.69,MEDIUM,912,288,960,336,48,48, 132,1.00,0.20,0.6721
357,7,21,69.57,MEDIUM,960,288,1008,336,48,48,  68,1.00,0.20,0.5643
358,7,22,86.41,HIGH,1008,288,1056,336,48,48,  45,1.00,1.00,0.7413
359,7,23,50.61,MEDIUM,1056,288,1104,336,48,48,  72,1.00,0.20,0.4117
403,8,11,56.08,MEDIUM,480,336,528,384,48,48,   0,1.00,0.20,0.0000
404,8,12,78.04,MEDIUM,528,336,576,384,48,48,   0,1.00,0.20,0.0000
405,8,13,86.46,HIGH,576,336,624,384,48,48,   0,1.00,1.00,0.0000
406,8,14,80.99,HIGH,624,336,672,384,48,48,   0,1.00,1.00,0.0000
407,8,15,87.02,HIGH,672,336,720,384,48,48,   0,1.00,1.00,0.0000
408,8,16,79.34,MEDIUM,720,336,768,384,48,48,   0,1.00,0.20,0.0000
409,8,17,74.09,MEDIUM,768,336,816,384,48,48,   8,1.00,0.20,0.3443
410,8,18,97.35,HIGH,816,336,864,384,48,48,   8,1.00,1.00,0.6732
411,8,19,93.75,HIGH,864,336,912,384,48,48, 131,1.00,1.00,0.8109
412,8,20,96.40,HIGH,912,336,960,384,48,48, 214,1.00,1.00,0.8330
413,8,21,88.93,HIGH,960,336,1008,384,48,48, 136,1.00,1.00,0.7955
414,8,22,96.27,HIGH,1008,336,1056,384,48,48,  77,1.00,1.00,0.8014
415,8,23,64.89,MEDIUM,1056,336,1104,384,48,48,  23,1.00,0.20,0.4187
429,8,37,25.09,MEDIUM,1728,336,1776,384,48,48,   0,1.00,0.20,0.0000
430,8,38,21.22,MEDIUM,1776,336,1824,384,48,48,   0,1.00,0.20,0.0000
431,8,39,22.05,MEDIUM,1824,336,1872,384,48,48,   0,1.00,0.20,0.0000
432,8,40,25.56,MEDIUM,1872,336,1920,384,48,48,   0,1.00,0.20,0.0000
458,9,10,44.14,MEDIUM,432,384,480,432,48,48,   0,1.00,0.20,0.0000
459,9,11,78.43,MEDIUM,480,384,528,432,48,48,   3,1.00,0.20,0.2371
460,9,12,75.87,MEDIUM,528,384,576,432,48,48,   0,1.00,0.20,0.0000
