Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3072x4832
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 3072x4832
Scaled Tile Size: 48x48
Total Mask: 92.01%, Total Tissue: 7.99%
Tiles: 64x101 = 6464
   173 ( 2.68%) tiles >=80% tissue
   781 (12.08%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
281,5,25,73.48,MEDIUM,1152,192,1200,240,48,48,   0,1.00,0.20,0.0044
282,5,26,51.78,MEDIUM,1200,192,1248,240,48,48,   0,1.00,0.20,0.0165
345,6,25,79.12,MEDIUM,1152,240,1200,288,48,48,   0,1.00,0.20,0.0159
346,6,26,90.02,HIGH,1200,240,1248,288,48,48,   0,1.00,1.00,0.0658
347,6,27,87.46,HIGH,1248,240,1296,288,48,48,   1,1.00,1.00,0.2605
348,6,28,64.32,MEDIUM,1296,240,1344,288,48,48,   1,1.00,0.20,0.0629
349,6,29,23.65,MEDIUM,1344,240,1392,288,48,48,   0,1.00,0.20,0.0039
409,7,25,42.84,MEDIUM,1152,288,1200,336,48,48,   0,1.00,0.20,0.0047
410,7,26,55.38,MEDIUM,1200,288,1248,336,48,48,   0,1.00,0.20,0.0173
411,7,27,47.48,MEDIUM,1248,288,1296,336,48,48,   0,1.00,0.20,0.0000
412,7,28,16.93,MEDIUM,1296,288,1344,336,48,48,   0,1.00,0.20,0.0000
413,7,29,29.64,MEDIUM,1344,288,1392,336,48,48,   0,1.00,0.20,0.0023
414,7,30,52.91,MEDIUM,1392,288,1440,336,48,48,   0,1.00,0.20,0.0017
474,8,26,21.83,MEDIUM,1200,336,1248,384,48,48,   0,1.00,0.20,0.0000
478,8,30,33.42,MEDIUM,1392,336,1440,384,48,48,   0,1.00,0.20,0.0029
479,8,31,65.36,MEDIUM,1440,336,1488,384,48,48,   0,1.00,0.20,0.0089
543,9,31,14.02,MEDIUM,1440,384,1488,432,48,48,   0,1.00,0.20,0.0000
544,9,32,62.67,MEDIUM,1488,384,1536,432,48,48,   1,1.00,0.20,0.0851
545,9,33,15.49,MEDIUM,1536,384,1584,432,48,48,   0,1.00,0.20,0.0005
606,10,30,19.44,MEDIUM,1392,432,1440,480,48,48,   1,1.00,0.20,0.0088
607,10,31,59.03,MEDIUM,1440,432,1488,480,48,48,   1,1.00,0.20,0.0517
608,10,32,33.20,MEDIUM,1488,432,1536,480,48,48,   0,1.00,0.20,0.0028
609,10,33,70.96,MEDIUM,1536,432,1584,480,48,48,   0,1.00,0.20,0.0068
610,10,34,39.45,MEDIUM,1584,432,1632,480,48,48,   0,1.00,0.20,0.0017
663,11,23,29.47,MEDIUM,1056,480,1104,528,48,48,   1,1.00,0.20,0.0194
665,11,25,17.27,MEDIUM,1152,480,1200,528,48,48,   0,1.00,0.20,0.0000
666,11,26,24.74,MEDIUM,1200,480,1248,528,48,48,   0,1.00,0.20,0.0000
670,11,30,26.52,MEDIUM,1392,480,1440,528,48,48,   1,1.00,0.20,0.0132
671,11,31,62.11,MEDIUM,1440,480,1488,528,48,48,   2,1.00,0.20,0.0926
672,11,32,55.64,MEDIUM,1488,480,1536,528,48,48,   2,1.00,0.20,0.0785
674,11,34,40.71,MEDIUM,1584,480,1632,528,48,48,   0,1.00,0.20,0.0020
675,11,35,63.76,MEDIUM,1632,480,1680,528,48,48,   0,1.00,0.20,0.0087
730,12,26,34.38,MEDIUM,1200,528,1248,576,48,48,   0,1.00,0.20,0.0000
731,12,27,19.62,MEDIUM,1248,528,1296,576,48,48,   0,1.00,0.20,0.0000
732,12,28,23.35,MEDIUM,1296,528,1344,576,48,48,   0,1.00,0.20,0.0000
735,12,31,33.90,MEDIUM,1440,528,1488,576,48,48,   3,1.00,0.20,0.0494
736,12,32,35.42,MEDIUM,1488,528,1536,576,48,48,   1,1.00,0.20,0.0184
739,12,35,15.97,MEDIUM,1632,528,1680,576,48,48,   0,1.00,0.20,0.0000
740,12,36,71.74,MEDIUM,1680,528,1728,576,48,48,   0,1.00,0.20,0.0076
804,13,36,29.86,MEDIUM,1680,576,1728,624,48,48,   1,1.00,0.20,0.0090
805,13,37,60.37,MEDIUM,1728,576,1776,624,48,48,   1,1.00,0.20,0.0762
859,14,27,19.23,MEDIUM,1248,624,1296,672,48,48,   0,1.00,0.20,0.0000
869,14,37,54.82,MEDIUM,1728,624,1776,672,48,48,   0,1.00,0.20,0.0091
870,14,38,20.92,MEDIUM,1776,624,1824,672,48,48,   2,1.00,0.20,0.0134
933,15,37,33.03,MEDIUM,1728,672,1776,720,48,48,   0,1.00,0.20,0.0000
934,15,38,43.62,MEDIUM,1776,672,1824,720,48,48,   1,1.00,0.20,0.0191
997,16,37,13.76,MEDIUM,1728,720,1776,768,48,48,   0,1.00,0.20,0.0000
998,16,38,49.87,MEDIUM,1776,720,1824,768,48,48,   0,1.00,0.20,0.0127
1004,16,44,28.86,MEDIUM,2064,720,2112,768,48,48,   2,1.00,0.20,0.0238
1062,17,38,33.98,MEDIUM,1776,768,1824,816,48,48,   0,1.00,0.20,0.0057
1068,17,44,72.40,MEDIUM,2064,768,2112,816,48,48,   0,1.00,0.20,0.0253
1069,17,45,73.61,MEDIUM,2112,768,2160,816,48,48,   1,1.00,0.20,0.0528
1070,17,46,45.36,MEDIUM,2160,768,2208,816,48,48,   0,1.00,0.20,0.0154
1134,18,46,63.06,MEDIUM,2160,816,2208,864,48,48,   0,1.00,0.20,0.0324
1135,18,47,51.87,MEDIUM,2208,816,2256,864,48,48,   0,1.00,0.20,0.0247
1199,19,47,47.79,MEDIUM,2208,864,2256,912,48,48,   0,1.00,0.20,0.0024
1200,19,48,53.73,MEDIUM,2256,864,2304,912,48,48,   1,1.00,0.20,0.0333
1264,20,48,81.34,HIGH,2256,912,2304,960,48,48,   1,1.00,1.00,0.3156
1265,20,49,65.71,MEDIUM,2304,912,2352,960,48,48,   1,1.00,0.20,0.0795
1327,21,47,26.35,MEDIUM,2208,960,2256,1008,48,48,   3,1.00,0.20,0.0297
1328,21,48,58.77,MEDIUM,2256,960,2304,1008,48,48,   1,1.00,0.20,0.0768
1329,21,49,67.49,MEDIUM,2304,960,2352,1008,48,48,   0,1.00,0.20,0.0000
1330,21,50,79.25,MEDIUM,2352,960,2400,1008,48,48,   1,1.00,0.20,0.0980
1331,21,51,42.27,MEDIUM,2400,960,2448,1008,48,48,   1,1.00,0.20,0.0289
1395,22,51,70.53,MEDIUM,2400,1008,2448,1056,48,48,   0,1.00,0.20,0.0079
1396,22,52,24.57,MEDIUM,2448,1008,2496,1056,48,48,   0,1.00,0.20,0.0025
1429,23,21,36.41,MEDIUM,960,1056,1008,1104,48,48,   0,1.00,0.20,0.0000
1430,23,22,71.66,MEDIUM,1008,1056,1056,1104,48,48,   0,1.00,0.20,0.0043
1431,23,23,73.00,MEDIUM,1056,1056,1104,1104,48,48,   0,1.00,0.20,0.0000
1432,23,24,88.89,HIGH,1104,1056,1152,1104,48,48,   1,1.00,1.00,0.3993
1433,23,25,84.64,HIGH,1152,1056,1200,1104,48,48,   0,1.00,1.00,0.1296
1434,23,26,81.64,HIGH,1200,1056,1248,1104,48,48,   0,1.00,1.00,0.0842
