Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 1364x768
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 1364x768
Scaled Tile Size: 48x48
Total Mask: 73.49%, Total Tissue: 26.51%
Tiles: 29x16 = 464
   104 (22.41%) tiles >=80% tissue
    41 ( 8.84%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
55,2,26,28.34,MEDIUM,1200,48,1248,96,48,48,   3,1.00,0.20,0.0356
80,3,22,42.93,MEDIUM,1008,96,1056,144,48,48,  13,1.00,0.20,0.1895
81,3,23,58.42,MEDIUM,1056,96,1104,144,48,48,  43,1.00,0.20,0.4363
82,3,24,77.08,MEDIUM,1104,96,1152,144,48,48,  14,1.00,0.20,0.4428
83,3,25,89.97,HIGH,1152,96,1200,144,48,48,   9,1.00,1.00,0.6524
84,3,26,81.60,HIGH,1200,96,1248,144,48,48,   7,1.00,1.00,0.5869
106,4,19,42.97,MEDIUM,864,144,912,192,48,48,  32,1.00,0.20,0.2706
107,4,20,67.06,MEDIUM,912,144,960,192,48,48,  65,1.00,0.20,0.5424
108,4,21,89.32,HIGH,960,144,1008,192,48,48,  23,1.00,1.00,0.7162
109,4,22,93.97,HIGH,1008,144,1056,192,48,48,  55,1.00,1.00,0.7807
110,4,23,97.27,HIGH,1056,144,1104,192,48,48,  48,1.00,1.00,0.7867
111,4,24,93.19,HIGH,1104,144,1152,192,48,48,  20,1.00,1.00,0.7267
112,4,25,95.88,HIGH,1152,144,1200,192,48,48,  34,1.00,1.00,0.7663
113,4,26,64.37,MEDIUM,1200,144,1248,192,48,48,  19,1.00,0.20,0.3953
132,5,16,35.29,MEDIUM,720,192,768,240,48,48,   8,1.00,0.20,0.1080
133,5,17,63.32,MEDIUM,768,192,816,240,48,48,  30,1.00,0.20,0.4380
134,5,18,92.80,HIGH,816,192,864,240,48,48, 151,1.00,1.00,0.8122
135,5,19,97.05,HIGH,864,192,912,240,48,48,  38,1.00,1.00,0.7748
136,5,20,98.13,HIGH,912,192,960,240,48,48,  61,1.00,1.00,0.7988
137,5,21,96.05,HIGH,960,192,1008,240,48,48,  32,1.00,1.00,0.7635
138,5,22,97.87,HIGH,1008,192,1056,240,48,48, 156,1.00,1.00,0.8289
139,5,23,98.65,HIGH,1056,192,1104,240,48,48,  81,1.00,1.00,0.8107
140,5,24,96.61,HIGH,1104,192,1152,240,48,48,  10,1.00,1.00,0.6894
141,5,25,89.11,HIGH,1152,192,1200,240,48,48,  24,1.00,1.00,0.7179
142,5,26,43.75,MEDIUM,1200,192,1248,240,48,48,  15,1.00,0.20,0.2124
158,6,13,21.22,MEDIUM,576,240,624,288,48,48,   4,1.00,0.20,0.0233
159,6,14,53.82,MEDIUM,624,240,672,288,48,48,  62,1.00,0.20,0.4286
160,6,15,92.97,HIGH,672,240,720,288,48,48,  69,1.00,1.00,0.7859
161,6,16,91.23,HIGH,720,240,768,288,48,48,  59,1.00,1.00,0.7732
162,6,17,96.96,HIGH,768,240,816,288,48,48,  77,1.00,1.00,0.8039
163,6,18,97.40,HIGH,816,240,864,288,48,48,  66,1.00,1.00,0.7994
164,6,19,96.40,HIGH,864,240,912,288,48,48,  17,1.00,1.00,0.7294
165,6,20,98.18,HIGH,912,240,960,288,48,48,  97,1.00,1.00,0.8154
166,6,21,97.83,HIGH,960,240,1008,288,48,48,  56,1.00,1.00,0.7946
167,6,22,98.44,HIGH,1008,240,1056,288,48,48,  45,1.00,1.00,0.7878
168,6,23,95.44,HIGH,1056,240,1104,288,48,48,  60,1.00,1.00,0.7891
169,6,24,93.23,HIGH,1104,240,1152,288,48,48, 113,1.00,1.00,0.8047
170,6,25,86.28,HIGH,1152,240,1200,288,48,48,  36,1.00,1.00,0.7292
184,7,10,18.49,MEDIUM,432,288,480,336,48,48,  29,1.00,0.20,0.0615
185,7,11,34.38,MEDIUM,480,288,528,336,48,48,   4,1.00,0.20,0.0605
186,7,12,74.87,MEDIUM,528,288,576,336,48,48,   8,1.00,0.20,0.3542
187,7,13,93.71,HIGH,576,288,624,336,48,48,  29,1.00,1.00,0.7500
188,7,14,97.35,HIGH,624,288,672,336,48,48, 123,1.00,1.00,0.8204
189,7,15,98.18,HIGH,672,288,720,336,48,48, 204,1.00,1.00,0.8368
190,7,16,94.40,HIGH,720,288,768,336,48,48,  74,1.00,1.00,0.7938
191,7,17,97.74,HIGH,768,288,816,336,48,48,  65,1.00,1.00,0.8004
192,7,18,98.74,HIGH,816,288,864,336,48,48, 199,1.00,1.00,0.8378
193,7,19,98.87,HIGH,864,288,912,336,48,48,  74,1.00,1.00,0.8085
194,7,20,95.66,HIGH,912,288,960,336,48,48, 314,1.00,1.00,0.8403
195,7,21,96.96,HIGH,960,288,1008,336,48,48, 136,1.00,1.00,0.8223
196,7,22,98.78,HIGH,1008,288,1056,336,48,48,  34,1.00,1.00,0.7765
197,7,23,98.09,HIGH,1056,288,1104,336,48,48,  50,1.00,1.00,0.7908
198,7,24,95.36,HIGH,1104,288,1152,336,48,48,  36,1.00,1.00,0.7662
199,7,25,63.11,MEDIUM,1152,288,1200,336,48,48,  10,1.00,0.20,0.3019
212,8,9,57.60,MEDIUM,384,336,432,384,48,48,  33,1.00,0.20,0.4007
213,8,10,96.57,HIGH,432,336,480,384,48,48, 167,1.00,1.00,0.8270
