Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2304x1280
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2304x1280
Scaled Tile Size: 48x48
Total Mask: 75.92%, Total Tissue: 24.08%
Tiles: 48x27 = 1296
   246 (18.98%) tiles >=80% tissue
   158 (12.19%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
22,1,22,48.18,MEDIUM,1008,0,1056,48,48,48,   0,1.00,0.20,0.0000
57,2,9,41.02,MEDIUM,384,48,432,96,48,48,   0,1.00,0.20,0.0129
70,2,22,15.80,MEDIUM,1008,48,1056,96,48,48,   0,1.00,0.20,0.0006
105,3,9,86.68,HIGH,384,96,432,144,48,48,   8,1.00,1.00,0.6191
106,3,10,74.48,MEDIUM,432,96,480,144,48,48,   3,1.00,0.20,0.2199
139,3,43,17.71,MEDIUM,2016,96,2064,144,48,48,   0,1.00,0.20,0.0000
151,4,7,39.63,MEDIUM,288,144,336,192,48,48,  66,1.00,0.20,0.2938
152,4,8,72.74,MEDIUM,336,144,384,192,48,48,   1,1.00,0.20,0.0890
153,4,9,87.24,HIGH,384,144,432,192,48,48,   0,1.00,1.00,0.1580
154,4,10,92.32,HIGH,432,144,480,192,48,48,  12,1.00,1.00,0.6854
155,4,11,51.69,MEDIUM,480,144,528,192,48,48,  12,1.00,0.20,0.2505
198,5,6,35.81,MEDIUM,240,192,288,240,48,48,  52,1.00,0.20,0.2380
199,5,7,79.82,MEDIUM,288,192,336,240,48,48, 150,1.00,0.20,0.6861
200,5,8,93.62,HIGH,336,192,384,240,48,48, 235,1.00,1.00,0.8272
201,5,9,91.84,HIGH,384,192,432,240,48,48,   5,1.00,1.00,0.5997
202,5,10,88.02,HIGH,432,192,480,240,48,48,  10,1.00,1.00,0.6526
203,5,11,85.46,HIGH,480,192,528,240,48,48,   5,1.00,1.00,0.5556
245,6,5,41.41,MEDIUM,192,240,240,288,48,48, 681,1.00,0.20,0.4577
246,6,6,76.35,MEDIUM,240,240,288,288,48,48, 148,1.00,0.20,0.6660
247,6,7,92.71,HIGH,288,240,336,288,48,48, 278,1.00,1.00,0.8287
248,6,8,91.97,HIGH,336,240,384,288,48,48, 161,1.00,1.00,0.8114
249,6,9,88.85,HIGH,384,240,432,288,48,48,  13,1.00,1.00,0.6763
