Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 1408x2336
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 1408x2336
Scaled Tile Size: 48x48
Total Mask: 96.28%, Total Tissue: 3.72%
Tiles: 30x49 = 1470
     3 ( 0.20%) tiles >=80% tissue
   121 ( 8.23%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
162,6,12,22.66,MEDIUM,528,240,576,288,48,48,  26,1.00,0.20,0.0861
192,7,12,30.64,MEDIUM,528,288,576,336,48,48, 221,1.00,0.20,0.2635
222,8,12,32.38,MEDIUM,528,336,576,384,48,48, 337,1.00,0.20,0.3070
252,9,12,24.18,MEDIUM,528,384,576,432,48,48, 799,1.00,0.20,0.2289
253,9,13,35.33,MEDIUM,576,384,624,432,48,48,15913,1.00,0.20,0.5017
283,10,13,49.96,MEDIUM,576,432,624,480,48,48,4060,1.00,0.20,0.6258
313,11,13,17.32,MEDIUM,576,480,624,528,48,48,1112,1.00,0.20,0.1396
314,11,14,32.86,MEDIUM,624,480,672,528,48,48,2641,1.00,0.20,0.4037
344,12,14,28.99,MEDIUM,624,528,672,576,48,48, 312,1.00,0.20,0.2586
345,12,15,33.51,MEDIUM,672,528,720,576,48,48,2386,0.49,0.20,0.3800
374,13,14,29.43,MEDIUM,624,576,672,624,48,48,1511,1.00,0.20,0.3310
375,13,15,24.78,MEDIUM,672,576,720,624,48,48,  99,1.00,0.20,0.1570
376,13,16,15.80,MEDIUM,720,576,768,624,48,48,7821,0.49,0.20,0.1422
377,13,17,20.18,MEDIUM,768,576,816,624,48,48,26255,0.49,0.20,0.2424
378,13,18,25.26,MEDIUM,816,576,864,624,48,48,23859,0.49,0.20,0.3311
405,14,15,36.41,MEDIUM,672,624,720,672,48,48,1180,1.00,0.20,0.4203
406,14,16,13.45,MEDIUM,720,624,768,672,48,48, 118,0.49,0.20,0.0439
407,14,17,29.34,MEDIUM,768,624,816,672,48,48,13164,0.49,0.20,0.3814
408,14,18,43.97,MEDIUM,816,624,864,672,48,48,26927,1.00,0.20,0.6242
435,15,15,29.25,MEDIUM,672,672,720,720,48,48,2985,1.00,0.20,0.3536
436,15,16,37.63,MEDIUM,720,672,768,720,48,48, 113,1.00,0.20,0.3095
438,15,18,27.13,MEDIUM,816,672,864,720,48,48,20508,0.49,0.20,0.3589
439,15,19,36.94,MEDIUM,864,672,912,720,48,48,20298,0.49,0.20,0.5089
465,16,15,36.72,MEDIUM,672,720,720,768,48,48,2054,1.00,0.20,0.4480
467,16,17,54.17,MEDIUM,768,720,816,768,48,48, 332,1.00,0.20,0.5526
468,16,18,57.55,MEDIUM,816,720,864,768,48,48,6927,1.00,0.20,0.7056
469,16,19,38.76,MEDIUM,864,720,912,768,48,48,15717,0.49,0.20,0.5244
495,17,15,33.59,MEDIUM,672,768,720,816,48,48,2122,1.00,0.20,0.4059
497,17,17,78.47,MEDIUM,768,768,816,816,48,48,1259,1.00,0.20,0.7731
498,17,18,82.68,HIGH,816,768,864,816,48,48,5406,0.49,1.00,0.8435
