Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 5084x2712
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 5084x2712
Scaled Tile Size: 48x48
Total Mask: 75.77%, Total Tissue: 24.23%
Tiles: 106x57 = 6042
  1212 (20.06%) tiles >=80% tissue
   555 ( 9.19%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
564,6,34,38.32,MEDIUM,1584,240,1632,288,48,48, 230,1.00,0.20,0.3612
565,6,35,34.24,MEDIUM,1632,240,1680,288,48,48, 242,1.00,0.20,0.3138
615,6,85,34.42,MEDIUM,4032,240,4080,288,48,48, 580,1.00,0.20,0.3607
616,6,86,44.18,MEDIUM,4080,240,4128,288,48,48, 649,1.00,0.20,0.4876
617,6,87,31.51,MEDIUM,4128,240,4176,288,48,48, 523,1.00,0.20,0.3164
619,6,89,16.97,MEDIUM,4224,240,4272,288,48,48, 622,1.00,0.20,0.1222
620,6,90,28.95,MEDIUM,4272,240,4320,288,48,48, 439,1.00,0.20,0.2732
621,6,91,46.22,MEDIUM,4320,240,4368,288,48,48, 307,1.00,0.20,0.4689
664,7,28,30.16,MEDIUM,1296,288,1344,336,48,48, 408,1.00,0.20,0.2866
665,7,29,68.40,MEDIUM,1344,288,1392,336,48,48, 385,1.00,0.20,0.6708
666,7,30,65.67,MEDIUM,1392,288,1440,336,48,48, 218,1.00,0.20,0.6208
667,7,31,73.00,MEDIUM,1440,288,1488,336,48,48, 100,1.00,0.20,0.6189
668,7,32,76.61,MEDIUM,1488,288,1536,336,48,48, 109,1.00,0.20,0.6475
669,7,33,95.83,HIGH,1536,288,1584,336,48,48,  50,1.00,1.00,0.7829
670,7,34,99.13,HIGH,1584,288,1632,336,48,48,  12,0.49,1.00,0.6549
671,7,35,99.05,HIGH,1632,288,1680,336,48,48,  39,1.00,1.00,0.7840
672,7,36,73.52,MEDIUM,1680,288,1728,336,48,48, 173,1.00,0.20,0.6589
673,7,37,57.07,MEDIUM,1728,288,1776,336,48,48, 346,1.00,0.20,0.5807
674,7,38,34.07,MEDIUM,1776,288,1824,336,48,48, 462,1.00,0.20,0.3450
716,7,80,53.04,MEDIUM,3792,288,3840,336,48,48, 202,1.00,0.20,0.5115
717,7,81,86.98,HIGH,3840,288,3888,336,48,48,  47,1.00,1.00,0.7457
718,7,82,76.17,MEDIUM,3888,288,3936,336,48,48, 131,1.00,0.20,0.6570
719,7,83,99.05,HIGH,3936,288,3984,336,48,48,  94,1.00,1.00,0.8170
720,7,84,98.91,HIGH,3984,288,4032,336,48,48,  81,1.00,1.00,0.8117
721,7,85,98.35,HIGH,4032,288,4080,336,48,48, 105,1.00,1.00,0.8185
722,7,86,98.65,HIGH,4080,288,4128,336,48,48,  39,1.00,1.00,0.7817
723,7,87,98.61,HIGH,4128,288,4176,336,48,48,  78,0.49,1.00,0.7812
724,7,88,98.31,HIGH,4176,288,4224,336,48,48,  75,1.00,1.00,0.8073
725,7,89,98.48,HIGH,4224,288,4272,336,48,48,  60,1.00,1.00,0.7998
726,7,90,98.91,HIGH,4272,288,4320,336,48,48,  28,1.00,1.00,0.7674
727,7,91,98.65,HIGH,4320,288,4368,336,48,48,   6,0.49,1.00,0.5605
728,7,92,84.98,HIGH,4368,288,4416,336,48,48, 248,1.00,1.00,0.7993
729,7,93,24.65,MEDIUM,4416,288,4464,336,48,48, 223,1.00,0.20,0.1884
766,8,24,41.58,MEDIUM,1104,336,1152,384,48,48, 198,1.00,0.20,0.3902
767,8,25,42.93,MEDIUM,1152,336,1200,384,48,48, 126,1.00,0.20,0.3755
768,8,26,79.90,MEDIUM,1200,336,1248,384,48,48, 143,1.00,0.20,0.6837
769,8,27,97.61,HIGH,1248,336,1296,384,48,48,  48,1.00,1.00,0.7878
770,8,28,98.35,HIGH,1296,336,1344,384,48,48,  54,1.00,1.00,0.7948
771,8,29,98.52,HIGH,1344,336,1392,384,48,48,  37,1.00,1.00,0.7795
772,8,30,98.96,HIGH,1392,336,1440,384,48,48,  35,1.00,1.00,0.7779
773,8,31,98.52,HIGH,1440,336,1488,384,48,48,   5,1.00,1.00,0.6330
774,8,32,94.88,HIGH,1488,336,1536,384,48,48,   8,1.00,1.00,0.6637
775,8,33,98.00,HIGH,1536,336,1584,384,48,48,   2,1.00,1.00,0.5392
776,8,34,99.13,HIGH,1584,336,1632,384,48,48,   1,1.00,1.00,0.4331
777,8,35,97.27,HIGH,1632,336,1680,384,48,48,  17,1.00,1.00,0.7333
778,8,36,98.52,HIGH,1680,336,1728,384,48,48,   2,1.00,1.00,0.5024
779,8,37,99.22,HIGH,1728,336,1776,384,48,48,   5,1.00,1.00,0.6461
780,8,38,99.13,HIGH,1776,336,1824,384,48,48,  28,1.00,1.00,0.7677
781,8,39,99.35,HIGH,1824,336,1872,384,48,48,  25,1.00,1.00,0.7638
