Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3072x3328
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 3072x3328
Scaled Tile Size: 48x48
Total Mask: 71.52%, Total Tissue: 28.48%
Tiles: 64x70 = 4480
  1115 (24.89%) tiles >=80% tissue
   404 ( 9.02%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
216,4,24,48.52,MEDIUM,1104,144,1152,192,48,48,   0,1.00,0.20,0.0000
217,4,25,26.56,MEDIUM,1152,144,1200,192,48,48,   0,1.00,0.20,0.0015
279,5,23,43.10,MEDIUM,1056,192,1104,240,48,48,   4,1.00,0.20,0.0904
280,5,24,99.18,HIGH,1104,192,1152,240,48,48,   0,1.00,1.00,0.2185
281,5,25,97.74,HIGH,1152,192,1200,240,48,48,   2,1.00,1.00,0.4957
282,5,26,24.70,MEDIUM,1200,192,1248,240,48,48,   3,1.00,0.20,0.0294
339,6,19,18.53,MEDIUM,864,240,912,288,48,48, 315,1.00,0.20,0.1250
340,6,20,25.00,MEDIUM,912,240,960,288,48,48,  68,1.00,0.20,0.1436
341,6,21,52.99,MEDIUM,960,240,1008,288,48,48,  13,1.00,0.20,0.2635
342,6,22,75.35,MEDIUM,1008,240,1056,288,48,48,  12,1.00,0.20,0.4044
343,6,23,95.18,HIGH,1056,240,1104,288,48,48,   0,1.00,1.00,0.0000
344,6,24,96.01,HIGH,1104,240,1152,288,48,48,   1,1.00,1.00,0.3281
345,6,25,97.87,HIGH,1152,240,1200,288,48,48,   0,1.00,1.00,0.2764
346,6,26,58.46,MEDIUM,1200,240,1248,288,48,48,   0,1.00,0.20,0.0264
401,7,17,23.18,MEDIUM,768,288,816,336,48,48, 225,1.00,0.20,0.1706
402,7,18,80.82,HIGH,816,288,864,336,48,48, 354,1.00,1.00,0.7932
