Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2176x5728
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2176x5728
Scaled Tile Size: 48x48
Total Mask: 79.18%, Total Tissue: 20.82%
Tiles: 46x120 = 5520
   779 (14.11%) tiles >=80% tissue
   707 (12.81%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
110,3,18,42.06,MEDIUM,816,96,864,144,48,48,   7,1.00,0.20,0.1340
111,3,19,72.83,MEDIUM,864,96,912,144,48,48, 134,1.00,0.20,0.6383
154,4,16,31.29,MEDIUM,720,144,768,192,48,48,   1,1.00,0.20,0.0178
155,4,17,75.43,MEDIUM,768,144,816,192,48,48,19817,1.00,0.20,0.8250
156,4,18,88.76,HIGH,816,144,864,192,48,48,2410,1.00,1.00,0.8599
157,4,19,98.09,HIGH,864,144,912,192,48,48,   0,1.00,1.00,0.0000
158,4,20,73.48,MEDIUM,912,144,960,192,48,48,  72,1.00,0.20,0.5959
198,5,14,50.95,MEDIUM,624,192,672,240,48,48, 249,1.00,0.20,0.5048
199,5,15,71.96,MEDIUM,672,192,720,240,48,48,  51,1.00,0.20,0.5560
200,5,16,79.25,MEDIUM,720,192,768,240,48,48,   0,1.00,0.20,0.0000
201,5,17,80.21,HIGH,768,192,816,240,48,48,   0,1.00,1.00,0.1988
202,5,18,89.93,HIGH,816,192,864,240,48,48,   0,1.00,1.00,0.0000
203,5,19,91.10,HIGH,864,192,912,240,48,48,   0,1.00,1.00,0.0000
204,5,20,98.00,HIGH,912,192,960,240,48,48,   1,1.00,1.00,0.3526
205,5,21,30.12,MEDIUM,960,192,1008,240,48,48,   0,1.00,0.20,0.0063
243,6,13,21.22,MEDIUM,576,240,624,288,48,48,   0,1.00,0.20,0.0000
244,6,14,80.60,HIGH,624,240,672,288,48,48,   0,1.00,1.00,0.2003
245,6,15,84.85,HIGH,672,240,720,288,48,48,   0,1.00,1.00,0.0000
246,6,16,84.72,HIGH,720,240,768,288,48,48,   3,1.00,1.00,0.4866
247,6,17,84.46,HIGH,768,240,816,288,48,48,   0,1.00,1.00,0.0000
248,6,18,89.06,HIGH,816,240,864,288,48,48,   0,1.00,1.00,0.2354
249,6,19,92.27,HIGH,864,240,912,288,48,48,   0,1.00,1.00,0.0945
250,6,20,99.00,HIGH,912,240,960,288,48,48,   0,1.00,1.00,0.0000
251,6,21,54.77,MEDIUM,960,240,1008,288,48,48,   0,1.00,0.20,0.0086
288,7,12,28.99,MEDIUM,528,288,576,336,48,48,2050,1.00,0.20,0.3360
289,7,13,60.20,MEDIUM,576,288,624,336,48,48, 154,1.00,0.20,0.5561
290,7,14,84.24,HIGH,624,288,672,336,48,48,   0,1.00,1.00,0.0000
291,7,15,86.59,HIGH,672,288,720,336,48,48,   0,1.00,1.00,0.0000
292,7,16,85.94,HIGH,720,288,768,336,48,48,   0,1.00,1.00,0.0000
293,7,17,85.72,HIGH,768,288,816,336,48,48,   0,1.00,1.00,0.0000
294,7,18,92.93,HIGH,816,288,864,336,48,48,   0,1.00,1.00,0.0000
295,7,19,96.48,HIGH,864,288,912,336,48,48,   0,1.00,1.00,0.0000
296,7,20,97.61,HIGH,912,288,960,336,48,48,   0,1.00,1.00,0.0000
297,7,21,59.20,MEDIUM,960,288,1008,336,48,48,   1,1.00,0.20,0.0427
334,8,12,32.99,MEDIUM,528,336,576,384,48,48, 598,1.00,0.20,0.3427
335,8,13,86.85,HIGH,576,336,624,384,48,48, 390,1.00,1.00,0.8182
336,8,14,92.88,HIGH,624,336,672,384,48,48,   0,1.00,1.00,0.0000
337,8,15,91.58,HIGH,672,336,720,384,48,48,   0,1.00,1.00,0.0000
338,8,16,88.98,HIGH,720,336,768,384,48,48,   0,1.00,1.00,0.0000
339,8,17,91.32,HIGH,768,336,816,384,48,48,   0,1.00,1.00,0.0000
340,8,18,91.84,HIGH,816,336,864,384,48,48,   0,1.00,1.00,0.0000
341,8,19,97.57,HIGH,864,336,912,384,48,48,   0,1.00,1.00,0.0000
342,8,20,97.83,HIGH,912,336,960,384,48,48,   0,1.00,1.00,0.0000
