Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2432x6144
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2432x6144
Scaled Tile Size: 48x48
Total Mask: 88.42%, Total Tissue: 11.58%
Tiles: 51x128 = 6528
   193 ( 2.96%) tiles >=80% tissue
  1043 (15.98%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
275,6,20,17.93,MEDIUM,912,240,960,288,48,48, 123,0.49,0.20,0.0763
1810,36,25,14.54,MEDIUM,1152,1680,1200,1728,48,48,   0,1.00,0.20,0.0002
1815,36,30,21.14,MEDIUM,1392,1680,1440,1728,48,48,   0,1.00,0.20,0.0000
1860,37,24,33.68,MEDIUM,1104,1728,1152,1776,48,48,  34,1.00,0.20,0.1898
1861,37,25,19.75,MEDIUM,1152,1728,1200,1776,48,48,   1,1.00,0.20,0.0098
1862,37,26,15.97,MEDIUM,1200,1728,1248,1776,48,48,   0,1.00,0.20,0.0024
1863,37,27,22.66,MEDIUM,1248,1728,1296,1776,48,48,   1,1.00,0.20,0.0063
1864,37,28,17.06,MEDIUM,1296,1728,1344,1776,48,48,   0,1.00,0.20,0.0000
1865,37,29,21.09,MEDIUM,1344,1728,1392,1776,48,48,   0,1.00,0.20,0.0000
1910,38,23,42.58,MEDIUM,1056,1776,1104,1824,48,48,   5,1.00,0.20,0.1052
1911,38,24,37.02,MEDIUM,1104,1776,1152,1824,48,48,   1,1.00,0.20,0.0301
1912,38,25,50.35,MEDIUM,1152,1776,1200,1824,48,48,   1,1.00,0.20,0.0342
1913,38,26,39.80,MEDIUM,1200,1776,1248,1824,48,48,   0,1.00,0.20,0.0041
1914,38,27,29.82,MEDIUM,1248,1776,1296,1824,48,48,   0,1.00,0.20,0.0000
1915,38,28,43.14,MEDIUM,1296,1776,1344,1824,48,48,  28,1.00,0.20,0.2591
1916,38,29,54.73,MEDIUM,1344,1776,1392,1824,48,48,  26,1.00,0.20,0.3551
1917,38,30,33.16,MEDIUM,1392,1776,1440,1824,48,48,  49,1.00,0.20,0.2069
1924,38,37,22.96,MEDIUM,1728,1776,1776,1824,48,48,   4,1.00,0.20,0.0299
1960,39,22,38.72,MEDIUM,1008,1824,1056,1872,48,48,   3,1.00,0.20,0.0596
1961,39,23,22.48,MEDIUM,1056,1824,1104,1872,48,48,   0,1.00,0.20,0.0000
1962,39,24,30.21,MEDIUM,1104,1824,1152,1872,48,48,   0,1.00,0.20,0.0005
1963,39,25,56.03,MEDIUM,1152,1824,1200,1872,48,48,   1,1.00,0.20,0.0586
1965,39,27,40.10,MEDIUM,1248,1824,1296,1872,48,48,   0,1.00,0.20,0.0037
1966,39,28,49.87,MEDIUM,1296,1824,1344,1872,48,48,  64,1.00,0.20,0.3951
1967,39,29,44.23,MEDIUM,1344,1824,1392,1872,48,48,  11,1.00,0.20,0.1836
1968,39,30,54.30,MEDIUM,1392,1824,1440,1872,48,48,  15,1.00,0.20,0.2871
1969,39,31,53.91,MEDIUM,1440,1824,1488,1872,48,48,  25,1.00,0.20,0.3426
1970,39,32,20.96,MEDIUM,1488,1824,1536,1872,48,48,   0,1.00,0.20,0.0000
1971,39,33,36.07,MEDIUM,1536,1824,1584,1872,48,48,   0,1.00,0.20,0.0006
1972,39,34,50.30,MEDIUM,1584,1824,1632,1872,48,48,   0,1.00,0.20,0.0003
1973,39,35,63.59,MEDIUM,1632,1824,1680,1872,48,48,   0,1.00,0.20,0.0104
1974,39,36,38.45,MEDIUM,1680,1824,1728,1872,48,48,   0,1.00,0.20,0.0010
1975,39,37,28.56,MEDIUM,1728,1824,1776,1872,48,48,   1,1.00,0.20,0.0077
1976,39,38,40.58,MEDIUM,1776,1824,1824,1872,48,48,   2,1.00,0.20,0.0444
1977,39,39,18.19,MEDIUM,1824,1824,1872,1872,48,48,   0,1.00,0.20,0.0000
2010,40,21,36.72,MEDIUM,960,1872,1008,1920,48,48,   5,1.00,0.20,0.0867
2011,40,22,46.74,MEDIUM,1008,1872,1056,1920,48,48,  10,1.00,0.20,0.1965
2012,40,23,50.22,MEDIUM,1056,1872,1104,1920,48,48,   0,1.00,0.20,0.0000
2013,40,24,19.10,MEDIUM,1104,1872,1152,1920,48,48,   0,1.00,0.20,0.0007
2014,40,25,26.82,MEDIUM,1152,1872,1200,1920,48,48, 131,1.00,0.20,0.1919
2015,40,26,44.57,MEDIUM,1200,1872,1248,1920,48,48, 134,1.00,0.20,0.3976
2016,40,27,13.72,MEDIUM,1248,1872,1296,1920,48,48,  50,1.00,0.20,0.0431
2017,40,28,44.66,MEDIUM,1296,1872,1344,1920,48,48,   0,1.00,0.20,0.0029
2018,40,29,45.53,MEDIUM,1344,1872,1392,1920,48,48,   0,1.00,0.20,0.0014
2019,40,30,61.76,MEDIUM,1392,1872,1440,1920,48,48,   0,1.00,0.20,0.0114
2020,40,31,33.98,MEDIUM,1440,1872,1488,1920,48,48,  11,1.00,0.20,0.1188
2021,40,32,54.30,MEDIUM,1488,1872,1536,1920,48,48,   0,1.00,0.20,0.0097
2022,40,33,45.01,MEDIUM,1536,1872,1584,1920,48,48,   1,1.00,0.20,0.0388
2023,40,34,48.44,MEDIUM,1584,1872,1632,1920,48,48,   0,1.00,0.20,0.0091
2024,40,35,52.21,MEDIUM,1632,1872,1680,1920,48,48,   2,1.00,0.20,0.0873
2025,40,36,24.61,MEDIUM,1680,1872,1728,1920,48,48,   0,1.00,0.20,0.0000
2026,40,37,18.19,MEDIUM,1728,1872,1776,1920,48,48,   0,1.00,0.20,0.0000
2027,40,38,33.64,MEDIUM,1776,1872,1824,1920,48,48,   0,1.00,0.20,0.0000
