Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3024x2688
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 3024x2688
Scaled Tile Size: 48x48
Total Mask: 93.99%, Total Tissue: 6.01%
Tiles: 63x56 = 3528
    78 ( 2.21%) tiles >=80% tissue
   319 ( 9.04%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
552,9,48,49.74,MEDIUM,2256,384,2304,432,48,48,   0,1.00,0.20,0.0000
553,9,49,30.73,MEDIUM,2304,384,2352,432,48,48,   0,1.00,0.20,0.0000
613,10,46,31.21,MEDIUM,2160,432,2208,480,48,48,   0,1.00,0.20,0.0000
614,10,47,39.97,MEDIUM,2208,432,2256,480,48,48,   5,1.00,0.20,0.0982
615,10,48,72.31,MEDIUM,2256,432,2304,480,48,48,   4,1.00,0.20,0.2417
616,10,49,42.66,MEDIUM,2304,432,2352,480,48,48,   0,1.00,0.20,0.0000
674,11,44,16.80,MEDIUM,2064,480,2112,528,48,48,  77,1.00,0.20,0.0731
676,11,46,34.20,MEDIUM,2160,480,2208,528,48,48,   0,1.00,0.20,0.0000
677,11,47,41.49,MEDIUM,2208,480,2256,528,48,48,   0,1.00,0.20,0.0000
678,11,48,13.28,MEDIUM,2256,480,2304,528,48,48,   0,1.00,0.20,0.0000
679,11,49,16.19,MEDIUM,2304,480,2352,528,48,48,   0,1.00,0.20,0.0000
736,12,43,20.27,MEDIUM,2016,528,2064,576,48,48,   0,1.00,0.20,0.0000
737,12,44,51.78,MEDIUM,2064,528,2112,576,48,48,  69,1.00,0.20,0.4199
738,12,45,23.22,MEDIUM,2112,528,2160,576,48,48,   0,1.00,0.20,0.0000
743,12,50,21.09,MEDIUM,2352,528,2400,576,48,48,   0,1.00,0.20,0.0000
799,13,43,15.10,MEDIUM,2016,576,2064,624,48,48,   0,1.00,0.20,0.0000
800,13,44,50.82,MEDIUM,2064,576,2112,624,48,48,  13,1.00,0.20,0.2489
801,13,45,37.24,MEDIUM,2112,576,2160,624,48,48,   6,1.00,0.20,0.0969
802,13,46,21.14,MEDIUM,2160,576,2208,624,48,48,   0,1.00,0.20,0.0000
807,13,51,26.04,MEDIUM,2400,576,2448,624,48,48,  29,1.00,0.20,0.1144
862,14,43,18.97,MEDIUM,2016,624,2064,672,48,48,  18,1.00,0.20,0.0526
863,14,44,54.08,MEDIUM,2064,624,2112,672,48,48,   5,1.00,0.20,0.1634
864,14,45,43.45,MEDIUM,2112,624,2160,672,48,48,   1,1.00,0.20,0.0424
866,14,47,25.82,MEDIUM,2208,624,2256,672,48,48,   0,1.00,0.20,0.0000
870,14,51,31.38,MEDIUM,2400,624,2448,672,48,48,  19,1.00,0.20,0.1352
871,14,52,28.34,MEDIUM,2448,624,2496,672,48,48,   0,1.00,0.20,0.0000
925,15,43,29.73,MEDIUM,2016,672,2064,720,48,48, 340,1.00,0.20,0.2724
926,15,44,20.66,MEDIUM,2064,672,2112,720,48,48,   0,1.00,0.20,0.0000
929,15,47,22.40,MEDIUM,2208,672,2256,720,48,48,   3,1.00,0.20,0.0238
933,15,51,56.90,MEDIUM,2400,672,2448,720,48,48,  16,1.00,0.20,0.3189
934,15,52,44.97,MEDIUM,2448,672,2496,720,48,48,   0,1.00,0.20,0.0000
935,15,53,24.48,MEDIUM,2496,672,2544,720,48,48,   0,1.00,0.20,0.0000
938,15,56,21.09,MEDIUM,2640,672,2688,720,48,48,   0,1.00,0.20,0.0009
939,15,57,24.09,MEDIUM,2688,672,2736,720,48,48,   1,1.00,0.20,0.0088
940,15,58,14.97,MEDIUM,2736,672,2784,720,48,48,   0,1.00,0.20,0.0006
988,16,43,64.02,MEDIUM,2016,720,2064,768,48,48, 181,1.00,0.20,0.5971
989,16,44,59.98,MEDIUM,2064,720,2112,768,48,48,   4,1.00,0.20,0.1642
991,16,46,16.88,MEDIUM,2160,720,2208,768,48,48,  54,0.49,0.20,0.0499
992,16,47,37.15,MEDIUM,2208,720,2256,768,48,48,  63,1.00,0.20,0.2653
995,16,50,12.67,MEDIUM,2352,720,2400,768,48,48,   0,1.00,0.20,0.0000
996,16,51,48.65,MEDIUM,2400,720,2448,768,48,48,   1,1.00,0.20,0.0296
997,16,52,55.99,MEDIUM,2448,720,2496,768,48,48,   0,1.00,0.20,0.0000
1000,16,55,46.31,MEDIUM,2592,720,2640,768,48,48,   2,1.00,0.20,0.0539
1001,16,56,69.01,MEDIUM,2640,720,2688,768,48,48,   1,1.00,0.20,0.0617
1002,16,57,64.06,MEDIUM,2688,720,2736,768,48,48,   1,1.00,0.20,0.0678
1003,16,58,22.79,MEDIUM,2736,720,2784,768,48,48,   0,1.00,0.20,0.0039
1034,17,26,19.36,MEDIUM,1200,768,1248,816,48,48,   0,1.00,0.20,0.0000
1038,17,30,42.80,MEDIUM,1392,768,1440,816,48,48, 124,1.00,0.20,0.3733
1052,17,44,80.69,HIGH,2064,768,2112,816,48,48, 105,1.00,1.00,0.7521
1053,17,45,74.13,MEDIUM,2112,768,2160,816,48,48,  58,1.00,0.20,0.5813
1054,17,46,64.37,MEDIUM,2160,768,2208,816,48,48, 254,1.00,0.20,0.6207
