Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 6480x3240
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 6480x3240
Scaled Tile Size: 48x48
Total Mask: 96.47%, Total Tissue: 3.53%
Tiles: 135x68 = 9180
   126 ( 1.37%) tiles >=80% tissue
   464 ( 5.05%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
1292,10,77,19.40,MEDIUM,3648,432,3696,480,48,48, 346,1.00,0.20,0.1379
1293,10,78,40.36,MEDIUM,3696,432,3744,480,48,48, 128,1.00,0.20,0.3485
1294,10,79,26.52,MEDIUM,3744,432,3792,480,48,48, 466,1.00,0.20,0.2422
1296,10,81,38.11,MEDIUM,3840,432,3888,480,48,48, 336,1.00,0.20,0.3800
1297,10,82,59.68,MEDIUM,3888,432,3936,480,48,48, 183,1.00,0.20,0.5637
1298,10,83,59.16,MEDIUM,3936,432,3984,480,48,48, 214,1.00,0.20,0.5695
1299,10,84,52.73,MEDIUM,3984,432,4032,480,48,48, 238,1.00,0.20,0.5192
1300,10,85,55.51,MEDIUM,4032,432,4080,480,48,48, 114,1.00,0.20,0.4944
1301,10,86,13.76,MEDIUM,4080,432,4128,480,48,48, 568,1.00,0.20,0.0824
1424,11,74,56.42,MEDIUM,3504,480,3552,528,48,48, 199,1.00,0.20,0.5413
1425,11,75,89.58,HIGH,3552,480,3600,528,48,48, 285,1.00,1.00,0.8195
1426,11,76,99.00,HIGH,3600,480,3648,528,48,48, 364,1.00,1.00,0.8526
1427,11,77,99.83,HIGH,3648,480,3696,528,48,48, 242,1.00,1.00,0.8456
1428,11,78,99.91,HIGH,3696,480,3744,528,48,48,  74,0.16,1.00,0.7180
1429,11,79,99.65,HIGH,3744,480,3792,528,48,48,  92,1.00,1.00,0.8182
1430,11,80,88.76,HIGH,3792,480,3840,528,48,48, 222,1.00,1.00,0.8099
1431,11,81,99.31,HIGH,3840,480,3888,528,48,48,  28,1.00,1.00,0.7686
1432,11,82,90.28,HIGH,3888,480,3936,528,48,48,  23,1.00,1.00,0.7215
1433,11,83,84.72,HIGH,3936,480,3984,528,48,48,   7,1.00,1.00,0.5938
1434,11,84,74.00,MEDIUM,3984,480,4032,528,48,48,   3,1.00,0.20,0.2082
1435,11,85,85.24,HIGH,4032,480,4080,528,48,48,   4,1.00,1.00,0.5379
1436,11,86,85.72,HIGH,4080,480,4128,528,48,48, 151,1.00,1.00,0.7869
1437,11,87,50.09,MEDIUM,4128,480,4176,528,48,48, 710,1.00,0.20,0.5546
1557,12,72,41.02,MEDIUM,3408,528,3456,576,48,48, 312,1.00,0.20,0.4111
1558,12,73,96.66,HIGH,3456,528,3504,576,48,48, 441,1.00,1.00,0.8506
1559,12,74,98.96,HIGH,3504,528,3552,576,48,48, 568,1.00,1.00,0.8613
1560,12,75,99.35,HIGH,3552,528,3600,576,48,48, 696,0.49,1.00,0.8521
1561,12,76,99.18,HIGH,3600,528,3648,576,48,48,1166,0.49,1.00,0.8620
1562,12,77,99.09,HIGH,3648,528,3696,576,48,48,  97,0.49,1.00,0.7923
1563,12,78,99.91,HIGH,3696,528,3744,576,48,48,  21,0.16,1.00,0.5959
1564,12,79,97.79,HIGH,3744,528,3792,576,48,48,   2,0.49,1.00,0.3499
1565,12,80,94.75,HIGH,3792,528,3840,576,48,48,  14,0.49,1.00,0.6521
1566,12,81,92.45,HIGH,3840,528,3888,576,48,48,   5,1.00,1.00,0.6099
1567,12,82,57.68,MEDIUM,3888,528,3936,576,48,48,   6,1.00,0.20,0.2123
1568,12,83,59.55,MEDIUM,3936,528,3984,576,48,48, 202,1.00,0.20,0.5689
1569,12,84,83.85,HIGH,3984,528,4032,576,48,48,  72,1.00,1.00,0.7511
1570,12,85,77.52,MEDIUM,4032,528,4080,576,48,48,   5,1.00,0.20,0.3067
1571,12,86,88.93,HIGH,4080,528,4128,576,48,48,   2,0.49,1.00,0.3419
1572,12,87,92.88,HIGH,4128,528,4176,576,48,48, 444,1.00,1.00,0.8403
1689,13,69,44.66,MEDIUM,3264,576,3312,624,48,48, 270,1.00,0.20,0.4442
1690,13,70,47.66,MEDIUM,3312,576,3360,624,48,48, 197,1.00,0.20,0.4564
1691,13,71,82.47,HIGH,3360,576,3408,624,48,48, 234,1.00,1.00,0.7879
1692,13,72,98.91,HIGH,3408,576,3456,624,48,48, 369,1.00,1.00,0.8527
1693,13,73,99.31,HIGH,3456,576,3504,624,48,48,1080,0.49,1.00,0.8608
1694,13,74,98.78,HIGH,3504,576,3552,624,48,48,2291,0.16,1.00,0.8522
1695,13,75,94.62,HIGH,3552,576,3600,624,48,48,1211,1.00,1.00,0.8641
1696,13,76,96.70,HIGH,3600,576,3648,624,48,48, 109,1.00,1.00,0.8147
1697,13,77,99.22,HIGH,3648,576,3696,624,48,48,   7,0.49,1.00,0.5922
1698,13,78,97.53,HIGH,3696,576,3744,624,48,48,   4,0.49,1.00,0.5210
1699,13,79,68.75,MEDIUM,3744,576,3792,624,48,48,  34,1.00,0.20,0.4925
1700,13,80,90.36,HIGH,3792,576,3840,624,48,48,   3,1.00,1.00,0.5109
1701,13,81,87.98,HIGH,3840,576,3888,624,48,48,   4,1.00,1.00,0.5551
1702,13,82,71.27,MEDIUM,3888,576,3936,624,48,48, 321,1.00,0.20,0.6796
1703,13,83,62.67,MEDIUM,3936,576,3984,624,48,48, 637,1.00,0.20,0.6560
1704,13,84,52.78,MEDIUM,3984,576,4032,624,48,48, 132,1.00,0.20,0.4799
1705,13,85,31.38,MEDIUM,4032,576,4080,624,48,48,  16,1.00,0.20,0.1225
1706,13,86,60.24,MEDIUM,4080,576,4128,624,48,48,   1,1.00,0.20,0.0857
1707,13,87,82.34,HIGH,4128,576,4176,624,48,48,  47,1.00,1.00,0.7242
1708,13,88,49.87,MEDIUM,4176,576,4224,624,48,48, 143,1.00,0.20,0.4573
1822,14,67,69.49,MEDIUM,3168,624,3216,672,48,48, 288,1.00,0.20,0.6628
1823,14,68,99.39,HIGH,3216,624,3264,672,48,48, 442,0.16,1.00,0.8085
1824,14,69,99.35,HIGH,3264,624,3312,672,48,48, 314,0.16,1.00,0.7953
1825,14,70,99.09,HIGH,3312,624,3360,672,48,48, 208,0.49,1.00,0.8198
1826,14,71,99.65,HIGH,3360,624,3408,672,48,48, 273,0.16,1.00,0.7905
1827,14,72,98.61,HIGH,3408,624,3456,672,48,48,1138,0.16,1.00,0.8352
1828,14,73,98.00,HIGH,3456,624,3504,672,48,48,1310,0.49,1.00,0.8613
1829,14,74,99.57,HIGH,3504,624,3552,672,48,48, 206,0.49,1.00,0.8209
1830,14,75,95.05,HIGH,3552,624,3600,672,48,48,  15,0.49,1.00,0.6591
1831,14,76,87.59,HIGH,3600,624,3648,672,48,48, 214,1.00,1.00,0.8046
1832,14,77,68.97,MEDIUM,3648,624,3696,672,48,48,  33,1.00,0.20,0.4912
1833,14,78,77.21,MEDIUM,3696,624,3744,672,48,48,   1,1.00,0.20,0.0602
1834,14,79,65.76,MEDIUM,3744,624,3792,672,48,48,  29,1.00,0.20,0.4520
1835,14,80,56.34,MEDIUM,3792,624,3840,672,48,48,   2,1.00,0.20,0.1137
1836,14,81,63.02,MEDIUM,3840,624,3888,672,48,48,   0,1.00,0.20,0.0259
1837,14,82,30.95,MEDIUM,3888,624,3936,672,48,48,  26,1.00,0.20,0.1489
1838,14,83,37.72,MEDIUM,3936,624,3984,672,48,48,  29,1.00,0.20,0.2154
1839,14,84,51.43,MEDIUM,3984,624,4032,672,48,48,   2,1.00,0.20,0.0889
1841,14,86,21.66,MEDIUM,4080,624,4128,672,48,48,   1,1.00,0.20,0.0071
1842,14,87,18.84,MEDIUM,4128,624,4176,672,48,48,   0,1.00,0.20,0.0015
