Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 896x1760
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 896x1760
Scaled Tile Size: 48x48
Total Mask: 85.21%, Total Tissue: 14.79%
Tiles: 19x37 = 703
    44 ( 6.26%) tiles >=80% tissue
   128 (18.21%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
23,2,4,24.44,MEDIUM,144,48,192,96,48,48,   1,1.00,0.20,0.0069
41,3,3,47.35,MEDIUM,96,96,144,144,48,48,   2,1.00,0.20,0.0756
60,4,3,68.49,MEDIUM,96,144,144,192,48,48,  14,1.00,0.20,0.3807
70,4,13,50.56,MEDIUM,576,144,624,192,48,48,   3,1.00,0.20,0.1112
79,5,3,66.97,MEDIUM,96,192,144,240,48,48,  24,1.00,0.20,0.4420
89,5,13,68.58,MEDIUM,576,192,624,240,48,48,   6,1.00,0.20,0.2653
90,5,14,17.75,MEDIUM,624,192,672,240,48,48,  20,1.00,0.20,0.0483
98,6,3,55.77,MEDIUM,96,240,144,288,48,48,  81,1.00,0.20,0.4697
99,6,4,53.86,MEDIUM,144,240,192,288,48,48,  39,1.00,0.20,0.3866
100,6,5,24.70,MEDIUM,192,240,240,288,48,48, 146,0.49,0.20,0.1427
108,6,13,62.11,MEDIUM,576,240,624,288,48,48,  10,1.00,0.20,0.2958
109,6,14,43.49,MEDIUM,624,240,672,288,48,48,   3,1.00,0.20,0.0762
117,7,3,56.55,MEDIUM,96,288,144,336,48,48, 226,1.00,0.20,0.5509
118,7,4,75.35,MEDIUM,144,288,192,336,48,48,  20,1.00,0.20,0.4792
119,7,5,61.85,MEDIUM,192,288,240,336,48,48,  39,1.00,0.20,0.4550
126,7,12,33.90,MEDIUM,528,288,576,336,48,48,  39,1.00,0.20,0.1991
127,7,13,86.85,HIGH,576,288,624,336,48,48,   5,1.00,1.00,0.5804
128,7,14,32.38,MEDIUM,624,288,672,336,48,48,   5,1.00,0.20,0.0679
135,8,2,31.12,MEDIUM,48,336,96,384,48,48, 169,1.00,0.20,0.2557
136,8,3,43.06,MEDIUM,96,336,144,384,48,48, 139,1.00,0.20,0.3837
137,8,4,85.85,HIGH,144,336,192,384,48,48,   9,1.00,1.00,0.6303
138,8,5,76.00,MEDIUM,192,336,240,384,48,48,  23,1.00,0.20,0.4988
145,8,12,64.41,MEDIUM,528,336,576,384,48,48,  65,1.00,0.20,0.5223
146,8,13,96.05,HIGH,576,336,624,384,48,48,   8,1.00,1.00,0.6691
147,8,14,63.80,MEDIUM,624,336,672,384,48,48,   2,1.00,0.20,0.1372
154,9,2,30.95,MEDIUM,48,384,96,432,48,48,  49,1.00,0.20,0.1861
155,9,3,22.31,MEDIUM,96,384,144,432,48,48,  52,1.00,0.20,0.1083
156,9,4,93.14,HIGH,144,384,192,432,48,48,  18,1.00,1.00,0.7194
157,9,5,90.15,HIGH,192,384,240,432,48,48,   7,0.49,1.00,0.5407
158,9,6,62.67,MEDIUM,240,384,288,432,48,48,   7,1.00,0.20,0.2575
164,9,12,52.43,MEDIUM,528,384,576,432,48,48, 123,1.00,0.20,0.4710
165,9,13,95.83,HIGH,576,384,624,432,48,48,  10,1.00,1.00,0.6846
166,9,14,78.73,MEDIUM,624,384,672,432,48,48,   1,1.00,0.20,0.1347
167,9,15,49.39,MEDIUM,672,384,720,432,48,48,   1,1.00,0.20,0.0300
174,10,3,27.73,MEDIUM,96,432,144,480,48,48,  60,1.00,0.20,0.1647
175,10,4,85.68,HIGH,144,432,192,480,48,48,  44,1.00,1.00,0.7365
176,10,5,98.35,HIGH,192,432,240,480,48,48,   8,1.00,1.00,0.6761
177,10,6,81.73,HIGH,240,432,288,480,48,48,   2,1.00,1.00,0.4487
