Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 896x2352
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 896x2352
Scaled Tile Size: 48x48
Total Mask: 95.91%, Total Tissue: 4.09%
Tiles: 19x49 = 931
     9 ( 0.97%) tiles >=80% tissue
    68 ( 7.30%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
66,4,9,27.91,MEDIUM,384,144,432,192,48,48,1652,1.00,0.20,0.3113
83,5,7,46.53,MEDIUM,288,192,336,240,48,48,1674,1.00,0.20,0.5574
84,5,8,38.85,MEDIUM,336,192,384,240,48,48,1270,1.00,0.20,0.4554
85,5,9,47.83,MEDIUM,384,192,432,240,48,48,1466,1.00,0.20,0.5653
86,5,10,60.29,MEDIUM,432,192,480,240,48,48,1573,1.00,0.20,0.6765
87,5,11,67.45,MEDIUM,480,192,528,240,48,48, 737,1.00,0.20,0.6946
88,5,12,57.55,MEDIUM,528,192,576,240,48,48, 248,1.00,0.20,0.5652
96,6,1,23.61,MEDIUM,0,240,48,288,48,48,1446,1.00,0.20,0.2402
97,6,2,72.70,MEDIUM,48,240,96,288,48,48,1733,1.00,0.20,0.7556
98,6,3,69.66,MEDIUM,96,240,144,288,48,48,1762,1.00,0.20,0.7401
99,6,4,71.35,MEDIUM,144,240,192,288,48,48,1559,1.00,0.20,0.7452
100,6,5,65.89,MEDIUM,192,240,240,288,48,48,1397,1.00,0.20,0.7099
101,6,6,32.60,MEDIUM,240,240,288,288,48,48, 999,1.00,0.20,0.3603
107,6,12,34.03,MEDIUM,528,240,576,288,48,48, 483,1.00,0.20,0.3466
108,6,13,39.63,MEDIUM,576,240,624,288,48,48, 335,1.00,0.20,0.3985
115,7,1,57.25,MEDIUM,0,288,48,336,48,48, 769,1.00,0.20,0.6230
116,7,2,20.23,MEDIUM,48,288,96,336,48,48,1505,0.49,0.20,0.1698
117,7,3,47.40,MEDIUM,96,288,144,336,48,48,1389,1.00,0.20,0.5585
127,7,13,35.94,MEDIUM,576,288,624,336,48,48, 441,1.00,0.20,0.3671
146,8,13,17.10,MEDIUM,576,336,624,384,48,48, 490,1.00,0.20,0.1185
154,9,2,31.68,MEDIUM,48,384,96,432,48,48, 742,1.00,0.20,0.3345
391,21,11,26.65,MEDIUM,480,960,528,1008,48,48,1336,1.00,0.20,0.2842
392,21,12,30.25,MEDIUM,528,960,576,1008,48,48,1750,1.00,0.20,0.3491
393,21,13,44.84,MEDIUM,576,960,624,1008,48,48, 816,1.00,0.20,0.5063
405,22,6,17.45,MEDIUM,240,1008,288,1056,48,48, 739,1.00,0.20,0.1322
406,22,7,72.22,MEDIUM,288,1008,336,1056,48,48, 952,1.00,0.20,0.7327
407,22,8,92.88,HIGH,336,1008,384,1056,48,48, 548,1.00,1.00,0.8448
408,22,9,95.18,HIGH,384,1008,432,1056,48,48, 343,1.00,1.00,0.8411
409,22,10,87.72,HIGH,432,1008,480,1056,48,48, 719,1.00,1.00,0.8350
410,22,11,79.77,MEDIUM,480,1008,528,1056,48,48, 863,1.00,0.20,0.7665
411,22,12,67.93,MEDIUM,528,1008,576,1056,48,48, 849,1.00,0.20,0.7034
412,22,13,62.59,MEDIUM,576,1008,624,1056,48,48, 559,1.00,0.20,0.6492
