Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3320x9591
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 3320x9591
Scaled Tile Size: 48x48
Total Mask: 96.39%, Total Tissue: 3.61%
Tiles: 70x200 = 14000
   410 ( 2.93%) tiles >=80% tissue
   203 ( 1.45%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
2199,32,29,61.59,MEDIUM,1344,1488,1392,1536,48,48,2887,1.00,0.20,0.7070
2207,32,37,43.58,MEDIUM,1728,1488,1776,1536,48,48,2324,1.00,0.20,0.5385
2208,32,38,75.82,MEDIUM,1776,1488,1824,1536,48,48, 599,1.00,0.20,0.7338
2209,32,39,77.39,MEDIUM,1824,1488,1872,1536,48,48,1762,1.00,0.20,0.7785
2210,32,40,76.74,MEDIUM,1872,1488,1920,1536,48,48,3518,1.00,0.20,0.7943
2211,32,41,78.60,MEDIUM,1920,1488,1968,1536,48,48,1759,1.00,0.20,0.7837
2212,32,42,32.51,MEDIUM,1968,1488,2016,1536,48,48,2093,1.00,0.20,0.3896
2269,33,29,97.22,HIGH,1344,1536,1392,1584,48,48,3455,1.00,1.00,0.8851
2270,33,30,82.42,HIGH,1392,1536,1440,1584,48,48,3013,1.00,1.00,0.8448
2277,33,37,28.69,MEDIUM,1728,1536,1776,1584,48,48,7807,1.00,0.20,0.3771
2278,33,38,84.68,HIGH,1776,1536,1824,1584,48,48,2264,1.00,1.00,0.8471
2279,33,39,98.22,HIGH,1824,1536,1872,1584,48,48,1836,1.00,1.00,0.8788
2280,33,40,99.13,HIGH,1872,1536,1920,1584,48,48,2613,1.00,1.00,0.8855
2281,33,41,99.48,HIGH,1920,1536,1968,1584,48,48,2916,1.00,1.00,0.8876
2282,33,42,95.31,HIGH,1968,1536,2016,1584,48,48,3164,1.00,1.00,0.8798
2338,34,28,17.88,MEDIUM,1296,1584,1344,1632,48,48,9958,1.00,0.20,0.1954
2339,34,29,98.09,HIGH,1344,1584,1392,1632,48,48,2978,1.00,1.00,0.8850
2340,34,30,99.44,HIGH,1392,1584,1440,1632,48,48,2277,1.00,1.00,0.8843
2341,34,31,66.75,MEDIUM,1440,1584,1488,1632,48,48,3046,1.00,0.20,0.7408
2348,34,38,45.23,MEDIUM,1776,1584,1824,1632,48,48,2341,1.00,0.20,0.5572
2349,34,39,99.09,HIGH,1824,1584,1872,1632,48,48,1980,1.00,1.00,0.8817
2350,34,40,99.31,HIGH,1872,1584,1920,1632,48,48,3216,1.00,1.00,0.8884
2351,34,41,98.44,HIGH,1920,1584,1968,1632,48,48,6270,1.00,1.00,0.8944
2352,34,42,89.32,HIGH,1968,1584,2016,1632,48,48,3647,1.00,1.00,0.8674
2408,35,28,31.77,MEDIUM,1296,1632,1344,1680,48,48,7417,1.00,0.20,0.4243
2409,35,29,98.74,HIGH,1344,1632,1392,1680,48,48,2626,1.00,1.00,0.8847
2410,35,30,99.22,HIGH,1392,1632,1440,1680,48,48,3985,1.00,1.00,0.8908
2411,35,31,99.91,HIGH,1440,1632,1488,1680,48,48,1986,1.00,1.00,0.8835
2412,35,32,58.59,MEDIUM,1488,1632,1536,1680,48,48,2638,1.00,0.20,0.6828
2418,35,38,52.04,MEDIUM,1776,1632,1824,1680,48,48,1789,1.00,0.20,0.6144
2419,35,39,99.65,HIGH,1824,1632,1872,1680,48,48,1532,1.00,1.00,0.8793
2420,35,40,99.74,HIGH,1872,1632,1920,1680,48,48,3123,1.00,1.00,0.8889
2421,35,41,99.35,HIGH,1920,1632,1968,1680,48,48,5722,1.00,1.00,0.8952
2422,35,42,98.05,HIGH,1968,1632,2016,1680,48,48,5217,1.00,1.00,0.8916
2478,36,28,32.12,MEDIUM,1296,1680,1344,1728,48,48,4187,1.00,0.20,0.4098
2479,36,29,81.42,HIGH,1344,1680,1392,1728,48,48,5934,1.00,1.00,0.8521
2480,36,30,98.61,HIGH,1392,1680,1440,1728,48,48,3140,1.00,1.00,0.8868
2481,36,31,99.39,HIGH,1440,1680,1488,1728,48,48,1603,1.00,1.00,0.8794
2482,36,32,91.88,HIGH,1488,1680,1536,1728,48,48,2819,1.00,1.00,0.8703
2488,36,38,90.71,HIGH,1776,1680,1824,1728,48,48, 885,1.00,1.00,0.8481
2489,36,39,99.61,HIGH,1824,1680,1872,1728,48,48,1861,1.00,1.00,0.8819
2490,36,40,98.05,HIGH,1872,1680,1920,1728,48,48,3920,1.00,1.00,0.8883
2491,36,41,98.26,HIGH,1920,1680,1968,1728,48,48,6208,1.00,1.00,0.8940
2492,36,42,68.40,MEDIUM,1968,1680,2016,1728,48,48,3973,1.00,0.20,0.7576
2550,37,30,50.39,MEDIUM,1392,1728,1440,1776,48,48,5793,1.00,0.20,0.6418
2551,37,31,98.09,HIGH,1440,1728,1488,1776,48,48,2232,1.00,1.00,0.8812
2552,37,32,100.00,HIGH,1488,1728,1536,1776,48,48,2963,0.16,1.00,0.8604
2553,37,33,28.69,MEDIUM,1536,1728,1584,1776,48,48,2647,1.00,0.20,0.3405
2558,37,38,63.72,MEDIUM,1776,1728,1824,1776,48,48,1928,1.00,0.20,0.7075
2559,37,39,99.48,HIGH,1824,1728,1872,1776,48,48,1683,1.00,1.00,0.8803
2560,37,40,93.53,HIGH,1872,1728,1920,1776,48,48,3879,1.00,1.00,0.8785
2561,37,41,98.31,HIGH,1920,1728,1968,1776,48,48,6410,1.00,1.00,0.8944
2562,37,42,96.09,HIGH,1968,1728,2016,1776,48,48,4696,1.00,1.00,0.8865
2563,37,43,48.26,MEDIUM,2016,1728,2064,1776,48,48,2843,1.00,0.20,0.5965
2620,38,30,27.08,MEDIUM,1392,1776,1440,1824,48,48,4428,1.00,0.20,0.3324
2621,38,31,94.05,HIGH,1440,1776,1488,1824,48,48,2442,1.00,1.00,0.8734
2622,38,32,90.02,HIGH,1488,1776,1536,1824,48,48,3261,1.00,1.00,0.8676
2628,38,38,76.43,MEDIUM,1776,1776,1824,1824,48,48,2659,1.00,0.20,0.7858
2629,38,39,99.70,HIGH,1824,1776,1872,1824,48,48,1855,1.00,1.00,0.8821
2630,38,40,95.49,HIGH,1872,1776,1920,1824,48,48,5378,1.00,1.00,0.8868
2631,38,41,99.26,HIGH,1920,1776,1968,1824,48,48,7211,1.00,1.00,0.8975
2632,38,42,99.61,HIGH,1968,1776,2016,1824,48,48,5685,1.00,1.00,0.8956
2633,38,43,91.45,HIGH,2016,1776,2064,1824,48,48,4111,1.00,1.00,0.8744
2690,39,30,72.83,MEDIUM,1392,1824,1440,1872,48,48,1720,1.00,0.20,0.7561
2691,39,31,98.74,HIGH,1440,1824,1488,1872,48,48,1892,1.00,1.00,0.8803
2692,39,32,77.17,MEDIUM,1488,1824,1536,1872,48,48,3586,1.00,0.20,0.7966
2698,39,38,52.39,MEDIUM,1776,1824,1824,1872,48,48,4053,1.00,0.20,0.6477
2699,39,39,98.57,HIGH,1824,1824,1872,1872,48,48,3077,1.00,1.00,0.8864
2700,39,40,99.44,HIGH,1872,1824,1920,1872,48,48,5444,1.00,1.00,0.8948
2701,39,41,98.31,HIGH,1920,1824,1968,1872,48,48,8245,1.00,1.00,0.8971
2702,39,42,96.44,HIGH,1968,1824,2016,1872,48,48,8296,1.00,1.00,0.8935
2703,39,43,71.18,MEDIUM,2016,1824,2064,1872,48,48,5694,1.00,0.20,0.7810
2760,40,30,28.56,MEDIUM,1392,1872,1440,1920,48,48,3387,1.00,0.20,0.3472
2761,40,31,95.27,HIGH,1440,1872,1488,1920,48,48,1592,1.00,1.00,0.8700
2762,40,32,52.52,MEDIUM,1488,1872,1536,1920,48,48,2757,1.00,0.20,0.6352
2769,40,39,97.22,HIGH,1824,1872,1872,1920,48,48,4994,1.00,1.00,0.8895
2770,40,40,99.65,HIGH,1872,1872,1920,1920,48,48,2955,1.00,1.00,0.8881
2771,40,41,84.85,HIGH,1920,1872,1968,1920,48,48,10683,1.00,1.00,0.8698
2772,40,42,75.26,MEDIUM,1968,1872,2016,1920,48,48,9277,1.00,0.20,0.8100
2830,41,30,37.46,MEDIUM,1392,1920,1440,1968,48,48,3691,1.00,0.20,0.4810
2831,41,31,92.06,HIGH,1440,1920,1488,1968,48,48,2025,1.00,1.00,0.8658
2832,41,32,23.18,MEDIUM,1488,1920,1536,1968,48,48,4799,1.00,0.20,0.2695
2839,41,39,83.55,HIGH,1824,1920,1872,1968,48,48,4107,1.00,1.00,0.8531
2840,41,40,78.26,MEDIUM,1872,1920,1920,1968,48,48,2768,1.00,0.20,0.7946
2841,41,41,40.97,MEDIUM,1920,1920,1968,1968,48,48,4148,1.00,0.20,0.5302
2901,42,31,17.32,MEDIUM,1440,1968,1488,2016,48,48,4159,1.00,0.20,0.1678
2909,42,39,67.62,MEDIUM,1824,1968,1872,2016,48,48,4814,1.00,0.20,0.7586
3060,44,50,55.95,MEDIUM,2352,2064,2400,2112,48,48,3915,1.00,0.20,0.6759
3061,44,51,38.89,MEDIUM,2400,2064,2448,2112,48,48,5087,1.00,0.20,0.5116
3062,44,52,16.97,MEDIUM,2448,2064,2496,2112,48,48,3580,1.00,0.20,0.1592
3129,45,49,36.59,MEDIUM,2304,2112,2352,2160,48,48,4272,1.00,0.20,0.4747
3130,45,50,98.44,HIGH,2352,2112,2400,2160,48,48,6623,1.00,1.00,0.8950
3131,45,51,98.91,HIGH,2400,2112,2448,2160,48,48,7734,1.00,1.00,0.8975
3132,45,52,92.88,HIGH,2448,2112,2496,2160,48,48,8692,1.00,1.00,0.8867
3133,45,53,48.13,MEDIUM,2496,2112,2544,2160,48,48,6465,1.00,0.20,0.6241
3198,46,48,28.47,MEDIUM,2256,2160,2304,2208,48,48,5280,1.00,0.20,0.3608
3199,46,49,62.67,MEDIUM,2304,2160,2352,2208,48,48,5420,1.00,0.20,0.7330
