Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2560x3136
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2560x3136
Scaled Tile Size: 48x48
Total Mask: 87.13%, Total Tissue: 12.87%
Tiles: 54x66 = 3564
   127 ( 3.56%) tiles >=80% tissue
   676 (18.97%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
72,2,18,19.84,MEDIUM,816,48,864,96,48,48,   1,1.00,0.20,0.0066
125,3,17,56.86,MEDIUM,768,96,816,144,48,48,   0,1.00,0.20,0.0000
126,3,18,91.28,HIGH,816,96,864,144,48,48,   7,0.49,1.00,0.5504
127,3,19,45.10,MEDIUM,864,96,912,144,48,48,   9,1.00,0.20,0.1728
178,4,16,16.58,MEDIUM,720,144,768,192,48,48,   0,1.00,0.20,0.0000
179,4,17,65.15,MEDIUM,768,144,816,192,48,48,   0,1.00,0.20,0.0000
180,4,18,77.60,MEDIUM,816,144,864,192,48,48,   0,1.00,0.20,0.0000
181,4,19,89.80,HIGH,864,144,912,192,48,48,  19,0.49,1.00,0.6525
182,4,20,72.70,MEDIUM,912,144,960,192,48,48,  10,1.00,0.20,0.3626
232,5,16,22.27,MEDIUM,720,192,768,240,48,48,   0,1.00,0.20,0.0000
233,5,17,69.44,MEDIUM,768,192,816,240,48,48,   0,1.00,0.20,0.0000
234,5,18,74.35,MEDIUM,816,192,864,240,48,48,   0,1.00,0.20,0.0000
235,5,19,77.26,MEDIUM,864,192,912,240,48,48,   0,1.00,0.20,0.0000
236,5,20,89.97,HIGH,912,192,960,240,48,48,   7,0.49,1.00,0.5442
237,5,21,20.62,MEDIUM,960,192,1008,240,48,48,   3,1.00,0.20,0.0216
