Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2816x2496
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2816x2496
Scaled Tile Size: 48x48
Total Mask: 87.85%, Total Tissue: 12.15%
Tiles: 59x52 = 3068
   149 ( 4.86%) tiles >=80% tissue
   460 (14.99%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
286,5,50,13.59,MEDIUM,2352,192,2400,240,48,48,   0,1.00,0.20,0.0000
451,8,38,36.02,MEDIUM,1776,336,1824,384,48,48,   2,1.00,0.20,0.0364
508,9,36,27.56,MEDIUM,1680,384,1728,432,48,48, 375,1.00,0.20,0.2476
509,9,37,17.40,MEDIUM,1728,384,1776,432,48,48,  22,0.49,0.20,0.0334
510,9,38,77.21,MEDIUM,1776,384,1824,432,48,48,  13,1.00,0.20,0.4297
511,9,39,93.45,HIGH,1824,384,1872,432,48,48,   2,1.00,1.00,0.4996
512,9,40,72.27,MEDIUM,1872,384,1920,432,48,48,   1,1.00,0.20,0.0918
513,9,41,22.22,MEDIUM,1920,384,1968,432,48,48,   0,1.00,0.20,0.0018
564,10,33,25.39,MEDIUM,1536,432,1584,480,48,48,   0,1.00,0.20,0.0055
566,10,35,22.05,MEDIUM,1632,432,1680,480,48,48,  26,1.00,0.20,0.0817
567,10,36,57.68,MEDIUM,1680,432,1728,480,48,48,  17,1.00,0.20,0.3312
568,10,37,76.95,MEDIUM,1728,432,1776,480,48,48,   2,1.00,0.20,0.1452
569,10,38,74.18,MEDIUM,1776,432,1824,480,48,48,   0,1.00,0.20,0.0313
570,10,39,78.34,MEDIUM,1824,432,1872,480,48,48,   1,1.00,0.20,0.1120
571,10,40,96.18,HIGH,1872,432,1920,480,48,48,   3,1.00,1.00,0.5417
572,10,41,90.58,HIGH,1920,432,1968,480,48,48,   1,1.00,1.00,0.4028
623,11,33,40.62,MEDIUM,1536,480,1584,528,48,48,  85,1.00,0.20,0.3230
624,11,34,45.92,MEDIUM,1584,480,1632,528,48,48,   3,1.00,0.20,0.0802
625,11,35,40.41,MEDIUM,1632,480,1680,528,48,48,   1,1.00,0.20,0.0377
626,11,36,53.82,MEDIUM,1680,480,1728,528,48,48,   0,1.00,0.20,0.0047
627,11,37,70.36,MEDIUM,1728,480,1776,528,48,48,   1,1.00,0.20,0.0673
628,11,38,62.85,MEDIUM,1776,480,1824,528,48,48,   0,1.00,0.20,0.0000
629,11,39,64.24,MEDIUM,1824,480,1872,528,48,48,   1,1.00,0.20,0.0650
630,11,40,77.86,MEDIUM,1872,480,1920,528,48,48,   5,1.00,0.20,0.2864
631,11,41,94.92,HIGH,1920,480,1968,528,48,48,   4,1.00,1.00,0.6025
632,11,42,71.88,MEDIUM,1968,480,2016,528,48,48,   0,1.00,0.20,0.0399
674,12,25,34.38,MEDIUM,1152,528,1200,576,48,48,   0,1.00,0.20,0.0000
