Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 1792x2528
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 1792x2528
Scaled Tile Size: 48x48
Total Mask: 76.40%, Total Tissue: 23.60%
Tiles: 38x53 = 2014
   419 (20.80%) tiles >=80% tissue
    99 ( 4.92%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
45,2,7,50.87,MEDIUM,288,48,336,96,48,48,   8,1.00,0.20,0.1983
46,2,8,42.58,MEDIUM,336,48,384,96,48,48,   3,1.00,0.20,0.0800
83,3,7,94.84,HIGH,288,96,336,144,48,48,  39,1.00,1.00,0.7683
84,3,8,99.44,HIGH,336,96,384,144,48,48,  17,1.00,1.00,0.7426
85,3,9,87.24,HIGH,384,96,432,144,48,48,   8,1.00,1.00,0.6212
121,4,7,94.75,HIGH,288,144,336,192,48,48,  25,1.00,1.00,0.7450
122,4,8,96.70,HIGH,336,144,384,192,48,48,  37,1.00,1.00,0.7734
123,4,9,99.48,HIGH,384,144,432,192,48,48,  27,1.00,1.00,0.7681
124,4,10,53.08,MEDIUM,432,144,480,192,48,48,   6,1.00,0.20,0.1764
125,4,11,32.60,MEDIUM,480,144,528,192,48,48,   1,1.00,0.20,0.0227
158,5,6,17.93,MEDIUM,240,192,288,240,48,48,  48,1.00,0.20,0.0707
159,5,7,98.91,HIGH,288,192,336,240,48,48,   1,0.49,1.00,0.2786
160,5,8,99.31,HIGH,336,192,384,240,48,48,  12,1.00,1.00,0.7190
161,5,9,99.13,HIGH,384,192,432,240,48,48,  12,1.00,1.00,0.7167
162,5,10,98.57,HIGH,432,192,480,240,48,48,   3,1.00,1.00,0.5909
163,5,11,98.44,HIGH,480,192,528,240,48,48,   4,1.00,1.00,0.6027
164,5,12,92.80,HIGH,528,192,576,240,48,48,   8,1.00,1.00,0.6575
165,5,13,42.01,MEDIUM,576,192,624,240,48,48,   4,1.00,0.20,0.0996
196,6,6,40.84,MEDIUM,240,240,288,288,48,48,  10,1.00,0.20,0.1563
197,6,7,98.74,HIGH,288,240,336,288,48,48,   3,0.49,1.00,0.4422
198,6,8,99.35,HIGH,336,240,384,288,48,48,  24,1.00,1.00,0.7611
199,6,9,100.00,HIGH,384,240,432,288,48,48,   9,1.00,1.00,0.6975
200,6,10,94.40,HIGH,432,240,480,288,48,48,  17,1.00,1.00,0.7206
201,6,11,96.01,HIGH,480,240,528,288,48,48,  60,1.00,1.00,0.7911
202,6,12,97.44,HIGH,528,240,576,288,48,48,  56,1.00,1.00,0.7931
203,6,13,99.65,HIGH,576,240,624,288,48,48,  38,1.00,1.00,0.7842
204,6,14,69.66,MEDIUM,624,240,672,288,48,48,   5,1.00,0.20,0.2417
233,7,5,48.18,MEDIUM,192,288,240,336,48,48,  53,1.00,0.20,0.3620
234,7,6,94.18,HIGH,240,288,288,336,48,48,  14,1.00,1.00,0.7078
235,7,7,99.39,HIGH,288,288,336,336,48,48, 140,0.49,1.00,0.8075
236,7,8,99.26,HIGH,336,288,384,336,48,48,  27,1.00,1.00,0.7673
237,7,9,98.09,HIGH,384,288,432,336,48,48,  20,1.00,1.00,0.7445
238,7,10,97.74,HIGH,432,288,480,336,48,48,  77,1.00,1.00,0.8061
239,7,11,99.78,HIGH,480,288,528,336,48,48,  63,0.49,1.00,0.7749
240,7,12,99.96,HIGH,528,288,576,336,48,48,  59,0.49,1.00,0.7727
241,7,13,99.87,HIGH,576,288,624,336,48,48,  56,0.49,1.00,0.7696
242,7,14,100.00,HIGH,624,288,672,336,48,48,  44,0.49,1.00,0.7572
243,7,15,69.14,MEDIUM,672,288,720,336,48,48,   5,1.00,0.20,0.2549
270,8,4,85.76,HIGH,144,336,192,384,48,48, 143,1.00,1.00,0.7852
271,8,5,96.57,HIGH,192,336,240,384,48,48,  18,0.49,1.00,0.6817
272,8,6,99.18,HIGH,240,336,288,384,48,48,  47,0.49,1.00,0.7571
273,8,7,99.52,HIGH,288,336,336,384,48,48, 164,0.49,1.00,0.8134
274,8,8,98.78,HIGH,336,336,384,384,48,48,   9,1.00,1.00,0.6909
275,8,9,99.09,HIGH,384,336,432,384,48,48,  46,1.00,1.00,0.7907
276,8,10,99.52,HIGH,432,336,480,384,48,48,  45,0.49,1.00,0.7565
277,8,11,99.87,HIGH,480,336,528,384,48,48,  34,0.49,1.00,0.7409
278,8,12,99.96,HIGH,528,336,576,384,48,48,  31,0.49,1.00,0.7362
279,8,13,99.96,HIGH,576,336,624,384,48,48,  38,0.49,1.00,0.7488
280,8,14,100.00,HIGH,624,336,672,384,48,48,  87,0.49,1.00,0.7905
281,8,15,99.70,HIGH,672,336,720,384,48,48,  40,1.00,1.00,0.7873
282,8,16,48.83,MEDIUM,720,336,768,384,48,48,   4,1.00,0.20,0.1141
308,9,4,82.99,HIGH,144,384,192,432,48,48, 172,1.00,1.00,0.7802
309,9,5,96.61,HIGH,192,384,240,432,48,48,   4,0.49,1.00,0.4978
310,9,6,98.31,HIGH,240,384,288,432,48,48,   8,0.49,1.00,0.6064
311,9,7,99.22,HIGH,288,384,336,432,48,48,  46,0.49,1.00,0.7566
312,9,8,97.18,HIGH,336,384,384,432,48,48,  16,1.00,1.00,0.7262
313,9,9,99.22,HIGH,384,384,432,432,48,48, 116,1.00,1.00,0.8241
314,9,10,99.96,HIGH,432,384,480,432,48,48,  39,0.49,1.00,0.7498
315,9,11,100.00,HIGH,480,384,528,432,48,48,  25,0.49,1.00,0.7216
316,9,12,100.00,HIGH,528,384,576,432,48,48,  24,0.49,1.00,0.7174
317,9,13,100.00,HIGH,576,384,624,432,48,48,  27,0.49,1.00,0.7266
318,9,14,99.96,HIGH,624,384,672,432,48,48,  48,0.49,1.00,0.7618
319,9,15,99.78,HIGH,672,384,720,432,48,48,  79,0.49,1.00,0.7855
320,9,16,97.44,HIGH,720,384,768,432,48,48,  45,1.00,1.00,0.7843
345,10,3,52.56,MEDIUM,96,432,144,480,48,48, 344,1.00,0.20,0.5398
346,10,4,95.31,HIGH,144,432,192,480,48,48,  57,1.00,1.00,0.7867
347,10,5,95.27,HIGH,192,432,240,480,48,48,  25,0.49,1.00,0.7009
348,10,6,96.31,HIGH,240,432,288,480,48,48,  46,0.49,1.00,0.7460
349,10,7,99.26,HIGH,288,432,336,480,48,48,   5,0.49,1.00,0.5598
350,10,8,98.96,HIGH,336,432,384,480,48,48,  26,1.00,1.00,0.7625
351,10,9,100.00,HIGH,384,432,432,480,48,48, 122,0.49,1.00,0.8043
352,10,10,99.44,HIGH,432,432,480,480,48,48,  30,1.00,1.00,0.7726
353,10,11,99.91,HIGH,480,432,528,480,48,48,  21,0.49,1.00,0.7076
354,10,12,99.57,HIGH,528,432,576,480,48,48,  26,0.49,1.00,0.7221
355,10,13,99.96,HIGH,576,432,624,480,48,48,  24,0.49,1.00,0.7174
356,10,14,99.96,HIGH,624,432,672,480,48,48,  30,0.49,1.00,0.7343
357,10,15,99.35,HIGH,672,432,720,480,48,48,  54,1.00,1.00,0.7979
358,10,16,99.57,HIGH,720,432,768,480,48,48,  75,0.49,1.00,0.7827
359,10,17,77.52,MEDIUM,768,432,816,480,48,48,  24,1.00,0.20,0.5140
383,11,3,66.93,MEDIUM,96,480,144,528,48,48,  55,1.00,0.20,0.5268
384,11,4,93.49,HIGH,144,480,192,528,48,48,  27,1.00,1.00,0.7446
385,11,5,96.40,HIGH,192,480,240,528,48,48,  21,0.49,1.00,0.6913
386,11,6,94.84,HIGH,240,480,288,528,48,48,  17,0.49,1.00,0.6677
387,11,7,97.66,HIGH,288,480,336,528,48,48,  14,1.00,1.00,0.7190
388,11,8,99.44,HIGH,336,480,384,528,48,48,  31,0.49,1.00,0.7325
389,11,9,95.49,HIGH,384,480,432,528,48,48, 104,1.00,1.00,0.8093
390,11,10,99.18,HIGH,432,480,480,528,48,48,  39,1.00,1.00,0.7834
391,11,11,96.88,HIGH,480,480,528,528,48,48,  31,1.00,1.00,0.7653
392,11,12,96.57,HIGH,528,480,576,528,48,48,  31,1.00,1.00,0.7638
393,11,13,92.75,HIGH,576,480,624,528,48,48,  25,1.00,1.00,0.7374
394,11,14,99.96,HIGH,624,480,672,528,48,48,  27,0.49,1.00,0.7259
395,11,15,99.96,HIGH,672,480,720,528,48,48,  39,0.49,1.00,0.7499
396,11,16,99.57,HIGH,720,480,768,528,48,48,  58,0.49,1.00,0.7701
397,11,17,99.83,HIGH,768,480,816,528,48,48,  69,1.00,1.00,0.8089
421,12,3,21.05,MEDIUM,96,528,144,576,48,48,  73,1.00,0.20,0.1087
422,12,4,80.12,HIGH,144,528,192,576,48,48,   7,1.00,1.00,0.5772
423,12,5,92.66,HIGH,192,528,240,576,48,48,  22,1.00,1.00,0.7294
424,12,6,90.67,HIGH,240,528,288,576,48,48,  16,1.00,1.00,0.6994
425,12,7,98.78,HIGH,288,528,336,576,48,48,   6,0.49,1.00,0.5815
426,12,8,99.26,HIGH,336,528,384,576,48,48,   8,1.00,1.00,0.6793
427,12,9,97.01,HIGH,384,528,432,576,48,48,  68,1.00,1.00,0.7996
428,12,10,99.61,HIGH,432,528,480,576,48,48,  58,1.00,1.00,0.8020
429,12,11,97.44,HIGH,480,528,528,576,48,48,  46,1.00,1.00,0.7856
430,12,12,85.81,HIGH,528,528,576,576,48,48,  37,1.00,1.00,0.7277
431,12,13,71.27,MEDIUM,576,528,624,576,48,48,  29,1.00,0.20,0.4950
432,12,14,89.06,HIGH,624,528,672,576,48,48,  39,1.00,1.00,0.7451
