Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2432x2528
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2432x2528
Scaled Tile Size: 48x48
Total Mask: 79.76%, Total Tissue: 20.24%
Tiles: 51x53 = 2703
   412 (15.24%) tiles >=80% tissue
   285 (10.54%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
113,3,11,32.07,MEDIUM,480,96,528,144,48,48,  16,1.00,0.20,0.1302
163,4,10,71.40,MEDIUM,432,144,480,192,48,48,  36,1.00,0.20,0.5178
164,4,11,96.01,HIGH,480,144,528,192,48,48, 161,1.00,1.00,0.8243
165,4,12,90.80,HIGH,528,144,576,192,48,48,  76,1.00,1.00,0.7815
188,4,35,17.75,MEDIUM,1632,144,1680,192,48,48,   0,1.00,0.20,0.0000
189,4,36,31.86,MEDIUM,1680,144,1728,192,48,48,   0,1.00,0.20,0.0000
190,4,37,17.49,MEDIUM,1728,144,1776,192,48,48,   0,1.00,0.20,0.0000
213,5,9,59.20,MEDIUM,384,192,432,240,48,48,   0,1.00,0.20,0.0000
214,5,10,97.53,HIGH,432,192,480,240,48,48,   0,0.49,1.00,0.0000
215,5,11,96.09,HIGH,480,192,528,240,48,48,   0,1.00,1.00,0.0000
216,5,12,98.61,HIGH,528,192,576,240,48,48,  20,1.00,1.00,0.7486
217,5,13,86.28,HIGH,576,192,624,240,48,48,  87,1.00,1.00,0.7694
238,5,34,57.12,MEDIUM,1584,192,1632,240,48,48,   0,1.00,0.20,0.0000
239,5,35,89.80,HIGH,1632,192,1680,240,48,48,   0,1.00,1.00,0.0000
240,5,36,78.12,MEDIUM,1680,192,1728,240,48,48,   5,1.00,0.20,0.3096
241,5,37,55.16,MEDIUM,1728,192,1776,240,48,48,   5,1.00,0.20,0.1694
242,5,38,64.89,MEDIUM,1776,192,1824,240,48,48,   0,1.00,0.20,0.0000
243,5,39,64.19,MEDIUM,1824,192,1872,240,48,48,  57,1.00,0.20,0.5095
244,5,40,61.20,MEDIUM,1872,192,1920,240,48,48,  31,1.00,0.20,0.4261
245,5,41,99.31,HIGH,1920,192,1968,240,48,48,  62,1.00,1.00,0.8034
246,5,42,47.18,MEDIUM,1968,192,2016,240,48,48,   0,1.00,0.20,0.0011
263,6,8,72.05,MEDIUM,336,240,384,288,48,48,   4,1.00,0.20,0.2248
264,6,9,88.11,HIGH,384,240,432,288,48,48,   0,1.00,1.00,0.0000
265,6,10,95.83,HIGH,432,240,480,288,48,48,  16,1.00,1.00,0.7212
266,6,11,95.10,HIGH,480,240,528,288,48,48,   0,1.00,1.00,0.0000
267,6,12,94.05,HIGH,528,240,576,288,48,48,   4,1.00,1.00,0.5874
268,6,13,99.39,HIGH,576,240,624,288,48,48,  62,0.49,1.00,0.7730
269,6,14,90.28,HIGH,624,240,672,288,48,48,  36,1.00,1.00,0.7461
270,6,15,24.74,MEDIUM,672,240,720,288,48,48,   0,1.00,0.20,0.0041
289,6,34,71.14,MEDIUM,1584,240,1632,288,48,48,   0,1.00,0.20,0.0000
290,6,35,79.47,MEDIUM,1632,240,1680,288,48,48,   0,1.00,0.20,0.0000
291,6,36,59.20,MEDIUM,1680,240,1728,288,48,48,   0,1.00,0.20,0.0316
293,6,38,76.56,MEDIUM,1776,240,1824,288,48,48,   0,1.00,0.20,0.0501
294,6,39,93.40,HIGH,1824,240,1872,288,48,48,   1,1.00,1.00,0.4153
295,6,40,95.96,HIGH,1872,240,1920,288,48,48,  15,1.00,1.00,0.7167
296,6,41,97.61,HIGH,1920,240,1968,288,48,48,   0,0.49,1.00,0.0000
297,6,42,90.76,HIGH,1968,240,2016,288,48,48,   2,1.00,1.00,0.5004
314,7,8,89.28,HIGH,336,288,384,336,48,48,   0,1.00,1.00,0.0000
315,7,9,91.49,HIGH,384,288,432,336,48,48,   0,1.00,1.00,0.0000
316,7,10,96.35,HIGH,432,288,480,336,48,48,  21,1.00,1.00,0.7403
317,7,11,94.44,HIGH,480,288,528,336,48,48,   8,1.00,1.00,0.6613
318,7,12,96.14,HIGH,528,288,576,336,48,48,   0,1.00,1.00,0.0000
319,7,13,96.05,HIGH,576,288,624,336,48,48,   4,1.00,1.00,0.6107
320,7,14,98.09,HIGH,624,288,672,336,48,48,   0,1.00,1.00,0.0000
321,7,15,84.16,HIGH,672,288,720,336,48,48,  31,1.00,1.00,0.7103
326,7,20,14.15,MEDIUM,912,288,960,336,48,48,   0,1.00,0.20,0.0000
339,7,33,29.90,MEDIUM,1536,288,1584,336,48,48,   0,1.00,0.20,0.0000
340,7,34,80.64,HIGH,1584,288,1632,336,48,48,   0,1.00,1.00,0.0000
341,7,35,82.29,HIGH,1632,288,1680,336,48,48,   0,1.00,1.00,0.0000
342,7,36,56.55,MEDIUM,1680,288,1728,336,48,48,  13,1.00,0.20,0.2895
343,7,37,25.61,MEDIUM,1728,288,1776,336,48,48,  25,1.00,0.20,0.1056
344,7,38,75.13,MEDIUM,1776,288,1824,336,48,48,   0,1.00,0.20,0.0000
345,7,39,91.10,HIGH,1824,288,1872,336,48,48,   0,1.00,1.00,0.0000
346,7,40,91.32,HIGH,1872,288,1920,336,48,48,   1,1.00,1.00,0.3222
347,7,41,97.74,HIGH,1920,288,1968,336,48,48,   0,0.49,1.00,0.0000
348,7,42,95.83,HIGH,1968,288,2016,336,48,48, 183,1.00,1.00,0.8273
349,7,43,28.47,MEDIUM,2016,288,2064,336,48,48,   7,1.00,0.20,0.0638
364,8,7,65.28,MEDIUM,288,336,336,384,48,48,   0,1.00,0.20,0.0379
365,8,8,88.89,HIGH,336,336,384,384,48,48,   1,1.00,1.00,0.2540
366,8,9,92.62,HIGH,384,336,432,384,48,48,   0,1.00,1.00,0.0000
367,8,10,92.62,HIGH,432,336,480,384,48,48,   0,1.00,1.00,0.0000
368,8,11,45.18,MEDIUM,480,336,528,384,48,48,  17,1.00,0.20,0.2325
369,8,12,79.43,MEDIUM,528,336,576,384,48,48,   0,1.00,0.20,0.0000
370,8,13,90.15,HIGH,576,336,624,384,48,48,   0,1.00,1.00,0.0000
371,8,14,95.14,HIGH,624,336,672,384,48,48,   6,1.00,1.00,0.6369
372,8,15,94.44,HIGH,672,336,720,384,48,48,  40,1.00,1.00,0.7684
391,8,34,65.41,MEDIUM,1584,336,1632,384,48,48,   0,1.00,0.20,0.0000
392,8,35,82.86,HIGH,1632,336,1680,384,48,48,   0,1.00,1.00,0.0000
393,8,36,71.83,MEDIUM,1680,336,1728,384,48,48,   0,1.00,0.20,0.0000
395,8,38,72.79,MEDIUM,1776,336,1824,384,48,48,   0,1.00,0.20,0.0000
396,8,39,91.10,HIGH,1824,336,1872,384,48,48,   0,1.00,1.00,0.0000
397,8,40,89.54,HIGH,1872,336,1920,384,48,48,   0,1.00,1.00,0.0000
398,8,41,96.09,HIGH,1920,336,1968,384,48,48,   0,1.00,1.00,0.0000
399,8,42,96.74,HIGH,1968,336,2016,384,48,48, 109,1.00,1.00,0.8147
400,8,43,67.66,MEDIUM,2016,336,2064,384,48,48,  11,1.00,0.20,0.3452
415,9,7,89.41,HIGH,288,384,336,432,48,48,   0,1.00,1.00,0.1221
416,9,8,88.50,HIGH,336,384,384,432,48,48,   0,1.00,1.00,0.0000
417,9,9,84.77,HIGH,384,384,432,432,48,48,   0,1.00,1.00,0.0000
418,9,10,90.84,HIGH,432,384,480,432,48,48,   0,1.00,1.00,0.0000
