Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2576x3192
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2576x3192
Scaled Tile Size: 48x48
Total Mask: 82.17%, Total Tissue: 17.83%
Tiles: 54x67 = 3618
   450 (12.44%) tiles >=80% tissue
   410 (11.33%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
195,4,33,28.47,MEDIUM,1536,144,1584,192,48,48, 302,1.00,0.20,0.2503
196,4,34,36.15,MEDIUM,1584,144,1632,192,48,48, 264,1.00,0.20,0.3426
243,5,27,23.18,MEDIUM,1248,192,1296,240,48,48,   0,1.00,0.20,0.0000
244,5,28,53.21,MEDIUM,1296,192,1344,240,48,48,   0,1.00,0.20,0.0005
245,5,29,65.97,MEDIUM,1344,192,1392,240,48,48,   3,1.00,0.20,0.1736
246,5,30,53.56,MEDIUM,1392,192,1440,240,48,48, 152,1.00,0.20,0.4971
247,5,31,14.50,MEDIUM,1440,192,1488,240,48,48,   0,1.00,0.20,0.0002
250,5,34,73.31,MEDIUM,1584,192,1632,240,48,48,  76,1.00,0.20,0.6000
292,6,22,49.52,MEDIUM,1008,240,1056,288,48,48,   0,1.00,0.20,0.0000
293,6,23,47.70,MEDIUM,1056,240,1104,288,48,48,   0,1.00,0.20,0.0022
294,6,24,42.23,MEDIUM,1104,240,1152,288,48,48,  27,1.00,0.20,0.2488
295,6,25,43.40,MEDIUM,1152,240,1200,288,48,48,   0,1.00,0.20,0.0000
296,6,26,63.89,MEDIUM,1200,240,1248,288,48,48,   0,1.00,0.20,0.0185
297,6,27,81.25,HIGH,1248,240,1296,288,48,48,   1,1.00,1.00,0.2290
298,6,28,86.59,HIGH,1296,240,1344,288,48,48,   0,1.00,1.00,0.1673
299,6,29,70.31,MEDIUM,1344,240,1392,288,48,48,   2,1.00,0.20,0.1543
300,6,30,85.03,HIGH,1392,240,1440,288,48,48,  21,1.00,1.00,0.6920
301,6,31,81.21,HIGH,1440,240,1488,288,48,48,   1,1.00,1.00,0.3175
302,6,32,54.30,MEDIUM,1488,240,1536,288,48,48,   2,1.00,0.20,0.0902
303,6,33,64.97,MEDIUM,1536,240,1584,288,48,48,   1,1.00,0.20,0.0967
304,6,34,73.13,MEDIUM,1584,240,1632,288,48,48,  53,1.00,0.20,0.5667
342,7,18,24.96,MEDIUM,816,288,864,336,48,48, 140,1.00,0.20,0.1734
343,7,19,41.23,MEDIUM,864,288,912,336,48,48,   1,1.00,0.20,0.0283
344,7,20,14.63,MEDIUM,912,288,960,336,48,48,   0,0.49,0.20,0.0000
345,7,21,55.34,MEDIUM,960,288,1008,336,48,48,   0,1.00,0.20,0.0021
346,7,22,56.03,MEDIUM,1008,288,1056,336,48,48,   0,1.00,0.20,0.0000
347,7,23,42.80,MEDIUM,1056,288,1104,336,48,48,   1,1.00,0.20,0.0238
348,7,24,67.27,MEDIUM,1104,288,1152,336,48,48,  10,1.00,0.20,0.3364
349,7,25,63.28,MEDIUM,1152,288,1200,336,48,48,   0,1.00,0.20,0.0278
350,7,26,64.93,MEDIUM,1200,288,1248,336,48,48,   0,1.00,0.20,0.0000
351,7,27,84.11,HIGH,1248,288,1296,336,48,48,   0,1.00,1.00,0.2131
352,7,28,88.32,HIGH,1296,288,1344,336,48,48,   1,1.00,1.00,0.2820
353,7,29,86.94,HIGH,1344,288,1392,336,48,48,   1,1.00,1.00,0.2632
354,7,30,71.74,MEDIUM,1392,288,1440,336,48,48,   5,1.00,0.20,0.2728
355,7,31,86.41,HIGH,1440,288,1488,336,48,48,   6,1.00,1.00,0.5905
356,7,32,87.93,HIGH,1488,288,1536,336,48,48,   1,1.00,1.00,0.3866
357,7,33,93.75,HIGH,1536,288,1584,336,48,48,  18,0.49,1.00,0.6698
358,7,34,45.05,MEDIUM,1584,288,1632,336,48,48, 257,1.00,0.20,0.4455
396,8,18,38.11,MEDIUM,816,336,864,384,48,48,   0,1.00,0.20,0.0000
397,8,19,21.53,MEDIUM,864,336,912,384,48,48,   0,1.00,0.20,0.0005
399,8,21,21.44,MEDIUM,960,336,1008,384,48,48,   0,1.00,0.20,0.0000
400,8,22,46.88,MEDIUM,1008,336,1056,384,48,48,   3,1.00,0.20,0.1041
401,8,23,36.50,MEDIUM,1056,336,1104,384,48,48,   0,1.00,0.20,0.0045
402,8,24,76.04,MEDIUM,1104,336,1152,384,48,48,   0,1.00,0.20,0.0000
403,8,25,81.03,HIGH,1152,336,1200,384,48,48,   0,1.00,1.00,0.0751
404,8,26,72.05,MEDIUM,1200,336,1248,384,48,48,   1,1.00,0.20,0.0484
405,8,27,88.54,HIGH,1248,336,1296,384,48,48,   1,1.00,1.00,0.2915
406,8,28,90.45,HIGH,1296,336,1344,384,48,48,  20,1.00,1.00,0.7122
407,8,29,91.75,HIGH,1344,336,1392,384,48,48,   2,1.00,1.00,0.4727
408,8,30,85.68,HIGH,1392,336,1440,384,48,48,  24,1.00,1.00,0.7036
409,8,31,77.39,MEDIUM,1440,336,1488,384,48,48,  10,1.00,0.20,0.3914
410,8,32,91.58,HIGH,1488,336,1536,384,48,48,  35,1.00,1.00,0.7499
411,8,33,52.43,MEDIUM,1536,336,1584,384,48,48, 179,1.00,0.20,0.4979
444,9,12,32.77,MEDIUM,528,384,576,432,48,48,  13,1.00,0.20,0.1207
445,9,13,34.68,MEDIUM,576,384,624,432,48,48,   0,1.00,0.20,0.0087
