Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3830x2456
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 3830x2456
Scaled Tile Size: 48x48
Total Mask: 89.41%, Total Tissue: 10.59%
Tiles: 80x52 = 4160
   329 ( 7.91%) tiles >=80% tissue
   251 ( 6.03%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
355,5,35,15.06,MEDIUM,1632,192,1680,240,48,48,   6,0.49,0.20,0.0102
356,5,36,14.63,MEDIUM,1680,192,1728,240,48,48,  12,0.49,0.20,0.0163
433,6,33,49.39,MEDIUM,1536,240,1584,288,48,48,1203,1.00,0.20,0.5724
434,6,34,94.88,HIGH,1584,240,1632,288,48,48,2447,1.00,1.00,0.8754
435,6,35,99.18,HIGH,1632,240,1680,288,48,48,3182,0.49,1.00,0.8785
436,6,36,98.70,HIGH,1680,240,1728,288,48,48,4134,0.49,1.00,0.8812
437,6,37,99.44,HIGH,1728,240,1776,288,48,48,3111,0.49,1.00,0.8788
438,6,38,27.08,MEDIUM,1776,240,1824,288,48,48, 168,1.00,0.20,0.2063
511,7,31,45.96,MEDIUM,1440,288,1488,336,48,48, 789,1.00,0.20,0.5171
512,7,32,96.96,HIGH,1488,288,1536,336,48,48,3916,0.49,1.00,0.8767
513,7,33,99.44,HIGH,1536,288,1584,336,48,48,6391,0.49,1.00,0.8884
514,7,34,99.13,HIGH,1584,288,1632,336,48,48,2754,0.49,1.00,0.8763
515,7,35,94.40,HIGH,1632,288,1680,336,48,48,3249,0.49,1.00,0.8679
516,7,36,93.53,HIGH,1680,288,1728,336,48,48,1534,0.49,1.00,0.8528
517,7,37,89.54,HIGH,1728,288,1776,336,48,48,1965,1.00,1.00,0.8588
526,7,46,23.96,MEDIUM,2160,288,2208,336,48,48,3928,1.00,0.20,0.2768
527,7,47,85.72,HIGH,2208,288,2256,336,48,48, 195,1.00,1.00,0.7951
528,7,48,90.76,HIGH,2256,288,2304,336,48,48, 195,1.00,1.00,0.8130
529,7,49,86.07,HIGH,2304,288,2352,336,48,48, 343,1.00,1.00,0.8122
530,7,50,29.04,MEDIUM,2352,288,2400,336,48,48,  15,1.00,0.20,0.1056
531,7,51,28.04,MEDIUM,2400,288,2448,336,48,48,   0,1.00,0.20,0.0000
589,8,29,18.19,MEDIUM,1344,336,1392,384,48,48, 140,1.00,0.20,0.1003
590,8,30,79.47,MEDIUM,1392,336,1440,384,48,48,2756,1.00,0.20,0.7995
591,8,31,99.44,HIGH,1440,336,1488,384,48,48,5987,0.49,1.00,0.8876
592,8,32,90.76,HIGH,1488,336,1536,384,48,48,3902,1.00,1.00,0.8720
593,8,33,82.77,HIGH,1536,336,1584,384,48,48,2165,1.00,1.00,0.8403
594,8,34,80.86,HIGH,1584,336,1632,384,48,48, 667,1.00,1.00,0.8096
595,8,35,76.78,MEDIUM,1632,336,1680,384,48,48, 706,1.00,0.20,0.7450
596,8,36,77.13,MEDIUM,1680,336,1728,384,48,48, 406,1.00,0.20,0.7239
597,8,37,46.74,MEDIUM,1728,336,1776,384,48,48,   0,1.00,0.20,0.0000
605,8,45,17.75,MEDIUM,2112,336,2160,384,48,48, 510,0.49,0.20,0.1102
606,8,46,68.36,MEDIUM,2160,336,2208,384,48,48, 713,1.00,0.20,0.6989
607,8,47,82.55,HIGH,2208,336,2256,384,48,48,1004,1.00,1.00,0.8249
608,8,48,91.49,HIGH,2256,336,2304,384,48,48, 171,0.49,1.00,0.7880
609,8,49,87.85,HIGH,2304,336,2352,384,48,48,1029,1.00,1.00,0.8426
610,8,50,83.59,HIGH,2352,336,2400,384,48,48,  51,1.00,1.00,0.7343
611,8,51,77.17,MEDIUM,2400,336,2448,384,48,48, 122,1.00,0.20,0.6584
668,9,28,32.29,MEDIUM,1296,384,1344,432,48,48,1691,1.00,0.20,0.3779
669,9,29,93.62,HIGH,1344,384,1392,432,48,48,3572,0.49,1.00,0.8675
670,9,30,99.05,HIGH,1392,384,1440,432,48,48,4146,0.49,1.00,0.8820
671,9,31,93.92,HIGH,1440,384,1488,432,48,48,2184,0.49,1.00,0.8602
672,9,32,81.68,HIGH,1488,384,1536,432,48,48, 323,1.00,1.00,0.7941
673,9,33,53.12,MEDIUM,1536,384,1584,432,48,48, 209,1.00,0.20,0.5146
674,9,34,79.56,MEDIUM,1584,384,1632,432,48,48, 117,1.00,0.20,0.6688
675,9,35,85.50,HIGH,1632,384,1680,432,48,48, 264,1.00,1.00,0.8032
676,9,36,78.17,MEDIUM,1680,384,1728,432,48,48, 273,1.00,0.20,0.7106
677,9,37,24.13,MEDIUM,1728,384,1776,432,48,48,   0,1.00,0.20,0.0000
685,9,45,84.11,HIGH,2112,384,2160,432,48,48,2019,1.00,1.00,0.8434
686,9,46,97.09,HIGH,2160,384,2208,432,48,48,2825,0.49,1.00,0.8721
687,9,47,97.01,HIGH,2208,384,2256,432,48,48,1772,0.49,1.00,0.8643
688,9,48,91.10,HIGH,2256,384,2304,432,48,48, 835,0.49,1.00,0.8331
689,9,49,86.50,HIGH,2304,384,2352,432,48,48, 731,1.00,1.00,0.8315
690,9,50,77.65,MEDIUM,2352,384,2400,432,48,48, 215,1.00,0.20,0.6952
691,9,51,72.35,MEDIUM,2400,384,2448,432,48,48, 960,1.00,0.20,0.7337
747,10,27,53.60,MEDIUM,1248,432,1296,480,48,48,2499,1.00,0.20,0.6411
748,10,28,98.35,HIGH,1296,432,1344,480,48,48,4360,0.49,1.00,0.8812
749,10,29,98.39,HIGH,1344,432,1392,480,48,48,5388,0.49,1.00,0.8841
750,10,30,93.10,HIGH,1392,432,1440,480,48,48,3749,0.49,1.00,0.8669
751,10,31,84.03,HIGH,1440,432,1488,480,48,48, 415,1.00,1.00,0.8098
752,10,32,85.20,HIGH,1488,432,1536,480,48,48, 247,1.00,1.00,0.8001
753,10,33,86.37,HIGH,1536,432,1584,480,48,48, 668,1.00,1.00,0.8292
754,10,34,86.81,HIGH,1584,432,1632,480,48,48, 635,1.00,1.00,0.8295
755,10,35,79.64,MEDIUM,1632,432,1680,480,48,48,1249,1.00,0.20,0.7780
756,10,36,77.21,MEDIUM,1680,432,1728,480,48,48, 296,1.00,0.20,0.7096
757,10,37,27.73,MEDIUM,1728,432,1776,480,48,48,   0,1.00,0.20,0.0000
764,10,44,24.65,MEDIUM,2064,432,2112,480,48,48,  23,1.00,0.20,0.0951
765,10,45,95.23,HIGH,2112,432,2160,480,48,48, 706,0.49,1.00,0.8414
766,10,46,96.79,HIGH,2160,432,2208,480,48,48,1686,0.49,1.00,0.8629
767,10,47,98.96,HIGH,2208,432,2256,480,48,48,1066,0.16,1.00,0.8344
768,10,48,98.52,HIGH,2256,432,2304,480,48,48,1179,0.49,1.00,0.8606
769,10,49,95.96,HIGH,2304,432,2352,480,48,48,1505,0.49,1.00,0.8588
770,10,50,89.54,HIGH,2352,432,2400,480,48,48,1786,1.00,1.00,0.8572
771,10,51,76.13,MEDIUM,2400,432,2448,480,48,48,2699,1.00,0.20,0.7848
814,11,14,14.37,MEDIUM,624,480,672,528,48,48,  21,0.49,0.20,0.0223
815,11,15,67.14,MEDIUM,672,480,720,528,48,48, 537,1.00,0.20,0.6787
816,11,16,28.52,MEDIUM,720,480,768,528,48,48, 126,1.00,0.20,0.2099
827,11,27,93.06,HIGH,1248,480,1296,528,48,48,3891,1.00,1.00,0.8774
828,11,28,96.74,HIGH,1296,480,1344,528,48,48,2569,0.49,1.00,0.8698
829,11,29,89.63,HIGH,1344,480,1392,528,48,48,1962,0.49,1.00,0.8466
830,11,30,80.03,HIGH,1392,480,1440,528,48,48,  95,1.00,1.00,0.7449
831,11,31,86.20,HIGH,1440,480,1488,528,48,48, 289,1.00,1.00,0.8082
832,11,32,92.93,HIGH,1488,480,1536,528,48,48,   0,1.00,1.00,0.2498
833,11,33,92.97,HIGH,1536,480,1584,528,48,48, 545,1.00,1.00,0.8449
834,11,34,85.42,HIGH,1584,480,1632,528,48,48,1125,1.00,1.00,0.8368
835,11,35,81.21,HIGH,1632,480,1680,528,48,48, 463,1.00,1.00,0.8019
836,11,36,72.22,MEDIUM,1680,480,1728,528,48,48, 486,1.00,0.20,0.7052
837,11,37,29.51,MEDIUM,1728,480,1776,528,48,48, 169,1.00,0.20,0.2362
844,11,44,58.20,MEDIUM,2064,480,2112,528,48,48,  35,1.00,0.20,0.4120
845,11,45,98.96,HIGH,2112,480,2160,528,48,48, 104,0.16,1.00,0.7374
846,11,46,95.31,HIGH,2160,480,2208,528,48,48, 951,1.00,1.00,0.8617
847,11,47,92.75,HIGH,2208,480,2256,528,48,48,1326,0.49,1.00,0.8479
848,11,48,96.83,HIGH,2256,480,2304,528,48,48,1351,0.16,1.00,0.8346
849,11,49,96.88,HIGH,2304,480,2352,528,48,48, 885,0.16,1.00,0.8232
850,11,50,99.26,HIGH,2352,480,2400,528,48,48,1754,0.16,1.00,0.8475
851,11,51,93.58,HIGH,2400,480,2448,528,48,48,2048,0.49,1.00,0.8582
894,12,14,40.89,MEDIUM,624,528,672,576,48,48, 424,1.00,0.20,0.4267
895,12,15,97.18,HIGH,672,528,720,576,48,48,1764,0.49,1.00,0.8646
896,12,16,58.33,MEDIUM,720,528,768,576,48,48, 495,1.00,0.20,0.6105
907,12,27,25.35,MEDIUM,1248,528,1296,576,48,48,5388,1.00,0.20,0.3097
908,12,28,74.05,MEDIUM,1296,528,1344,576,48,48, 413,1.00,0.20,0.7082
909,12,29,80.16,HIGH,1344,528,1392,576,48,48, 831,1.00,1.00,0.8121
910,12,30,81.42,HIGH,1392,528,1440,576,48,48, 253,1.00,1.00,0.7859
911,12,31,92.36,HIGH,1440,528,1488,576,48,48,1731,1.00,1.00,0.8642
912,12,32,86.81,HIGH,1488,528,1536,576,48,48, 467,1.00,1.00,0.8225
913,12,33,87.46,HIGH,1536,528,1584,576,48,48,1350,1.00,1.00,0.8465
914,12,34,88.72,HIGH,1584,528,1632,576,48,48, 693,1.00,1.00,0.8374
915,12,35,89.02,HIGH,1632,528,1680,576,48,48, 872,1.00,1.00,0.8429
916,12,36,80.77,HIGH,1680,528,1728,576,48,48, 126,1.00,1.00,0.7595
917,12,37,38.50,MEDIUM,1728,528,1776,576,48,48,   0,1.00,0.20,0.0000
925,12,45,78.82,MEDIUM,2112,528,2160,576,48,48,  68,1.00,0.20,0.6245
926,12,46,99.05,HIGH,2160,528,2208,576,48,48,  70,0.16,1.00,0.7105
927,12,47,95.23,HIGH,2208,528,2256,576,48,48, 489,1.00,1.00,0.8489
928,12,48,92.40,HIGH,2256,528,2304,576,48,48,2136,1.00,1.00,0.8675
929,12,49,96.74,HIGH,2304,528,2352,576,48,48,1135,0.49,1.00,0.8555
930,12,50,98.18,HIGH,2352,528,2400,576,48,48,1085,0.16,1.00,0.8327
931,12,51,72.09,MEDIUM,2400,528,2448,576,48,48,1006,1.00,0.20,0.7340
972,13,12,55.16,MEDIUM,528,576,576,624,48,48,2595,1.00,0.20,0.6556
973,13,13,87.41,HIGH,576,576,624,624,48,48, 288,1.00,1.00,0.8124
974,13,14,98.57,HIGH,624,576,672,624,48,48, 162,0.49,1.00,0.8099
975,13,15,98.74,HIGH,672,576,720,624,48,48, 293,0.49,1.00,0.8291
976,13,16,64.19,MEDIUM,720,576,768,624,48,48, 109,1.00,0.20,0.5631
977,13,17,29.21,MEDIUM,768,576,816,624,48,48,   0,1.00,0.20,0.0001
988,13,28,22.14,MEDIUM,1296,576,1344,624,48,48,   0,1.00,0.20,0.0000
989,13,29,80.64,HIGH,1344,576,1392,624,48,48, 576,1.00,1.00,0.8052
990,13,30,83.51,HIGH,1392,576,1440,624,48,48, 837,1.00,1.00,0.8244
991,13,31,93.23,HIGH,1440,576,1488,624,48,48, 602,1.00,1.00,0.8477
992,13,32,93.06,HIGH,1488,576,1536,624,48,48, 481,1.00,1.00,0.8425
993,13,33,83.85,HIGH,1536,576,1584,624,48,48,1689,1.00,1.00,0.8394
994,13,34,91.80,HIGH,1584,576,1632,624,48,48, 187,1.00,1.00,0.8153
995,13,35,57.38,MEDIUM,1632,576,1680,624,48,48, 541,1.00,0.20,0.6071
996,13,36,82.29,HIGH,1680,576,1728,624,48,48,  49,1.00,1.00,0.7261
997,13,37,41.41,MEDIUM,1728,576,1776,624,48,48,   3,1.00,0.20,0.0683
1005,13,45,34.85,MEDIUM,2112,576,2160,624,48,48,  42,1.00,0.20,0.2131
1006,13,46,95.66,HIGH,2160,576,2208,624,48,48,  89,0.49,1.00,0.7764
1007,13,47,99.26,HIGH,2208,576,2256,624,48,48,  12,0.16,1.00,0.5184
1008,13,48,99.22,HIGH,2256,576,2304,624,48,48,  39,0.16,1.00,0.6599
1009,13,49,95.75,HIGH,2304,576,2352,624,48,48, 732,1.00,1.00,0.8581
1010,13,50,89.24,HIGH,2352,576,2400,624,48,48, 981,1.00,1.00,0.8458
1011,13,51,18.01,MEDIUM,2400,576,2448,624,48,48, 205,1.00,0.20,0.1082
1050,14,10,28.17,MEDIUM,432,624,480,672,48,48, 763,0.49,0.20,0.2556
1051,14,11,81.94,HIGH,480,624,528,672,48,48,3253,1.00,1.00,0.8445
1052,14,12,99.31,HIGH,528,624,576,672,48,48,2308,0.49,1.00,0.8740
1053,14,13,98.96,HIGH,576,624,624,672,48,48, 709,0.49,1.00,0.8515
1054,14,14,99.44,HIGH,624,624,672,672,48,48,  82,0.49,1.00,0.7861
1055,14,15,99.26,HIGH,672,624,720,672,48,48,  38,0.49,1.00,0.7452
1056,14,16,99.31,HIGH,720,624,768,672,48,48,  70,0.49,1.00,0.7782
1057,14,17,94.10,HIGH,768,624,816,672,48,48,  99,0.49,1.00,0.7755
1058,14,18,78.73,MEDIUM,816,624,864,672,48,48, 432,1.00,0.20,0.7349
1059,14,19,61.81,MEDIUM,864,624,912,672,48,48,   9,1.00,0.20,0.2770
1060,14,20,25.74,MEDIUM,912,624,960,672,48,48,   0,1.00,0.20,0.0059
1069,14,29,80.30,HIGH,1344,624,1392,672,48,48,  20,1.00,1.00,0.6638
1070,14,30,90.19,HIGH,1392,624,1440,672,48,48, 316,1.00,1.00,0.8241
1071,14,31,93.01,HIGH,1440,624,1488,672,48,48, 350,1.00,1.00,0.8353
1072,14,32,96.79,HIGH,1488,624,1536,672,48,48,   0,0.49,1.00,0.0000
1073,14,33,86.98,HIGH,1536,624,1584,672,48,48,1163,1.00,1.00,0.8423
1074,14,34,91.49,HIGH,1584,624,1632,672,48,48, 408,1.00,1.00,0.8343
1075,14,35,48.91,MEDIUM,1632,624,1680,672,48,48,5161,1.00,0.20,0.6241
1076,14,36,57.38,MEDIUM,1680,624,1728,672,48,48, 510,1.00,0.20,0.6041
1086,14,46,50.52,MEDIUM,2160,624,2208,672,48,48,  33,1.00,0.20,0.3421
1087,14,47,97.31,HIGH,2208,624,2256,672,48,48,  61,0.49,1.00,0.7650
1088,14,48,99.78,HIGH,2256,624,2304,672,48,48,  51,0.16,1.00,0.6886
1089,14,49,99.83,HIGH,2304,624,2352,672,48,48,  21,0.16,1.00,0.5975
1090,14,50,40.06,MEDIUM,2352,624,2400,672,48,48,  20,1.00,0.20,0.2037
1130,15,10,56.42,MEDIUM,432,672,480,720,48,48,1930,1.00,0.20,0.6548
1131,15,11,98.74,HIGH,480,672,528,720,48,48, 991,0.49,1.00,0.8578
