Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2431x2189
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2431x2189
Scaled Tile Size: 48x48
Total Mask: 87.45%, Total Tissue: 12.55%
Tiles: 51x46 = 2346
   157 ( 6.69%) tiles >=80% tissue
   303 (12.92%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
15,1,15,37.67,MEDIUM,672,0,720,48,48,48,   0,1.00,0.20,0.0000
22,1,22,28.30,MEDIUM,1008,0,1056,48,48,48,   0,1.00,0.20,0.0000
23,1,23,22.18,MEDIUM,1056,0,1104,48,48,48,   0,1.00,0.20,0.0044
24,1,24,73.65,MEDIUM,1104,0,1152,48,48,48,  70,1.00,0.20,0.5953
25,1,25,28.95,MEDIUM,1152,0,1200,48,48,48, 152,1.00,0.20,0.2241
66,2,15,33.03,MEDIUM,672,48,720,96,48,48,   3,1.00,0.20,0.0446
67,2,16,21.48,MEDIUM,720,48,768,96,48,48,   0,1.00,0.20,0.0000
73,2,22,33.07,MEDIUM,1008,48,1056,96,48,48,   0,1.00,0.20,0.0000
74,2,23,43.01,MEDIUM,1056,48,1104,96,48,48,   0,1.00,0.20,0.0000
75,2,24,82.47,HIGH,1104,48,1152,96,48,48,  39,1.00,1.00,0.7153
123,3,21,30.99,MEDIUM,960,96,1008,144,48,48,   0,1.00,0.20,0.0000
124,3,22,37.93,MEDIUM,1008,96,1056,144,48,48,   0,1.00,0.20,0.0000
125,3,23,52.95,MEDIUM,1056,96,1104,144,48,48,   0,1.00,0.20,0.0000
126,3,24,71.35,MEDIUM,1104,96,1152,144,48,48,  66,1.00,0.20,0.5741
174,4,21,36.41,MEDIUM,960,144,1008,192,48,48,   0,1.00,0.20,0.0000
175,4,22,58.72,MEDIUM,1008,144,1056,192,48,48,   2,1.00,0.20,0.0983
176,4,23,67.84,MEDIUM,1056,144,1104,192,48,48,  81,1.00,0.20,0.5670
177,4,24,52.82,MEDIUM,1104,144,1152,192,48,48, 203,1.00,0.20,0.5100
225,5,21,32.42,MEDIUM,960,192,1008,240,48,48,  70,1.00,0.20,0.2213
226,5,22,49.26,MEDIUM,1008,192,1056,240,48,48,   4,1.00,0.20,0.1183
227,5,23,57.60,MEDIUM,1056,192,1104,240,48,48, 127,1.00,0.20,0.5205
228,5,24,55.95,MEDIUM,1104,192,1152,240,48,48, 823,1.00,0.20,0.6153
275,6,20,15.80,MEDIUM,912,240,960,288,48,48,   0,1.00,0.20,0.0000
276,6,21,41.97,MEDIUM,960,240,1008,288,48,48,  28,1.00,0.20,0.2489
277,6,22,50.91,MEDIUM,1008,240,1056,288,48,48,1524,1.00,0.20,0.5973
278,6,23,73.83,MEDIUM,1056,240,1104,288,48,48, 154,1.00,0.20,0.6533
279,6,24,45.36,MEDIUM,1104,240,1152,288,48,48,1140,1.00,0.20,0.5278
326,7,20,43.79,MEDIUM,912,288,960,336,48,48,  42,1.00,0.20,0.3010
327,7,21,60.24,MEDIUM,960,288,1008,336,48,48,1291,1.00,0.20,0.6685
328,7,22,75.43,MEDIUM,1008,288,1056,336,48,48, 178,1.00,0.20,0.6718
329,7,23,83.42,HIGH,1056,288,1104,336,48,48,1523,1.00,1.00,0.8361
377,8,20,44.75,MEDIUM,912,336,960,384,48,48,  90,1.00,0.20,0.3713
378,8,21,71.79,MEDIUM,960,336,1008,384,48,48,1650,1.00,0.20,0.7494
379,8,22,70.70,MEDIUM,1008,336,1056,384,48,48, 710,1.00,0.20,0.7127
380,8,23,85.24,HIGH,1056,336,1104,384,48,48,2892,1.00,1.00,0.8528
381,8,24,27.21,MEDIUM,1104,336,1152,384,48,48,4614,1.00,0.20,0.3359
401,8,44,13.89,MEDIUM,2064,336,2112,384,48,48,   0,0.49,0.20,0.0000
425,9,17,15.84,MEDIUM,768,384,816,432,48,48,2452,0.49,0.20,0.1210
427,9,19,19.88,MEDIUM,864,384,912,432,48,48,  24,0.49,0.20,0.0461
428,9,20,50.78,MEDIUM,912,384,960,432,48,48,  11,1.00,0.20,0.2281
429,9,21,76.91,MEDIUM,960,384,1008,432,48,48, 595,1.00,0.20,0.7390
430,9,22,79.30,MEDIUM,1008,384,1056,432,48,48, 661,0.49,0.20,0.7247
431,9,23,91.84,HIGH,1056,384,1104,432,48,48,8810,0.49,1.00,0.8759
432,9,24,99.22,HIGH,1104,384,1152,432,48,48,3937,0.49,1.00,0.8816
433,9,25,44.36,MEDIUM,1152,384,1200,432,48,48,1342,1.00,0.20,0.5240
449,9,41,47.83,MEDIUM,1920,384,1968,432,48,48, 286,1.00,0.20,0.4817
450,9,42,39.71,MEDIUM,1968,384,2016,432,48,48, 285,1.00,0.20,0.3904
451,9,43,18.23,MEDIUM,2016,384,2064,432,48,48,   0,1.00,0.20,0.0000
452,9,44,22.79,MEDIUM,2064,384,2112,432,48,48,   7,0.49,0.20,0.0274
478,10,19,58.94,MEDIUM,864,432,912,480,48,48,1681,1.00,0.20,0.6691
479,10,20,69.27,MEDIUM,912,432,960,480,48,48,1344,1.00,0.20,0.7287
480,10,21,89.54,HIGH,960,432,1008,480,48,48, 771,1.00,1.00,0.8421
481,10,22,93.92,HIGH,1008,432,1056,480,48,48,2726,1.00,1.00,0.8747
482,10,23,98.09,HIGH,1056,432,1104,480,48,48,3202,0.49,1.00,0.8762
483,10,24,99.52,HIGH,1104,432,1152,480,48,48,4696,0.49,1.00,0.8846
484,10,25,95.31,HIGH,1152,432,1200,480,48,48,1916,0.49,1.00,0.8615
500,10,41,60.29,MEDIUM,1920,432,1968,480,48,48,   0,1.00,0.20,0.0000
501,10,42,51.39,MEDIUM,1968,432,2016,480,48,48,  11,1.00,0.20,0.2384
502,10,43,46.83,MEDIUM,2016,432,2064,480,48,48,   0,1.00,0.20,0.0000
528,11,18,18.40,MEDIUM,816,480,864,528,48,48,2095,0.49,0.20,0.1529
529,11,19,64.71,MEDIUM,864,480,912,528,48,48,2160,1.00,0.20,0.7177
530,11,20,88.72,HIGH,912,480,960,528,48,48, 537,0.49,1.00,0.8144
531,11,21,93.79,HIGH,960,480,1008,528,48,48,3698,0.49,1.00,0.8684
532,11,22,98.87,HIGH,1008,480,1056,528,48,48,2373,0.49,1.00,0.8734
533,11,23,98.78,HIGH,1056,480,1104,528,48,48,2951,0.49,1.00,0.8766
534,11,24,98.78,HIGH,1104,480,1152,528,48,48,5900,0.49,1.00,0.8861
535,11,25,95.10,HIGH,1152,480,1200,528,48,48,3320,0.49,1.00,0.8699
547,11,37,17.84,MEDIUM,1728,480,1776,528,48,48,   0,1.00,0.20,0.0000
548,11,38,38.41,MEDIUM,1776,480,1824,528,48,48,   0,1.00,0.20,0.0000
549,11,39,48.18,MEDIUM,1824,480,1872,528,48,48,   0,1.00,0.20,0.0000
550,11,40,32.38,MEDIUM,1872,480,1920,528,48,48,   0,1.00,0.20,0.0000
551,11,41,48.13,MEDIUM,1920,480,1968,528,48,48,   3,1.00,0.20,0.0902
552,11,42,58.64,MEDIUM,1968,480,2016,528,48,48,   0,1.00,0.20,0.0300
553,11,43,45.53,MEDIUM,2016,480,2064,528,48,48,   0,1.00,0.20,0.0000
580,12,19,63.41,MEDIUM,864,528,912,576,48,48,1347,1.00,0.20,0.6925
581,12,20,89.24,HIGH,912,528,960,576,48,48,1089,0.49,1.00,0.8334
582,12,21,97.66,HIGH,960,528,1008,576,48,48,3228,0.49,1.00,0.8754
583,12,22,97.83,HIGH,1008,528,1056,576,48,48,3149,0.49,1.00,0.8754
584,12,23,98.65,HIGH,1056,528,1104,576,48,48,6529,0.49,1.00,0.8871
585,12,24,99.31,HIGH,1104,528,1152,576,48,48,2884,0.49,1.00,0.8774
586,12,25,83.07,HIGH,1152,528,1200,576,48,48,1829,1.00,1.00,0.8383
587,12,26,21.31,MEDIUM,1200,528,1248,576,48,48, 328,1.00,0.20,0.1602
598,12,37,34.81,MEDIUM,1728,528,1776,576,48,48,   0,1.00,0.20,0.0000
599,12,38,60.37,MEDIUM,1776,528,1824,576,48,48,   0,1.00,0.20,0.0317
600,12,39,68.19,MEDIUM,1824,528,1872,576,48,48,   1,1.00,0.20,0.1005
601,12,40,51.30,MEDIUM,1872,528,1920,576,48,48,1075,1.00,0.20,0.5859
602,12,41,57.34,MEDIUM,1920,528,1968,576,48,48,   3,1.00,0.20,0.1233
603,12,42,40.58,MEDIUM,1968,528,2016,576,48,48,   0,1.00,0.20,0.0000
604,12,43,27.43,MEDIUM,2016,528,2064,576,48,48,   0,1.00,0.20,0.0000
631,13,19,73.70,MEDIUM,864,576,912,624,48,48, 424,0.49,0.20,0.6708
632,13,20,93.92,HIGH,912,576,960,624,48,48,2816,0.49,1.00,0.8645
633,13,21,97.61,HIGH,960,576,1008,624,48,48,2687,0.49,1.00,0.8725
634,13,22,98.05,HIGH,1008,576,1056,624,48,48,3580,0.49,1.00,0.8778
635,13,23,99.00,HIGH,1056,576,1104,624,48,48,7355,0.49,1.00,0.8892
636,13,24,95.01,HIGH,1104,576,1152,624,48,48,5573,0.49,1.00,0.8772
637,13,25,92.88,HIGH,1152,576,1200,624,48,48,2705,0.49,1.00,0.8612
649,13,37,24.31,MEDIUM,1728,576,1776,624,48,48,   0,1.00,0.20,0.0000
650,13,38,27.30,MEDIUM,1776,576,1824,624,48,48,   0,1.00,0.20,0.0000
651,13,39,56.38,MEDIUM,1824,576,1872,624,48,48,   0,1.00,0.20,0.0000
652,13,40,42.75,MEDIUM,1872,576,1920,624,48,48,   0,1.00,0.20,0.0000
653,13,41,22.35,MEDIUM,1920,576,1968,624,48,48,   2,1.00,0.20,0.0156
654,13,42,34.29,MEDIUM,1968,576,2016,624,48,48,   0,1.00,0.20,0.0000
657,13,45,18.58,MEDIUM,2112,576,2160,624,48,48,   0,0.49,0.20,0.0016
658,13,46,17.49,MEDIUM,2160,576,2208,624,48,48, 495,0.49,0.20,0.1066
680,14,17,15.19,MEDIUM,768,624,816,672,48,48,30313,0.49,0.20,0.1558
681,14,18,30.30,MEDIUM,816,624,864,672,48,48, 992,0.49,0.20,0.2963
682,14,19,81.99,HIGH,864,624,912,672,48,48, 960,0.49,1.00,0.8054
683,14,20,98.91,HIGH,912,624,960,672,48,48,3880,0.49,1.00,0.8808
684,14,21,98.96,HIGH,960,624,1008,672,48,48,4433,0.49,1.00,0.8827
685,14,22,98.61,HIGH,1008,624,1056,672,48,48,6159,0.49,1.00,0.8863
686,14,23,98.13,HIGH,1056,624,1104,672,48,48,11200,0.49,1.00,0.8924
687,14,24,98.31,HIGH,1104,624,1152,672,48,48,5464,0.49,1.00,0.8841
688,14,25,90.28,HIGH,1152,624,1200,672,48,48,2070,0.49,1.00,0.8495
700,14,37,21.44,MEDIUM,1728,624,1776,672,48,48,   0,1.00,0.20,0.0041
701,14,38,40.76,MEDIUM,1776,624,1824,672,48,48,  23,1.00,0.20,0.2234
702,14,39,52.30,MEDIUM,1824,624,1872,672,48,48,   0,1.00,0.20,0.0000
703,14,40,14.54,MEDIUM,1872,624,1920,672,48,48,   0,0.49,0.20,0.0000
704,14,41,21.05,MEDIUM,1920,624,1968,672,48,48,   0,1.00,0.20,0.0000
706,14,43,18.10,MEDIUM,2016,624,2064,672,48,48,   8,1.00,0.20,0.0301
707,14,44,48.65,MEDIUM,2064,624,2112,672,48,48,1629,1.00,0.20,0.5782
708,14,45,57.42,MEDIUM,2112,624,2160,672,48,48, 485,1.00,0.20,0.6019
709,14,46,21.92,MEDIUM,2160,624,2208,672,48,48,2612,1.00,0.20,0.2312
