Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2688x5856
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2688x5856
Scaled Tile Size: 48x48
Total Mask: 80.62%, Total Tissue: 19.38%
Tiles: 56x122 = 6832
   789 (11.55%) tiles >=80% tissue
  1031 (15.09%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
21,1,21,36.24,MEDIUM,960,0,1008,48,48,48,   2,1.00,0.20,0.0362
22,1,22,20.62,MEDIUM,1008,0,1056,48,48,48,   1,1.00,0.20,0.0093
76,2,20,85.37,HIGH,912,48,960,96,48,48,   0,1.00,1.00,0.2144
77,2,21,60.07,MEDIUM,960,48,1008,96,48,48,   3,1.00,0.20,0.1489
131,3,19,61.68,MEDIUM,864,96,912,144,48,48,   2,1.00,0.20,0.1070
132,3,20,94.88,HIGH,912,96,960,144,48,48,   4,1.00,1.00,0.5836
133,3,21,89.67,HIGH,960,96,1008,144,48,48,   0,1.00,1.00,0.1656
134,3,22,21.44,MEDIUM,1008,96,1056,144,48,48,   2,1.00,0.20,0.0174
187,4,19,91.93,HIGH,864,144,912,192,48,48,   1,1.00,1.00,0.2848
188,4,20,95.79,HIGH,912,144,960,192,48,48,   1,1.00,1.00,0.3708
189,4,21,91.84,HIGH,960,144,1008,192,48,48,   0,1.00,1.00,0.2499
190,4,22,67.45,MEDIUM,1008,144,1056,192,48,48,   5,1.00,0.20,0.2405
191,4,23,46.01,MEDIUM,1056,144,1104,192,48,48,  33,1.00,0.20,0.3005
192,4,24,21.40,MEDIUM,1104,144,1152,192,48,48,   0,1.00,0.20,0.0000
242,5,18,38.50,MEDIUM,816,192,864,240,48,48,   1,1.00,0.20,0.0158
243,5,19,97.87,HIGH,864,192,912,240,48,48,   8,1.00,1.00,0.6820
244,5,20,96.27,HIGH,912,192,960,240,48,48,   1,1.00,1.00,0.3623
245,5,21,95.79,HIGH,960,192,1008,240,48,48,   0,1.00,1.00,0.2124
246,5,22,97.48,HIGH,1008,192,1056,240,48,48,   0,1.00,1.00,0.0000
247,5,23,93.14,HIGH,1056,192,1104,240,48,48,   0,1.00,1.00,0.0397
248,5,24,83.16,HIGH,1104,192,1152,240,48,48,   0,1.00,1.00,0.0105
249,5,25,72.96,MEDIUM,1152,192,1200,240,48,48,   1,1.00,0.20,0.0823
250,5,26,23.78,MEDIUM,1200,192,1248,240,48,48,   0,1.00,0.20,0.0000
285,6,5,41.88,MEDIUM,192,240,240,288,48,48,   2,1.00,0.20,0.0658
286,6,6,25.48,MEDIUM,240,240,288,288,48,48,   0,1.00,0.20,0.0059
298,6,18,65.84,MEDIUM,816,240,864,288,48,48,   0,1.00,0.20,0.0219
299,6,19,96.44,HIGH,864,240,912,288,48,48,   6,1.00,1.00,0.6452
300,6,20,94.66,HIGH,912,240,960,288,48,48,   0,1.00,1.00,0.2436
