Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3240x2592
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 3240x2592
Scaled Tile Size: 48x48
Total Mask: 81.72%, Total Tissue: 18.28%
Tiles: 68x54 = 3672
   265 ( 7.22%) tiles >=80% tissue
   703 (19.14%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
300,5,28,37.63,MEDIUM,1296,192,1344,240,48,48,  33,1.00,0.20,0.2238
301,5,29,30.56,MEDIUM,1344,192,1392,240,48,48,  26,1.00,0.20,0.1456
302,5,30,34.07,MEDIUM,1392,192,1440,240,48,48,  33,1.00,0.20,0.1907
303,5,31,46.05,MEDIUM,1440,192,1488,240,48,48,  26,1.00,0.20,0.2794
304,5,32,24.26,MEDIUM,1488,192,1536,240,48,48,  45,1.00,0.20,0.1193
364,6,24,37.89,MEDIUM,1104,240,1152,288,48,48,  37,1.00,0.20,0.2338
365,6,25,60.89,MEDIUM,1152,240,1200,288,48,48,  22,1.00,0.20,0.3855
366,6,26,90.15,HIGH,1200,240,1248,288,48,48,  40,1.00,1.00,0.7508
367,6,27,96.05,HIGH,1248,240,1296,288,48,48,  36,1.00,1.00,0.7685
368,6,28,97.09,HIGH,1296,240,1344,288,48,48,  26,1.00,1.00,0.7573
369,6,29,97.31,HIGH,1344,240,1392,288,48,48,  12,1.00,1.00,0.7078
370,6,30,96.70,HIGH,1392,240,1440,288,48,48,  13,1.00,1.00,0.7109
371,6,31,94.88,HIGH,1440,240,1488,288,48,48,  14,1.00,1.00,0.7115
372,6,32,66.97,MEDIUM,1488,240,1536,288,48,48,   9,1.00,0.20,0.3093
429,7,21,49.91,MEDIUM,960,288,1008,336,48,48,  42,1.00,0.20,0.3591
430,7,22,82.99,HIGH,1008,288,1056,336,48,48,  18,1.00,1.00,0.6702
431,7,23,96.70,HIGH,1056,288,1104,336,48,48,  21,1.00,1.00,0.7422
432,7,24,96.96,HIGH,1104,288,1152,336,48,48,   5,0.49,1.00,0.5280
433,7,25,92.45,HIGH,1152,288,1200,336,48,48,   4,1.00,1.00,0.5657
434,7,26,92.53,HIGH,1200,288,1248,336,48,48,   2,1.00,1.00,0.4914
435,7,27,90.62,HIGH,1248,288,1296,336,48,48,   1,1.00,1.00,0.2916
436,7,28,92.49,HIGH,1296,288,1344,336,48,48,   4,1.00,1.00,0.5812
437,7,29,89.54,HIGH,1344,288,1392,336,48,48,   3,1.00,1.00,0.5330
438,7,30,86.20,HIGH,1392,288,1440,336,48,48,   5,1.00,1.00,0.5595
439,7,31,87.02,HIGH,1440,288,1488,336,48,48,   1,1.00,1.00,0.3680
440,7,32,63.80,MEDIUM,1488,288,1536,336,48,48,   2,1.00,0.20,0.1191
494,8,18,56.90,MEDIUM,816,336,864,384,48,48,  23,1.00,0.20,0.3569
495,8,19,83.85,HIGH,864,336,912,384,48,48,  18,1.00,1.00,0.6728
496,8,20,94.27,HIGH,912,336,960,384,48,48,  12,1.00,1.00,0.6937
497,8,21,95.96,HIGH,960,336,1008,384,48,48,   6,1.00,1.00,0.6418
498,8,22,92.10,HIGH,1008,336,1056,384,48,48,   3,1.00,1.00,0.5578
499,8,23,92.27,HIGH,1056,336,1104,384,48,48,   2,1.00,1.00,0.4956
500,8,24,92.01,HIGH,1104,336,1152,384,48,48,   3,1.00,1.00,0.5388
501,8,25,88.59,HIGH,1152,336,1200,384,48,48,   5,1.00,1.00,0.5888
502,8,26,82.68,HIGH,1200,336,1248,384,48,48,   0,1.00,1.00,0.1306
503,8,27,86.68,HIGH,1248,336,1296,384,48,48,  13,1.00,1.00,0.6642
504,8,28,82.38,HIGH,1296,336,1344,384,48,48,   3,1.00,1.00,0.4912
505,8,29,83.07,HIGH,1344,336,1392,384,48,48,   0,1.00,1.00,0.1446
506,8,30,84.07,HIGH,1392,336,1440,384,48,48,   4,1.00,1.00,0.5395
507,8,31,77.04,MEDIUM,1440,336,1488,384,48,48,   2,1.00,0.20,0.1614
508,8,32,71.53,MEDIUM,1488,336,1536,384,48,48,   2,1.00,0.20,0.1288
561,9,17,86.41,HIGH,768,384,816,432,48,48,  16,1.00,1.00,0.6781
562,9,18,92.93,HIGH,816,384,864,432,48,48,   7,1.00,1.00,0.6364
563,9,19,91.23,HIGH,864,384,912,432,48,48,   0,1.00,1.00,0.1900
564,9,20,85.68,HIGH,912,384,960,432,48,48,   4,1.00,1.00,0.5256
565,9,21,85.55,HIGH,960,384,1008,432,48,48,   1,1.00,1.00,0.2394
566,9,22,81.81,HIGH,1008,384,1056,432,48,48,   0,1.00,1.00,0.1443
567,9,23,81.90,HIGH,1056,384,1104,432,48,48,   2,1.00,1.00,0.3935
568,9,24,90.84,HIGH,1104,384,1152,432,48,48,   0,1.00,1.00,0.1296
569,9,25,82.90,HIGH,1152,384,1200,432,48,48,   0,1.00,1.00,0.0926
570,9,26,85.59,HIGH,1200,384,1248,432,48,48,   1,1.00,1.00,0.3819
571,9,27,81.60,HIGH,1248,384,1296,432,48,48,   2,1.00,1.00,0.4472
572,9,28,78.30,MEDIUM,1296,384,1344,432,48,48,   3,1.00,0.20,0.2325
573,9,29,77.47,MEDIUM,1344,384,1392,432,48,48,   1,1.00,0.20,0.1151
574,9,30,75.65,MEDIUM,1392,384,1440,432,48,48,  10,1.00,0.20,0.3874
575,9,31,79.95,MEDIUM,1440,384,1488,432,48,48,   1,1.00,0.20,0.1006
576,9,32,76.61,MEDIUM,1488,384,1536,432,48,48,   2,1.00,0.20,0.1433
628,10,16,80.82,HIGH,720,432,768,480,48,48,  26,1.00,1.00,0.6828
629,10,17,90.62,HIGH,768,432,816,480,48,48,   5,1.00,1.00,0.5837
630,10,18,87.76,HIGH,816,432,864,480,48,48,   5,1.00,1.00,0.5706
631,10,19,85.81,HIGH,864,432,912,480,48,48,  10,1.00,1.00,0.6425
632,10,20,87.02,HIGH,912,432,960,480,48,48,   0,1.00,1.00,0.1534
633,10,21,85.46,HIGH,960,432,1008,480,48,48,   4,1.00,1.00,0.5496
634,10,22,80.03,HIGH,1008,432,1056,480,48,48,   1,1.00,1.00,0.2971
635,10,23,81.03,HIGH,1056,432,1104,480,48,48,  12,1.00,1.00,0.6242
636,10,24,77.65,MEDIUM,1104,432,1152,480,48,48,   2,1.00,0.20,0.1687
637,10,25,82.29,HIGH,1152,432,1200,480,48,48,   0,1.00,1.00,0.1975
638,10,26,79.86,MEDIUM,1200,432,1248,480,48,48,   1,1.00,0.20,0.0632
639,10,27,79.08,MEDIUM,1248,432,1296,480,48,48,   1,1.00,0.20,0.0595
640,10,28,79.25,MEDIUM,1296,432,1344,480,48,48,   7,1.00,0.20,0.3435
641,10,29,78.39,MEDIUM,1344,432,1392,480,48,48,   7,1.00,0.20,0.3544
642,10,30,85.07,HIGH,1392,432,1440,480,48,48,   1,1.00,1.00,0.3958
643,10,31,79.90,MEDIUM,1440,432,1488,480,48,48,   3,1.00,0.20,0.2237
644,10,32,77.95,MEDIUM,1488,432,1536,480,48,48,   1,1.00,0.20,0.1139
665,10,53,55.82,MEDIUM,2496,432,2544,480,48,48,  18,1.00,0.20,0.3216
666,10,54,62.72,MEDIUM,2544,432,2592,480,48,48,   2,1.00,0.20,0.1296
667,10,55,37.89,MEDIUM,2592,432,2640,480,48,48,   1,1.00,0.20,0.0200
694,11,14,56.25,MEDIUM,624,480,672,528,48,48,  31,1.00,0.20,0.3855
695,11,15,90.49,HIGH,672,480,720,528,48,48,  23,1.00,1.00,0.7222
696,11,16,91.62,HIGH,720,480,768,528,48,48,  21,1.00,1.00,0.7227
697,11,17,89.80,HIGH,768,480,816,528,48,48,   2,1.00,1.00,0.4293
698,11,18,86.55,HIGH,816,480,864,528,48,48,   4,1.00,1.00,0.5542
699,11,19,79.38,MEDIUM,864,480,912,528,48,48,   2,1.00,0.20,0.1598
700,11,20,85.07,HIGH,912,480,960,528,48,48,   2,1.00,1.00,0.4190
701,11,21,72.74,MEDIUM,960,480,1008,528,48,48,   3,1.00,0.20,0.1995
702,11,22,79.12,MEDIUM,1008,480,1056,528,48,48,   0,1.00,0.20,0.0289
703,11,23,78.39,MEDIUM,1056,480,1104,528,48,48,   5,1.00,0.20,0.2875
704,11,24,77.39,MEDIUM,1104,480,1152,528,48,48,   0,1.00,0.20,0.0447
705,11,25,79.04,MEDIUM,1152,480,1200,528,48,48,   0,1.00,0.20,0.0083
706,11,26,78.82,MEDIUM,1200,480,1248,528,48,48,   0,1.00,0.20,0.0159
707,11,27,80.38,HIGH,1248,480,1296,528,48,48,   5,1.00,1.00,0.5437
708,11,28,78.30,MEDIUM,1296,480,1344,528,48,48,   6,1.00,0.20,0.3280
709,11,29,86.46,HIGH,1344,480,1392,528,48,48,  18,1.00,1.00,0.6883
710,11,30,83.51,HIGH,1392,480,1440,528,48,48,   1,1.00,1.00,0.3828
711,11,31,79.77,MEDIUM,1440,480,1488,528,48,48,   1,1.00,0.20,0.0901
712,11,32,69.57,MEDIUM,1488,480,1536,528,48,48,   1,1.00,0.20,0.0487
713,11,33,17.45,MEDIUM,1536,480,1584,528,48,48,   1,1.00,0.20,0.0032
731,11,51,62.24,MEDIUM,2400,480,2448,528,48,48,  51,1.00,0.20,0.4840
732,11,52,93.45,HIGH,2448,480,2496,528,48,48,  27,1.00,1.00,0.7449
733,11,53,93.88,HIGH,2496,480,2544,528,48,48,   4,1.00,1.00,0.5965
734,11,54,92.62,HIGH,2544,480,2592,528,48,48, 100,1.00,1.00,0.7984
735,11,55,86.11,HIGH,2592,480,2640,528,48,48,   4,1.00,1.00,0.5576
736,11,56,72.53,MEDIUM,2640,480,2688,528,48,48,   4,1.00,0.20,0.2463
737,11,57,30.03,MEDIUM,2688,480,2736,528,48,48,   3,1.00,0.20,0.0361
761,12,13,19.62,MEDIUM,576,528,624,576,48,48,  18,1.00,0.20,0.0548
762,12,14,96.27,HIGH,624,528,672,576,48,48,   4,1.00,1.00,0.5999
763,12,15,96.01,HIGH,672,528,720,576,48,48,   3,1.00,1.00,0.5409
764,12,16,91.67,HIGH,720,528,768,576,48,48,  38,1.00,1.00,0.7552
765,12,17,90.45,HIGH,768,528,816,576,48,48,  31,1.00,1.00,0.7400
766,12,18,84.11,HIGH,816,528,864,576,48,48,   7,1.00,1.00,0.6004
767,12,19,80.99,HIGH,864,528,912,576,48,48,   1,1.00,1.00,0.3422
768,12,20,75.61,MEDIUM,912,528,960,576,48,48,   1,1.00,0.20,0.1189
769,12,21,69.40,MEDIUM,960,528,1008,576,48,48,   1,1.00,0.20,0.0592
770,12,22,71.18,MEDIUM,1008,528,1056,576,48,48,   6,1.00,0.20,0.2907
771,12,23,75.61,MEDIUM,1056,528,1104,576,48,48,   2,1.00,0.20,0.1789
772,12,24,75.52,MEDIUM,1104,528,1152,576,48,48,   1,1.00,0.20,0.0590
773,12,25,74.78,MEDIUM,1152,528,1200,576,48,48,   0,1.00,0.20,0.0117
774,12,26,77.91,MEDIUM,1200,528,1248,576,48,48,   0,1.00,0.20,0.0139
775,12,27,76.35,MEDIUM,1248,528,1296,576,48,48,   2,1.00,0.20,0.1670
776,12,28,64.71,MEDIUM,1296,528,1344,576,48,48,  14,1.00,0.20,0.3554
777,12,29,76.82,MEDIUM,1344,528,1392,576,48,48,  23,1.00,0.20,0.5056
778,12,30,78.30,MEDIUM,1392,528,1440,576,48,48,   4,1.00,0.20,0.2712
779,12,31,75.43,MEDIUM,1440,528,1488,576,48,48,   4,1.00,0.20,0.2613
780,12,32,73.39,MEDIUM,1488,528,1536,576,48,48,   3,1.00,0.20,0.1946
781,12,33,15.06,MEDIUM,1536,528,1584,576,48,48,   2,1.00,0.20,0.0079
796,12,48,20.05,MEDIUM,2256,528,2304,576,48,48,  43,1.00,0.20,0.0835
797,12,49,41.80,MEDIUM,2304,528,2352,576,48,48,  28,1.00,0.20,0.2468
798,12,50,84.16,HIGH,2352,528,2400,576,48,48,  11,1.00,1.00,0.6340
799,12,51,82.07,HIGH,2400,528,2448,576,48,48,   4,1.00,1.00,0.5321
800,12,52,72.27,MEDIUM,2448,528,2496,576,48,48,   1,1.00,0.20,0.1065
801,12,53,75.61,MEDIUM,2496,528,2544,576,48,48,   4,1.00,0.20,0.2614
802,12,54,79.47,MEDIUM,2544,528,2592,576,48,48,   9,1.00,0.20,0.3915
803,12,55,79.30,MEDIUM,2592,528,2640,576,48,48,   2,1.00,0.20,0.1921
804,12,56,80.08,HIGH,2640,528,2688,576,48,48,   3,1.00,1.00,0.4735
805,12,57,89.54,HIGH,2688,528,2736,576,48,48,   0,1.00,1.00,0.1792
806,12,58,59.03,MEDIUM,2736,528,2784,576,48,48,   1,1.00,0.20,0.0817
807,12,59,45.75,MEDIUM,2784,528,2832,576,48,48,   2,1.00,0.20,0.0555
808,12,60,28.30,MEDIUM,2832,528,2880,576,48,48,   1,1.00,0.20,0.0079
830,13,14,41.15,MEDIUM,624,576,672,624,48,48,   3,1.00,0.20,0.0688
831,13,15,91.71,HIGH,672,576,720,624,48,48,   0,1.00,1.00,0.1586
832,13,16,74.09,MEDIUM,720,576,768,624,48,48,  59,1.00,0.20,0.5832
833,13,17,94.01,HIGH,768,576,816,624,48,48,  42,1.00,1.00,0.7690
834,13,18,80.16,HIGH,816,576,864,624,48,48,   0,1.00,1.00,0.2013
835,13,19,81.21,HIGH,864,576,912,624,48,48,   1,1.00,1.00,0.2763
836,13,20,78.39,MEDIUM,912,576,960,624,48,48,   1,1.00,0.20,0.0606
837,13,21,71.40,MEDIUM,960,576,1008,624,48,48,   2,1.00,0.20,0.1198
838,13,22,70.79,MEDIUM,1008,576,1056,624,48,48,   1,1.00,0.20,0.0945
839,13,23,73.65,MEDIUM,1056,576,1104,624,48,48,   1,1.00,0.20,0.0558
840,13,24,66.71,MEDIUM,1104,576,1152,624,48,48,   2,1.00,0.20,0.1307
841,13,25,79.51,MEDIUM,1152,576,1200,624,48,48,   0,1.00,0.20,0.0434
842,13,26,75.13,MEDIUM,1200,576,1248,624,48,48,   1,1.00,0.20,0.0542
843,13,27,81.03,HIGH,1248,576,1296,624,48,48,   3,1.00,1.00,0.4548
844,13,28,78.65,MEDIUM,1296,576,1344,624,48,48,   1,1.00,0.20,0.1007
845,13,29,81.86,HIGH,1344,576,1392,624,48,48,   9,1.00,1.00,0.6041
846,13,30,80.34,HIGH,1392,576,1440,624,48,48,   6,1.00,1.00,0.5538
847,13,31,77.82,MEDIUM,1440,576,1488,624,48,48,   3,1.00,0.20,0.2367
848,13,32,75.39,MEDIUM,1488,576,1536,624,48,48,   3,1.00,0.20,0.1922
849,13,33,17.58,MEDIUM,1536,576,1584,624,48,48,   3,1.00,0.20,0.0134
864,13,48,26.35,MEDIUM,2256,576,2304,624,48,48,  50,1.00,0.20,0.1425
865,13,49,63.59,MEDIUM,2304,576,2352,624,48,48,  10,1.00,0.20,0.3047
