Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2816x1856
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2816x1856
Scaled Tile Size: 48x48
Total Mask: 97.06%, Total Tissue: 2.94%
Tiles: 59x39 = 2301
    36 ( 1.56%) tiles >=80% tissue
    66 ( 2.87%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
381,7,27,26.09,MEDIUM,1248,288,1296,336,48,48,   1,1.00,0.20,0.0077
382,7,28,28.30,MEDIUM,1296,288,1344,336,48,48,   1,1.00,0.20,0.0189
383,7,29,30.60,MEDIUM,1344,288,1392,336,48,48,   1,1.00,0.20,0.0229
438,8,25,44.62,MEDIUM,1152,336,1200,384,48,48,   1,1.00,0.20,0.0268
439,8,26,84.20,HIGH,1200,336,1248,384,48,48,   1,1.00,1.00,0.3089
440,8,27,80.34,HIGH,1248,336,1296,384,48,48,   0,1.00,1.00,0.2050
441,8,28,79.60,MEDIUM,1296,336,1344,384,48,48,   3,1.00,0.20,0.2372
442,8,29,87.72,HIGH,1344,336,1392,384,48,48,   3,1.00,1.00,0.5018
443,8,30,96.92,HIGH,1392,336,1440,384,48,48,   3,1.00,1.00,0.5787
444,8,31,96.48,HIGH,1440,336,1488,384,48,48,   5,1.00,1.00,0.6172
445,8,32,51.22,MEDIUM,1488,336,1536,384,48,48,   4,1.00,0.20,0.1279
497,9,25,89.37,HIGH,1152,384,1200,432,48,48,   0,1.00,1.00,0.2014
498,9,26,79.60,MEDIUM,1200,384,1248,432,48,48,   0,1.00,0.20,0.0000
499,9,27,70.75,MEDIUM,1248,384,1296,432,48,48,   0,1.00,0.20,0.0015
500,9,28,37.20,MEDIUM,1296,384,1344,432,48,48,   0,1.00,0.20,0.0036
501,9,29,71.74,MEDIUM,1344,384,1392,432,48,48,   3,1.00,0.20,0.2110
502,9,30,83.64,HIGH,1392,384,1440,432,48,48,   3,1.00,1.00,0.4811
503,9,31,87.37,HIGH,1440,384,1488,432,48,48,  23,1.00,1.00,0.7084
504,9,32,97.01,HIGH,1488,384,1536,432,48,48,   8,1.00,1.00,0.6757
505,9,33,55.56,MEDIUM,1536,384,1584,432,48,48,   2,1.00,0.20,0.0772
556,10,25,45.14,MEDIUM,1152,432,1200,480,48,48,  71,1.00,0.20,0.3562
557,10,26,75.09,MEDIUM,1200,432,1248,480,48,48,   1,1.00,0.20,0.0891
558,10,27,66.75,MEDIUM,1248,432,1296,480,48,48,   0,1.00,0.20,0.0000
560,10,29,59.42,MEDIUM,1344,432,1392,480,48,48,   9,1.00,0.20,0.2683
561,10,30,71.48,MEDIUM,1392,432,1440,480,48,48,   2,1.00,0.20,0.1583
