Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 4144x3192
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 4144x3192
Scaled Tile Size: 48x48
Total Mask: 89.84%, Total Tissue: 10.16%
Tiles: 87x67 = 5829
   358 ( 6.14%) tiles >=80% tissue
   557 ( 9.56%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
180,3,6,12.54,MEDIUM,240,96,288,144,48,48, 102,1.00,0.20,0.0460
358,5,10,25.87,MEDIUM,432,192,480,240,48,48, 100,1.00,0.20,0.1694
359,5,11,20.05,MEDIUM,480,192,528,240,48,48,  74,1.00,0.20,0.1000
360,5,12,15.02,MEDIUM,528,192,576,240,48,48,  78,1.00,0.20,0.0596
444,6,9,18.71,MEDIUM,384,240,432,288,48,48,  89,1.00,0.20,0.0931
445,6,10,36.02,MEDIUM,432,240,480,288,48,48, 103,1.00,0.20,0.2848
446,6,11,53.04,MEDIUM,480,240,528,288,48,48,  90,1.00,0.20,0.4529
447,6,12,38.19,MEDIUM,528,240,576,288,48,48,  66,1.00,0.20,0.2787
448,6,13,42.19,MEDIUM,576,240,624,288,48,48,  73,1.00,0.20,0.3284
449,6,14,14.63,MEDIUM,624,240,672,288,48,48,  78,1.00,0.20,0.0568
450,6,15,15.41,MEDIUM,672,240,720,288,48,48,   0,0.49,0.20,0.0000
533,7,11,51.39,MEDIUM,480,288,528,336,48,48,  81,1.00,0.20,0.4291
534,7,12,19.53,MEDIUM,528,288,576,336,48,48,  86,1.00,0.20,0.0996
538,7,16,21.05,MEDIUM,720,288,768,336,48,48,   0,0.49,0.20,0.0005
627,8,18,18.19,MEDIUM,816,336,864,384,48,48,   0,1.00,0.20,0.0004
715,9,19,19.88,MEDIUM,864,384,912,432,48,48,   0,1.00,0.20,0.0000
799,10,16,31.77,MEDIUM,720,432,768,480,48,48,  55,1.00,0.20,0.2010
886,11,16,15.45,MEDIUM,720,480,768,528,48,48,  71,1.00,0.20,0.0610
892,11,22,25.78,MEDIUM,1008,480,1056,528,48,48,   0,1.00,0.20,0.0009
893,11,23,24.18,MEDIUM,1056,480,1104,528,48,48,   2,1.00,0.20,0.0182
950,11,80,18.23,MEDIUM,3792,480,3840,528,48,48,  34,1.00,0.20,0.0640
967,12,10,16.23,MEDIUM,432,528,480,576,48,48, 124,1.00,0.20,0.0789
973,12,16,23.05,MEDIUM,720,528,768,576,48,48,  58,1.00,0.20,0.1188
981,12,24,38.72,MEDIUM,1104,528,1152,576,48,48,   1,1.00,0.20,0.0363
982,12,25,55.90,MEDIUM,1152,528,1200,576,48,48,  10,1.00,0.20,0.2497
983,12,26,28.99,MEDIUM,1200,528,1248,576,48,48,   0,1.00,0.20,0.0004
