Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3320x9591
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 3320x9591
Scaled Tile Size: 48x48
Total Mask: 96.50%, Total Tissue: 3.50%
Tiles: 70x200 = 14000
   405 ( 2.89%) tiles >=80% tissue
   195 ( 1.39%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
1771,26,21,62.50,MEDIUM,960,1200,1008,1248,48,48,  68,1.00,0.20,0.5114
1772,26,22,76.52,MEDIUM,1008,1200,1056,1248,48,48,  20,1.00,0.20,0.4867
1773,26,23,16.10,MEDIUM,1056,1200,1104,1248,48,48,  97,1.00,0.20,0.0726
1840,27,20,15.97,MEDIUM,912,1248,960,1296,48,48,  19,1.00,0.20,0.0382
1841,27,21,67.62,MEDIUM,960,1248,1008,1296,48,48,  56,1.00,0.20,0.5337
1842,27,22,73.35,MEDIUM,1008,1248,1056,1296,48,48,  52,1.00,0.20,0.5663
1843,27,23,54.64,MEDIUM,1056,1248,1104,1296,48,48,  35,1.00,0.20,0.3828
1844,27,24,22.83,MEDIUM,1104,1248,1152,1296,48,48,  30,1.00,0.20,0.0917
1910,28,20,84.07,HIGH,912,1296,960,1344,48,48,   9,1.00,1.00,0.6172
1911,28,21,64.63,MEDIUM,960,1296,1008,1344,48,48,   9,1.00,0.20,0.2958
1912,28,22,92.58,HIGH,1008,1296,1056,1344,48,48,  10,1.00,1.00,0.6708
1913,28,23,82.34,HIGH,1056,1296,1104,1344,48,48,   8,1.00,1.00,0.6012
1914,28,24,53.65,MEDIUM,1104,1296,1152,1344,48,48,  42,1.00,0.20,0.3918
1915,28,25,41.06,MEDIUM,1152,1296,1200,1344,48,48,  14,1.00,0.20,0.1848
1920,28,30,24.31,MEDIUM,1392,1296,1440,1344,48,48,7159,1.00,0.20,0.3004
1921,28,31,50.56,MEDIUM,1440,1296,1488,1344,48,48,6661,1.00,0.20,0.6478
1941,28,51,39.71,MEDIUM,2400,1296,2448,1344,48,48,  11,1.00,0.20,0.1551
1942,28,52,23.44,MEDIUM,2448,1296,2496,1344,48,48,  12,1.00,0.20,0.0627
1979,29,19,51.26,MEDIUM,864,1344,912,1392,48,48,   3,1.00,0.20,0.1137
1980,29,20,91.67,HIGH,912,1344,960,1392,48,48,   3,1.00,1.00,0.5296
1981,29,21,87.89,HIGH,960,1344,1008,1392,48,48,   3,1.00,1.00,0.5011
1982,29,22,89.50,HIGH,1008,1344,1056,1392,48,48,   4,1.00,1.00,0.5582
1983,29,23,91.67,HIGH,1056,1344,1104,1392,48,48,   5,1.00,1.00,0.6053
1984,29,24,87.02,HIGH,1104,1344,1152,1392,48,48,   3,1.00,1.00,0.5103
1985,29,25,85.46,HIGH,1152,1344,1200,1392,48,48,  73,1.00,1.00,0.7587
1986,29,26,55.51,MEDIUM,1200,1344,1248,1392,48,48, 833,1.00,0.20,0.6122
2012,29,52,15.84,MEDIUM,2448,1344,2496,1392,48,48,   2,1.00,0.20,0.0076
2049,30,19,59.81,MEDIUM,864,1392,912,1440,48,48,   4,1.00,0.20,0.1846
2050,30,20,91.06,HIGH,912,1392,960,1440,48,48,   5,1.00,1.00,0.5970
2051,30,21,87.41,HIGH,960,1392,1008,1440,48,48,   3,1.00,1.00,0.4898
2052,30,22,84.72,HIGH,1008,1392,1056,1440,48,48,   4,1.00,1.00,0.5225
2053,30,23,90.54,HIGH,1056,1392,1104,1440,48,48,   8,1.00,1.00,0.6431
2054,30,24,88.06,HIGH,1104,1392,1152,1440,48,48,   7,1.00,1.00,0.6212
2055,30,25,87.72,HIGH,1152,1392,1200,1440,48,48,   7,1.00,1.00,0.6096
2056,30,26,85.16,HIGH,1200,1392,1248,1440,48,48,   2,1.00,1.00,0.4161
2057,30,27,28.69,MEDIUM,1248,1392,1296,1440,48,48,   2,1.00,0.20,0.0293
2119,31,19,64.28,MEDIUM,864,1440,912,1488,48,48,   4,1.00,0.20,0.1874
