Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2108x816
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2108x816
Scaled Tile Size: 48x48
Total Mask: 60.29%, Total Tissue: 39.71%
Tiles: 44x17 = 748
   262 (35.03%) tiles >=80% tissue
    92 (12.30%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
95,3,7,50.04,MEDIUM,288,96,336,144,48,48,   0,1.00,0.20,0.0000
96,3,8,75.39,MEDIUM,336,96,384,144,48,48,   0,1.00,0.20,0.0426
97,3,9,13.80,MEDIUM,384,96,432,144,48,48,   0,1.00,0.20,0.0000
99,3,11,30.51,MEDIUM,480,96,528,144,48,48,   0,1.00,0.20,0.0000
100,3,12,82.64,HIGH,528,96,576,144,48,48,   0,1.00,1.00,0.0000
101,3,13,34.55,MEDIUM,576,96,624,144,48,48,   0,1.00,0.20,0.0000
138,4,6,44.36,MEDIUM,240,144,288,192,48,48,   0,1.00,0.20,0.0000
139,4,7,86.76,HIGH,288,144,336,192,48,48,   0,1.00,1.00,0.0000
140,4,8,92.10,HIGH,336,144,384,192,48,48,   0,1.00,1.00,0.0000
141,4,9,86.46,HIGH,384,144,432,192,48,48,   0,1.00,1.00,0.0000
142,4,10,27.65,MEDIUM,432,144,480,192,48,48,   0,1.00,0.20,0.0000
143,4,11,30.64,MEDIUM,480,144,528,192,48,48,   0,1.00,0.20,0.0000
144,4,12,73.18,MEDIUM,528,144,576,192,48,48,   0,1.00,0.20,0.0000
145,4,13,86.94,HIGH,576,144,624,192,48,48,   0,1.00,1.00,0.0000
146,4,14,81.99,HIGH,624,144,672,192,48,48,   0,1.00,1.00,0.0000
147,4,15,22.05,MEDIUM,672,144,720,192,48,48,   0,1.00,0.20,0.0000
150,4,18,30.16,MEDIUM,816,144,864,192,48,48,   0,1.00,0.20,0.0006
152,4,20,33.42,MEDIUM,912,144,960,192,48,48,   0,1.00,0.20,0.0000
153,4,21,35.11,MEDIUM,960,144,1008,192,48,48,   0,1.00,0.20,0.0000
154,4,22,14.93,MEDIUM,1008,144,1056,192,48,48,   0,1.00,0.20,0.0000
156,4,24,26.87,MEDIUM,1104,144,1152,192,48,48,   0,1.00,0.20,0.0000
157,4,25,64.63,MEDIUM,1152,144,1200,192,48,48,   0,1.00,0.20,0.0000
158,4,26,45.10,MEDIUM,1200,144,1248,192,48,48,   0,1.00,0.20,0.0000
162,4,30,67.66,MEDIUM,1392,144,1440,192,48,48,   0,1.00,0.20,0.0000
163,4,31,29.21,MEDIUM,1440,144,1488,192,48,48,   3,1.00,0.20,0.0372
168,4,36,14.02,MEDIUM,1680,144,1728,192,48,48,   0,1.00,0.20,0.0000
169,4,37,19.53,MEDIUM,1728,144,1776,192,48,48,   0,1.00,0.20,0.0000
170,4,38,14.71,MEDIUM,1776,144,1824,192,48,48,   0,1.00,0.20,0.0003
171,4,39,18.06,MEDIUM,1824,144,1872,192,48,48,   0,1.00,0.20,0.0000
181,5,5,32.12,MEDIUM,192,192,240,240,48,48,   1,1.00,0.20,0.0167
182,5,6,90.15,HIGH,240,192,288,240,48,48,   0,1.00,1.00,0.0665
183,5,7,94.88,HIGH,288,192,336,240,48,48,   0,1.00,1.00,0.0000
184,5,8,91.67,HIGH,336,192,384,240,48,48,   0,1.00,1.00,0.0000
185,5,9,95.10,HIGH,384,192,432,240,48,48,   0,1.00,1.00,0.0000
186,5,10,74.78,MEDIUM,432,192,480,240,48,48,   2,1.00,0.20,0.1529
187,5,11,37.89,MEDIUM,480,192,528,240,48,48,   0,1.00,0.20,0.0000
188,5,12,94.40,HIGH,528,192,576,240,48,48,   0,1.00,1.00,0.0000
189,5,13,93.32,HIGH,576,192,624,240,48,48,   0,1.00,1.00,0.0000
190,5,14,92.01,HIGH,624,192,672,240,48,48,   0,1.00,1.00,0.0000
191,5,15,80.25,HIGH,672,192,720,240,48,48,   0,1.00,1.00,0.0000
194,5,18,87.15,HIGH,816,192,864,240,48,48,   0,1.00,1.00,0.0000
195,5,19,73.00,MEDIUM,864,192,912,240,48,48,   0,1.00,0.20,0.0000
197,5,21,57.20,MEDIUM,960,192,1008,240,48,48,   0,1.00,0.20,0.0000
198,5,22,56.73,MEDIUM,1008,192,1056,240,48,48,   0,1.00,0.20,0.0000
199,5,23,61.50,MEDIUM,1056,192,1104,240,48,48,   0,1.00,0.20,0.0000
200,5,24,79.77,MEDIUM,1104,192,1152,240,48,48,   0,1.00,0.20,0.0000
201,5,25,93.14,HIGH,1152,192,1200,240,48,48,   0,1.00,1.00,0.0000
202,5,26,52.69,MEDIUM,1200,192,1248,240,48,48,   0,1.00,0.20,0.0000
203,5,27,28.86,MEDIUM,1248,192,1296,240,48,48,   0,1.00,0.20,0.0000
206,5,30,73.48,MEDIUM,1392,192,1440,240,48,48,   0,1.00,0.20,0.0000
207,5,31,77.30,MEDIUM,1440,192,1488,240,48,48,   0,1.00,0.20,0.0000
208,5,32,61.02,MEDIUM,1488,192,1536,240,48,48,   0,1.00,0.20,0.0000
209,5,33,48.65,MEDIUM,1536,192,1584,240,48,48,   0,1.00,0.20,0.0000
210,5,34,62.72,MEDIUM,1584,192,1632,240,48,48,   0,1.00,0.20,0.0000
211,5,35,61.81,MEDIUM,1632,192,1680,240,48,48,   0,1.00,0.20,0.0000
212,5,36,68.14,MEDIUM,1680,192,1728,240,48,48,   0,1.00,0.20,0.0000
213,5,37,89.06,HIGH,1728,192,1776,240,48,48,   0,1.00,1.00,0.0886
214,5,38,67.14,MEDIUM,1776,192,1824,240,48,48,   0,1.00,0.20,0.0045
215,5,39,87.93,HIGH,1824,192,1872,240,48,48,   0,1.00,1.00,0.0870
216,5,40,63.45,MEDIUM,1872,192,1920,240,48,48,   0,1.00,0.20,0.0000
224,6,4,29.30,MEDIUM,144,240,192,288,48,48,   1,1.00,0.20,0.0162
225,6,5,94.84,HIGH,192,240,240,288,48,48,   0,1.00,1.00,0.1981
226,6,6,93.58,HIGH,240,240,288,288,48,48,   0,1.00,1.00,0.0000
227,6,7,96.35,HIGH,288,240,336,288,48,48,   0,1.00,1.00,0.1423
228,6,8,94.79,HIGH,336,240,384,288,48,48,   0,1.00,1.00,0.0000
229,6,9,94.23,HIGH,384,240,432,288,48,48,   0,1.00,1.00,0.0000
230,6,10,93.06,HIGH,432,240,480,288,48,48,   0,1.00,1.00,0.0000
231,6,11,92.71,HIGH,480,240,528,288,48,48,   0,1.00,1.00,0.0000
232,6,12,95.66,HIGH,528,240,576,288,48,48,   2,1.00,1.00,0.5270
233,6,13,94.44,HIGH,576,240,624,288,48,48,   6,1.00,1.00,0.6326
234,6,14,94.62,HIGH,624,240,672,288,48,48,   8,1.00,1.00,0.6602
235,6,15,93.23,HIGH,672,240,720,288,48,48,   0,1.00,1.00,0.0000
236,6,16,47.70,MEDIUM,720,240,768,288,48,48,   3,1.00,0.20,0.0904
238,6,18,92.84,HIGH,816,240,864,288,48,48,   0,1.00,1.00,0.0000
239,6,19,91.49,HIGH,864,240,912,288,48,48,   0,1.00,1.00,0.0000
240,6,20,22.14,MEDIUM,912,240,960,288,48,48,   0,1.00,0.20,0.0000
242,6,22,32.25,MEDIUM,1008,240,1056,288,48,48,   0,1.00,0.20,0.0000
243,6,23,90.02,HIGH,1056,240,1104,288,48,48,   2,1.00,1.00,0.4321
244,6,24,92.53,HIGH,1104,240,1152,288,48,48,   0,1.00,1.00,0.0000
245,6,25,92.49,HIGH,1152,240,1200,288,48,48,   1,1.00,1.00,0.4230
246,6,26,68.53,MEDIUM,1200,240,1248,288,48,48,   0,1.00,0.20,0.0000
247,6,27,65.45,MEDIUM,1248,240,1296,288,48,48,   0,1.00,0.20,0.0000
248,6,28,54.34,MEDIUM,1296,240,1344,288,48,48,   0,1.00,0.20,0.0000
250,6,30,74.83,MEDIUM,1392,240,1440,288,48,48,   0,1.00,0.20,0.0000
251,6,31,94.88,HIGH,1440,240,1488,288,48,48,   0,1.00,1.00,0.0000
252,6,32,91.80,HIGH,1488,240,1536,288,48,48,   0,1.00,1.00,0.0000
253,6,33,85.37,HIGH,1536,240,1584,288,48,48,   1,1.00,1.00,0.2678
254,6,34,90.28,HIGH,1584,240,1632,288,48,48,   0,1.00,1.00,0.2417
255,6,35,82.77,HIGH,1632,240,1680,288,48,48,   4,1.00,1.00,0.5344
256,6,36,71.57,MEDIUM,1680,240,1728,288,48,48,  12,1.00,0.20,0.3823
257,6,37,86.33,HIGH,1728,240,1776,288,48,48,   5,1.00,1.00,0.5685
258,6,38,91.84,HIGH,1776,240,1824,288,48,48,   0,1.00,1.00,0.0000
259,6,39,93.84,HIGH,1824,240,1872,288,48,48,   0,1.00,1.00,0.0000
260,6,40,96.70,HIGH,1872,240,1920,288,48,48,   0,1.00,1.00,0.0000
261,6,41,78.65,MEDIUM,1920,240,1968,288,48,48,   3,1.00,0.20,0.2161
268,7,4,80.95,HIGH,144,288,192,336,48,48,   1,1.00,1.00,0.2746
269,7,5,98.52,HIGH,192,288,240,336,48,48,   0,1.00,1.00,0.0000
270,7,6,97.05,HIGH,240,288,288,336,48,48,   0,1.00,1.00,0.0000
271,7,7,98.35,HIGH,288,288,336,336,48,48,   1,1.00,1.00,0.4203
272,7,8,97.70,HIGH,336,288,384,336,48,48,   3,1.00,1.00,0.5768
273,7,9,95.83,HIGH,384,288,432,336,48,48,   0,1.00,1.00,0.0000
274,7,10,94.57,HIGH,432,288,480,336,48,48,   0,1.00,1.00,0.0000
275,7,11,95.05,HIGH,480,288,528,336,48,48,   0,1.00,1.00,0.0499
276,7,12,93.66,HIGH,528,288,576,336,48,48,   0,1.00,1.00,0.0000
