Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3072x3360
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 3072x3360
Scaled Tile Size: 48x48
Total Mask: 72.99%, Total Tissue: 27.01%
Tiles: 64x70 = 4480
   955 (21.32%) tiles >=80% tissue
   574 (12.81%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
410,7,26,22.53,MEDIUM,1200,288,1248,336,48,48,   0,1.00,0.20,0.0000
411,7,27,23.13,MEDIUM,1248,288,1296,336,48,48,   0,1.00,0.20,0.0000
469,8,21,62.15,MEDIUM,960,336,1008,384,48,48,   0,1.00,0.20,0.0336
470,8,22,18.10,MEDIUM,1008,336,1056,384,48,48,   0,1.00,0.20,0.0000
474,8,26,30.21,MEDIUM,1200,336,1248,384,48,48,   0,1.00,0.20,0.0065
475,8,27,91.15,HIGH,1248,336,1296,384,48,48,   0,1.00,1.00,0.1725
476,8,28,47.92,MEDIUM,1296,336,1344,384,48,48,  45,1.00,0.20,0.3464
477,8,29,18.62,MEDIUM,1344,336,1392,384,48,48,   0,1.00,0.20,0.0000
478,8,30,15.32,MEDIUM,1392,336,1440,384,48,48,   0,1.00,0.20,0.0000
533,9,21,66.32,MEDIUM,960,384,1008,432,48,48,   1,1.00,0.20,0.0872
534,9,22,75.13,MEDIUM,1008,384,1056,432,48,48,   0,1.00,0.20,0.0038
535,9,23,27.39,MEDIUM,1056,384,1104,432,48,48,   0,1.00,0.20,0.0000
540,9,28,32.99,MEDIUM,1296,384,1344,432,48,48,  11,1.00,0.20,0.1112
541,9,29,45.92,MEDIUM,1344,384,1392,432,48,48,   0,1.00,0.20,0.0000
542,9,30,64.84,MEDIUM,1392,384,1440,432,48,48,   0,1.00,0.20,0.0000
543,9,31,69.27,MEDIUM,1440,384,1488,432,48,48,   0,1.00,0.20,0.0000
544,9,32,58.81,MEDIUM,1488,384,1536,432,48,48,   0,1.00,0.20,0.0000
545,9,33,46.48,MEDIUM,1536,384,1584,432,48,48,   1,1.00,0.20,0.0349
