Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3320x9591
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 3320x9591
Scaled Tile Size: 48x48
Total Mask: 94.76%, Total Tissue: 5.24%
Tiles: 70x200 = 14000
   603 ( 4.31%) tiles >=80% tissue
   280 ( 2.00%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
2849,41,49,20.83,MEDIUM,2304,1920,2352,1968,48,48,  11,1.00,0.20,0.0475
2903,42,33,98.44,HIGH,1536,1968,1584,2016,48,48, 131,1.00,1.00,0.8255
2904,42,34,74.18,MEDIUM,1584,1968,1632,2016,48,48,  17,1.00,0.20,0.4473
2905,42,35,46.14,MEDIUM,1632,1968,1680,2016,48,48,   6,1.00,0.20,0.1430
2906,42,36,93.36,HIGH,1680,1968,1728,2016,48,48,   9,1.00,1.00,0.6687
2907,42,37,71.61,MEDIUM,1728,1968,1776,2016,48,48,   6,1.00,0.20,0.2772
2908,42,38,48.65,MEDIUM,1776,1968,1824,2016,48,48,   7,1.00,0.20,0.1731
2909,42,39,38.11,MEDIUM,1824,1968,1872,2016,48,48,   3,1.00,0.20,0.0606
2910,42,40,61.28,MEDIUM,1872,1968,1920,2016,48,48,   4,1.00,0.20,0.1713
2911,42,41,18.10,MEDIUM,1920,1968,1968,2016,48,48,  45,1.00,0.20,0.0702
2912,42,42,49.13,MEDIUM,1968,1968,2016,2016,48,48,   2,1.00,0.20,0.0884
2913,42,43,69.18,MEDIUM,2016,1968,2064,2016,48,48,  10,1.00,0.20,0.3400
2914,42,44,55.25,MEDIUM,2064,1968,2112,2016,48,48,   3,1.00,0.20,0.1150
2915,42,45,24.61,MEDIUM,2112,1968,2160,2016,48,48,   9,1.00,0.20,0.0598
2973,43,33,48.48,MEDIUM,1536,2016,1584,2064,48,48, 712,1.00,0.20,0.5385
