Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2560x2880
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2560x2880
Scaled Tile Size: 48x48
Total Mask: 71.81%, Total Tissue: 28.19%
Tiles: 54x60 = 3240
   664 (20.49%) tiles >=80% tissue
   552 (17.04%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
24,1,24,52.73,MEDIUM,1104,0,1152,48,48,48,   6,1.00,0.20,0.1831
25,1,25,69.70,MEDIUM,1152,0,1200,48,48,48,  10,1.00,0.20,0.3544
26,1,26,77.13,MEDIUM,1200,0,1248,48,48,48,  24,1.00,0.20,0.5129
27,1,27,80.56,HIGH,1248,0,1296,48,48,48,  17,1.00,1.00,0.6515
28,1,28,46.09,MEDIUM,1296,0,1344,48,48,48,   4,1.00,0.20,0.1014
64,2,10,17.40,MEDIUM,432,48,480,96,48,48,   0,1.00,0.20,0.0022
65,2,11,65.80,MEDIUM,480,48,528,96,48,48,   2,1.00,0.20,0.1162
66,2,12,18.45,MEDIUM,528,48,576,96,48,48,   4,1.00,0.20,0.0182
67,2,13,51.52,MEDIUM,576,48,624,96,48,48,   6,1.00,0.20,0.1796
68,2,14,68.58,MEDIUM,624,48,672,96,48,48,   6,1.00,0.20,0.2730
69,2,15,58.33,MEDIUM,672,48,720,96,48,48,   4,1.00,0.20,0.1729
70,2,16,48.87,MEDIUM,720,48,768,96,48,48,  12,1.00,0.20,0.2265
71,2,17,18.01,MEDIUM,768,48,816,96,48,48,   8,1.00,0.20,0.0308
78,2,24,45.70,MEDIUM,1104,48,1152,96,48,48, 146,1.00,0.20,0.4158
80,2,26,22.44,MEDIUM,1200,48,1248,96,48,48,  38,0.49,0.20,0.0722
81,2,27,60.46,MEDIUM,1248,48,1296,96,48,48,  50,1.00,0.20,0.4663
82,2,28,88.19,HIGH,1296,48,1344,96,48,48,  14,1.00,1.00,0.6793
83,2,29,78.99,MEDIUM,1344,48,1392,96,48,48,  15,1.00,0.20,0.4622
84,2,30,19.92,MEDIUM,1392,48,1440,96,48,48,  13,1.00,0.20,0.0486
119,3,11,55.95,MEDIUM,480,96,528,144,48,48,   8,1.00,0.20,0.2327
120,3,12,82.73,HIGH,528,96,576,144,48,48,   5,1.00,1.00,0.5587
121,3,13,48.00,MEDIUM,576,96,624,144,48,48,  19,0.49,0.20,0.1939
122,3,14,41.97,MEDIUM,624,96,672,144,48,48,  20,1.00,0.20,0.2188
123,3,15,49.91,MEDIUM,672,96,720,144,48,48,   7,1.00,0.20,0.1725
124,3,16,90.54,HIGH,720,96,768,144,48,48,   7,0.49,1.00,0.5431
125,3,17,85.37,HIGH,768,96,816,144,48,48,  31,1.00,1.00,0.7164
133,3,25,19.79,MEDIUM,1152,96,1200,144,48,48,  12,0.49,0.20,0.0294
134,3,26,23.13,MEDIUM,1200,96,1248,144,48,48,  12,0.49,0.20,0.0410
135,3,27,16.23,MEDIUM,1248,96,1296,144,48,48, 114,0.49,0.20,0.0617
136,3,28,42.97,MEDIUM,1296,96,1344,144,48,48,  15,1.00,0.20,0.2053
137,3,29,81.34,HIGH,1344,96,1392,144,48,48,  14,1.00,1.00,0.6392
138,3,30,82.42,HIGH,1392,96,1440,144,48,48,   4,1.00,1.00,0.5174
172,4,10,15.93,MEDIUM,432,144,480,192,48,48,  45,1.00,0.20,0.0550
173,4,11,88.45,HIGH,480,144,528,192,48,48,  20,1.00,1.00,0.7034
174,4,12,56.29,MEDIUM,528,144,576,192,48,48,  20,1.00,0.20,0.3354
175,4,13,74.61,MEDIUM,576,144,624,192,48,48,  14,1.00,0.20,0.4227
176,4,14,43.10,MEDIUM,624,144,672,192,48,48,  33,1.00,0.20,0.2739
177,4,15,24.96,MEDIUM,672,144,720,192,48,48, 119,1.00,0.20,0.1665
178,4,16,22.14,MEDIUM,720,144,768,192,48,48,  25,0.49,0.20,0.0568
179,4,17,77.56,MEDIUM,768,144,816,192,48,48,  10,1.00,0.20,0.3917
180,4,18,63.06,MEDIUM,816,144,864,192,48,48,  21,1.00,0.20,0.3948
187,4,25,25.13,MEDIUM,1152,144,1200,192,48,48,   0,0.49,0.20,0.0000
188,4,26,70.75,MEDIUM,1200,144,1248,192,48,48,   2,1.00,0.20,0.1467
189,4,27,55.38,MEDIUM,1248,144,1296,192,48,48,  26,1.00,0.20,0.3578
190,4,28,68.58,MEDIUM,1296,144,1344,192,48,48,  73,0.49,0.20,0.4967
191,4,29,67.49,MEDIUM,1344,144,1392,192,48,48,  22,1.00,0.20,0.4338
192,4,30,92.36,HIGH,1392,144,1440,192,48,48,  12,0.49,1.00,0.6215
193,4,31,49.70,MEDIUM,1440,144,1488,192,48,48,   3,1.00,0.20,0.1106
226,5,10,48.61,MEDIUM,432,192,480,240,48,48, 456,1.00,0.20,0.5166
227,5,11,43.23,MEDIUM,480,192,528,240,48,48, 113,1.00,0.20,0.3714
228,5,12,57.12,MEDIUM,528,192,576,240,48,48,  47,1.00,0.20,0.4333
229,5,13,75.82,MEDIUM,576,192,624,240,48,48,  17,1.00,0.20,0.4591
230,5,14,67.23,MEDIUM,624,192,672,240,48,48,  17,1.00,0.20,0.4006
231,5,15,33.38,MEDIUM,672,192,720,240,48,48,  26,0.49,0.20,0.1233
232,5,16,24.13,MEDIUM,720,192,768,240,48,48,  73,0.49,0.20,0.1088
233,5,17,45.57,MEDIUM,768,192,816,240,48,48,  10,1.00,0.20,0.1886
234,5,18,78.47,MEDIUM,816,192,864,240,48,48,  10,0.49,0.20,0.2977
235,5,19,81.42,HIGH,864,192,912,240,48,48,  11,1.00,1.00,0.6189
236,5,20,20.23,MEDIUM,912,192,960,240,48,48,  45,1.00,0.20,0.0859
242,5,26,15.45,MEDIUM,1200,192,1248,240,48,48,   0,0.49,0.20,0.0000
243,5,27,29.77,MEDIUM,1248,192,1296,240,48,48,  10,1.00,0.20,0.0871
244,5,28,67.14,MEDIUM,1296,192,1344,240,48,48,  22,1.00,0.20,0.4292
245,5,29,74.48,MEDIUM,1344,192,1392,240,48,48,  12,1.00,0.20,0.4087
246,5,30,96.61,HIGH,1392,192,1440,240,48,48,  11,0.49,1.00,0.6367
247,5,31,94.18,HIGH,1440,192,1488,240,48,48,   3,1.00,1.00,0.5320
248,5,32,32.94,MEDIUM,1488,192,1536,240,48,48,   2,1.00,0.20,0.0414
282,6,12,29.17,MEDIUM,528,240,576,288,48,48,   9,0.49,0.20,0.0526
283,6,13,46.09,MEDIUM,576,240,624,288,48,48,   7,1.00,0.20,0.1579
284,6,14,15.76,MEDIUM,624,240,672,288,48,48,   0,0.49,0.20,0.0011
287,6,17,61.59,MEDIUM,768,240,816,288,48,48,  13,1.00,0.20,0.3266
288,6,18,48.61,MEDIUM,816,240,864,288,48,48,  64,1.00,0.20,0.3824
289,6,19,86.68,HIGH,864,240,912,288,48,48,  20,0.49,1.00,0.6397
290,6,20,77.95,MEDIUM,912,240,960,288,48,48,  30,1.00,0.20,0.5431
291,6,21,20.10,MEDIUM,960,240,1008,288,48,48, 194,1.00,0.20,0.1295
293,6,23,45.70,MEDIUM,1056,240,1104,288,48,48, 265,1.00,0.20,0.4546
297,6,27,48.26,MEDIUM,1248,240,1296,288,48,48,   1,1.00,0.20,0.0380
298,6,28,57.81,MEDIUM,1296,240,1344,288,48,48,  15,1.00,0.20,0.3166
299,6,29,80.56,HIGH,1344,240,1392,288,48,48,  27,1.00,1.00,0.6843
