Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2692x6169
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2692x6169
Scaled Tile Size: 48x48
Total Mask: 99.03%, Total Tissue: 0.97%
Tiles: 57x129 = 7353
     5 ( 0.07%) tiles >=80% tissue
   216 ( 2.94%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
546,10,33,11.11,MEDIUM,1536,432,1584,480,48,48,   0,0.49,0.20,0.0000
547,10,34,50.17,MEDIUM,1584,432,1632,480,48,48,   0,0.49,0.20,0.0000
602,11,32,16.41,MEDIUM,1488,480,1536,528,48,48, 104,0.49,0.20,0.0610
1561,28,22,23.96,MEDIUM,1008,1296,1056,1344,48,48,9032,1.00,0.20,0.3009
1562,28,23,26.43,MEDIUM,1056,1296,1104,1344,48,48,7947,1.00,0.20,0.3399
1619,29,23,50.69,MEDIUM,1056,1344,1104,1392,48,48,2896,1.00,0.20,0.6205
1620,29,24,63.93,MEDIUM,1104,1344,1152,1392,48,48,10906,1.00,0.20,0.7586
1628,29,32,27.65,MEDIUM,1488,1344,1536,1392,48,48,13356,1.00,0.20,0.3762
1629,29,33,15.58,MEDIUM,1536,1344,1584,1392,48,48,23438,1.00,0.20,0.1703
1635,29,39,14.45,MEDIUM,1824,1344,1872,1392,48,48,53814,0.49,0.20,0.1518
1676,30,23,20.14,MEDIUM,1056,1392,1104,1440,48,48,1382,1.00,0.20,0.1858
1677,30,24,87.33,HIGH,1104,1392,1152,1440,48,48,5241,1.00,1.00,0.8672
1687,30,34,16.75,MEDIUM,1584,1392,1632,1440,48,48,30389,1.00,0.20,0.1965
1694,30,41,17.97,MEDIUM,1920,1392,1968,1440,48,48,50071,1.00,0.20,0.2292
1734,31,24,85.20,HIGH,1104,1440,1152,1488,48,48,9372,1.00,1.00,0.8691
1745,31,35,13.06,MEDIUM,1632,1440,1680,1488,48,48,25865,0.49,0.20,0.1180
1751,31,41,19.44,MEDIUM,1920,1440,1968,1488,48,48,33827,1.00,0.20,0.2501
1775,32,8,35.37,MEDIUM,336,1488,384,1536,48,48,18998,1.00,0.20,0.5077
1791,32,24,80.77,HIGH,1104,1488,1152,1536,48,48,10725,1.00,1.00,0.8583
1793,32,26,13.59,MEDIUM,1200,1488,1248,1536,48,48, 768,1.00,0.20,0.0851
1802,32,35,34.85,MEDIUM,1632,1488,1680,1536,48,48,16817,1.00,0.20,0.4966
1809,32,42,18.10,MEDIUM,1968,1488,2016,1536,48,48,41913,0.49,0.20,0.2142
1832,33,8,20.36,MEDIUM,336,1536,384,1584,48,48,9101,1.00,0.20,0.2373
1833,33,9,45.27,MEDIUM,384,1536,432,1584,48,48,16233,1.00,0.20,0.6236
1846,33,22,14.63,MEDIUM,1008,1536,1056,1584,48,48,7649,1.00,0.20,0.1356
1847,33,23,33.16,MEDIUM,1056,1536,1104,1584,48,48,12751,1.00,0.20,0.4631
1848,33,24,72.18,MEDIUM,1104,1536,1152,1584,48,48,32504,1.00,0.20,0.8206
1850,33,26,13.80,MEDIUM,1200,1536,1248,1584,48,48, 828,1.00,0.20,0.0888
1859,33,35,19.23,MEDIUM,1632,1536,1680,1584,48,48,19693,1.00,0.20,0.2343
1867,33,43,16.23,MEDIUM,2016,1536,2064,1584,48,48,28426,0.49,0.20,0.1729
1890,34,9,29.38,MEDIUM,384,1584,432,1632,48,48,13363,1.00,0.20,0.4052
1891,34,10,13.80,MEDIUM,432,1584,480,1632,48,48,39206,0.49,0.20,0.1359
1904,34,23,43.53,MEDIUM,1056,1584,1104,1632,48,48,2496,1.00,0.20,0.5408
1905,34,24,57.34,MEDIUM,1104,1584,1152,1632,48,48,15740,1.00,0.20,0.7259
1910,34,29,22.01,MEDIUM,1344,1584,1392,1632,48,48,   0,0.49,0.20,0.0000
1917,34,36,23.09,MEDIUM,1680,1584,1728,1632,48,48,30169,1.00,0.20,0.3170
1948,35,10,34.55,MEDIUM,432,1632,480,1680,48,48,14980,1.00,0.20,0.4886
1961,35,23,69.53,MEDIUM,1056,1632,1104,1680,48,48,12150,1.00,0.20,0.7903
1962,35,24,41.32,MEDIUM,1104,1632,1152,1680,48,48,9695,1.00,0.20,0.5638
1974,35,36,27.39,MEDIUM,1680,1632,1728,1680,48,48,21907,1.00,0.20,0.3861
2005,36,10,41.06,MEDIUM,432,1680,480,1728,48,48,11773,1.00,0.20,0.5669
2018,36,23,25.52,MEDIUM,1056,1680,1104,1728,48,48,2379,1.00,0.20,0.2866
2019,36,24,19.53,MEDIUM,1104,1680,1152,1728,48,48,5261,1.00,0.20,0.2098
2025,36,30,15.41,MEDIUM,1392,1680,1440,1728,48,48,  53,0.49,0.20,0.0417
2031,36,36,33.42,MEDIUM,1680,1680,1728,1728,48,48,39033,1.00,0.20,0.5003
2061,37,9,23.83,MEDIUM,384,1728,432,1776,48,48,38949,1.00,0.20,0.3372
2062,37,10,44.92,MEDIUM,432,1728,480,1776,48,48,22569,1.00,0.20,0.6294
2075,37,23,48.35,MEDIUM,1056,1728,1104,1776,48,48,4516,1.00,0.20,0.6141
2088,37,36,19.49,MEDIUM,1680,1728,1728,1776,48,48,14514,1.00,0.20,0.2324
