Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3072x5024
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 3072x5024
Scaled Tile Size: 48x48
Total Mask: 81.75%, Total Tissue: 18.25%
Tiles: 64x105 = 6720
   927 (13.79%) tiles >=80% tissue
   745 (11.09%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
168,3,40,43.10,MEDIUM,1872,96,1920,144,48,48,   0,1.00,0.20,0.0092
169,3,41,76.35,MEDIUM,1920,96,1968,144,48,48,   0,1.00,0.20,0.0068
170,3,42,70.14,MEDIUM,1968,96,2016,144,48,48,   0,1.00,0.20,0.0000
171,3,43,38.24,MEDIUM,2016,96,2064,144,48,48,   0,1.00,0.20,0.0000
215,4,23,38.59,MEDIUM,1056,144,1104,192,48,48,   3,1.00,0.20,0.0610
216,4,24,67.45,MEDIUM,1104,144,1152,192,48,48,   3,1.00,0.20,0.1587
217,4,25,82.64,HIGH,1152,144,1200,192,48,48,   3,1.00,1.00,0.4829
218,4,26,71.96,MEDIUM,1200,144,1248,192,48,48,   3,1.00,0.20,0.1769
219,4,27,69.14,MEDIUM,1248,144,1296,192,48,48,   3,1.00,0.20,0.1770
220,4,28,49.83,MEDIUM,1296,144,1344,192,48,48,   3,1.00,0.20,0.1026
230,4,38,26.39,MEDIUM,1776,144,1824,192,48,48,   1,1.00,0.20,0.0067
231,4,39,71.66,MEDIUM,1824,144,1872,192,48,48,   1,1.00,0.20,0.0511
232,4,40,93.23,HIGH,1872,144,1920,192,48,48,   1,1.00,1.00,0.4140
233,4,41,96.05,HIGH,1920,144,1968,192,48,48,   1,1.00,1.00,0.3721
234,4,42,85.37,HIGH,1968,144,2016,192,48,48,   0,1.00,1.00,0.1038
235,4,43,92.66,HIGH,2016,144,2064,192,48,48,   0,1.00,1.00,0.1406
236,4,44,86.24,HIGH,2064,144,2112,192,48,48,   1,1.00,1.00,0.2812
237,4,45,34.29,MEDIUM,2112,144,2160,192,48,48,   1,1.00,0.20,0.0142
278,5,22,19.88,MEDIUM,1008,192,1056,240,48,48,   4,1.00,0.20,0.0239
279,5,23,85.63,HIGH,1056,192,1104,240,48,48,   3,1.00,1.00,0.4968
280,5,24,78.12,MEDIUM,1104,192,1152,240,48,48,   0,1.00,0.20,0.0411
281,5,25,68.32,MEDIUM,1152,192,1200,240,48,48,   1,1.00,0.20,0.0965
282,5,26,52.04,MEDIUM,1200,192,1248,240,48,48,   2,1.00,0.20,0.0878
283,5,27,77.39,MEDIUM,1248,192,1296,240,48,48,   2,1.00,0.20,0.1564
284,5,28,95.62,HIGH,1296,192,1344,240,48,48,   3,1.00,1.00,0.5400
285,5,29,89.32,HIGH,1344,192,1392,240,48,48,   3,1.00,1.00,0.5024
286,5,30,76.82,MEDIUM,1392,192,1440,240,48,48,   2,1.00,0.20,0.1893
287,5,31,40.84,MEDIUM,1440,192,1488,240,48,48,   2,1.00,0.20,0.0578
294,5,38,73.09,MEDIUM,1776,192,1824,240,48,48,   1,1.00,0.20,0.0842
295,5,39,96.83,HIGH,1824,192,1872,240,48,48,   1,1.00,1.00,0.3210
296,5,40,83.64,HIGH,1872,192,1920,240,48,48,   1,1.00,1.00,0.2742
