Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 5086x2221
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 5086x2221
Scaled Tile Size: 48x48
Total Mask: 98.25%, Total Tissue: 1.75%
Tiles: 106x47 = 4982
    24 ( 0.48%) tiles >=80% tissue
   163 ( 3.27%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
540,6,10,19.36,MEDIUM,432,240,480,288,48,48,  58,1.00,0.20,0.0866
541,6,11,29.17,MEDIUM,480,240,528,288,48,48,  95,1.00,0.20,0.2031
542,6,12,40.15,MEDIUM,528,240,576,288,48,48, 174,1.00,0.20,0.3657
543,6,13,48.26,MEDIUM,576,240,624,288,48,48, 167,1.00,0.20,0.4516
544,6,14,40.97,MEDIUM,624,240,672,288,48,48, 107,1.00,0.20,0.3427
546,6,16,18.14,MEDIUM,720,240,768,288,48,48, 112,1.00,0.20,0.0941
619,6,89,15.89,MEDIUM,4224,240,4272,288,48,48,   6,1.00,0.20,0.0197
645,7,9,52.17,MEDIUM,384,288,432,336,48,48, 116,1.00,0.20,0.4646
646,7,10,73.57,MEDIUM,432,288,480,336,48,48, 351,1.00,0.20,0.6978
647,7,11,87.80,HIGH,480,288,528,336,48,48, 717,0.49,1.00,0.8189
648,7,12,79.73,MEDIUM,528,288,576,336,48,48,1197,0.49,0.20,0.7521
649,7,13,74.61,MEDIUM,576,288,624,336,48,48, 832,0.49,0.20,0.7107
650,7,14,90.93,HIGH,624,288,672,336,48,48,1301,0.49,1.00,0.8423
651,7,15,52.95,MEDIUM,672,288,720,336,48,48, 466,1.00,0.20,0.5603
653,7,17,18.58,MEDIUM,768,288,816,336,48,48, 246,1.00,0.20,0.1190
654,7,18,31.42,MEDIUM,816,288,864,336,48,48, 150,1.00,0.20,0.2533
679,7,43,34.51,MEDIUM,2016,288,2064,336,48,48,  97,1.00,0.20,0.2640
680,7,44,41.28,MEDIUM,2064,288,2112,336,48,48,  72,1.00,0.20,0.3178
681,7,45,59.90,MEDIUM,2112,288,2160,336,48,48, 120,1.00,0.20,0.5360
682,7,46,65.97,MEDIUM,2160,288,2208,336,48,48, 194,1.00,0.20,0.6157
683,7,47,67.23,MEDIUM,2208,288,2256,336,48,48, 211,1.00,0.20,0.6298
684,7,48,45.49,MEDIUM,2256,288,2304,336,48,48, 256,1.00,0.20,0.4500
685,7,49,24.83,MEDIUM,2304,288,2352,336,48,48, 172,1.00,0.20,0.1801
686,7,50,23.39,MEDIUM,2352,288,2400,336,48,48,  57,1.00,0.20,0.1211
722,7,86,15.80,MEDIUM,4080,288,4128,336,48,48,  99,1.00,0.20,0.0705
723,7,87,74.83,MEDIUM,4128,288,4176,336,48,48, 239,1.00,0.20,0.6851
724,7,88,88.19,HIGH,4176,288,4224,336,48,48, 285,1.00,1.00,0.8148
725,7,89,90.41,HIGH,4224,288,4272,336,48,48, 378,0.49,1.00,0.8104
726,7,90,85.11,HIGH,4272,288,4320,336,48,48, 300,1.00,1.00,0.8052
727,7,91,55.12,MEDIUM,4320,288,4368,336,48,48, 114,1.00,0.20,0.4905
728,7,92,22.74,MEDIUM,4368,288,4416,336,48,48, 143,1.00,0.20,0.1492
729,7,93,33.20,MEDIUM,4416,288,4464,336,48,48,  69,1.00,0.20,0.2290
730,7,94,44.49,MEDIUM,4464,288,4512,336,48,48, 149,1.00,0.20,0.4041
750,8,8,30.43,MEDIUM,336,336,384,384,48,48,  99,1.00,0.20,0.2192
751,8,9,37.85,MEDIUM,384,336,432,384,48,48, 454,1.00,0.20,0.3929
752,8,10,29.73,MEDIUM,432,336,480,384,48,48,1041,1.00,0.20,0.3208
753,8,11,35.37,MEDIUM,480,336,528,384,48,48,1574,1.00,0.20,0.4187
754,8,12,22.48,MEDIUM,528,336,576,384,48,48,1712,0.49,0.20,0.2059
756,8,14,15.49,MEDIUM,624,336,672,384,48,48,2453,0.49,0.20,0.1164
761,8,19,28.56,MEDIUM,864,336,912,384,48,48, 144,1.00,0.20,0.2170
784,8,42,74.52,MEDIUM,1968,336,2016,384,48,48, 218,1.00,0.20,0.6785
785,8,43,83.98,HIGH,2016,336,2064,384,48,48, 383,1.00,1.00,0.8076
786,8,44,91.49,HIGH,2064,336,2112,384,48,48, 762,0.49,1.00,0.8322
787,8,45,85.81,HIGH,2112,336,2160,384,48,48, 997,0.49,1.00,0.8201
788,8,46,59.16,MEDIUM,2160,336,2208,384,48,48, 876,1.00,0.20,0.6441
789,8,47,48.31,MEDIUM,2208,336,2256,384,48,48, 888,1.00,0.20,0.5475
793,8,51,24.39,MEDIUM,2400,336,2448,384,48,48,  83,1.00,0.20,0.1457
794,8,52,25.09,MEDIUM,2448,336,2496,384,48,48, 105,1.00,0.20,0.1628
828,8,86,75.82,MEDIUM,4080,336,4128,384,48,48, 326,1.00,0.20,0.7068
829,8,87,77.43,MEDIUM,4128,336,4176,384,48,48, 549,1.00,0.20,0.7384
830,8,88,65.89,MEDIUM,4176,336,4224,384,48,48, 811,1.00,0.20,0.6886
831,8,89,52.13,MEDIUM,4224,336,4272,384,48,48, 521,1.00,0.20,0.5585
835,8,93,30.21,MEDIUM,4416,336,4464,384,48,48, 123,1.00,0.20,0.2285
837,8,95,16.88,MEDIUM,4512,336,4560,384,48,48,  92,1.00,0.20,0.0779
838,8,96,14.84,MEDIUM,4560,336,4608,384,48,48,  55,1.00,0.20,0.0520
855,9,7,31.25,MEDIUM,288,384,336,432,48,48,  64,1.00,0.20,0.2038
856,9,8,24.44,MEDIUM,336,384,384,432,48,48, 101,1.00,0.20,0.1541
889,9,41,45.44,MEDIUM,1920,384,1968,432,48,48,  88,1.00,0.20,0.3764
890,9,42,37.67,MEDIUM,1968,384,2016,432,48,48, 281,1.00,0.20,0.3648
891,9,43,23.05,MEDIUM,2016,384,2064,432,48,48, 284,0.49,0.20,0.1515
892,9,44,22.01,MEDIUM,2064,384,2112,432,48,48, 468,0.49,0.20,0.1570
901,9,53,27.21,MEDIUM,2496,384,2544,432,48,48, 115,1.00,0.20,0.1906
933,9,85,38.63,MEDIUM,4032,384,4080,432,48,48, 129,1.00,0.20,0.3290
934,9,86,14.89,MEDIUM,4080,384,4128,432,48,48, 350,1.00,0.20,0.0863
941,9,93,22.61,MEDIUM,4416,384,4464,432,48,48,  33,1.00,0.20,0.0936
960,10,6,21.88,MEDIUM,240,432,288,480,48,48,  33,1.00,0.20,0.0889
961,10,7,17.23,MEDIUM,288,432,336,480,48,48,  94,1.00,0.20,0.0814
994,10,40,34.46,MEDIUM,1872,432,1920,480,48,48,  77,1.00,0.20,0.2493
1007,10,53,17.62,MEDIUM,2496,432,2544,480,48,48,  67,1.00,0.20,0.0764
1038,10,84,36.72,MEDIUM,3984,432,4032,480,48,48, 159,1.00,0.20,0.3199
1044,10,90,22.74,MEDIUM,4272,432,4320,480,48,48, 468,0.49,0.20,0.1660
1066,11,6,18.23,MEDIUM,240,480,288,528,48,48,  22,1.00,0.20,0.0531
1099,11,39,30.77,MEDIUM,1824,480,1872,528,48,48,  67,1.00,0.20,0.2015
1143,11,83,37.59,MEDIUM,3936,480,3984,528,48,48, 113,1.00,0.20,0.3087
1153,11,93,13.45,MEDIUM,4416,480,4464,528,48,48,  14,0.49,0.20,0.0155
1255,12,89,32.73,MEDIUM,4224,528,4272,576,48,48, 242,1.00,0.20,0.2947
1284,13,12,25.39,MEDIUM,528,576,576,624,48,48,1681,1.00,0.20,0.2729
1317,13,45,35.29,MEDIUM,2112,576,2160,624,48,48, 729,1.00,0.20,0.3832
1364,13,92,59.98,MEDIUM,4368,576,4416,624,48,48,1104,1.00,0.20,0.6603
1426,14,48,30.56,MEDIUM,2256,624,2304,672,48,48, 421,1.00,0.20,0.2932
3409,33,17,22.96,MEDIUM,768,1536,816,1584,48,48, 114,1.00,0.20,0.1433
3440,33,48,17.58,MEDIUM,2256,1536,2304,1584,48,48, 120,1.00,0.20,0.0905
3486,33,94,18.14,MEDIUM,4464,1536,4512,1584,48,48, 184,1.00,0.20,0.1068
3512,34,14,23.52,MEDIUM,624,1584,672,1632,48,48, 626,1.00,0.20,0.2112
3517,34,19,16.28,MEDIUM,864,1584,912,1632,48,48,  18,1.00,0.20,0.0392
3628,35,24,20.44,MEDIUM,1104,1632,1152,1680,48,48, 106,1.00,0.20,0.1147
3718,36,8,13.93,MEDIUM,336,1680,384,1728,48,48,  36,1.00,0.20,0.0394
3729,36,19,21.61,MEDIUM,864,1680,912,1728,48,48, 153,1.00,0.20,0.1388
3734,36,24,16.15,MEDIUM,1104,1680,1152,1728,48,48,  58,1.00,0.20,0.0618
3749,36,39,23.87,MEDIUM,1824,1680,1872,1728,48,48,  97,1.00,0.20,0.1466
3787,36,77,20.70,MEDIUM,3648,1680,3696,1728,48,48, 131,1.00,0.20,0.1240
3825,37,9,23.00,MEDIUM,384,1728,432,1776,48,48, 251,1.00,0.20,0.1724
3839,37,23,37.41,MEDIUM,1056,1728,1104,1776,48,48, 206,1.00,0.20,0.3437
3855,37,39,24.61,MEDIUM,1824,1728,1872,1776,48,48, 155,1.00,0.20,0.1735
3856,37,40,24.70,MEDIUM,1872,1728,1920,1776,48,48, 422,1.00,0.20,0.2134
3871,37,55,22.40,MEDIUM,2592,1728,2640,1776,48,48, 106,1.00,0.20,0.1345
3892,37,76,24.26,MEDIUM,3600,1728,3648,1776,48,48, 337,1.00,0.20,0.1992
3893,37,77,19.10,MEDIUM,3648,1728,3696,1776,48,48, 178,1.00,0.20,0.1160
3916,37,100,17.84,MEDIUM,4752,1728,4800,1776,48,48, 737,1.00,0.20,0.1373
3917,37,101,24.48,MEDIUM,4800,1728,4848,1776,48,48, 592,1.00,0.20,0.2227
3918,37,102,13.85,MEDIUM,4848,1728,4896,1776,48,48,  16,1.00,0.20,0.0271
3931,38,9,17.53,MEDIUM,384,1776,432,1824,48,48, 221,1.00,0.20,0.1049
3932,38,10,29.60,MEDIUM,432,1776,480,1824,48,48, 309,1.00,0.20,0.2662
3941,38,19,17.93,MEDIUM,864,1776,912,1824,48,48,3016,0.49,0.20,0.1546
3943,38,21,19.23,MEDIUM,960,1776,1008,1824,48,48, 290,1.00,0.20,0.1310
3944,38,22,30.60,MEDIUM,1008,1776,1056,1824,48,48, 188,1.00,0.20,0.2549
3962,38,40,22.70,MEDIUM,1872,1776,1920,1824,48,48, 311,1.00,0.20,0.1760
3963,38,41,26.91,MEDIUM,1920,1776,1968,1824,48,48, 176,1.00,0.20,0.2062
3977,38,55,30.73,MEDIUM,2592,1776,2640,1824,48,48, 125,1.00,0.20,0.2354
4009,38,87,40.76,MEDIUM,4128,1776,4176,1824,48,48, 229,1.00,0.20,0.3898
4023,38,101,32.94,MEDIUM,4800,1776,4848,1824,48,48,  55,1.00,0.20,0.2121
4039,39,11,27.17,MEDIUM,480,1824,528,1872,48,48, 230,1.00,0.20,0.2213
4040,39,12,25.95,MEDIUM,528,1824,576,1872,48,48, 405,1.00,0.20,0.2289
4041,39,13,44.57,MEDIUM,576,1824,624,1872,48,48,1591,1.00,0.20,0.5339
