Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3072x5920
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 3072x5920
Scaled Tile Size: 48x48
Total Mask: 70.94%, Total Tissue: 29.06%
Tiles: 64x124 = 7936
  1413 (17.80%) tiles >=80% tissue
  1863 (23.48%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
86,2,22,24.74,MEDIUM,1008,48,1056,96,48,48,  11,1.00,0.20,0.0663
87,2,23,20.49,MEDIUM,1056,48,1104,96,48,48,   0,1.00,0.20,0.0027
149,3,21,52.13,MEDIUM,960,96,1008,144,48,48,  22,1.00,0.20,0.3160
150,3,22,92.58,HIGH,1008,96,1056,144,48,48,   4,1.00,1.00,0.5769
151,3,23,94.75,HIGH,1056,96,1104,144,48,48,   8,1.00,1.00,0.6629
152,3,24,91.84,HIGH,1104,96,1152,144,48,48,   5,1.00,1.00,0.6078
153,3,25,79.51,MEDIUM,1152,96,1200,144,48,48,   4,1.00,0.20,0.2819
154,3,26,18.10,MEDIUM,1200,96,1248,144,48,48,   0,1.00,0.20,0.0001
212,4,20,71.44,MEDIUM,912,144,960,192,48,48,   8,1.00,0.20,0.3254
213,4,21,64.19,MEDIUM,960,144,1008,192,48,48,   1,1.00,0.20,0.0827
214,4,22,96.01,HIGH,1008,144,1056,192,48,48,   1,1.00,1.00,0.2845
215,4,23,65.28,MEDIUM,1056,144,1104,192,48,48,   3,1.00,0.20,0.1624
216,4,24,78.78,MEDIUM,1104,144,1152,192,48,48,   4,1.00,0.20,0.2773
217,4,25,41.84,MEDIUM,1152,144,1200,192,48,48,   2,1.00,0.20,0.0495
218,4,26,31.99,MEDIUM,1200,144,1248,192,48,48,   0,1.00,0.20,0.0025
275,5,19,72.87,MEDIUM,864,192,912,240,48,48,  11,1.00,0.20,0.3802
276,5,20,91.32,HIGH,912,192,960,240,48,48,  12,1.00,1.00,0.6787
277,5,21,55.03,MEDIUM,960,192,1008,240,48,48,   7,1.00,0.20,0.2045
278,5,22,94.18,HIGH,1008,192,1056,240,48,48,   1,1.00,1.00,0.3958
279,5,23,64.24,MEDIUM,1056,192,1104,240,48,48,   4,1.00,0.20,0.1862
280,5,24,77.08,MEDIUM,1104,192,1152,240,48,48,   3,1.00,0.20,0.2211
281,5,25,22.53,MEDIUM,1152,192,1200,240,48,48,   1,1.00,0.20,0.0103
282,5,26,33.12,MEDIUM,1200,192,1248,240,48,48,   0,1.00,0.20,0.0028
283,5,27,25.65,MEDIUM,1248,192,1296,240,48,48,   0,1.00,0.20,0.0017
338,6,18,75.78,MEDIUM,816,240,864,288,48,48,   6,1.00,0.20,0.3055
339,6,19,91.19,HIGH,864,240,912,288,48,48,   4,1.00,1.00,0.5822
340,6,20,94.01,HIGH,912,240,960,288,48,48,   7,1.00,1.00,0.6441
341,6,21,69.40,MEDIUM,960,240,1008,288,48,48,   5,1.00,0.20,0.2420
342,6,22,84.51,HIGH,1008,240,1056,288,48,48,   4,1.00,1.00,0.5220
