Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2944x3264
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2944x3264
Scaled Tile Size: 48x48
Total Mask: 87.19%, Total Tissue: 12.81%
Tiles: 62x68 = 4216
   336 ( 7.97%) tiles >=80% tissue
   423 (10.03%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
394,7,22,21.09,MEDIUM,1008,288,1056,336,48,48,   0,1.00,0.20,0.0040
395,7,23,28.52,MEDIUM,1056,288,1104,336,48,48,   2,1.00,0.20,0.0229
454,8,20,37.41,MEDIUM,912,336,960,384,48,48,   0,1.00,0.20,0.0038
458,8,24,27.78,MEDIUM,1104,336,1152,384,48,48,   1,1.00,0.20,0.0080
459,8,25,25.91,MEDIUM,1152,336,1200,384,48,48,   8,1.00,0.20,0.0615
469,8,35,25.69,MEDIUM,1632,336,1680,384,48,48,   4,1.00,0.20,0.0397
522,9,26,55.25,MEDIUM,1200,384,1248,432,48,48,   2,1.00,0.20,0.0775
523,9,27,40.45,MEDIUM,1248,384,1296,432,48,48,   0,1.00,0.20,0.0137
530,9,34,36.07,MEDIUM,1584,384,1632,432,48,48,   1,1.00,0.20,0.0317
531,9,35,23.13,MEDIUM,1632,384,1680,432,48,48,   2,1.00,0.20,0.0178
585,10,27,39.50,MEDIUM,1248,432,1296,480,48,48,   0,1.00,0.20,0.0051
586,10,28,66.84,MEDIUM,1296,432,1344,480,48,48,   1,1.00,0.20,0.0419
587,10,29,22.74,MEDIUM,1344,432,1392,480,48,48,   0,1.00,0.20,0.0004
588,10,30,19.88,MEDIUM,1392,432,1440,480,48,48,   0,1.00,0.20,0.0022
589,10,31,26.87,MEDIUM,1440,432,1488,480,48,48,   0,1.00,0.20,0.0054
590,10,32,42.01,MEDIUM,1488,432,1536,480,48,48,   4,1.00,0.20,0.0935
591,10,33,43.97,MEDIUM,1536,432,1584,480,48,48,   2,1.00,0.20,0.0689
649,11,29,46.57,MEDIUM,1344,480,1392,528,48,48,   0,1.00,0.20,0.0108
650,11,30,79.47,MEDIUM,1392,480,1440,528,48,48,   1,1.00,0.20,0.0852
651,11,31,54.30,MEDIUM,1440,480,1488,528,48,48,   1,1.00,0.20,0.0476
652,11,32,34.51,MEDIUM,1488,480,1536,528,48,48,   0,1.00,0.20,0.0053
712,12,30,25.61,MEDIUM,1392,528,1440,576,48,48,   1,1.00,0.20,0.0144
713,12,31,70.57,MEDIUM,1440,528,1488,576,48,48,   3,1.00,0.20,0.2059
764,13,20,25.61,MEDIUM,912,576,960,624,48,48,   1,1.00,0.20,0.0096
775,13,31,37.80,MEDIUM,1440,576,1488,624,48,48,   1,1.00,0.20,0.0277
776,13,32,26.56,MEDIUM,1488,576,1536,624,48,48,   4,1.00,0.20,0.0387
815,14,9,20.79,MEDIUM,384,624,432,672,48,48,   0,1.00,0.20,0.0036
827,14,21,25.56,MEDIUM,960,624,1008,672,48,48,   0,1.00,0.20,0.0000
838,14,32,24.61,MEDIUM,1488,624,1536,672,48,48,   5,1.00,0.20,0.0374
839,14,33,46.22,MEDIUM,1536,624,1584,672,48,48,   3,1.00,0.20,0.0865
875,15,7,24.74,MEDIUM,288,672,336,720,48,48,  11,1.00,0.20,0.0670
876,15,8,47.27,MEDIUM,336,672,384,720,48,48, 188,1.00,0.20,0.4495
