Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 5880x3240
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 5880x3240
Scaled Tile Size: 48x48
Total Mask: 91.50%, Total Tissue: 8.50%
Tiles: 123x68 = 8364
   213 ( 2.55%) tiles >=80% tissue
   997 (11.92%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
604,5,112,25.95,MEDIUM,5328,192,5376,240,48,48,2583,1.00,0.20,0.2963
898,8,37,24.39,MEDIUM,1728,336,1776,384,48,48, 891,1.00,0.20,0.2359
916,8,55,51.09,MEDIUM,2592,336,2640,384,48,48,1402,1.00,0.20,0.5954
917,8,56,23.09,MEDIUM,2640,336,2688,384,48,48,1413,1.00,0.20,0.2314
1039,9,55,33.03,MEDIUM,2592,384,2640,432,48,48,1335,1.00,0.20,0.3789
1040,9,56,39.06,MEDIUM,2640,384,2688,432,48,48,1392,1.00,0.20,0.4622
1041,9,57,49.05,MEDIUM,2688,384,2736,432,48,48,1447,1.00,0.20,0.5770
1042,9,58,58.25,MEDIUM,2736,384,2784,432,48,48,1257,1.00,0.20,0.6524
1043,9,59,14.89,MEDIUM,2784,384,2832,432,48,48,1734,1.00,0.20,0.1148
1825,15,103,14.93,MEDIUM,4896,672,4944,720,48,48,   5,1.00,0.20,0.0146
1944,16,99,39.06,MEDIUM,4704,720,4752,768,48,48,   3,1.00,0.20,0.0601
1945,16,100,51.26,MEDIUM,4752,720,4800,768,48,48,   7,1.00,0.20,0.1902
1946,16,101,84.77,HIGH,4800,720,4848,768,48,48,  37,1.00,1.00,0.7230
1947,16,102,98.48,HIGH,4848,720,4896,768,48,48, 160,0.49,1.00,0.8093
1948,16,103,98.61,HIGH,4896,720,4944,768,48,48,  76,0.49,1.00,0.7798
1949,16,104,91.80,HIGH,4944,720,4992,768,48,48,  40,1.00,1.00,0.7578
1950,16,105,81.42,HIGH,4992,720,5040,768,48,48,  30,1.00,1.00,0.6952
1951,16,106,67.75,MEDIUM,5040,720,5088,768,48,48,  11,1.00,0.20,0.3477
1952,16,107,59.03,MEDIUM,5088,720,5136,768,48,48,  15,1.00,0.20,0.3265
2065,17,97,48.05,MEDIUM,4608,768,4656,816,48,48,   6,1.00,0.20,0.1536
2066,17,98,91.36,HIGH,4656,768,4704,816,48,48,  39,1.00,1.00,0.7545
2067,17,99,99.00,HIGH,4704,768,4752,816,48,48, 675,0.49,1.00,0.8505
2068,17,100,99.13,HIGH,4752,768,4800,816,48,48, 752,1.00,1.00,0.8668
2069,17,101,97.05,HIGH,4800,768,4848,816,48,48, 778,1.00,1.00,0.8625
2070,17,102,96.14,HIGH,4848,768,4896,816,48,48, 863,1.00,1.00,0.8621
2071,17,103,90.89,HIGH,4896,768,4944,816,48,48, 422,1.00,1.00,0.8332
2072,17,104,89.32,HIGH,4944,768,4992,816,48,48, 642,1.00,1.00,0.8376
2073,17,105,83.12,HIGH,4992,768,5040,816,48,48, 195,1.00,1.00,0.7848
2074,17,106,87.24,HIGH,5040,768,5088,816,48,48,  90,1.00,1.00,0.7743
2075,17,107,90.58,HIGH,5088,768,5136,816,48,48,  61,1.00,1.00,0.7718
2076,17,108,75.52,MEDIUM,5136,768,5184,816,48,48, 141,1.00,0.20,0.6582
2077,17,109,82.34,HIGH,5184,768,5232,816,48,48,   9,1.00,1.00,0.6106
2078,17,110,67.49,MEDIUM,5232,768,5280,816,48,48,   7,1.00,0.20,0.2783
2079,17,111,51.91,MEDIUM,5280,768,5328,816,48,48,   8,1.00,0.20,0.2002
2121,18,30,17.75,MEDIUM,1392,816,1440,864,48,48,  20,1.00,0.20,0.0477
2122,18,31,40.19,MEDIUM,1440,816,1488,864,48,48,  16,1.00,0.20,0.1872
2123,18,32,38.54,MEDIUM,1488,816,1536,864,48,48,  21,1.00,0.20,0.1973
2124,18,33,25.22,MEDIUM,1536,816,1584,864,48,48, 179,1.00,0.20,0.1864
