Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 4700x2755
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 4700x2755
Scaled Tile Size: 48x48
Total Mask: 93.50%, Total Tissue: 6.50%
Tiles: 98x58 = 5684
   138 ( 2.43%) tiles >=80% tissue
   520 ( 9.15%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
530,6,40,29.21,MEDIUM,1872,240,1920,288,48,48,  17,1.00,0.20,0.1127
531,6,41,19.18,MEDIUM,1920,240,1968,288,48,48,  34,1.00,0.20,0.0700
532,6,42,19.23,MEDIUM,1968,240,2016,288,48,48,  98,1.00,0.20,0.1005
533,6,43,15.49,MEDIUM,2016,240,2064,288,48,48, 227,1.00,0.20,0.0844
534,6,44,24.91,MEDIUM,2064,240,2112,288,48,48, 174,1.00,0.20,0.1817
535,6,45,36.28,MEDIUM,2112,240,2160,288,48,48,  33,1.00,0.20,0.2103
536,6,46,18.62,MEDIUM,2160,240,2208,288,48,48,  17,1.00,0.20,0.0483
544,6,54,19.18,MEDIUM,2544,240,2592,288,48,48, 444,1.00,0.20,0.1420
630,7,42,14.76,MEDIUM,1968,288,2016,336,48,48,  73,1.00,0.20,0.0564
631,7,43,56.68,MEDIUM,2016,288,2064,336,48,48, 980,1.00,0.20,0.6293
632,7,44,58.72,MEDIUM,2064,288,2112,336,48,48,  27,1.00,0.20,0.3919
633,7,45,64.45,MEDIUM,2112,288,2160,336,48,48,  17,1.00,0.20,0.3797
634,7,46,81.34,HIGH,2160,288,2208,336,48,48,  82,1.00,1.00,0.7453
635,7,47,84.81,HIGH,2208,288,2256,336,48,48,  62,1.00,1.00,0.7491
636,7,48,87.98,HIGH,2256,288,2304,336,48,48, 384,1.00,1.00,0.8216
637,7,49,87.72,HIGH,2304,288,2352,336,48,48, 517,1.00,1.00,0.8279
638,7,50,75.09,MEDIUM,2352,288,2400,336,48,48, 203,1.00,0.20,0.6776
639,7,51,58.90,MEDIUM,2400,288,2448,336,48,48,1211,1.00,0.20,0.6559
640,7,52,89.63,HIGH,2448,288,2496,336,48,48, 635,1.00,1.00,0.8383
641,7,53,95.49,HIGH,2496,288,2544,336,48,48, 330,1.00,1.00,0.8410
642,7,54,89.58,HIGH,2544,288,2592,336,48,48, 243,1.00,1.00,0.8152
643,7,55,98.22,HIGH,2592,288,2640,336,48,48, 234,1.00,1.00,0.8404
644,7,56,78.73,MEDIUM,2640,288,2688,336,48,48, 192,1.00,0.20,0.6949
645,7,57,47.66,MEDIUM,2688,288,2736,336,48,48, 282,1.00,0.20,0.4790
646,7,58,15.80,MEDIUM,2736,288,2784,336,48,48, 231,1.00,0.20,0.0878
729,8,43,47.83,MEDIUM,2016,336,2064,384,48,48,3680,1.00,0.20,0.6017
731,8,45,14.67,MEDIUM,2112,336,2160,384,48,48,   4,1.00,0.20,0.0121
732,8,46,52.78,MEDIUM,2160,336,2208,384,48,48,  25,1.00,0.20,0.3336
733,8,47,57.51,MEDIUM,2208,336,2256,384,48,48,  42,1.00,0.20,0.4256
734,8,48,64.71,MEDIUM,2256,336,2304,384,48,48,  78,1.00,0.20,0.5409
735,8,49,74.65,MEDIUM,2304,336,2352,384,48,48, 215,1.00,0.20,0.6785
736,8,50,81.38,HIGH,2352,336,2400,384,48,48, 577,1.00,1.00,0.8081
737,8,51,71.35,MEDIUM,2400,336,2448,384,48,48,5108,1.00,0.20,0.7792
738,8,52,89.41,HIGH,2448,336,2496,384,48,48, 967,1.00,1.00,0.8461
739,8,53,94.57,HIGH,2496,336,2544,384,48,48,  39,1.00,1.00,0.7675
740,8,54,95.01,HIGH,2544,336,2592,384,48,48, 182,1.00,1.00,0.8247
741,8,55,88.11,HIGH,2592,336,2640,384,48,48, 104,1.00,1.00,0.7833
742,8,56,85.42,HIGH,2640,336,2688,384,48,48, 123,1.00,1.00,0.7787
743,8,57,71.57,MEDIUM,2688,336,2736,384,48,48, 659,1.00,0.20,0.7146
744,8,58,95.36,HIGH,2736,336,2784,384,48,48, 338,1.00,1.00,0.8412
745,8,59,65.28,MEDIUM,2784,336,2832,384,48,48, 273,1.00,0.20,0.6312
746,8,60,16.23,MEDIUM,2832,336,2880,384,48,48, 179,1.00,0.20,0.0868
826,9,42,36.33,MEDIUM,1968,384,2016,432,48,48, 228,1.00,0.20,0.3365
