Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 6480x2880
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 6480x2880
Scaled Tile Size: 48x48
Total Mask: 80.57%, Total Tissue: 19.43%
Tiles: 135x60 = 8100
  1022 (12.62%) tiles >=80% tissue
  1192 (14.72%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
674,5,134,14.37,MEDIUM,6384,192,6432,240,48,48,   3,1.00,0.20,0.0108
1066,8,121,36.94,MEDIUM,5760,336,5808,384,48,48,   9,1.00,0.20,0.1204
1067,8,122,71.18,MEDIUM,5808,336,5856,384,48,48,   6,1.00,0.20,0.2853
1068,8,123,51.78,MEDIUM,5856,336,5904,384,48,48,  19,1.00,0.20,0.2952
1069,8,124,45.23,MEDIUM,5904,336,5952,384,48,48,  22,1.00,0.20,0.2572
1070,8,125,29.90,MEDIUM,5952,336,6000,384,48,48,  24,1.00,0.20,0.1367
1071,8,126,41.93,MEDIUM,6000,336,6048,384,48,48,  10,1.00,0.20,0.1648
1072,8,127,44.23,MEDIUM,6048,336,6096,384,48,48,  10,1.00,0.20,0.1801
1195,9,115,42.40,MEDIUM,5472,384,5520,432,48,48,   5,1.00,0.20,0.1060
1196,9,116,73.61,MEDIUM,5520,384,5568,432,48,48,   6,1.00,0.20,0.2994
1197,9,117,93.40,HIGH,5568,384,5616,432,48,48,  11,1.00,1.00,0.6832
1198,9,118,72.70,MEDIUM,5616,384,5664,432,48,48,  28,1.00,0.20,0.4998
1199,9,119,87.07,HIGH,5664,384,5712,432,48,48,  15,1.00,1.00,0.6789
1200,9,120,92.93,HIGH,5712,384,5760,432,48,48,  27,1.00,1.00,0.7429
1201,9,121,91.36,HIGH,5760,384,5808,432,48,48,   2,1.00,1.00,0.4785
1202,9,122,85.98,HIGH,5808,384,5856,432,48,48,   2,1.00,1.00,0.4805
1203,9,123,90.32,HIGH,5856,384,5904,432,48,48,   0,1.00,1.00,0.2315
1204,9,124,90.84,HIGH,5904,384,5952,432,48,48,   1,1.00,1.00,0.3904
1205,9,125,93.27,HIGH,5952,384,6000,432,48,48,  20,1.00,1.00,0.7261
1206,9,126,91.45,HIGH,6000,384,6048,432,48,48,  25,1.00,1.00,0.7306
1207,9,127,92.10,HIGH,6048,384,6096,432,48,48,  45,1.00,1.00,0.7642
1208,9,128,94.36,HIGH,6096,384,6144,432,48,48,  26,1.00,1.00,0.7464
1209,9,129,87.54,HIGH,6144,384,6192,432,48,48,  21,1.00,1.00,0.7025
1210,9,130,56.34,MEDIUM,6192,384,6240,432,48,48,  29,1.00,0.20,0.3793
1211,9,131,28.39,MEDIUM,6240,384,6288,432,48,48,  25,1.00,0.20,0.1253
