Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2395x5203
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2395x5203
Scaled Tile Size: 48x48
Total Mask: 94.10%, Total Tissue: 5.90%
Tiles: 50x109 = 5450
   190 ( 3.49%) tiles >=80% tissue
   311 ( 5.71%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
25,1,25,47.48,MEDIUM,1152,0,1200,48,48,48, 132,1.00,0.20,0.4272
37,1,37,47.14,MEDIUM,1728,0,1776,48,48,48, 128,1.00,0.20,0.4217
38,1,38,17.66,MEDIUM,1776,0,1824,48,48,48, 119,0.49,0.20,0.0735
41,1,41,50.78,MEDIUM,1920,0,1968,48,48,48,  14,1.00,0.20,0.2560
69,2,19,17.97,MEDIUM,864,48,912,96,48,48,  95,0.49,0.20,0.0699
75,2,25,49.91,MEDIUM,1152,48,1200,96,48,48, 221,1.00,0.20,0.4871
87,2,37,56.47,MEDIUM,1728,48,1776,96,48,48, 101,0.49,0.20,0.4327
88,2,38,23.18,MEDIUM,1776,48,1824,96,48,48, 210,1.00,0.20,0.1680
91,2,41,35.11,MEDIUM,1920,48,1968,96,48,48,  82,1.00,0.20,0.2607
92,2,42,59.94,MEDIUM,1968,48,2016,96,48,48,  26,1.00,0.20,0.3967
121,3,21,15.54,MEDIUM,960,96,1008,144,48,48,1477,0.49,0.20,0.1074
124,3,24,30.64,MEDIUM,1104,96,1152,144,48,48, 467,0.49,0.20,0.2653
125,3,25,60.07,MEDIUM,1152,96,1200,144,48,48, 300,1.00,0.20,0.5972
137,3,37,25.91,MEDIUM,1728,96,1776,144,48,48,  46,0.49,0.20,0.1031
138,3,38,22.22,MEDIUM,1776,96,1824,144,48,48,  65,0.49,0.20,0.0899
140,3,40,19.31,MEDIUM,1872,96,1920,144,48,48, 824,0.49,0.20,0.1411
141,3,41,62.41,MEDIUM,1920,96,1968,144,48,48, 643,1.00,0.20,0.6545
142,3,42,73.52,MEDIUM,1968,96,2016,144,48,48, 143,1.00,0.20,0.6470
143,3,43,55.60,MEDIUM,2016,96,2064,144,48,48, 117,1.00,0.20,0.4966
173,4,23,15.28,MEDIUM,1056,144,1104,192,48,48, 157,0.49,0.20,0.0613
174,4,24,69.01,MEDIUM,1104,144,1152,192,48,48, 359,0.49,0.20,0.6308
175,4,25,74.05,MEDIUM,1152,144,1200,192,48,48, 656,1.00,0.20,0.7281
190,4,40,59.81,MEDIUM,1872,144,1920,192,48,48,1438,1.00,0.20,0.6696
191,4,41,97.87,HIGH,1920,144,1968,192,48,48,1254,0.49,1.00,0.8602
192,4,42,98.83,HIGH,1968,144,2016,192,48,48, 877,0.49,1.00,0.8556
193,4,43,99.44,HIGH,2016,144,2064,192,48,48, 271,0.16,1.00,0.7895
194,4,44,59.68,MEDIUM,2064,144,2112,192,48,48,  69,1.00,0.20,0.4902
223,5,23,69.53,MEDIUM,1056,192,1104,240,48,48, 251,0.49,0.20,0.6107
224,5,24,96.14,HIGH,1104,192,1152,240,48,48, 293,0.49,1.00,0.8214
225,5,25,56.94,MEDIUM,1152,192,1200,240,48,48, 469,1.00,0.20,0.5961
237,5,37,26.61,MEDIUM,1728,192,1776,240,48,48,  73,0.49,0.20,0.1292
239,5,39,22.92,MEDIUM,1824,192,1872,240,48,48, 343,0.49,0.20,0.1569
240,5,40,90.49,HIGH,1872,192,1920,240,48,48,1644,0.49,1.00,0.8457
241,5,41,99.09,HIGH,1920,192,1968,240,48,48,1315,0.49,1.00,0.8640
242,5,42,99.26,HIGH,1968,192,2016,240,48,48,1009,0.16,1.00,0.8338
243,5,43,98.57,HIGH,2016,192,2064,240,48,48, 730,0.16,1.00,0.8225
244,5,44,98.87,HIGH,2064,192,2112,240,48,48, 442,0.16,1.00,0.8069
245,5,45,39.15,MEDIUM,2112,192,2160,240,48,48,  74,1.00,0.20,0.2977
273,6,23,85.11,HIGH,1056,240,1104,288,48,48, 275,0.49,1.00,0.7806
274,6,24,99.26,HIGH,1104,240,1152,288,48,48, 431,1.00,1.00,0.8567
275,6,25,27.52,MEDIUM,1152,240,1200,288,48,48, 322,1.00,0.20,0.2405
288,6,38,42.80,MEDIUM,1776,240,1824,288,48,48,1159,1.00,0.20,0.4995
289,6,39,22.09,MEDIUM,1824,240,1872,288,48,48, 504,0.49,0.20,0.1606
290,6,40,96.48,HIGH,1872,240,1920,288,48,48,1157,0.49,1.00,0.8552
291,6,41,98.91,HIGH,1920,240,1968,288,48,48,1066,0.49,1.00,0.8596
292,6,42,99.35,HIGH,1968,240,2016,288,48,48, 727,0.16,1.00,0.8246
293,6,43,98.57,HIGH,2016,240,2064,288,48,48, 791,0.49,1.00,0.8528
294,6,44,99.00,HIGH,2064,240,2112,288,48,48,1044,0.16,1.00,0.8340
295,6,45,88.67,HIGH,2112,240,2160,288,48,48, 203,1.00,1.00,0.8070
322,7,22,13.98,MEDIUM,1008,288,1056,336,48,48, 435,0.49,0.20,0.0687
323,7,23,90.58,HIGH,1056,288,1104,336,48,48, 294,0.49,1.00,0.8033
324,7,24,74.91,MEDIUM,1104,288,1152,336,48,48, 462,1.00,0.20,0.7180
338,7,38,50.43,MEDIUM,1776,288,1824,336,48,48,2036,1.00,0.20,0.6046
