Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 4432x8952
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 4432x8952
Scaled Tile Size: 48x48
Total Mask: 95.88%, Total Tissue: 4.12%
Tiles: 93x187 = 17391
   101 ( 0.58%) tiles >=80% tissue
  1369 ( 7.87%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
58,1,58,22.87,MEDIUM,2736,0,2784,48,48,48,   0,1.00,0.20,0.0000
59,1,59,65.41,MEDIUM,2784,0,2832,48,48,48,   0,1.00,0.20,0.0000
60,1,60,68.23,MEDIUM,2832,0,2880,48,48,48,   0,1.00,0.20,0.0000
61,1,61,54.64,MEDIUM,2880,0,2928,48,48,48,   3,1.00,0.20,0.1358
62,1,62,40.23,MEDIUM,2928,0,2976,48,48,48,   8,1.00,0.20,0.1323
64,1,64,29.51,MEDIUM,3024,0,3072,48,48,48,   0,1.00,0.20,0.0000
151,2,58,80.86,HIGH,2736,48,2784,96,48,48,   0,1.00,1.00,0.0000
152,2,59,71.05,MEDIUM,2784,48,2832,96,48,48,   0,1.00,0.20,0.0000
153,2,60,82.64,HIGH,2832,48,2880,96,48,48,   0,1.00,1.00,0.0000
154,2,61,82.81,HIGH,2880,48,2928,96,48,48,   0,1.00,1.00,0.0000
157,2,64,20.75,MEDIUM,3024,48,3072,96,48,48,   0,1.00,0.20,0.0000
245,3,59,34.64,MEDIUM,2784,96,2832,144,48,48,   0,1.00,0.20,0.0000
247,3,61,37.33,MEDIUM,2880,96,2928,144,48,48,   0,1.00,0.20,0.0000
7576,82,43,24.35,MEDIUM,2016,3888,2064,3936,48,48,  29,1.00,0.20,0.1020
7577,82,44,16.41,MEDIUM,2064,3888,2112,3936,48,48, 115,1.00,0.20,0.0789
7579,82,46,48.44,MEDIUM,2160,3888,2208,3936,48,48,  35,1.00,0.20,0.3285
7580,82,47,32.99,MEDIUM,2208,3888,2256,3936,48,48,  26,1.00,0.20,0.1648
7668,83,42,22.05,MEDIUM,1968,3936,2016,3984,48,48,   5,1.00,0.20,0.0338
7669,83,43,28.34,MEDIUM,2016,3936,2064,3984,48,48,   3,1.00,0.20,0.0381
7670,83,44,74.78,MEDIUM,2064,3936,2112,3984,48,48, 135,1.00,0.20,0.6508
