Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3480x3240
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 3480x3240
Scaled Tile Size: 48x48
Total Mask: 66.50%, Total Tissue: 33.50%
Tiles: 73x68 = 4964
  1378 (27.76%) tiles >=80% tissue
   633 (12.75%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
47,1,47,32.51,MEDIUM,2208,0,2256,48,48,48,  30,1.00,0.20,0.1708
91,2,18,44.18,MEDIUM,816,48,864,96,48,48,   5,1.00,0.20,0.1218
121,2,48,19.36,MEDIUM,2256,48,2304,96,48,48,  54,1.00,0.20,0.0849
163,3,17,58.46,MEDIUM,768,96,816,144,48,48,   3,1.00,0.20,0.1300
164,3,18,45.88,MEDIUM,816,96,864,144,48,48,   3,1.00,0.20,0.0914
193,3,47,16.41,MEDIUM,2208,96,2256,144,48,48,  44,1.00,0.20,0.0577
194,3,48,22.18,MEDIUM,2256,96,2304,144,48,48,  71,1.00,0.20,0.1178
207,3,61,30.64,MEDIUM,2880,96,2928,144,48,48,   7,1.00,0.20,0.0726
208,3,62,49.48,MEDIUM,2928,96,2976,144,48,48,   6,1.00,0.20,0.1692
209,3,63,28.78,MEDIUM,2976,96,3024,144,48,48,   4,1.00,0.20,0.0491
235,4,16,34.90,MEDIUM,720,144,768,192,48,48,   3,1.00,0.20,0.0492
236,4,17,38.67,MEDIUM,768,144,816,192,48,48,   2,1.00,0.20,0.0522
246,4,27,45.96,MEDIUM,1248,144,1296,192,48,48,   4,1.00,0.20,0.1054
257,4,38,21.83,MEDIUM,1776,144,1824,192,48,48,   8,1.00,0.20,0.0444
266,4,47,22.70,MEDIUM,2208,144,2256,192,48,48,  44,1.00,0.20,0.1055
268,4,49,27.21,MEDIUM,2304,144,2352,192,48,48,  24,1.00,0.20,0.1152
279,4,60,24.96,MEDIUM,2832,144,2880,192,48,48,   8,1.00,0.20,0.0542
280,4,61,50.09,MEDIUM,2880,144,2928,192,48,48,  23,1.00,0.20,0.3000
281,4,62,53.52,MEDIUM,2928,144,2976,192,48,48,  10,1.00,0.20,0.2367
282,4,63,78.78,MEDIUM,2976,144,3024,192,48,48,   5,1.00,0.20,0.3047
283,4,64,60.33,MEDIUM,3024,144,3072,192,48,48,   9,1.00,0.20,0.2742
284,4,65,22.74,MEDIUM,3072,144,3120,192,48,48,  10,1.00,0.20,0.0540
306,5,14,17.49,MEDIUM,624,192,672,240,48,48,  17,1.00,0.20,0.0428
308,5,16,34.59,MEDIUM,720,192,768,240,48,48,   4,1.00,0.20,0.0627
309,5,17,27.43,MEDIUM,768,192,816,240,48,48,   4,1.00,0.20,0.0395
312,5,20,23.78,MEDIUM,912,192,960,240,48,48,   5,1.00,0.20,0.0381
322,5,30,28.73,MEDIUM,1392,192,1440,240,48,48,  27,1.00,0.20,0.1336
340,5,48,44.40,MEDIUM,2256,192,2304,240,48,48,  38,1.00,0.20,0.2970
341,5,49,13.32,MEDIUM,2304,192,2352,240,48,48,  32,1.00,0.20,0.0343
352,5,60,49.44,MEDIUM,2832,192,2880,240,48,48,   7,1.00,0.20,0.1747
353,5,61,63.41,MEDIUM,2880,192,2928,240,48,48,   4,1.00,0.20,0.1846
354,5,62,35.16,MEDIUM,2928,192,2976,240,48,48,  16,1.00,0.20,0.1523
355,5,63,50.82,MEDIUM,2976,192,3024,240,48,48,   9,1.00,0.20,0.2061
356,5,64,69.84,MEDIUM,3024,192,3072,240,48,48,  18,1.00,0.20,0.4275
357,5,65,63.72,MEDIUM,3072,192,3120,240,48,48,  11,1.00,0.20,0.3239
358,5,66,16.10,MEDIUM,3120,192,3168,240,48,48,  24,1.00,0.20,0.0439
377,6,12,21.96,MEDIUM,528,240,576,288,48,48,   7,1.00,0.20,0.0407
378,6,13,42.23,MEDIUM,576,240,624,288,48,48,   7,1.00,0.20,0.1334
381,6,16,36.89,MEDIUM,720,240,768,288,48,48,   3,1.00,0.20,0.0524
383,6,18,19.88,MEDIUM,816,240,864,288,48,48,   2,1.00,0.20,0.0131
384,6,19,44.84,MEDIUM,864,240,912,288,48,48,   6,1.00,0.20,0.1354
385,6,20,32.51,MEDIUM,912,240,960,288,48,48,   3,1.00,0.20,0.0519
