Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 6480x3240
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 6480x3240
Scaled Tile Size: 48x48
Total Mask: 96.13%, Total Tissue: 3.87%
Tiles: 135x68 = 9180
   164 ( 1.79%) tiles >=80% tissue
   454 ( 4.95%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
17,1,17,14.84,MEDIUM,768,0,816,48,48,48,3743,0.49,0.20,0.1152
18,1,18,69.97,MEDIUM,816,0,864,48,48,48,2073,1.00,0.20,0.7469
153,2,18,32.20,MEDIUM,816,48,864,96,48,48,3141,1.00,0.20,0.4006
154,2,19,68.84,MEDIUM,864,48,912,96,48,48,1827,1.00,0.20,0.7367
784,6,109,14.50,MEDIUM,5184,240,5232,288,48,48,2505,1.00,0.20,0.1156
969,8,24,31.51,MEDIUM,1104,336,1152,384,48,48,3623,1.00,0.20,0.3954
1384,11,34,39.32,MEDIUM,1584,480,1632,528,48,48,2666,1.00,0.20,0.4927
1385,11,35,40.36,MEDIUM,1632,480,1680,528,48,48,3732,1.00,0.20,0.5188
1829,14,74,14.32,MEDIUM,3504,624,3552,672,48,48, 231,1.00,0.20,0.0733
1840,14,85,43.19,MEDIUM,4032,624,4080,672,48,48,  80,1.00,0.20,0.3457
1841,14,86,28.12,MEDIUM,4080,624,4128,672,48,48, 186,1.00,0.20,0.2237
1842,14,87,35.76,MEDIUM,4128,624,4176,672,48,48, 201,1.00,0.20,0.3223
1975,15,85,17.80,MEDIUM,4032,672,4080,720,48,48, 131,1.00,0.20,0.0948
1976,15,86,27.95,MEDIUM,4080,672,4128,720,48,48, 117,1.00,0.20,0.1995
1977,15,87,23.78,MEDIUM,4128,672,4176,720,48,48, 237,1.00,0.20,0.1800
2207,17,47,16.54,MEDIUM,2208,768,2256,816,48,48, 100,1.00,0.20,0.0768
2342,18,47,58.20,MEDIUM,2208,816,2256,864,48,48, 133,1.00,0.20,0.5294
2502,19,72,13.41,MEDIUM,3408,864,3456,912,48,48, 231,1.00,0.20,0.0648
2638,20,73,29.21,MEDIUM,3456,912,3504,960,48,48,  78,1.00,0.20,0.1932
2779,21,79,19.84,MEDIUM,3744,960,3792,1008,48,48,1295,1.00,0.20,0.1795
2883,22,48,22.27,MEDIUM,2256,1008,2304,1056,48,48, 456,1.00,0.20,0.1832
3017,23,47,23.31,MEDIUM,2208,1056,2256,1104,48,48, 355,1.00,0.20,0.1885
3018,23,48,18.36,MEDIUM,2256,1056,2304,1104,48,48, 224,1.00,0.20,0.1142
3054,23,84,18.71,MEDIUM,3984,1056,4032,1104,48,48,  42,1.00,0.20,0.0729
3154,24,49,13.32,MEDIUM,2304,1104,2352,1152,48,48, 210,1.00,0.20,0.0626
3189,24,84,18.23,MEDIUM,3984,1104,4032,1152,48,48,   7,1.00,0.20,0.0288
3290,25,50,23.78,MEDIUM,2352,1152,2400,1200,48,48, 288,1.00,0.20,0.1871
3291,25,51,18.14,MEDIUM,2400,1152,2448,1200,48,48, 161,1.00,0.20,0.1034
3324,25,84,23.31,MEDIUM,3984,1152,4032,1200,48,48,  38,1.00,0.20,0.1052
3428,26,53,21.09,MEDIUM,2496,1200,2544,1248,48,48, 308,1.00,0.20,0.1555
3459,26,84,32.34,MEDIUM,3984,1200,4032,1248,48,48, 136,1.00,0.20,0.2589
3564,27,54,12.54,MEDIUM,2544,1248,2592,1296,48,48, 195,1.00,0.20,0.0548
3589,27,79,43.97,MEDIUM,3744,1248,3792,1296,48,48, 239,1.00,0.20,0.4292
3590,27,80,21.88,MEDIUM,3792,1248,3840,1296,48,48, 439,1.00,0.20,0.1767
3594,27,84,24.48,MEDIUM,3984,1248,4032,1296,48,48, 172,1.00,0.20,0.1761
3596,27,86,20.49,MEDIUM,4080,1248,4128,1296,48,48,  10,1.00,0.20,0.0437
3597,27,87,37.93,MEDIUM,4128,1248,4176,1296,48,48,  81,1.00,0.20,0.2905
3701,28,56,15.32,MEDIUM,2640,1296,2688,1344,48,48, 189,1.00,0.20,0.0791
3723,28,78,14.63,MEDIUM,3696,1296,3744,1344,48,48, 885,1.00,0.20,0.0998
3724,28,79,15.32,MEDIUM,3744,1296,3792,1344,48,48, 200,1.00,0.20,0.0802
3728,28,83,31.86,MEDIUM,3936,1296,3984,1344,48,48, 117,1.00,0.20,0.2450
3844,29,64,31.16,MEDIUM,3024,1344,3072,1392,48,48,  86,1.00,0.20,0.2199
3862,29,82,20.70,MEDIUM,3888,1344,3936,1392,48,48, 103,1.00,0.20,0.1162
3863,29,83,26.69,MEDIUM,3936,1344,3984,1392,48,48, 143,1.00,0.20,0.1944
3867,29,87,39.32,MEDIUM,4128,1344,4176,1392,48,48,  27,1.00,0.20,0.2223
3868,29,88,40.06,MEDIUM,4176,1344,4224,1392,48,48,  58,1.00,0.20,0.2894
3978,30,63,22.57,MEDIUM,2976,1392,3024,1440,48,48,  43,1.00,0.20,0.1033
3979,30,64,15.45,MEDIUM,3024,1392,3072,1440,48,48, 182,1.00,0.20,0.0796
3995,30,80,28.73,MEDIUM,3792,1392,3840,1440,48,48,  66,1.00,0.20,0.1796
3996,30,81,39.37,MEDIUM,3840,1392,3888,1440,48,48,  88,1.00,0.20,0.3114
3997,30,82,70.01,MEDIUM,3888,1392,3936,1440,48,48, 256,1.00,0.20,0.6596
3998,30,83,66.67,MEDIUM,3936,1392,3984,1440,48,48, 135,1.00,0.20,0.5969
3999,30,84,51.56,MEDIUM,3984,1392,4032,1440,48,48,  97,1.00,0.20,0.4446
4000,30,85,34.90,MEDIUM,4032,1392,4080,1440,48,48, 108,1.00,0.20,0.2750
4001,30,86,24.65,MEDIUM,4080,1392,4128,1440,48,48, 148,1.00,0.20,0.1722
4002,30,87,32.90,MEDIUM,4128,1392,4176,1440,48,48,  50,1.00,0.20,0.2062
4110,31,60,36.28,MEDIUM,2832,1440,2880,1488,48,48, 217,1.00,0.20,0.3332
4111,31,61,15.36,MEDIUM,2880,1440,2928,1488,48,48, 126,1.00,0.20,0.0715
4112,31,62,53.17,MEDIUM,2928,1440,2976,1488,48,48, 158,1.00,0.20,0.4962
4113,31,63,26.04,MEDIUM,2976,1440,3024,1488,48,48, 350,1.00,0.20,0.2243
4129,31,79,35.07,MEDIUM,3744,1440,3792,1488,48,48,  53,1.00,0.20,0.2320
4130,31,80,18.84,MEDIUM,3792,1440,3840,1488,48,48,  60,1.00,0.20,0.0836
4137,31,87,15.93,MEDIUM,4128,1440,4176,1488,48,48, 230,1.00,0.20,0.0890
4239,32,54,17.23,MEDIUM,2544,1488,2592,1536,48,48, 415,1.00,0.20,0.1163
4247,32,62,20.83,MEDIUM,2928,1488,2976,1536,48,48,  84,1.00,0.20,0.1111
4263,32,78,29.51,MEDIUM,3696,1488,3744,1536,48,48,  47,1.00,0.20,0.1693
4397,33,77,26.78,MEDIUM,3648,1536,3696,1584,48,48, 114,1.00,0.20,0.1850
4532,34,77,19.66,MEDIUM,3648,1584,3696,1632,48,48, 168,1.00,0.20,0.1205
4636,35,46,15.80,MEDIUM,2160,1632,2208,1680,48,48,  95,1.00,0.20,0.0695
4649,35,59,25.35,MEDIUM,2784,1632,2832,1680,48,48, 231,1.00,0.20,0.1986
4657,35,67,19.18,MEDIUM,3168,1632,3216,1680,48,48,  59,1.00,0.20,0.0858
4771,36,46,27.47,MEDIUM,2160,1680,2208,1728,48,48, 278,1.00,0.20,0.2336
4772,36,47,14.63,MEDIUM,2208,1680,2256,1728,48,48, 322,1.00,0.20,0.0821
4780,36,55,45.31,MEDIUM,2592,1680,2640,1728,48,48, 140,1.00,0.20,0.4088
4782,36,57,15.76,MEDIUM,2688,1680,2736,1728,48,48, 101,1.00,0.20,0.0704
4783,36,58,51.35,MEDIUM,2736,1680,2784,1728,48,48, 189,1.00,0.20,0.4910
4792,36,67,17.53,MEDIUM,3168,1680,3216,1728,48,48, 301,1.00,0.20,0.1123
4810,36,85,41.49,MEDIUM,4032,1680,4080,1728,48,48, 384,1.00,0.20,0.4285
4909,37,49,23.83,MEDIUM,2304,1728,2352,1776,48,48, 115,1.00,0.20,0.1529
4912,37,52,30.64,MEDIUM,2448,1728,2496,1776,48,48, 185,1.00,0.20,0.2545
4914,37,54,13.89,MEDIUM,2544,1728,2592,1776,48,48, 673,1.00,0.20,0.0865
4915,37,55,19.14,MEDIUM,2592,1728,2640,1776,48,48, 315,1.00,0.20,0.1322
4916,37,56,56.68,MEDIUM,2640,1728,2688,1776,48,48, 103,1.00,0.20,0.4971
4917,37,57,38.67,MEDIUM,2688,1728,2736,1776,48,48, 190,1.00,0.20,0.3540
4928,37,68,26.04,MEDIUM,3216,1728,3264,1776,48,48, 215,1.00,0.20,0.2043
4944,37,84,38.06,MEDIUM,3984,1728,4032,1776,48,48, 430,1.00,0.20,0.3929
4945,37,85,66.71,MEDIUM,4032,1728,4080,1776,48,48, 564,1.00,0.20,0.6781
4946,37,86,44.53,MEDIUM,4080,1728,4128,1776,48,48, 409,1.00,0.20,0.4669
5048,38,53,13.28,MEDIUM,2496,1776,2544,1824,48,48, 187,1.00,0.20,0.0605
5049,38,54,39.45,MEDIUM,2544,1776,2592,1824,48,48, 172,1.00,0.20,0.3570
5050,38,55,46.22,MEDIUM,2592,1776,2640,1824,48,48, 300,1.00,0.20,0.4676
5051,38,56,64.97,MEDIUM,2640,1776,2688,1824,48,48, 242,1.00,0.20,0.6221
5052,38,57,43.32,MEDIUM,2688,1776,2736,1824,48,48, 279,1.00,0.20,0.4311
5063,38,68,24.39,MEDIUM,3216,1776,3264,1824,48,48, 265,1.00,0.20,0.1918
