Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2304x1408
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2304x1408
Scaled Tile Size: 48x48
Total Mask: 82.83%, Total Tissue: 17.17%
Tiles: 48x30 = 1440
   183 (12.71%) tiles >=80% tissue
   137 ( 9.51%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
84,2,36,28.99,MEDIUM,1680,48,1728,96,48,48,   0,1.00,0.20,0.0032
85,2,37,21.70,MEDIUM,1728,48,1776,96,48,48,   0,1.00,0.20,0.0000
131,3,35,51.95,MEDIUM,1632,96,1680,144,48,48,   0,1.00,0.20,0.0047
132,3,36,99.18,HIGH,1680,96,1728,144,48,48,   1,0.49,1.00,0.1837
133,3,37,99.74,HIGH,1728,96,1776,144,48,48,   2,0.49,1.00,0.3645
134,3,38,88.45,HIGH,1776,96,1824,144,48,48,   3,1.00,1.00,0.5191
135,3,39,35.07,MEDIUM,1824,96,1872,144,48,48,   2,1.00,0.20,0.0368
178,4,34,26.17,MEDIUM,1584,144,1632,192,48,48,   0,1.00,0.20,0.0031
179,4,35,91.67,HIGH,1632,144,1680,192,48,48,   3,1.00,1.00,0.5281
180,4,36,99.74,HIGH,1680,144,1728,192,48,48,   2,0.49,1.00,0.4185
181,4,37,99.61,HIGH,1728,144,1776,192,48,48,   2,0.49,1.00,0.3601
182,4,38,97.35,HIGH,1776,144,1824,192,48,48,   1,0.49,1.00,0.2980
183,4,39,69.27,MEDIUM,1824,144,1872,192,48,48,   3,1.00,0.20,0.1840
184,4,40,34.81,MEDIUM,1872,144,1920,192,48,48,   0,1.00,0.20,0.0006
220,5,28,16.71,MEDIUM,1296,192,1344,240,48,48, 412,0.49,0.20,0.0941
221,5,29,31.55,MEDIUM,1344,192,1392,240,48,48,  50,1.00,0.20,0.1927
222,5,30,67.62,MEDIUM,1392,192,1440,240,48,48,   0,1.00,0.20,0.0000
223,5,31,88.02,HIGH,1440,192,1488,240,48,48,   3,1.00,1.00,0.5135
224,5,32,74.35,MEDIUM,1488,192,1536,240,48,48,   0,1.00,0.20,0.0067
225,5,33,53.95,MEDIUM,1536,192,1584,240,48,48,   0,1.00,0.20,0.0020
226,5,34,77.99,MEDIUM,1584,192,1632,240,48,48,   2,1.00,0.20,0.1389
227,5,35,99.78,HIGH,1632,192,1680,240,48,48,   1,0.49,1.00,0.3225
228,5,36,99.70,HIGH,1680,192,1728,240,48,48,   2,0.49,1.00,0.3955
229,5,37,99.78,HIGH,1728,192,1776,240,48,48,   2,0.49,1.00,0.3631
230,5,38,99.18,HIGH,1776,192,1824,240,48,48,  50,0.49,1.00,0.7611
231,5,39,90.06,HIGH,1824,192,1872,240,48,48, 252,1.00,1.00,0.8178
232,5,40,73.05,MEDIUM,1872,192,1920,240,48,48,   1,1.00,0.20,0.0746
233,5,41,56.47,MEDIUM,1920,192,1968,240,48,48,  36,1.00,0.20,0.4020
234,5,42,17.66,MEDIUM,1968,192,2016,240,48,48,  84,1.00,0.20,0.0825
269,6,29,42.49,MEDIUM,1344,240,1392,288,48,48, 964,1.00,0.20,0.4874
270,6,30,87.89,HIGH,1392,240,1440,288,48,48,  14,1.00,1.00,0.6784
271,6,31,98.65,HIGH,1440,240,1488,288,48,48,  17,0.49,1.00,0.6872
272,6,32,98.78,HIGH,1488,240,1536,288,48,48,   2,0.49,1.00,0.3975
273,6,33,95.18,HIGH,1536,240,1584,288,48,48,   1,0.49,1.00,0.3293
274,6,34,98.44,HIGH,1584,240,1632,288,48,48,   4,0.49,1.00,0.4920
275,6,35,84.59,HIGH,1632,240,1680,288,48,48,   3,1.00,1.00,0.5100
276,6,36,87.28,HIGH,1680,240,1728,288,48,48,   0,1.00,1.00,0.1131
277,6,37,93.79,HIGH,1728,240,1776,288,48,48,  79,0.49,1.00,0.7639
278,6,38,46.88,MEDIUM,1776,240,1824,288,48,48,  57,1.00,0.20,0.3562
279,6,39,58.38,MEDIUM,1824,240,1872,288,48,48,  41,1.00,0.20,0.4303
280,6,40,86.72,HIGH,1872,240,1920,288,48,48,  29,1.00,1.00,0.7184
281,6,41,82.73,HIGH,1920,240,1968,288,48,48,  24,1.00,1.00,0.6884
282,6,42,22.79,MEDIUM,1968,240,2016,288,48,48,  51,1.00,0.20,0.1113
295,7,7,23.74,MEDIUM,288,288,336,336,48,48,   0,1.00,0.20,0.0000
296,7,8,55.69,MEDIUM,336,288,384,336,48,48,   0,1.00,0.20,0.0000
297,7,9,39.89,MEDIUM,384,288,432,336,48,48,   0,1.00,0.20,0.0111
298,7,10,21.61,MEDIUM,432,288,480,336,48,48,   1,1.00,0.20,0.0085
318,7,30,47.74,MEDIUM,1392,288,1440,336,48,48, 203,1.00,0.20,0.4593
319,7,31,78.47,MEDIUM,1440,288,1488,336,48,48, 170,1.00,0.20,0.6865
320,7,32,98.61,HIGH,1488,288,1536,336,48,48,  93,0.49,1.00,0.7889
321,7,33,98.70,HIGH,1536,288,1584,336,48,48,   1,0.49,1.00,0.2666
322,7,34,97.79,HIGH,1584,288,1632,336,48,48,   2,0.49,1.00,0.3940
323,7,35,93.62,HIGH,1632,288,1680,336,48,48,   3,0.49,1.00,0.4286
324,7,36,91.02,HIGH,1680,288,1728,336,48,48,   2,0.49,1.00,0.3284
325,7,37,85.16,HIGH,1728,288,1776,336,48,48, 210,1.00,1.00,0.7952
326,7,38,17.32,MEDIUM,1776,288,1824,336,48,48,  20,1.00,0.20,0.0462
327,7,39,44.57,MEDIUM,1824,288,1872,336,48,48,  11,1.00,0.20,0.1881
328,7,40,85.98,HIGH,1872,288,1920,336,48,48,   4,1.00,1.00,0.5493
329,7,41,95.40,HIGH,1920,288,1968,336,48,48,  22,1.00,1.00,0.7411
330,7,42,30.77,MEDIUM,1968,288,2016,336,48,48,  40,1.00,0.20,0.1716
343,8,7,89.63,HIGH,288,336,336,384,48,48,   1,1.00,1.00,0.3296
344,8,8,99.26,HIGH,336,336,384,384,48,48,   0,0.49,1.00,0.1414
345,8,9,99.52,HIGH,384,336,432,384,48,48,   1,0.49,1.00,0.1980
346,8,10,99.18,HIGH,432,336,480,384,48,48,   2,0.49,1.00,0.3872
347,8,11,17.32,MEDIUM,480,336,528,384,48,48,   0,1.00,0.20,0.0023
368,8,32,64.89,MEDIUM,1488,336,1536,384,48,48,  58,1.00,0.20,0.5160
369,8,33,87.59,HIGH,1536,336,1584,384,48,48,  22,1.00,1.00,0.7054
370,8,34,99.61,HIGH,1584,336,1632,384,48,48,   0,0.16,1.00,0.0000
371,8,35,96.70,HIGH,1632,336,1680,384,48,48,   1,0.49,1.00,0.3234
372,8,36,76.17,MEDIUM,1680,336,1728,384,48,48,   2,1.00,0.20,0.1667
373,8,37,92.58,HIGH,1728,336,1776,384,48,48,  30,1.00,1.00,0.7468
374,8,38,52.73,MEDIUM,1776,336,1824,384,48,48,   7,1.00,0.20,0.1907
375,8,39,56.90,MEDIUM,1824,336,1872,384,48,48,  11,1.00,0.20,0.2764
376,8,40,61.15,MEDIUM,1872,336,1920,384,48,48,  24,1.00,0.20,0.3948
377,8,41,77.65,MEDIUM,1920,336,1968,384,48,48,  39,1.00,0.20,0.5670
390,9,6,58.98,MEDIUM,240,384,288,432,48,48,   1,1.00,0.20,0.0350
391,9,7,98.65,HIGH,288,384,336,432,48,48,   2,0.49,1.00,0.3989
392,9,8,99.26,HIGH,336,384,384,432,48,48,   1,0.49,1.00,0.2079
393,9,9,99.96,HIGH,384,384,432,432,48,48,   1,0.49,1.00,0.2054
394,9,10,80.21,HIGH,432,384,480,432,48,48,   1,1.00,1.00,0.2702
395,9,11,75.26,MEDIUM,480,384,528,432,48,48,   2,1.00,0.20,0.1576
396,9,12,55.86,MEDIUM,528,384,576,432,48,48,   7,1.00,0.20,0.2171
397,9,13,32.77,MEDIUM,576,384,624,432,48,48, 112,1.00,0.20,0.2527
418,9,34,48.00,MEDIUM,1584,384,1632,432,48,48,   0,1.00,0.20,0.0000
419,9,35,91.71,HIGH,1632,384,1680,432,48,48,   0,1.00,1.00,0.2513
420,9,36,97.57,HIGH,1680,384,1728,432,48,48,   3,1.00,1.00,0.5564
421,9,37,97.61,HIGH,1728,384,1776,432,48,48,   2,1.00,1.00,0.5221
422,9,38,71.57,MEDIUM,1776,384,1824,432,48,48,  44,1.00,0.20,0.5382
423,9,39,35.50,MEDIUM,1824,384,1872,432,48,48,  77,1.00,0.20,0.2606
433,10,1,22.57,MEDIUM,0,432,48,480,48,48,   0,1.00,0.20,0.0000
434,10,2,49.61,MEDIUM,48,432,96,480,48,48,   0,1.00,0.20,0.0000
435,10,3,85.50,HIGH,96,432,144,480,48,48,   1,1.00,1.00,0.3266
436,10,4,55.16,MEDIUM,144,432,192,480,48,48,   0,1.00,0.20,0.0000
437,10,5,63.54,MEDIUM,192,432,240,480,48,48,   0,1.00,0.20,0.0050
438,10,6,90.45,HIGH,240,432,288,480,48,48,   1,1.00,1.00,0.3877
439,10,7,97.61,HIGH,288,432,336,480,48,48,   1,0.49,1.00,0.2837
440,10,8,99.39,HIGH,336,432,384,480,48,48,   0,0.49,1.00,0.1525
441,10,9,91.54,HIGH,384,432,432,480,48,48, 298,1.00,1.00,0.8269
442,10,10,81.12,HIGH,432,432,480,480,48,48, 170,1.00,1.00,0.7719
443,10,11,81.03,HIGH,480,432,528,480,48,48, 236,1.00,1.00,0.7822
444,10,12,83.07,HIGH,528,432,576,480,48,48,   6,1.00,1.00,0.5778
445,10,13,49.05,MEDIUM,576,432,624,480,48,48,  17,1.00,0.20,0.2631
446,10,14,16.36,MEDIUM,624,432,672,480,48,48,  25,0.49,0.20,0.0324
468,10,36,37.11,MEDIUM,1680,432,1728,480,48,48,  20,1.00,0.20,0.1830
469,10,37,37.24,MEDIUM,1728,432,1776,480,48,48,  13,1.00,0.20,0.1510
481,11,1,35.37,MEDIUM,0,480,48,528,48,48,   4,1.00,0.20,0.0732
482,11,2,96.57,HIGH,48,480,96,528,48,48,   0,0.49,1.00,0.0000
483,11,3,99.13,HIGH,96,480,144,528,48,48,   1,0.49,1.00,0.3428
484,11,4,96.35,HIGH,144,480,192,528,48,48,   0,0.49,1.00,0.1615
485,11,5,96.53,HIGH,192,480,240,528,48,48,   0,0.49,1.00,0.0546
486,11,6,97.87,HIGH,240,480,288,528,48,48,   2,0.49,1.00,0.3503
487,11,7,82.42,HIGH,288,480,336,528,48,48,   0,1.00,1.00,0.2053
488,11,8,81.03,HIGH,336,480,384,528,48,48,   1,1.00,1.00,0.2323
489,11,9,85.20,HIGH,384,480,432,528,48,48,  25,1.00,1.00,0.7039
490,11,10,31.21,MEDIUM,432,480,480,528,48,48,   3,1.00,0.20,0.0481
491,11,11,69.57,MEDIUM,480,480,528,528,48,48,   8,1.00,0.20,0.3130
492,11,12,92.88,HIGH,528,480,576,528,48,48,  11,1.00,1.00,0.6854
493,11,13,84.24,HIGH,576,480,624,528,48,48,  79,1.00,1.00,0.7565
529,12,1,23.96,MEDIUM,0,528,48,576,48,48,   2,1.00,0.20,0.0212
530,12,2,64.15,MEDIUM,48,528,96,576,48,48,  28,1.00,0.20,0.4365
531,12,3,90.54,HIGH,96,528,144,576,48,48,  51,0.49,1.00,0.7272
532,12,4,98.35,HIGH,144,528,192,576,48,48,  30,0.49,1.00,0.7265
533,12,5,97.31,HIGH,192,528,240,576,48,48,   1,0.49,1.00,0.2085
534,12,6,98.09,HIGH,240,528,288,576,48,48,   0,0.49,1.00,0.1045
535,12,7,94.14,HIGH,288,528,336,576,48,48,   2,0.49,1.00,0.3525
536,12,8,91.41,HIGH,336,528,384,576,48,48,   2,0.49,1.00,0.3377
537,12,9,72.27,MEDIUM,384,528,432,576,48,48,  56,1.00,0.20,0.5671
538,12,10,17.23,MEDIUM,432,528,480,576,48,48,   0,1.00,0.20,0.0006
539,12,11,20.23,MEDIUM,480,528,528,576,48,48,   6,1.00,0.20,0.0302
540,12,12,69.92,MEDIUM,528,528,576,576,48,48,   8,1.00,0.20,0.3195
541,12,13,83.77,HIGH,576,528,624,576,48,48,  36,1.00,1.00,0.7177
580,13,4,75.09,MEDIUM,144,576,192,624,48,48,  14,1.00,0.20,0.4266
581,13,5,88.72,HIGH,192,576,240,624,48,48,   1,1.00,1.00,0.3767
582,13,6,99.48,HIGH,240,576,288,624,48,48,   2,0.16,1.00,0.1979
583,13,7,98.13,HIGH,288,576,336,624,48,48,   2,0.49,1.00,0.3848
584,13,8,72.31,MEDIUM,336,576,384,624,48,48,   1,1.00,0.20,0.1131
