Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3224x2672
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 3224x2672
Scaled Tile Size: 48x48
Total Mask: 55.41%, Total Tissue: 44.59%
Tiles: 68x56 = 3808
  1377 (36.16%) tiles >=80% tissue
   648 (17.02%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
161,3,25,33.72,MEDIUM,1152,96,1200,144,48,48,  84,1.00,0.20,0.2466
162,3,26,46.09,MEDIUM,1200,96,1248,144,48,48,  77,1.00,0.20,0.3724
170,3,34,27.43,MEDIUM,1584,96,1632,144,48,48, 120,1.00,0.20,0.1948
171,3,35,89.76,HIGH,1632,96,1680,144,48,48,  30,1.00,1.00,0.7349
172,3,36,46.74,MEDIUM,1680,96,1728,144,48,48,  71,1.00,0.20,0.3734
173,3,37,77.69,MEDIUM,1728,96,1776,144,48,48,  67,1.00,0.20,0.6171
174,3,38,63.67,MEDIUM,1776,96,1824,144,48,48,  24,1.00,0.20,0.4171
175,3,39,62.85,MEDIUM,1824,96,1872,144,48,48,  34,1.00,0.20,0.4492
176,3,40,66.36,MEDIUM,1872,96,1920,144,48,48,  23,1.00,0.20,0.4292
177,3,41,30.60,MEDIUM,1920,96,1968,144,48,48, 100,1.00,0.20,0.2219
179,3,43,34.51,MEDIUM,2016,96,2064,144,48,48, 116,1.00,0.20,0.2752
227,4,23,63.11,MEDIUM,1056,144,1104,192,48,48, 221,1.00,0.20,0.6027
228,4,24,94.88,HIGH,1104,144,1152,192,48,48, 167,1.00,1.00,0.8218
229,4,25,99.65,HIGH,1152,144,1200,192,48,48, 108,1.00,1.00,0.8234
230,4,26,99.78,HIGH,1200,144,1248,192,48,48, 105,1.00,1.00,0.8228
231,4,27,72.48,MEDIUM,1248,144,1296,192,48,48,  91,1.00,0.20,0.6082
233,4,29,24.52,MEDIUM,1344,144,1392,192,48,48, 237,1.00,0.20,0.1891
234,4,30,80.60,HIGH,1392,144,1440,192,48,48,  39,1.00,1.00,0.7057
235,4,31,79.95,MEDIUM,1440,144,1488,192,48,48,  35,1.00,0.20,0.5702
236,4,32,86.98,HIGH,1488,144,1536,192,48,48,  22,1.00,1.00,0.7048
237,4,33,91.97,HIGH,1536,144,1584,192,48,48,  24,1.00,1.00,0.7315
238,4,34,98.65,HIGH,1584,144,1632,192,48,48,   8,1.00,1.00,0.6827
239,4,35,98.87,HIGH,1632,144,1680,192,48,48,   3,0.49,1.00,0.4411
240,4,36,98.87,HIGH,1680,144,1728,192,48,48,  10,0.49,1.00,0.6369
241,4,37,98.13,HIGH,1728,144,1776,192,48,48,   0,0.49,1.00,0.1150
242,4,38,98.13,HIGH,1776,144,1824,192,48,48,   7,1.00,1.00,0.6658
243,4,39,97.83,HIGH,1824,144,1872,192,48,48,   4,1.00,1.00,0.6043
244,4,40,98.83,HIGH,1872,144,1920,192,48,48,   5,0.49,1.00,0.5509
245,4,41,99.22,HIGH,1920,144,1968,192,48,48,  13,1.00,1.00,0.7204
246,4,42,99.22,HIGH,1968,144,2016,192,48,48,  19,1.00,1.00,0.7481
247,4,43,98.96,HIGH,2016,144,2064,192,48,48,  13,1.00,1.00,0.7197
248,4,44,98.83,HIGH,2064,144,2112,192,48,48,  10,1.00,1.00,0.6979
249,4,45,87.20,HIGH,2112,144,2160,192,48,48,  27,1.00,1.00,0.7163
250,4,46,97.61,HIGH,2160,144,2208,192,48,48,  22,1.00,1.00,0.7496
251,4,47,93.49,HIGH,2208,144,2256,192,48,48,  17,1.00,1.00,0.7167
252,4,48,64.71,MEDIUM,2256,144,2304,192,48,48,  41,1.00,0.20,0.4806
294,5,22,37.80,MEDIUM,1008,192,1056,240,48,48,  70,1.00,0.20,0.2788
295,5,23,99.74,HIGH,1056,192,1104,240,48,48, 122,1.00,1.00,0.8271
296,5,24,99.70,HIGH,1104,192,1152,240,48,48, 213,1.00,1.00,0.8421
297,5,25,99.87,HIGH,1152,192,1200,240,48,48, 231,1.00,1.00,0.8445
298,5,26,99.18,HIGH,1200,192,1248,240,48,48,  47,1.00,1.00,0.7923
299,5,27,98.35,HIGH,1248,192,1296,240,48,48,  35,1.00,1.00,0.7755
300,5,28,94.05,HIGH,1296,192,1344,240,48,48,  25,1.00,1.00,0.7416
301,5,29,98.96,HIGH,1344,192,1392,240,48,48,  24,1.00,1.00,0.7583
302,5,30,97.87,HIGH,1392,192,1440,240,48,48,   3,1.00,1.00,0.5643
303,5,31,95.92,HIGH,1440,192,1488,240,48,48,  10,1.00,1.00,0.6870
304,5,32,96.96,HIGH,1488,192,1536,240,48,48,   3,0.49,1.00,0.4316
305,5,33,97.53,HIGH,1536,192,1584,240,48,48,   3,0.49,1.00,0.4864
306,5,34,97.35,HIGH,1584,192,1632,240,48,48,   1,1.00,1.00,0.3889
307,5,35,97.66,HIGH,1632,192,1680,240,48,48,   0,1.00,1.00,0.1795
308,5,36,97.92,HIGH,1680,192,1728,240,48,48,   3,0.49,1.00,0.4841
309,5,37,97.53,HIGH,1728,192,1776,240,48,48,   0,0.49,1.00,0.1610
310,5,38,97.27,HIGH,1776,192,1824,240,48,48,   1,1.00,1.00,0.3936
311,5,39,97.01,HIGH,1824,192,1872,240,48,48,   4,1.00,1.00,0.5948
312,5,40,97.92,HIGH,1872,192,1920,240,48,48,   6,0.49,1.00,0.5614
313,5,41,98.61,HIGH,1920,192,1968,240,48,48,   2,0.49,1.00,0.4104
314,5,42,97.96,HIGH,1968,192,2016,240,48,48,   6,1.00,1.00,0.6432
315,5,43,98.52,HIGH,2016,192,2064,240,48,48,   2,0.49,1.00,0.3592
316,5,44,98.05,HIGH,2064,192,2112,240,48,48,   8,1.00,1.00,0.6831
317,5,45,97.70,HIGH,2112,192,2160,240,48,48,   6,1.00,1.00,0.6456
318,5,46,98.61,HIGH,2160,192,2208,240,48,48,   6,0.49,1.00,0.5665
319,5,47,98.09,HIGH,2208,192,2256,240,48,48,   0,0.49,1.00,0.0728
320,5,48,97.83,HIGH,2256,192,2304,240,48,48,   2,0.49,1.00,0.4078
321,5,49,98.78,HIGH,2304,192,2352,240,48,48,  10,1.00,1.00,0.7004
322,5,50,98.74,HIGH,2352,192,2400,240,48,48,  29,1.00,1.00,0.7687
323,5,51,87.33,HIGH,2400,192,2448,240,48,48,  37,1.00,1.00,0.7343
324,5,52,83.12,HIGH,2448,192,2496,240,48,48,  32,1.00,1.00,0.7070
325,5,53,51.91,MEDIUM,2496,192,2544,240,48,48,  65,1.00,0.20,0.4161
359,6,19,51.95,MEDIUM,864,240,912,288,48,48,  71,1.00,0.20,0.4230
360,6,20,78.26,MEDIUM,912,240,960,288,48,48,  22,1.00,0.20,0.5055
361,6,21,87.93,HIGH,960,240,1008,288,48,48,  25,1.00,1.00,0.7150
362,6,22,80.16,HIGH,1008,240,1056,288,48,48,  38,1.00,1.00,0.7021
363,6,23,99.05,HIGH,1056,240,1104,288,48,48,  22,1.00,1.00,0.7557
364,6,24,99.26,HIGH,1104,240,1152,288,48,48,  50,1.00,1.00,0.7949
365,6,25,99.61,HIGH,1152,240,1200,288,48,48, 175,1.00,1.00,0.8369
366,6,26,98.74,HIGH,1200,240,1248,288,48,48,   3,0.49,1.00,0.4515
367,6,27,98.48,HIGH,1248,240,1296,288,48,48,   0,0.49,1.00,0.1144
