Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 5340x2755
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 5340x2755
Scaled Tile Size: 48x48
Total Mask: 97.15%, Total Tissue: 2.85%
Tiles: 112x58 = 6496
    33 ( 0.51%) tiles >=80% tissue
   359 ( 5.53%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
101,1,101,28.47,MEDIUM,4800,0,4848,48,48,48,  21,1.00,0.20,0.1172
102,1,102,23.48,MEDIUM,4848,0,4896,48,48,48,  22,1.00,0.20,0.0856
213,2,101,37.02,MEDIUM,4800,48,4848,96,48,48,  33,1.00,0.20,0.2170
661,6,101,14.71,MEDIUM,4800,240,4848,288,48,48,   3,1.00,0.20,0.0090
773,7,101,24.22,MEDIUM,4800,288,4848,336,48,48,   3,1.00,0.20,0.0250
1181,11,61,22.01,MEDIUM,2880,480,2928,528,48,48,  10,1.00,0.20,0.0494
1291,12,59,25.17,MEDIUM,2784,528,2832,576,48,48, 317,1.00,0.20,0.2088
1292,12,60,42.53,MEDIUM,2832,528,2880,576,48,48,1095,1.00,0.20,0.4939
1293,12,61,19.49,MEDIUM,2880,528,2928,576,48,48, 365,1.00,0.20,0.1405
1400,13,56,36.94,MEDIUM,2640,576,2688,624,48,48, 352,1.00,0.20,0.3680
1401,13,57,56.77,MEDIUM,2688,576,2736,624,48,48, 254,1.00,0.20,0.5600
1402,13,58,74.78,MEDIUM,2736,576,2784,624,48,48,1238,1.00,0.20,0.7552
1403,13,59,59.72,MEDIUM,2784,576,2832,624,48,48, 148,1.00,0.20,0.5495
1404,13,60,55.82,MEDIUM,2832,576,2880,624,48,48, 238,1.00,0.20,0.5474
1405,13,61,64.37,MEDIUM,2880,576,2928,624,48,48,2543,1.00,0.20,0.7209
1406,13,62,25.26,MEDIUM,2928,576,2976,624,48,48,1022,1.00,0.20,0.2536
1509,14,53,37.59,MEDIUM,2496,624,2544,672,48,48, 103,1.00,0.20,0.3027
1510,14,54,67.58,MEDIUM,2544,624,2592,672,48,48,1853,1.00,0.20,0.7299
1511,14,55,88.32,HIGH,2592,624,2640,672,48,48, 326,1.00,1.00,0.8188
1512,14,56,75.78,MEDIUM,2640,624,2688,672,48,48,1153,1.00,0.20,0.7577
1513,14,57,75.56,MEDIUM,2688,624,2736,672,48,48,1378,1.00,0.20,0.7625
1514,14,58,45.31,MEDIUM,2736,624,2784,672,48,48, 366,1.00,0.20,0.4693
1515,14,59,32.64,MEDIUM,2784,624,2832,672,48,48,2066,1.00,0.20,0.3910
1516,14,60,38.85,MEDIUM,2832,624,2880,672,48,48,1451,1.00,0.20,0.4613
1517,14,61,55.08,MEDIUM,2880,624,2928,672,48,48, 452,1.00,0.20,0.5780
1519,14,63,13.54,MEDIUM,2976,624,3024,672,48,48, 247,0.49,0.20,0.0559
1619,15,51,30.51,MEDIUM,2400,672,2448,720,48,48, 463,1.00,0.20,0.2971
1620,15,52,84.29,HIGH,2448,672,2496,720,48,48, 331,1.00,1.00,0.8048
1621,15,53,92.36,HIGH,2496,672,2544,720,48,48, 354,0.49,1.00,0.8149
1622,15,54,86.15,HIGH,2544,672,2592,720,48,48,1518,1.00,1.00,0.8447
1623,15,55,76.13,MEDIUM,2592,672,2640,720,48,48,2248,1.00,0.20,0.7798
1624,15,56,64.41,MEDIUM,2640,672,2688,720,48,48, 631,1.00,0.20,0.6678
1625,15,57,59.42,MEDIUM,2688,672,2736,720,48,48, 254,1.00,0.20,0.5823
1626,15,58,39.58,MEDIUM,2736,672,2784,720,48,48, 726,1.00,0.20,0.4385
1628,15,60,14.89,MEDIUM,2832,672,2880,720,48,48,1420,0.49,0.20,0.0987
1629,15,61,62.33,MEDIUM,2880,672,2928,720,48,48,1531,1.00,0.20,0.6899
