Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3320x9591
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 3320x9591
Scaled Tile Size: 48x48
Total Mask: 98.31%, Total Tissue: 1.69%
Tiles: 70x200 = 14000
   206 ( 1.47%) tiles >=80% tissue
    64 ( 0.46%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
4450,64,40,82.99,HIGH,1872,3024,1920,3072,48,48, 459,1.00,1.00,0.8085
4451,64,41,28.39,MEDIUM,1920,3024,1968,3072,48,48,  26,1.00,0.20,0.1281
4452,64,42,34.72,MEDIUM,1968,3024,2016,3072,48,48,   5,1.00,0.20,0.0720
4453,64,43,25.61,MEDIUM,2016,3024,2064,3072,48,48,  68,1.00,0.20,0.1496
4463,64,53,27.08,MEDIUM,2496,3024,2544,3072,48,48,   7,1.00,0.20,0.0600
4464,64,54,74.61,MEDIUM,2544,3024,2592,3072,48,48,  39,1.00,0.20,0.5475
4465,64,55,41.36,MEDIUM,2592,3024,2640,3072,48,48, 701,1.00,0.20,0.4586
4520,65,40,78.08,MEDIUM,1872,3072,1920,3120,48,48, 667,1.00,0.20,0.7492
4521,65,41,98.61,HIGH,1920,3072,1968,3120,48,48,  28,1.00,1.00,0.7653
4522,65,42,99.05,HIGH,1968,3072,2016,3120,48,48,  16,1.00,1.00,0.7336
4523,65,43,93.71,HIGH,2016,3072,2064,3120,48,48, 232,1.00,1.00,0.8271
4524,65,44,81.16,HIGH,2064,3072,2112,3120,48,48,  22,1.00,1.00,0.6738
4525,65,45,74.87,MEDIUM,2112,3072,2160,3120,48,48,   9,1.00,0.20,0.3633
4526,65,46,27.95,MEDIUM,2160,3072,2208,3120,48,48,  11,1.00,0.20,0.0853
4527,65,47,21.92,MEDIUM,2208,3072,2256,3120,48,48,  52,1.00,0.20,0.1050
4528,65,48,18.10,MEDIUM,2256,3072,2304,3120,48,48, 266,1.00,0.20,0.1157
4531,65,51,48.35,MEDIUM,2400,3072,2448,3120,48,48,   3,1.00,0.20,0.1032
4532,65,52,81.08,HIGH,2448,3072,2496,3120,48,48,   3,1.00,1.00,0.4828
4533,65,53,96.35,HIGH,2496,3072,2544,3120,48,48,  14,1.00,1.00,0.7155
4534,65,54,97.22,HIGH,2544,3072,2592,3120,48,48, 273,1.00,1.00,0.8414
4590,66,40,97.40,HIGH,1872,3120,1920,3168,48,48, 278,1.00,1.00,0.8423
4591,66,41,99.70,HIGH,1920,3120,1968,3168,48,48,  18,1.00,1.00,0.7463
4592,66,42,99.48,HIGH,1968,3120,2016,3168,48,48,  63,1.00,1.00,0.8047
4593,66,43,98.22,HIGH,2016,3120,2064,3168,48,48, 101,1.00,1.00,0.8169
4594,66,44,97.14,HIGH,2064,3120,2112,3168,48,48,  14,1.00,1.00,0.7211
4595,66,45,97.87,HIGH,2112,3120,2160,3168,48,48,   8,1.00,1.00,0.6810
4596,66,46,94.44,HIGH,2160,3120,2208,3168,48,48,   4,1.00,1.00,0.5740
4597,66,47,90.19,HIGH,2208,3120,2256,3168,48,48,  24,1.00,1.00,0.7226
4598,66,48,78.08,MEDIUM,2256,3120,2304,3168,48,48,  17,1.00,0.20,0.4713
4599,66,49,39.11,MEDIUM,2304,3120,2352,3168,48,48,  13,1.00,0.20,0.1665
4600,66,50,57.34,MEDIUM,2352,3120,2400,3168,48,48, 119,1.00,0.20,0.5135
4601,66,51,91.15,HIGH,2400,3120,2448,3168,48,48,   5,1.00,1.00,0.5862
4602,66,52,97.27,HIGH,2448,3120,2496,3168,48,48,   8,1.00,1.00,0.6744
4603,66,53,99.09,HIGH,2496,3120,2544,3168,48,48,  97,1.00,1.00,0.8182
4604,66,54,42.88,MEDIUM,2544,3120,2592,3168,48,48, 523,1.00,0.20,0.4615
4660,67,40,83.85,HIGH,1872,3168,1920,3216,48,48,1077,1.00,1.00,0.8308
4661,67,41,99.44,HIGH,1920,3168,1968,3216,48,48, 467,1.00,1.00,0.8588
4662,67,42,99.65,HIGH,1968,3168,2016,3216,48,48, 134,1.00,1.00,0.8297
4663,67,43,99.44,HIGH,2016,3168,2064,3216,48,48,  60,1.00,1.00,0.8024
4664,67,44,99.44,HIGH,2064,3168,2112,3216,48,48, 486,1.00,1.00,0.8595
4665,67,45,98.96,HIGH,2112,3168,2160,3216,48,48, 168,1.00,1.00,0.8339
4666,67,46,97.79,HIGH,2160,3168,2208,3216,48,48,   3,1.00,1.00,0.5758
4667,67,47,97.05,HIGH,2208,3168,2256,3216,48,48,   4,1.00,1.00,0.6113
4668,67,48,96.61,HIGH,2256,3168,2304,3216,48,48,   5,1.00,1.00,0.6239
4669,67,49,98.22,HIGH,2304,3168,2352,3216,48,48,   7,1.00,1.00,0.6630
4670,67,50,83.94,HIGH,2352,3168,2400,3216,48,48, 342,1.00,1.00,0.8044
4671,67,51,99.13,HIGH,2400,3168,2448,3216,48,48, 414,1.00,1.00,0.8556
4672,67,52,99.61,HIGH,2448,3168,2496,3216,48,48,  54,1.00,1.00,0.7991
4673,67,53,92.93,HIGH,2496,3168,2544,3216,48,48, 506,1.00,1.00,0.8432
4728,68,38,20.57,MEDIUM,1776,3216,1824,3264,48,48,1121,1.00,0.20,0.1865
4729,68,39,75.30,MEDIUM,1824,3216,1872,3264,48,48, 787,1.00,0.20,0.7418
4730,68,40,96.48,HIGH,1872,3216,1920,3264,48,48,1109,1.00,1.00,0.8672
4731,68,41,99.31,HIGH,1920,3216,1968,3264,48,48,1989,1.00,1.00,0.8822
4732,68,42,99.44,HIGH,1968,3216,2016,3264,48,48, 905,1.00,1.00,0.8707
4733,68,43,99.70,HIGH,2016,3216,2064,3264,48,48, 411,1.00,1.00,0.8568
4734,68,44,99.31,HIGH,2064,3216,2112,3264,48,48,1058,1.00,1.00,0.8729
4735,68,45,99.39,HIGH,2112,3216,2160,3264,48,48, 146,1.00,1.00,0.8314
4736,68,46,99.44,HIGH,2160,3216,2208,3264,48,48,  20,1.00,1.00,0.7493
4737,68,47,98.65,HIGH,2208,3216,2256,3264,48,48,   5,1.00,1.00,0.6436
4738,68,48,98.74,HIGH,2256,3216,2304,3264,48,48,   2,1.00,1.00,0.5313
4739,68,49,98.57,HIGH,2304,3216,2352,3264,48,48,   3,1.00,1.00,0.5897
4740,68,50,98.44,HIGH,2352,3216,2400,3264,48,48,   8,1.00,1.00,0.6824
4741,68,51,97.87,HIGH,2400,3216,2448,3264,48,48, 148,1.00,1.00,0.8273
4742,68,52,58.46,MEDIUM,2448,3216,2496,3264,48,48, 715,1.00,0.20,0.6295
4798,69,38,88.85,HIGH,1776,3264,1824,3312,48,48,1123,1.00,1.00,0.8472
4799,69,39,99.44,HIGH,1824,3264,1872,3312,48,48,1133,1.00,1.00,0.8743
4800,69,40,99.52,HIGH,1872,3264,1920,3312,48,48,1587,1.00,1.00,0.8795
4801,69,41,99.18,HIGH,1920,3264,1968,3312,48,48,2554,1.00,1.00,0.8853
4802,69,42,99.48,HIGH,1968,3264,2016,3312,48,48,2070,1.00,1.00,0.8831
4803,69,43,99.74,HIGH,2016,3264,2064,3312,48,48,1416,1.00,1.00,0.8783
4804,69,44,98.87,HIGH,2064,3264,2112,3312,48,48,1467,1.00,1.00,0.8770
4805,69,45,99.61,HIGH,2112,3264,2160,3312,48,48,1016,1.00,1.00,0.8729
4806,69,46,99.74,HIGH,2160,3264,2208,3312,48,48, 148,1.00,1.00,0.8326
4807,69,47,99.83,HIGH,2208,3264,2256,3312,48,48,  87,1.00,1.00,0.8169
4808,69,48,99.57,HIGH,2256,3264,2304,3312,48,48,  47,1.00,1.00,0.7932
4809,69,49,99.74,HIGH,2304,3264,2352,3312,48,48,  81,1.00,1.00,0.8142
4810,69,50,91.15,HIGH,2352,3264,2400,3312,48,48, 469,1.00,1.00,0.8364
4811,69,51,35.42,MEDIUM,2400,3264,2448,3312,48,48,1058,1.00,0.20,0.4020
4868,70,38,98.18,HIGH,1776,3312,1824,3360,48,48, 908,1.00,1.00,0.8678
4869,70,39,97.92,HIGH,1824,3312,1872,3360,48,48,1584,1.00,1.00,0.8760
4870,70,40,99.18,HIGH,1872,3312,1920,3360,48,48,1521,1.00,1.00,0.8782
4871,70,41,99.44,HIGH,1920,3312,1968,3360,48,48,2292,1.00,1.00,0.8844
4872,70,42,99.44,HIGH,1968,3312,2016,3360,48,48,2777,1.00,1.00,0.8869
4873,70,43,99.65,HIGH,2016,3312,2064,3360,48,48,1962,1.00,1.00,0.8828
4874,70,44,99.57,HIGH,2064,3312,2112,3360,48,48,1760,1.00,1.00,0.8811
4875,70,45,99.65,HIGH,2112,3312,2160,3360,48,48,2354,1.00,1.00,0.8852
4876,70,46,99.52,HIGH,2160,3312,2208,3360,48,48,2659,1.00,1.00,0.8865
4877,70,47,99.18,HIGH,2208,3312,2256,3360,48,48,1725,1.00,1.00,0.8800
4878,70,48,73.96,MEDIUM,2256,3312,2304,3360,48,48,1549,1.00,0.20,0.7584
4879,70,49,51.04,MEDIUM,2304,3312,2352,3360,48,48,1220,1.00,0.20,0.5890
4938,71,38,86.20,HIGH,1776,3360,1824,3408,48,48, 937,1.00,1.00,0.8357
4939,71,39,99.31,HIGH,1824,3360,1872,3408,48,48,1166,1.00,1.00,0.8744
4940,71,40,99.00,HIGH,1872,3360,1920,3408,48,48,1320,1.00,1.00,0.8757
