Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 6480x2880
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 6480x2880
Scaled Tile Size: 48x48
Total Mask: 92.62%, Total Tissue: 7.38%
Tiles: 135x60 = 8100
   414 ( 5.11%) tiles >=80% tissue
   411 ( 5.07%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
348,3,78,28.95,MEDIUM,3696,96,3744,144,48,48,  94,1.00,0.20,0.2001
756,6,81,22.83,MEDIUM,3840,240,3888,288,48,48,  31,1.00,0.20,0.0937
757,6,82,31.29,MEDIUM,3888,240,3936,288,48,48,   0,1.00,0.20,0.0089
758,6,83,65.28,MEDIUM,3936,240,3984,288,48,48,   8,1.00,0.20,0.2968
759,6,84,76.35,MEDIUM,3984,240,4032,288,48,48,   7,1.00,0.20,0.3327
760,6,85,46.53,MEDIUM,4032,240,4080,288,48,48,   4,1.00,0.20,0.1151
891,7,81,46.57,MEDIUM,3840,288,3888,336,48,48,   5,1.00,0.20,0.1251
892,7,82,46.96,MEDIUM,3888,288,3936,336,48,48,   2,1.00,0.20,0.0684
893,7,83,85.76,HIGH,3936,288,3984,336,48,48,   1,1.00,1.00,0.2921
894,7,84,89.11,HIGH,3984,288,4032,336,48,48,   1,1.00,1.00,0.3853
895,7,85,91.93,HIGH,4032,288,4080,336,48,48,   2,1.00,1.00,0.4716
896,7,86,86.46,HIGH,4080,288,4128,336,48,48,   5,1.00,1.00,0.5696
897,7,87,18.36,MEDIUM,4128,288,4176,336,48,48,   9,1.00,0.20,0.0338
1022,8,77,30.99,MEDIUM,3648,336,3696,384,48,48,   0,1.00,0.20,0.0042
1023,8,78,33.72,MEDIUM,3696,336,3744,384,48,48,   2,1.00,0.20,0.0302
1024,8,79,22.14,MEDIUM,3744,336,3792,384,48,48,   7,1.00,0.20,0.0396
1025,8,80,68.27,MEDIUM,3792,336,3840,384,48,48,   6,1.00,0.20,0.2637
1026,8,81,76.30,MEDIUM,3840,336,3888,384,48,48,   1,1.00,0.20,0.0926
1027,8,82,77.99,MEDIUM,3888,336,3936,384,48,48,   1,1.00,0.20,0.0971
1028,8,83,91.10,HIGH,3936,336,3984,384,48,48,   2,1.00,1.00,0.4710
1029,8,84,97.48,HIGH,3984,336,4032,384,48,48,   1,1.00,1.00,0.4335
1030,8,85,91.80,HIGH,4032,336,4080,384,48,48,   1,1.00,1.00,0.2855
1031,8,86,86.33,HIGH,4080,336,4128,384,48,48,  10,1.00,1.00,0.6393
1107,9,27,34.68,MEDIUM,1248,384,1296,432,48,48,  14,1.00,0.20,0.1391
1108,9,28,18.79,MEDIUM,1296,384,1344,432,48,48,   8,1.00,0.20,0.0337
1157,9,77,61.72,MEDIUM,3648,384,3696,432,48,48,   3,1.00,0.20,0.1498
1158,9,78,74.05,MEDIUM,3696,384,3744,432,48,48,   1,1.00,0.20,0.1224
1159,9,79,65.45,MEDIUM,3744,384,3792,432,48,48,   8,1.00,0.20,0.2862
1160,9,80,73.39,MEDIUM,3792,384,3840,432,48,48,   1,1.00,0.20,0.1030
1161,9,81,79.73,MEDIUM,3840,384,3888,432,48,48,   2,1.00,0.20,0.1769
1162,9,82,88.32,HIGH,3888,384,3936,432,48,48,   3,1.00,1.00,0.5124
