Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2944x3520
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2944x3520
Scaled Tile Size: 48x48
Total Mask: 85.11%, Total Tissue: 14.89%
Tiles: 62x74 = 4588
   437 ( 9.52%) tiles >=80% tissue
   494 (10.77%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
147,3,23,62.80,MEDIUM,1056,96,1104,144,48,48,   0,1.00,0.20,0.0000
148,3,24,62.41,MEDIUM,1104,96,1152,144,48,48,1348,1.00,0.20,0.6857
208,4,22,34.68,MEDIUM,1008,144,1056,192,48,48,   0,1.00,0.20,0.0000
209,4,23,84.46,HIGH,1056,144,1104,192,48,48,   0,1.00,1.00,0.0000
210,4,24,82.03,HIGH,1104,144,1152,192,48,48,   0,1.00,1.00,0.0000
211,4,25,96.05,HIGH,1152,144,1200,192,48,48,  13,1.00,1.00,0.7115
212,4,26,39.76,MEDIUM,1200,144,1248,192,48,48,  18,1.00,0.20,0.1949
271,5,23,75.87,MEDIUM,1056,192,1104,240,48,48,   0,1.00,0.20,0.0000
272,5,24,63.11,MEDIUM,1104,192,1152,240,48,48,   0,1.00,0.20,0.0000
273,5,25,99.48,HIGH,1152,192,1200,240,48,48,   0,1.00,1.00,0.0000
274,5,26,77.26,MEDIUM,1200,192,1248,240,48,48,   1,1.00,0.20,0.0889
332,6,22,55.03,MEDIUM,1008,240,1056,288,48,48,   0,1.00,0.20,0.0000
333,6,23,73.87,MEDIUM,1056,240,1104,288,48,48,   7,1.00,0.20,0.3134
334,6,24,86.72,HIGH,1104,240,1152,288,48,48,   0,1.00,1.00,0.0000
335,6,25,98.18,HIGH,1152,240,1200,288,48,48,   0,1.00,1.00,0.0000
336,6,26,94.79,HIGH,1200,240,1248,288,48,48,   0,1.00,1.00,0.0992
340,6,30,21.96,MEDIUM,1392,240,1440,288,48,48,   0,1.00,0.20,0.0017
393,7,21,40.32,MEDIUM,960,288,1008,336,48,48,   0,1.00,0.20,0.0000
394,7,22,97.74,HIGH,1008,288,1056,336,48,48,   0,1.00,1.00,0.0000
395,7,23,91.58,HIGH,1056,288,1104,336,48,48,   0,1.00,1.00,0.1714
396,7,24,91.71,HIGH,1104,288,1152,336,48,48,   0,1.00,1.00,0.0000
397,7,25,99.22,HIGH,1152,288,1200,336,48,48,   1,1.00,1.00,0.3931
398,7,26,82.03,HIGH,1200,288,1248,336,48,48,   1,1.00,1.00,0.2762
402,7,30,29.38,MEDIUM,1392,288,1440,336,48,48,   0,1.00,0.20,0.0000
409,7,37,38.67,MEDIUM,1728,288,1776,336,48,48,  13,1.00,0.20,0.1627
454,8,20,58.38,MEDIUM,912,336,960,384,48,48,   0,1.00,0.20,0.0000
455,8,21,77.69,MEDIUM,960,336,1008,384,48,48,   0,1.00,0.20,0.0000
456,8,22,96.22,HIGH,1008,336,1056,384,48,48,   0,1.00,1.00,0.0000
457,8,23,97.53,HIGH,1056,336,1104,384,48,48,   0,1.00,1.00,0.0000
458,8,24,96.14,HIGH,1104,336,1152,384,48,48,   0,1.00,1.00,0.1018
459,8,25,90.67,HIGH,1152,336,1200,384,48,48,   1,1.00,1.00,0.4142
463,8,29,21.88,MEDIUM,1344,336,1392,384,48,48, 734,1.00,0.20,0.1929
464,8,30,21.92,MEDIUM,1392,336,1440,384,48,48,   0,1.00,0.20,0.0000
470,8,36,49.13,MEDIUM,1680,336,1728,384,48,48, 404,1.00,0.20,0.5153
515,9,19,41.62,MEDIUM,864,384,912,432,48,48,   0,1.00,0.20,0.0000
516,9,20,90.02,HIGH,912,384,960,432,48,48,   0,1.00,1.00,0.0000
517,9,21,84.55,HIGH,960,384,1008,432,48,48,   0,1.00,1.00,0.0000
518,9,22,99.39,HIGH,1008,384,1056,432,48,48,   0,1.00,1.00,0.0805
519,9,23,99.65,HIGH,1056,384,1104,432,48,48,   0,1.00,1.00,0.0000
520,9,24,73.65,MEDIUM,1104,384,1152,432,48,48,   1,1.00,0.20,0.1010
525,9,29,43.32,MEDIUM,1344,384,1392,432,48,48,1185,1.00,0.20,0.5066
576,10,18,77.30,MEDIUM,816,432,864,480,48,48,   0,1.00,0.20,0.0000
577,10,19,93.79,HIGH,864,432,912,480,48,48,   0,1.00,1.00,0.0000
578,10,20,83.98,HIGH,912,432,960,480,48,48,   2,1.00,1.00,0.4115
579,10,21,98.13,HIGH,960,432,1008,480,48,48,   0,1.00,1.00,0.0000
580,10,22,99.61,HIGH,1008,432,1056,480,48,48,   2,1.00,1.00,0.5193
581,10,23,67.97,MEDIUM,1056,432,1104,480,48,48,   0,1.00,0.20,0.0402
587,10,29,35.11,MEDIUM,1344,432,1392,480,48,48, 788,1.00,0.20,0.3845
635,11,15,28.69,MEDIUM,672,480,720,528,48,48,   0,1.00,0.20,0.0073
636,11,16,28.52,MEDIUM,720,480,768,528,48,48,   0,1.00,0.20,0.0021
637,11,17,67.27,MEDIUM,768,480,816,528,48,48,   0,1.00,0.20,0.0000
638,11,18,79.95,MEDIUM,816,480,864,528,48,48,   0,1.00,0.20,0.0000
639,11,19,70.79,MEDIUM,864,480,912,528,48,48,   2,1.00,0.20,0.1343
640,11,20,82.99,HIGH,912,480,960,528,48,48,   0,1.00,1.00,0.0000
641,11,21,98.74,HIGH,960,480,1008,528,48,48,   0,1.00,1.00,0.0000
642,11,22,88.24,HIGH,1008,480,1056,528,48,48,   1,1.00,1.00,0.3750
649,11,29,26.26,MEDIUM,1344,480,1392,528,48,48,   0,1.00,0.20,0.0000
695,12,13,43.58,MEDIUM,576,528,624,576,48,48, 151,1.00,0.20,0.3951
696,12,14,46.35,MEDIUM,624,528,672,576,48,48,   0,1.00,0.20,0.0000
697,12,15,42.32,MEDIUM,672,528,720,576,48,48,   0,1.00,0.20,0.0000
698,12,16,66.58,MEDIUM,720,528,768,576,48,48,   0,1.00,0.20,0.0398
699,12,17,82.12,HIGH,768,528,816,576,48,48,   0,1.00,1.00,0.0764
700,12,18,95.23,HIGH,816,528,864,576,48,48,   0,1.00,1.00,0.0000
701,12,19,95.79,HIGH,864,528,912,576,48,48,   0,1.00,1.00,0.0000
702,12,20,99.57,HIGH,912,528,960,576,48,48,   0,1.00,1.00,0.0000
703,12,21,99.61,HIGH,960,528,1008,576,48,48,   0,1.00,1.00,0.0000
704,12,22,45.05,MEDIUM,1008,528,1056,576,48,48,   1,1.00,0.20,0.0302
710,12,28,18.32,MEDIUM,1296,528,1344,576,48,48,   0,1.00,0.20,0.0000
711,12,29,45.66,MEDIUM,1344,528,1392,576,48,48,   0,1.00,0.20,0.0000
712,12,30,44.23,MEDIUM,1392,528,1440,576,48,48,   0,1.00,0.20,0.0000
713,12,31,28.08,MEDIUM,1440,528,1488,576,48,48,   4,1.00,0.20,0.0429
729,12,47,58.46,MEDIUM,2208,528,2256,576,48,48,   4,1.00,0.20,0.1744
735,12,53,19.05,MEDIUM,2496,528,2544,576,48,48,   7,1.00,0.20,0.0305
758,13,14,74.39,MEDIUM,624,576,672,624,48,48,   0,1.00,0.20,0.0000
759,13,15,64.32,MEDIUM,672,576,720,624,48,48,   0,1.00,0.20,0.0343
760,13,16,79.51,MEDIUM,720,576,768,624,48,48,   1,1.00,0.20,0.0703
761,13,17,97.48,HIGH,768,576,816,624,48,48,   0,1.00,1.00,0.0000
762,13,18,98.91,HIGH,816,576,864,624,48,48,   0,1.00,1.00,0.0000
763,13,19,99.31,HIGH,864,576,912,624,48,48,   0,1.00,1.00,0.0000
764,13,20,87.11,HIGH,912,576,960,624,48,48,   5,1.00,1.00,0.5761
765,13,21,45.01,MEDIUM,960,576,1008,624,48,48,   2,1.00,0.20,0.0583
770,13,26,28.26,MEDIUM,1200,576,1248,624,48,48,   0,1.00,0.20,0.0021
771,13,27,65.84,MEDIUM,1248,576,1296,624,48,48,   7,1.00,0.20,0.2738
772,13,28,72.96,MEDIUM,1296,576,1344,624,48,48,   0,1.00,0.20,0.0000
773,13,29,90.10,HIGH,1344,576,1392,624,48,48,   0,1.00,1.00,0.0000
774,13,30,51.87,MEDIUM,1392,576,1440,624,48,48,   0,1.00,0.20,0.0000
775,13,31,35.76,MEDIUM,1440,576,1488,624,48,48,   1,1.00,0.20,0.0259
776,13,32,45.62,MEDIUM,1488,576,1536,624,48,48,   0,1.00,0.20,0.0000
777,13,33,28.56,MEDIUM,1536,576,1584,624,48,48,   0,1.00,0.20,0.0000
778,13,34,24.05,MEDIUM,1584,576,1632,624,48,48,   0,1.00,0.20,0.0000
779,13,35,22.22,MEDIUM,1632,576,1680,624,48,48,   0,1.00,0.20,0.0000
780,13,36,35.07,MEDIUM,1680,576,1728,624,48,48,   0,1.00,0.20,0.0000
781,13,37,33.16,MEDIUM,1728,576,1776,624,48,48,   0,1.00,0.20,0.0000
790,13,46,19.31,MEDIUM,2160,576,2208,624,48,48,   0,1.00,0.20,0.0000
791,13,47,46.05,MEDIUM,2208,576,2256,624,48,48,   0,1.00,0.20,0.0187
820,14,14,31.94,MEDIUM,624,624,672,672,48,48,   0,1.00,0.20,0.0000
821,14,15,62.15,MEDIUM,672,624,720,672,48,48,   0,1.00,0.20,0.0203
822,14,16,91.54,HIGH,720,624,768,672,48,48,   2,1.00,1.00,0.4951
823,14,17,96.74,HIGH,768,624,816,672,48,48,   0,1.00,1.00,0.0000
824,14,18,99.39,HIGH,816,624,864,672,48,48,   0,1.00,1.00,0.0000
825,14,19,93.32,HIGH,864,624,912,672,48,48,   1,1.00,1.00,0.4421
832,14,26,21.92,MEDIUM,1200,624,1248,672,48,48,2540,1.00,0.20,0.2304
833,14,27,98.70,HIGH,1248,624,1296,672,48,48,   0,1.00,1.00,0.0000
834,14,28,86.68,HIGH,1296,624,1344,672,48,48,   0,1.00,1.00,0.0000
835,14,29,73.13,MEDIUM,1344,624,1392,672,48,48,   0,1.00,0.20,0.0000
836,14,30,95.83,HIGH,1392,624,1440,672,48,48,   1,1.00,1.00,0.3936
837,14,31,95.05,HIGH,1440,624,1488,672,48,48,   0,1.00,1.00,0.0000
838,14,32,92.23,HIGH,1488,624,1536,672,48,48,   0,1.00,1.00,0.0000
839,14,33,80.12,HIGH,1536,624,1584,672,48,48,   0,1.00,1.00,0.0000
840,14,34,37.93,MEDIUM,1584,624,1632,672,48,48,   0,1.00,0.20,0.0000
841,14,35,59.51,MEDIUM,1632,624,1680,672,48,48,   0,1.00,0.20,0.0000
842,14,36,62.28,MEDIUM,1680,624,1728,672,48,48,   0,1.00,0.20,0.0000
843,14,37,79.77,MEDIUM,1728,624,1776,672,48,48,   5,1.00,0.20,0.3011
844,14,38,51.43,MEDIUM,1776,624,1824,672,48,48,   0,1.00,0.20,0.0000
845,14,39,24.91,MEDIUM,1824,624,1872,672,48,48,   0,1.00,0.20,0.0000
852,14,46,41.45,MEDIUM,2160,624,2208,672,48,48,   0,1.00,0.20,0.0000
853,14,47,16.88,MEDIUM,2208,624,2256,672,48,48,   0,1.00,0.20,0.0000
854,14,48,18.84,MEDIUM,2256,624,2304,672,48,48,   0,1.00,0.20,0.0000
855,14,49,30.34,MEDIUM,2304,624,2352,672,48,48,   0,1.00,0.20,0.0000
856,14,50,30.21,MEDIUM,2352,624,2400,672,48,48, 726,1.00,0.20,0.3127
882,15,14,59.72,MEDIUM,624,672,672,720,48,48,   0,1.00,0.20,0.0000
883,15,15,96.74,HIGH,672,672,720,720,48,48,   0,1.00,1.00,0.0000
884,15,16,90.10,HIGH,720,672,768,720,48,48,   0,1.00,1.00,0.2384
885,15,17,99.22,HIGH,768,672,816,720,48,48,   4,1.00,1.00,0.6181
886,15,18,68.58,MEDIUM,816,672,864,720,48,48,   4,1.00,0.20,0.2004
895,15,27,96.79,HIGH,1248,672,1296,720,48,48,   1,1.00,1.00,0.3772
896,15,28,98.44,HIGH,1296,672,1344,720,48,48,   0,1.00,1.00,0.0000
897,15,29,94.40,HIGH,1344,672,1392,720,48,48,   3,1.00,1.00,0.5571
898,15,30,98.52,HIGH,1392,672,1440,720,48,48,   0,1.00,1.00,0.0000
899,15,31,96.74,HIGH,1440,672,1488,720,48,48,   0,1.00,1.00,0.0000
900,15,32,91.67,HIGH,1488,672,1536,720,48,48,   0,1.00,1.00,0.0000
901,15,33,79.73,MEDIUM,1536,672,1584,720,48,48,   1,1.00,0.20,0.1260
902,15,34,80.90,HIGH,1584,672,1632,720,48,48,   0,1.00,1.00,0.0367
903,15,35,95.40,HIGH,1632,672,1680,720,48,48,   0,1.00,1.00,0.0000
904,15,36,92.01,HIGH,1680,672,1728,720,48,48,   0,1.00,1.00,0.0000
905,15,37,90.45,HIGH,1728,672,1776,720,48,48,   1,1.00,1.00,0.2768
906,15,38,86.24,HIGH,1776,672,1824,720,48,48,   1,1.00,1.00,0.3695
907,15,39,75.13,MEDIUM,1824,672,1872,720,48,48,   0,1.00,0.20,0.0246
908,15,40,92.06,HIGH,1872,672,1920,720,48,48,   0,1.00,1.00,0.0000
909,15,41,87.98,HIGH,1920,672,1968,720,48,48,   0,1.00,1.00,0.0000
910,15,42,80.30,HIGH,1968,672,2016,720,48,48,   0,1.00,1.00,0.0733
911,15,43,81.51,HIGH,2016,672,2064,720,48,48,   0,1.00,1.00,0.0000
912,15,44,71.09,MEDIUM,2064,672,2112,720,48,48,   1,1.00,0.20,0.0583
913,15,45,44.57,MEDIUM,2112,672,2160,720,48,48,   0,1.00,0.20,0.0149
914,15,46,41.36,MEDIUM,2160,672,2208,720,48,48,   0,1.00,0.20,0.0000
915,15,47,58.12,MEDIUM,2208,672,2256,720,48,48,   0,1.00,0.20,0.0000
916,15,48,55.95,MEDIUM,2256,672,2304,720,48,48,   0,1.00,0.20,0.0000
917,15,49,95.88,HIGH,2304,672,2352,720,48,48,   0,1.00,1.00,0.0000
918,15,50,86.33,HIGH,2352,672,2400,720,48,48,   0,1.00,1.00,0.0000
919,15,51,76.82,MEDIUM,2400,672,2448,720,48,48,   6,1.00,0.20,0.3271
942,16,12,43.06,MEDIUM,528,720,576,768,48,48,   0,1.00,0.20,0.0000
943,16,13,89.41,HIGH,576,720,624,768,48,48,   0,1.00,1.00,0.0000
944,16,14,97.35,HIGH,624,720,672,768,48,48,   0,1.00,1.00,0.0000
945,16,15,97.61,HIGH,672,720,720,768,48,48,   0,1.00,1.00,0.0000
946,16,16,97.66,HIGH,720,720,768,768,48,48,   1,1.00,1.00,0.3816
947,16,17,28.34,MEDIUM,768,720,816,768,48,48,   1,1.00,0.20,0.0094
953,16,23,59.85,MEDIUM,1056,720,1104,768,48,48,   0,1.00,0.20,0.0155
954,16,24,19.92,MEDIUM,1104,720,1152,768,48,48,   0,1.00,0.20,0.0000
957,16,27,56.60,MEDIUM,1248,720,1296,768,48,48,   1,1.00,0.20,0.0481
958,16,28,99.05,HIGH,1296,720,1344,768,48,48,   6,1.00,1.00,0.6634
959,16,29,99.39,HIGH,1344,720,1392,768,48,48,   0,1.00,1.00,0.0000
960,16,30,98.61,HIGH,1392,720,1440,768,48,48,   0,1.00,1.00,0.0000
961,16,31,99.00,HIGH,1440,720,1488,768,48,48,   0,1.00,1.00,0.0000
962,16,32,97.05,HIGH,1488,720,1536,768,48,48,   0,1.00,1.00,0.0000
963,16,33,89.63,HIGH,1536,720,1584,768,48,48,   0,1.00,1.00,0.0000
964,16,34,96.35,HIGH,1584,720,1632,768,48,48,   0,1.00,1.00,0.0243
965,16,35,96.83,HIGH,1632,720,1680,768,48,48,   0,1.00,1.00,0.0000
966,16,36,96.57,HIGH,1680,720,1728,768,48,48,   0,1.00,1.00,0.0000
967,16,37,95.18,HIGH,1728,720,1776,768,48,48,   0,1.00,1.00,0.0000
968,16,38,97.83,HIGH,1776,720,1824,768,48,48,   0,1.00,1.00,0.0000
969,16,39,94.53,HIGH,1824,720,1872,768,48,48,   0,1.00,1.00,0.0000
970,16,40,87.72,HIGH,1872,720,1920,768,48,48,   0,1.00,1.00,0.0000
971,16,41,94.92,HIGH,1920,720,1968,768,48,48,   0,1.00,1.00,0.0000
972,16,42,94.27,HIGH,1968,720,2016,768,48,48,   0,1.00,1.00,0.0000
973,16,43,93.32,HIGH,2016,720,2064,768,48,48,   0,1.00,1.00,0.0000
974,16,44,94.27,HIGH,2064,720,2112,768,48,48,   0,1.00,1.00,0.0000
975,16,45,48.74,MEDIUM,2112,720,2160,768,48,48,   0,1.00,0.20,0.0000
976,16,46,28.08,MEDIUM,2160,720,2208,768,48,48,   0,1.00,0.20,0.0000
977,16,47,23.13,MEDIUM,2208,720,2256,768,48,48,   2,1.00,0.20,0.0211
978,16,48,83.16,HIGH,2256,720,2304,768,48,48,   1,1.00,1.00,0.3725
979,16,49,96.74,HIGH,2304,720,2352,768,48,48,   0,1.00,1.00,0.0000
980,16,50,92.84,HIGH,2352,720,2400,768,48,48,   0,1.00,1.00,0.0000
981,16,51,71.05,MEDIUM,2400,720,2448,768,48,48,  82,1.00,0.20,0.5908
1000,17,8,37.93,MEDIUM,336,768,384,816,48,48,   2,1.00,0.20,0.0421
1002,17,10,26.91,MEDIUM,432,768,480,816,48,48,   0,1.00,0.20,0.0000
1003,17,11,80.30,HIGH,480,768,528,816,48,48,   0,1.00,1.00,0.0000
1004,17,12,91.54,HIGH,528,768,576,816,48,48,   0,1.00,1.00,0.0000
1005,17,13,91.62,HIGH,576,768,624,816,48,48,   0,1.00,1.00,0.0000
1006,17,14,97.66,HIGH,624,768,672,816,48,48,   0,1.00,1.00,0.0000
1007,17,15,99.09,HIGH,672,768,720,816,48,48,   0,1.00,1.00,0.0000
1008,17,16,99.13,HIGH,720,768,768,816,48,48,   3,1.00,1.00,0.5735
1014,17,22,47.74,MEDIUM,1008,768,1056,816,48,48,  50,1.00,0.20,0.3527
1015,17,23,78.69,MEDIUM,1056,768,1104,816,48,48,   0,1.00,0.20,0.0132
1016,17,24,55.30,MEDIUM,1104,768,1152,816,48,48, 317,1.00,0.20,0.5601
1020,17,28,29.64,MEDIUM,1296,768,1344,816,48,48,   2,1.00,0.20,0.0329
1021,17,29,41.93,MEDIUM,1344,768,1392,816,48,48,   2,1.00,0.20,0.0552
1022,17,30,41.41,MEDIUM,1392,768,1440,816,48,48,   3,1.00,0.20,0.0709
1023,17,31,56.16,MEDIUM,1440,768,1488,816,48,48,   2,1.00,0.20,0.0886
1024,17,32,85.59,HIGH,1488,768,1536,816,48,48,   1,1.00,1.00,0.3588
1025,17,33,96.57,HIGH,1536,768,1584,816,48,48,   0,1.00,1.00,0.0000
1026,17,34,95.57,HIGH,1584,768,1632,816,48,48,   0,1.00,1.00,0.0000
1027,17,35,97.87,HIGH,1632,768,1680,816,48,48,   0,1.00,1.00,0.0000
1028,17,36,98.13,HIGH,1680,768,1728,816,48,48,   0,1.00,1.00,0.0000
1029,17,37,98.44,HIGH,1728,768,1776,816,48,48,   0,1.00,1.00,0.1900
1030,17,38,98.13,HIGH,1776,768,1824,816,48,48,   0,1.00,1.00,0.1446
1031,17,39,94.62,HIGH,1824,768,1872,816,48,48,   0,1.00,1.00,0.0000
1032,17,40,97.57,HIGH,1872,768,1920,816,48,48,   0,1.00,1.00,0.0000
1033,17,41,95.79,HIGH,1920,768,1968,816,48,48,   0,1.00,1.00,0.0000
1034,17,42,97.92,HIGH,1968,768,2016,816,48,48,   0,1.00,1.00,0.0000
1035,17,43,95.27,HIGH,2016,768,2064,816,48,48,   2,1.00,1.00,0.4621
1036,17,44,88.59,HIGH,2064,768,2112,816,48,48,   0,1.00,1.00,0.1252
1037,17,45,69.53,MEDIUM,2112,768,2160,816,48,48,   0,1.00,0.20,0.0021
1038,17,46,88.50,HIGH,2160,768,2208,816,48,48,   2,1.00,1.00,0.4671
1039,17,47,84.77,HIGH,2208,768,2256,816,48,48,   1,1.00,1.00,0.2370
1040,17,48,97.22,HIGH,2256,768,2304,816,48,48,   0,1.00,1.00,0.0000
1041,17,49,99.18,HIGH,2304,768,2352,816,48,48,   0,1.00,1.00,0.0000
1042,17,50,98.74,HIGH,2352,768,2400,816,48,48,   0,1.00,1.00,0.0000
1043,17,51,66.62,MEDIUM,2400,768,2448,816,48,48,  10,1.00,0.20,0.3305
1060,18,6,27.21,MEDIUM,240,816,288,864,48,48,   1,1.00,0.20,0.0126
1061,18,7,28.99,MEDIUM,288,816,336,864,48,48,   0,1.00,0.20,0.0000
1062,18,8,45.79,MEDIUM,336,816,384,864,48,48,   3,1.00,0.20,0.0986
1063,18,9,56.77,MEDIUM,384,816,432,864,48,48,  12,1.00,0.20,0.2796
1064,18,10,74.13,MEDIUM,432,816,480,864,48,48,   0,1.00,0.20,0.0000
1065,18,11,93.88,HIGH,480,816,528,864,48,48,   0,1.00,1.00,0.0000
