Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3968x2952
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 3968x2952
Scaled Tile Size: 48x48
Total Mask: 61.60%, Total Tissue: 38.40%
Tiles: 83x62 = 5146
  1828 (35.52%) tiles >=80% tissue
   379 ( 7.36%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
98,2,15,41.97,MEDIUM,672,48,720,96,48,48, 413,1.00,0.20,0.4381
99,2,16,14.41,MEDIUM,720,48,768,96,48,48,  73,1.00,0.20,0.0540
181,3,15,67.40,MEDIUM,672,96,720,144,48,48, 458,1.00,0.20,0.6729
182,3,16,94.23,HIGH,720,96,768,144,48,48,  97,1.00,1.00,0.8028
183,3,17,58.03,MEDIUM,768,96,816,144,48,48,  46,1.00,0.20,0.4397
184,3,18,36.85,MEDIUM,816,96,864,144,48,48,  40,1.00,0.20,0.2306
187,3,21,15.54,MEDIUM,960,96,1008,144,48,48,  20,1.00,0.20,0.0378
264,4,15,59.42,MEDIUM,672,144,720,192,48,48, 628,1.00,0.20,0.6309
265,4,16,96.79,HIGH,720,144,768,192,48,48, 187,1.00,1.00,0.8307
266,4,17,88.24,HIGH,768,144,816,192,48,48, 106,1.00,1.00,0.7843
267,4,18,87.24,HIGH,816,144,864,192,48,48, 104,1.00,1.00,0.7798
268,4,19,57.90,MEDIUM,864,144,912,192,48,48,  88,1.00,0.20,0.4951
269,4,20,84.11,HIGH,912,144,960,192,48,48,  59,1.00,1.00,0.7433
270,4,21,80.86,HIGH,960,144,1008,192,48,48, 142,1.00,1.00,0.7643
271,4,22,78.12,MEDIUM,1008,144,1056,192,48,48,  42,1.00,0.20,0.5786
272,4,23,71.40,MEDIUM,1056,144,1104,192,48,48,  33,1.00,0.20,0.5092
273,4,24,41.71,MEDIUM,1104,144,1152,192,48,48,  14,1.00,0.20,0.1855
347,5,15,57.03,MEDIUM,672,192,720,240,48,48, 732,1.00,0.20,0.6189
348,5,16,99.52,HIGH,720,192,768,240,48,48, 350,1.00,1.00,0.8530
349,5,17,96.01,HIGH,768,192,816,240,48,48, 109,1.00,1.00,0.8125
350,5,18,93.36,HIGH,816,192,864,240,48,48,  89,1.00,1.00,0.7969
351,5,19,89.19,HIGH,864,192,912,240,48,48,  93,1.00,1.00,0.7833
352,5,20,75.39,MEDIUM,912,192,960,240,48,48, 151,1.00,0.20,0.6618
353,5,21,64.67,MEDIUM,960,192,1008,240,48,48,  82,1.00,0.20,0.5448
354,5,22,83.55,HIGH,1008,192,1056,240,48,48,  70,1.00,1.00,0.7483
355,5,23,87.11,HIGH,1056,192,1104,240,48,48,  69,1.00,1.00,0.7632
356,5,24,92.58,HIGH,1104,192,1152,240,48,48,  52,1.00,1.00,0.7727
357,5,25,54.56,MEDIUM,1152,192,1200,240,48,48,  60,1.00,0.20,0.4323
430,6,15,59.77,MEDIUM,672,240,720,288,48,48, 740,1.00,0.20,0.6412
431,6,16,98.87,HIGH,720,240,768,288,48,48, 418,1.00,1.00,0.8551
432,6,17,97.40,HIGH,768,240,816,288,48,48, 189,1.00,1.00,0.8326
433,6,18,97.31,HIGH,816,240,864,288,48,48, 148,1.00,1.00,0.8256
434,6,19,95.18,HIGH,864,240,912,288,48,48,  86,1.00,1.00,0.8020
435,6,20,89.84,HIGH,912,240,960,288,48,48,  88,1.00,1.00,0.7837
436,6,21,62.11,MEDIUM,960,240,1008,288,48,48,  79,1.00,0.20,0.5215
437,6,22,91.15,HIGH,1008,240,1056,288,48,48,  77,1.00,1.00,0.7836
438,6,23,89.89,HIGH,1056,240,1104,288,48,48,  94,1.00,1.00,0.7861
439,6,24,94.88,HIGH,1104,240,1152,288,48,48,  68,1.00,1.00,0.7919
440,6,25,94.14,HIGH,1152,240,1200,288,48,48,  76,1.00,1.00,0.7938
441,6,26,81.47,HIGH,1200,240,1248,288,48,48,  70,1.00,1.00,0.7387
442,6,27,50.56,MEDIUM,1248,240,1296,288,48,48,  66,1.00,0.20,0.4040
443,6,28,19.57,MEDIUM,1296,240,1344,288,48,48,  41,1.00,0.20,0.0786
476,6,61,27.65,MEDIUM,2880,240,2928,288,48,48, 142,1.00,0.20,0.2055
513,7,15,90.15,HIGH,672,288,720,336,48,48, 770,1.00,1.00,0.8438
