Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3896x7840
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 3896x7840
Scaled Tile Size: 48x48
Total Mask: 97.41%, Total Tissue: 2.59%
Tiles: 82x164 = 13448
   174 ( 1.29%) tiles >=80% tissue
   371 ( 2.76%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
1802,22,80,44.49,MEDIUM,3792,1008,3840,1056,48,48,   0,1.00,0.20,0.0000
2129,26,79,41.36,MEDIUM,3744,1200,3792,1248,48,48,   0,1.00,0.20,0.0000
2161,27,29,24.09,MEDIUM,1344,1248,1392,1296,48,48,   3,1.00,0.20,0.0234
2162,27,30,21.05,MEDIUM,1392,1248,1440,1296,48,48,   0,1.00,0.20,0.0006
2241,28,27,47.87,MEDIUM,1248,1296,1296,1344,48,48,   0,1.00,0.20,0.0028
2242,28,28,90.80,HIGH,1296,1296,1344,1344,48,48,   0,1.00,1.00,0.0735
2243,28,29,97.40,HIGH,1344,1296,1392,1344,48,48,   0,1.00,1.00,0.1820
2244,28,30,95.57,HIGH,1392,1296,1440,1344,48,48,   1,1.00,1.00,0.3624
2245,28,31,42.71,MEDIUM,1440,1296,1488,1344,48,48,   1,1.00,0.20,0.0380
2322,29,26,59.38,MEDIUM,1200,1344,1248,1392,48,48,   1,1.00,0.20,0.0521
2323,29,27,96.83,HIGH,1248,1344,1296,1392,48,48,   0,1.00,1.00,0.0000
2324,29,28,93.23,HIGH,1296,1344,1344,1392,48,48,   2,1.00,1.00,0.4942
2325,29,29,85.85,HIGH,1344,1344,1392,1392,48,48,   0,1.00,1.00,0.0000
2326,29,30,52.56,MEDIUM,1392,1344,1440,1392,48,48,   0,1.00,0.20,0.0130
2327,29,31,27.30,MEDIUM,1440,1344,1488,1392,48,48,   3,1.00,0.20,0.0367
2403,30,25,16.62,MEDIUM,1152,1392,1200,1440,48,48,   0,1.00,0.20,0.0014
2404,30,26,95.14,HIGH,1200,1392,1248,1440,48,48,   1,1.00,1.00,0.3321
2405,30,27,90.58,HIGH,1248,1392,1296,1440,48,48,   0,1.00,1.00,0.1832
2406,30,28,76.43,MEDIUM,1296,1392,1344,1440,48,48,   2,1.00,0.20,0.1363
2407,30,29,32.94,MEDIUM,1344,1392,1392,1440,48,48,   1,1.00,0.20,0.0266
2408,30,30,43.88,MEDIUM,1392,1392,1440,1440,48,48,   0,1.00,0.20,0.0013
2409,30,31,80.30,HIGH,1440,1392,1488,1440,48,48,   5,1.00,1.00,0.5349
2410,30,32,27.08,MEDIUM,1488,1392,1536,1440,48,48,   1,1.00,0.20,0.0167
2411,30,33,14.71,MEDIUM,1536,1392,1584,1440,48,48,   0,1.00,0.20,0.0002
2457,30,79,27.82,MEDIUM,3744,1392,3792,1440,48,48,   0,1.00,0.20,0.0000
2485,31,25,27.86,MEDIUM,1152,1440,1200,1488,48,48,   0,1.00,0.20,0.0008
2486,31,26,95.49,HIGH,1200,1440,1248,1488,48,48,   0,1.00,1.00,0.0079
2487,31,27,81.12,HIGH,1248,1440,1296,1488,48,48,   1,1.00,1.00,0.2951
2488,31,28,82.68,HIGH,1296,1440,1344,1488,48,48,   4,1.00,1.00,0.5124
2489,31,29,83.25,HIGH,1344,1440,1392,1488,48,48,   6,1.00,1.00,0.5722
2490,31,30,79.82,MEDIUM,1392,1440,1440,1488,48,48,   0,1.00,0.20,0.0106
2491,31,31,76.13,MEDIUM,1440,1440,1488,1488,48,48,   0,1.00,0.20,0.0451
2492,31,32,72.14,MEDIUM,1488,1440,1536,1488,48,48,   0,1.00,0.20,0.0064
2493,31,33,16.28,MEDIUM,1536,1440,1584,1488,48,48,   0,1.00,0.20,0.0003
2494,31,34,43.53,MEDIUM,1584,1440,1632,1488,48,48,   1,1.00,0.20,0.0328
2539,31,79,25.82,MEDIUM,3744,1440,3792,1488,48,48,   0,1.00,0.20,0.0000
2567,32,25,36.07,MEDIUM,1152,1488,1200,1536,48,48,   0,1.00,0.20,0.0053
2568,32,26,95.62,HIGH,1200,1488,1248,1536,48,48,   0,1.00,1.00,0.0000
2569,32,27,91.36,HIGH,1248,1488,1296,1536,48,48,   0,1.00,1.00,0.0000
2570,32,28,89.45,HIGH,1296,1488,1344,1536,48,48,   4,1.00,1.00,0.5609
2571,32,29,76.43,MEDIUM,1344,1488,1392,1536,48,48,   3,1.00,0.20,0.2232
2572,32,30,77.86,MEDIUM,1392,1488,1440,1536,48,48,   0,1.00,0.20,0.0303
2573,32,31,69.53,MEDIUM,1440,1488,1488,1536,48,48,   1,1.00,0.20,0.0980
2574,32,32,38.37,MEDIUM,1488,1488,1536,1536,48,48,   2,1.00,0.20,0.0376
2575,32,33,45.01,MEDIUM,1536,1488,1584,1536,48,48,   0,1.00,0.20,0.0000
2576,32,34,75.61,MEDIUM,1584,1488,1632,1536,48,48,   2,1.00,0.20,0.1724
2577,32,35,15.80,MEDIUM,1632,1488,1680,1536,48,48,   0,1.00,0.20,0.0002
2620,32,78,31.64,MEDIUM,3696,1488,3744,1536,48,48,   0,1.00,0.20,0.0000
2621,32,79,28.86,MEDIUM,3744,1488,3792,1536,48,48,   0,1.00,0.20,0.0000
2649,33,25,35.85,MEDIUM,1152,1536,1200,1584,48,48,   0,1.00,0.20,0.0037
2650,33,26,94.27,HIGH,1200,1536,1248,1584,48,48,   1,1.00,1.00,0.3460
2651,33,27,87.24,HIGH,1248,1536,1296,1584,48,48,   0,1.00,1.00,0.0933
2652,33,28,87.02,HIGH,1296,1536,1344,1584,48,48,   1,1.00,1.00,0.2373
2653,33,29,78.21,MEDIUM,1344,1536,1392,1584,48,48,   0,1.00,0.20,0.0391
2654,33,30,76.52,MEDIUM,1392,1536,1440,1584,48,48,   0,1.00,0.20,0.0000
2655,33,31,72.96,MEDIUM,1440,1536,1488,1584,48,48,   0,1.00,0.20,0.0135
2656,33,32,31.99,MEDIUM,1488,1536,1536,1584,48,48,   0,1.00,0.20,0.0007
2657,33,33,72.66,MEDIUM,1536,1536,1584,1584,48,48,   0,1.00,0.20,0.0000
2658,33,34,86.20,HIGH,1584,1536,1632,1584,48,48,   0,1.00,1.00,0.0000
2659,33,35,45.49,MEDIUM,1632,1536,1680,1584,48,48,   0,1.00,0.20,0.0000
2702,33,78,34.72,MEDIUM,3696,1536,3744,1584,48,48,   0,1.00,0.20,0.0000
2731,34,25,27.69,MEDIUM,1152,1584,1200,1632,48,48,   0,1.00,0.20,0.0011
2732,34,26,91.80,HIGH,1200,1584,1248,1632,48,48,   1,1.00,1.00,0.3620
2733,34,27,94.05,HIGH,1248,1584,1296,1632,48,48,   0,1.00,1.00,0.0000
2734,34,28,85.63,HIGH,1296,1584,1344,1632,48,48,   0,1.00,1.00,0.0000
2735,34,29,78.47,MEDIUM,1344,1584,1392,1632,48,48,   0,1.00,0.20,0.0000
2736,34,30,73.78,MEDIUM,1392,1584,1440,1632,48,48,   1,1.00,0.20,0.0655
2737,34,31,68.97,MEDIUM,1440,1584,1488,1632,48,48,   1,1.00,0.20,0.0582
2738,34,32,66.97,MEDIUM,1488,1584,1536,1632,48,48,   0,1.00,0.20,0.0000
2739,34,33,72.83,MEDIUM,1536,1584,1584,1632,48,48,   0,1.00,0.20,0.0000
2740,34,34,81.42,HIGH,1584,1584,1632,1632,48,48,   0,1.00,1.00,0.0000
2741,34,35,74.57,MEDIUM,1632,1584,1680,1632,48,48,   0,1.00,0.20,0.0141
2784,34,78,37.11,MEDIUM,3696,1584,3744,1632,48,48,   0,1.00,0.20,0.0000
2813,35,25,32.60,MEDIUM,1152,1632,1200,1680,48,48,   1,1.00,0.20,0.0182
2814,35,26,92.01,HIGH,1200,1632,1248,1680,48,48,   3,1.00,1.00,0.5308
2815,35,27,88.24,HIGH,1248,1632,1296,1680,48,48,   2,1.00,1.00,0.4181
2816,35,28,83.72,HIGH,1296,1632,1344,1680,48,48,   0,1.00,1.00,0.1709
2817,35,29,83.07,HIGH,1344,1632,1392,1680,48,48,   0,1.00,1.00,0.0000
2818,35,30,91.10,HIGH,1392,1632,1440,1680,48,48,   1,1.00,1.00,0.4291
2819,35,31,74.78,MEDIUM,1440,1632,1488,1680,48,48,   1,1.00,0.20,0.1254
2820,35,32,61.15,MEDIUM,1488,1632,1536,1680,48,48,   0,1.00,0.20,0.0304
2821,35,33,74.48,MEDIUM,1536,1632,1584,1680,48,48,   0,1.00,0.20,0.0000
2822,35,34,73.96,MEDIUM,1584,1632,1632,1680,48,48,   0,1.00,0.20,0.0000
2823,35,35,79.56,MEDIUM,1632,1632,1680,1680,48,48,   1,1.00,0.20,0.1079
2824,35,36,73.96,MEDIUM,1680,1632,1728,1680,48,48,   0,1.00,0.20,0.0000
2895,36,25,41.41,MEDIUM,1152,1680,1200,1728,48,48,   2,1.00,0.20,0.0436
2896,36,26,92.40,HIGH,1200,1680,1248,1728,48,48,   5,1.00,1.00,0.6019
2897,36,27,92.80,HIGH,1248,1680,1296,1728,48,48,   1,1.00,1.00,0.3637
2898,36,28,87.63,HIGH,1296,1680,1344,1728,48,48,   1,1.00,1.00,0.4034
2899,36,29,74.22,MEDIUM,1344,1680,1392,1728,48,48,   2,1.00,0.20,0.1819
2900,36,30,76.43,MEDIUM,1392,1680,1440,1728,48,48,   0,1.00,0.20,0.0000
2901,36,31,70.44,MEDIUM,1440,1680,1488,1728,48,48,   1,1.00,0.20,0.0621
2902,36,32,41.23,MEDIUM,1488,1680,1536,1728,48,48,   0,1.00,0.20,0.0101
2903,36,33,34.85,MEDIUM,1536,1680,1584,1728,48,48,   0,1.00,0.20,0.0000
2904,36,34,81.73,HIGH,1584,1680,1632,1728,48,48,   0,1.00,1.00,0.0000
2905,36,35,82.51,HIGH,1632,1680,1680,1728,48,48,   0,1.00,1.00,0.0770
2906,36,36,51.56,MEDIUM,1680,1680,1728,1728,48,48,   0,1.00,0.20,0.0068
2977,37,25,65.19,MEDIUM,1152,1728,1200,1776,48,48,   2,1.00,0.20,0.1084
2978,37,26,86.24,HIGH,1200,1728,1248,1776,48,48,   1,1.00,1.00,0.3973
2979,37,27,90.36,HIGH,1248,1728,1296,1776,48,48,   1,1.00,1.00,0.4031
2980,37,28,91.75,HIGH,1296,1728,1344,1776,48,48,   1,1.00,1.00,0.3886
2981,37,29,79.30,MEDIUM,1344,1728,1392,1776,48,48,   1,1.00,0.20,0.1070
2982,37,30,79.34,MEDIUM,1392,1728,1440,1776,48,48,   2,1.00,0.20,0.2017
2983,37,31,77.30,MEDIUM,1440,1728,1488,1776,48,48,   0,1.00,0.20,0.0000
2984,37,32,53.86,MEDIUM,1488,1728,1536,1776,48,48,   3,1.00,0.20,0.1154
2985,37,33,29.95,MEDIUM,1536,1728,1584,1776,48,48,   0,1.00,0.20,0.0054
2986,37,34,62.15,MEDIUM,1584,1728,1632,1776,48,48,   4,1.00,0.20,0.1752
2987,37,35,61.59,MEDIUM,1632,1728,1680,1776,48,48,   0,1.00,0.20,0.0097
2988,37,36,49.35,MEDIUM,1680,1728,1728,1776,48,48,   0,1.00,0.20,0.0024
3059,38,25,37.46,MEDIUM,1152,1776,1200,1824,48,48,   0,1.00,0.20,0.0084
3060,38,26,77.99,MEDIUM,1200,1776,1248,1824,48,48,   3,1.00,0.20,0.2092
3061,38,27,90.84,HIGH,1248,1776,1296,1824,48,48,   6,1.00,1.00,0.6188
3062,38,28,92.66,HIGH,1296,1776,1344,1824,48,48,   3,1.00,1.00,0.5625
3063,38,29,77.34,MEDIUM,1344,1776,1392,1824,48,48,   1,1.00,0.20,0.0775
3064,38,30,75.74,MEDIUM,1392,1776,1440,1824,48,48,   1,1.00,0.20,0.1207
3065,38,31,78.78,MEDIUM,1440,1776,1488,1824,48,48,   0,1.00,0.20,0.0000
3066,38,32,73.78,MEDIUM,1488,1776,1536,1824,48,48,   6,1.00,0.20,0.3062
3067,38,33,64.41,MEDIUM,1536,1776,1584,1824,48,48,   1,1.00,0.20,0.0858
3068,38,34,78.60,MEDIUM,1584,1776,1632,1824,48,48,   0,1.00,0.20,0.0000
3069,38,35,68.45,MEDIUM,1632,1776,1680,1824,48,48,   0,1.00,0.20,0.0000
3070,38,36,65.45,MEDIUM,1680,1776,1728,1824,48,48,   2,1.00,0.20,0.1200
3071,38,37,17.27,MEDIUM,1728,1776,1776,1824,48,48,   0,1.00,0.20,0.0012
3141,39,25,39.28,MEDIUM,1152,1824,1200,1872,48,48,   0,1.00,0.20,0.0036
3142,39,26,83.16,HIGH,1200,1824,1248,1872,48,48,   1,1.00,1.00,0.3129
3143,39,27,89.06,HIGH,1248,1824,1296,1872,48,48,   0,1.00,1.00,0.0002
3144,39,28,90.62,HIGH,1296,1824,1344,1872,48,48,   1,1.00,1.00,0.3687
3145,39,29,84.64,HIGH,1344,1824,1392,1872,48,48,   0,1.00,1.00,0.2228
3146,39,30,71.31,MEDIUM,1392,1824,1440,1872,48,48,   0,1.00,0.20,0.0000
3147,39,31,81.21,HIGH,1440,1824,1488,1872,48,48,   0,1.00,1.00,0.0000
3148,39,32,72.18,MEDIUM,1488,1824,1536,1872,48,48,   0,1.00,0.20,0.0071
3149,39,33,62.41,MEDIUM,1536,1824,1584,1872,48,48,   0,1.00,0.20,0.0000
3150,39,34,60.37,MEDIUM,1584,1824,1632,1872,48,48,   0,1.00,0.20,0.0000
3151,39,35,77.39,MEDIUM,1632,1824,1680,1872,48,48,   0,1.00,0.20,0.0232
3152,39,36,77.99,MEDIUM,1680,1824,1728,1872,48,48,   0,1.00,0.20,0.0281
3153,39,37,71.96,MEDIUM,1728,1824,1776,1872,48,48,   0,1.00,0.20,0.0279
3154,39,38,44.75,MEDIUM,1776,1824,1824,1872,48,48,   0,1.00,0.20,0.0032
3223,40,25,55.51,MEDIUM,1152,1872,1200,1920,48,48,   1,1.00,0.20,0.0642
3224,40,26,92.40,HIGH,1200,1872,1248,1920,48,48,   0,1.00,1.00,0.2343
3225,40,27,88.28,HIGH,1248,1872,1296,1920,48,48,   0,1.00,1.00,0.1628
3226,40,28,86.94,HIGH,1296,1872,1344,1920,48,48,   1,1.00,1.00,0.2969
3227,40,29,87.33,HIGH,1344,1872,1392,1920,48,48,   1,1.00,1.00,0.2688
3228,40,30,75.48,MEDIUM,1392,1872,1440,1920,48,48,   0,1.00,0.20,0.0000
3229,40,31,83.72,HIGH,1440,1872,1488,1920,48,48,   0,1.00,1.00,0.0000
3230,40,32,75.04,MEDIUM,1488,1872,1536,1920,48,48,   0,1.00,0.20,0.0067
3231,40,33,23.48,MEDIUM,1536,1872,1584,1920,48,48,   0,1.00,0.20,0.0000
3232,40,34,53.56,MEDIUM,1584,1872,1632,1920,48,48,   0,1.00,0.20,0.0000
3233,40,35,75.13,MEDIUM,1632,1872,1680,1920,48,48,   0,1.00,0.20,0.0000
3234,40,36,84.07,HIGH,1680,1872,1728,1920,48,48,   0,1.00,1.00,0.0000
3235,40,37,87.72,HIGH,1728,1872,1776,1920,48,48,   0,1.00,1.00,0.0000
3236,40,38,67.23,MEDIUM,1776,1872,1824,1920,48,48,   2,1.00,0.20,0.1497
3241,40,43,16.97,MEDIUM,2016,1872,2064,1920,48,48,   0,1.00,0.20,0.0021
