Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3072x3520
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 3072x3520
Scaled Tile Size: 48x48
Total Mask: 74.36%, Total Tissue: 25.64%
Tiles: 64x74 = 4736
   843 (17.80%) tiles >=80% tissue
   769 (16.24%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
556,9,44,28.56,MEDIUM,2064,384,2112,432,48,48,   0,1.00,0.20,0.0000
557,9,45,31.51,MEDIUM,2112,384,2160,432,48,48,   0,1.00,0.20,0.0000
618,10,42,19.66,MEDIUM,1968,432,2016,480,48,48,   0,1.00,0.20,0.0008
619,10,43,85.33,HIGH,2016,432,2064,480,48,48,   0,1.00,1.00,0.1373
620,10,44,91.15,HIGH,2064,432,2112,480,48,48,   0,1.00,1.00,0.1154
621,10,45,92.71,HIGH,2112,432,2160,480,48,48,   0,1.00,1.00,0.0476
622,10,46,52.78,MEDIUM,2160,432,2208,480,48,48,   1,1.00,0.20,0.0270
682,11,42,87.59,HIGH,1968,480,2016,528,48,48,   1,1.00,1.00,0.2619
683,11,43,83.90,HIGH,2016,480,2064,528,48,48,   0,1.00,1.00,0.0270
684,11,44,86.76,HIGH,2064,480,2112,528,48,48,   1,1.00,1.00,0.3132
685,11,45,86.28,HIGH,2112,480,2160,528,48,48,   0,1.00,1.00,0.0183
686,11,46,41.15,MEDIUM,2160,480,2208,528,48,48,   2,1.00,0.20,0.0460
720,12,16,48.48,MEDIUM,720,528,768,576,48,48,   0,1.00,0.20,0.0000
721,12,17,72.83,MEDIUM,768,528,816,576,48,48,   0,1.00,0.20,0.0135
722,12,18,63.11,MEDIUM,816,528,864,576,48,48,   0,1.00,0.20,0.0102
723,12,19,87.89,HIGH,864,528,912,576,48,48,   1,1.00,1.00,0.2989
724,12,20,18.92,MEDIUM,912,528,960,576,48,48,   0,1.00,0.20,0.0004
745,12,41,62.33,MEDIUM,1920,528,1968,576,48,48,   2,1.00,0.20,0.1274
746,12,42,88.06,HIGH,1968,528,2016,576,48,48,   0,1.00,1.00,0.1216
747,12,43,83.16,HIGH,2016,528,2064,576,48,48,   0,1.00,1.00,0.0313
748,12,44,85.03,HIGH,2064,528,2112,576,48,48,   0,1.00,1.00,0.1692
749,12,45,79.43,MEDIUM,2112,528,2160,576,48,48,   0,1.00,0.20,0.0188
750,12,46,65.89,MEDIUM,2160,528,2208,576,48,48,   0,1.00,0.20,0.0167
751,12,47,47.87,MEDIUM,2208,528,2256,576,48,48,   4,1.00,0.20,0.1254
752,12,48,18.10,MEDIUM,2256,528,2304,576,48,48,   0,0.49,0.20,0.0000
783,13,15,32.07,MEDIUM,672,576,720,624,48,48,   1,1.00,0.20,0.0102
784,13,16,96.31,HIGH,720,576,768,624,48,48,   0,1.00,1.00,0.1107
785,13,17,85.72,HIGH,768,576,816,624,48,48,   0,1.00,1.00,0.0709
786,13,18,85.42,HIGH,816,576,864,624,48,48,   0,1.00,1.00,0.0824
787,13,19,87.24,HIGH,864,576,912,624,48,48,   0,1.00,1.00,0.0372
788,13,20,23.65,MEDIUM,912,576,960,624,48,48,   2,1.00,0.20,0.0185
809,13,41,96.05,HIGH,1920,576,1968,624,48,48,   3,1.00,1.00,0.5444
810,13,42,86.94,HIGH,1968,576,2016,624,48,48,   0,1.00,1.00,0.0000
811,13,43,79.82,MEDIUM,2016,576,2064,624,48,48,   0,1.00,0.20,0.0431
812,13,44,76.91,MEDIUM,2064,576,2112,624,48,48,   0,1.00,0.20,0.0000
813,13,45,70.62,MEDIUM,2112,576,2160,624,48,48,   0,1.00,0.20,0.0127
814,13,46,77.26,MEDIUM,2160,576,2208,624,48,48,   1,1.00,0.20,0.0817
815,13,47,69.36,MEDIUM,2208,576,2256,624,48,48,   0,1.00,0.20,0.0160
816,13,48,68.40,MEDIUM,2256,576,2304,624,48,48,   0,1.00,0.20,0.0000
817,13,49,49.18,MEDIUM,2304,576,2352,624,48,48,   0,1.00,0.20,0.0213
847,14,15,92.58,HIGH,672,624,720,672,48,48,   1,1.00,1.00,0.2673
848,14,16,94.70,HIGH,720,624,768,672,48,48,   1,1.00,1.00,0.4252
849,14,17,89.50,HIGH,768,624,816,672,48,48,   0,1.00,1.00,0.1325
850,14,18,88.67,HIGH,816,624,864,672,48,48,   0,1.00,1.00,0.1184
851,14,19,89.54,HIGH,864,624,912,672,48,48,   0,1.00,1.00,0.0000
852,14,20,40.28,MEDIUM,912,624,960,672,48,48,   2,1.00,0.20,0.0530
873,14,41,95.53,HIGH,1920,624,1968,672,48,48,   1,1.00,1.00,0.4523
874,14,42,84.94,HIGH,1968,624,2016,672,48,48,   2,1.00,1.00,0.4214
875,14,43,80.34,HIGH,2016,624,2064,672,48,48,   2,1.00,1.00,0.3989
876,14,44,69.31,MEDIUM,2064,624,2112,672,48,48,   0,1.00,0.20,0.0046
877,14,45,53.34,MEDIUM,2112,624,2160,672,48,48,   4,1.00,0.20,0.1323
878,14,46,21.48,MEDIUM,2160,624,2208,672,48,48,   1,1.00,0.20,0.0062
879,14,47,60.29,MEDIUM,2208,624,2256,672,48,48,   0,1.00,0.20,0.0120
880,14,48,72.40,MEDIUM,2256,624,2304,672,48,48,   0,1.00,0.20,0.0062
881,14,49,69.84,MEDIUM,2304,624,2352,672,48,48,   0,1.00,0.20,0.0000
911,15,15,96.74,HIGH,672,672,720,720,48,48,   1,1.00,1.00,0.3710
912,15,16,88.67,HIGH,720,672,768,720,48,48,   0,1.00,1.00,0.1932
913,15,17,86.76,HIGH,768,672,816,720,48,48,   0,1.00,1.00,0.1780
914,15,18,80.95,HIGH,816,672,864,720,48,48,   1,1.00,1.00,0.2561
915,15,19,83.33,HIGH,864,672,912,720,48,48,   1,1.00,1.00,0.3646
916,15,20,71.88,MEDIUM,912,672,960,720,48,48,   6,1.00,0.20,0.2836
917,15,21,47.44,MEDIUM,960,672,1008,720,48,48,   7,1.00,0.20,0.1658
936,15,40,61.68,MEDIUM,1872,672,1920,720,48,48,   2,1.00,0.20,0.1266
937,15,41,97.31,HIGH,1920,672,1968,720,48,48,   2,1.00,1.00,0.4918
938,15,42,87.80,HIGH,1968,672,2016,720,48,48,   4,1.00,1.00,0.5432
939,15,43,87.20,HIGH,2016,672,2064,720,48,48,  13,1.00,1.00,0.6675
940,15,44,71.79,MEDIUM,2064,672,2112,720,48,48,   5,1.00,0.20,0.2605
