Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 896x1536
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 896x1536
Scaled Tile Size: 48x48
Total Mask: 91.50%, Total Tissue: 8.50%
Tiles: 19x32 = 608
    25 ( 4.11%) tiles >=80% tissue
    53 ( 8.72%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
30,2,11,24.39,MEDIUM,480,48,528,96,48,48,   0,1.00,0.20,0.0000
48,3,10,19.66,MEDIUM,432,96,480,144,48,48,   0,1.00,0.20,0.0000
49,3,11,60.81,MEDIUM,480,96,528,144,48,48, 813,1.00,0.20,0.6534
50,3,12,35.85,MEDIUM,528,96,576,144,48,48,  98,1.00,0.20,0.2798
67,4,10,35.42,MEDIUM,432,144,480,192,48,48,   0,1.00,0.20,0.0000
68,4,11,82.73,HIGH,480,144,528,192,48,48, 437,1.00,1.00,0.8063
87,5,11,70.83,MEDIUM,480,192,528,240,48,48,  68,1.00,0.20,0.5740
106,6,11,35.76,MEDIUM,480,240,528,288,48,48,  50,1.00,0.20,0.2352
125,7,11,35.59,MEDIUM,480,288,528,336,48,48,   3,1.00,0.20,0.0516
144,8,11,49.96,MEDIUM,480,336,528,384,48,48,  96,1.00,0.20,0.4284
145,8,12,23.52,MEDIUM,528,336,576,384,48,48,   8,1.00,0.20,0.0507
163,9,11,58.12,MEDIUM,480,384,528,432,48,48,   6,1.00,0.20,0.2138
164,9,12,16.97,MEDIUM,528,384,576,432,48,48,   0,1.00,0.20,0.0000
182,10,11,74.22,MEDIUM,480,432,528,480,48,48,   8,1.00,0.20,0.3451
201,11,11,91.32,HIGH,480,480,528,528,48,48,   0,1.00,1.00,0.0000
202,11,12,32.34,MEDIUM,528,480,576,528,48,48,   6,1.00,0.20,0.0762
220,12,11,91.36,HIGH,480,528,528,576,48,48,   0,1.00,1.00,0.0000
221,12,12,72.01,MEDIUM,528,528,576,576,48,48,   0,1.00,0.20,0.0000
239,13,11,37.54,MEDIUM,480,576,528,624,48,48,   0,1.00,0.20,0.0000
240,13,12,44.36,MEDIUM,528,576,576,624,48,48,   0,1.00,0.20,0.0051
307,17,3,23.31,MEDIUM,96,768,144,816,48,48,   0,1.00,0.20,0.0000
308,17,4,43.71,MEDIUM,144,768,192,816,48,48,   0,1.00,0.20,0.0000
325,18,2,36.72,MEDIUM,48,816,96,864,48,48,   0,1.00,0.20,0.0000
326,18,3,72.70,MEDIUM,96,816,144,864,48,48,  28,1.00,0.20,0.5011
327,18,4,96.66,HIGH,144,816,192,864,48,48,   0,1.00,1.00,0.0000
328,18,5,41.71,MEDIUM,192,816,240,864,48,48,   0,1.00,0.20,0.0000
344,19,2,53.04,MEDIUM,48,864,96,912,48,48,   0,1.00,0.20,0.0151
345,19,3,58.55,MEDIUM,96,864,144,912,48,48, 531,1.00,0.20,0.6158
346,19,4,97.40,HIGH,144,864,192,912,48,48,   0,1.00,1.00,0.2458
347,19,5,63.63,MEDIUM,192,864,240,912,48,48,   1,1.00,0.20,0.0931
353,19,11,17.71,MEDIUM,480,864,528,912,48,48,   0,1.00,0.20,0.0000
354,19,12,44.70,MEDIUM,528,864,576,912,48,48,   0,1.00,0.20,0.0024
363,20,2,40.19,MEDIUM,48,912,96,960,48,48,   6,1.00,0.20,0.1142
