Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2480x2432
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2480x2432
Scaled Tile Size: 48x48
Total Mask: 86.33%, Total Tissue: 13.67%
Tiles: 52x51 = 2652
   231 ( 8.71%) tiles >=80% tissue
   304 (11.46%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
65,2,13,21.70,MEDIUM,576,48,624,96,48,48,   0,1.00,0.20,0.0044
115,3,11,54.21,MEDIUM,480,96,528,144,48,48,  17,1.00,0.20,0.3017
116,3,12,91.88,HIGH,528,96,576,144,48,48,   8,1.00,1.00,0.6467
117,3,13,98.26,HIGH,576,96,624,144,48,48,  13,1.00,1.00,0.7186
118,3,14,98.83,HIGH,624,96,672,144,48,48,  15,1.00,1.00,0.7289
119,3,15,92.53,HIGH,672,96,720,144,48,48,  21,1.00,1.00,0.7268
120,3,16,51.00,MEDIUM,720,96,768,144,48,48,  56,1.00,0.20,0.3940
121,3,17,24.48,MEDIUM,768,96,816,144,48,48,  30,1.00,0.20,0.1047
124,3,20,17.36,MEDIUM,912,96,960,144,48,48,  45,0.49,0.20,0.0483
125,3,21,16.02,MEDIUM,960,96,1008,144,48,48,  20,0.49,0.20,0.0270
126,3,22,16.02,MEDIUM,1008,96,1056,144,48,48,  20,0.49,0.20,0.0274
127,3,23,20.44,MEDIUM,1056,96,1104,144,48,48,   8,1.00,0.20,0.0372
128,3,24,20.10,MEDIUM,1104,96,1152,144,48,48,   3,1.00,0.20,0.0162
129,3,25,20.01,MEDIUM,1152,96,1200,144,48,48,  16,1.00,0.20,0.0537
160,4,4,94.92,HIGH,144,144,192,192,48,48,   3,1.00,1.00,0.5701
161,4,5,86.20,HIGH,192,144,240,192,48,48,   4,1.00,1.00,0.5396
162,4,6,38.72,MEDIUM,240,144,288,192,48,48,   1,1.00,0.20,0.0259
163,4,7,30.69,MEDIUM,288,144,336,192,48,48,   4,1.00,0.20,0.0559
164,4,8,37.50,MEDIUM,336,144,384,192,48,48,   2,1.00,0.20,0.0492
165,4,9,45.88,MEDIUM,384,144,432,192,48,48,  26,1.00,0.20,0.2779
166,4,10,67.97,MEDIUM,432,144,480,192,48,48,  11,1.00,0.20,0.3457
167,4,11,94.49,HIGH,480,144,528,192,48,48,   8,0.49,1.00,0.5824
168,4,12,98.52,HIGH,528,144,576,192,48,48,   1,0.49,1.00,0.2870
169,4,13,97.48,HIGH,576,144,624,192,48,48,   1,1.00,1.00,0.3527
170,4,14,96.48,HIGH,624,144,672,192,48,48,   5,0.49,1.00,0.5342
171,4,15,97.27,HIGH,672,144,720,192,48,48,  58,0.49,1.00,0.7620
172,4,16,98.83,HIGH,720,144,768,192,48,48,  55,0.49,1.00,0.7653
173,4,17,98.91,HIGH,768,144,816,192,48,48,  44,1.00,1.00,0.7880
174,4,18,97.35,HIGH,816,144,864,192,48,48,  20,1.00,1.00,0.7435
175,4,19,90.76,HIGH,864,144,912,192,48,48,   9,1.00,1.00,0.6586
176,4,20,85.37,HIGH,912,144,960,192,48,48,  13,1.00,1.00,0.6578
177,4,21,84.51,HIGH,960,144,1008,192,48,48,  19,1.00,1.00,0.6808
178,4,22,94.53,HIGH,1008,144,1056,192,48,48, 188,1.00,1.00,0.8241
179,4,23,97.92,HIGH,1056,144,1104,192,48,48, 270,1.00,1.00,0.8430
180,4,24,98.91,HIGH,1104,144,1152,192,48,48, 412,1.00,1.00,0.8549
181,4,25,94.66,HIGH,1152,144,1200,192,48,48,  76,1.00,1.00,0.7958
182,4,26,87.50,HIGH,1200,144,1248,192,48,48, 303,1.00,1.00,0.8140
183,4,27,99.09,HIGH,1248,144,1296,192,48,48, 314,1.00,1.00,0.8496
184,4,28,99.05,HIGH,1296,144,1344,192,48,48, 193,1.00,1.00,0.8379
185,4,29,99.39,HIGH,1344,144,1392,192,48,48, 207,1.00,1.00,0.8406
186,4,30,97.66,HIGH,1392,144,1440,192,48,48,  79,1.00,1.00,0.8068
187,4,31,93.23,HIGH,1440,144,1488,192,48,48,  39,1.00,1.00,0.7619
188,4,32,78.21,MEDIUM,1488,144,1536,192,48,48, 121,1.00,0.20,0.6635
189,4,33,71.83,MEDIUM,1536,144,1584,192,48,48,  54,1.00,0.20,0.5602
190,4,34,44.66,MEDIUM,1584,144,1632,192,48,48,  24,1.00,0.20,0.2605
212,5,4,94.05,HIGH,144,192,192,240,48,48,   0,0.49,1.00,0.0000
213,5,5,98.09,HIGH,192,192,240,240,48,48,   0,0.49,1.00,0.0242
214,5,6,99.35,HIGH,240,192,288,240,48,48,   0,0.49,1.00,0.0105
215,5,7,93.45,HIGH,288,192,336,240,48,48,   2,0.49,1.00,0.3601
216,5,8,85.98,HIGH,336,192,384,240,48,48,   2,1.00,1.00,0.4519
217,5,9,49.61,MEDIUM,384,192,432,240,48,48,  20,1.00,0.20,0.2855
218,5,10,65.15,MEDIUM,432,192,480,240,48,48,  18,1.00,0.20,0.3915
219,5,11,54.51,MEDIUM,480,192,528,240,48,48,  11,1.00,0.20,0.2552
220,5,12,72.57,MEDIUM,528,192,576,240,48,48,   0,1.00,0.20,0.0209
221,5,13,95.27,HIGH,576,192,624,240,48,48,   0,0.49,1.00,0.0000
222,5,14,95.23,HIGH,624,192,672,240,48,48,   1,0.49,1.00,0.2747
223,5,15,98.70,HIGH,672,192,720,240,48,48,  27,0.49,1.00,0.7200
224,5,16,99.05,HIGH,720,192,768,240,48,48,   9,0.49,1.00,0.6281
225,5,17,99.35,HIGH,768,192,816,240,48,48,  10,0.49,1.00,0.6363
226,5,18,98.78,HIGH,816,192,864,240,48,48,   0,0.49,1.00,0.1153
227,5,19,99.35,HIGH,864,192,912,240,48,48,   4,0.49,1.00,0.5203
228,5,20,99.57,HIGH,912,192,960,240,48,48,  26,0.49,1.00,0.7228
229,5,21,99.48,HIGH,960,192,1008,240,48,48,  28,0.49,1.00,0.7261
230,5,22,99.18,HIGH,1008,192,1056,240,48,48, 236,1.00,1.00,0.8432
231,5,23,98.39,HIGH,1056,192,1104,240,48,48, 183,1.00,1.00,0.8347
232,5,24,98.31,HIGH,1104,192,1152,240,48,48, 249,1.00,1.00,0.8422
233,5,25,99.57,HIGH,1152,192,1200,240,48,48, 297,1.00,1.00,0.8496
234,5,26,99.35,HIGH,1200,192,1248,240,48,48,  55,1.00,1.00,0.7987
235,5,27,96.57,HIGH,1248,192,1296,240,48,48,  11,1.00,1.00,0.6965
236,5,28,98.96,HIGH,1296,192,1344,240,48,48,  25,1.00,1.00,0.7620
237,5,29,90.23,HIGH,1344,192,1392,240,48,48,  66,1.00,1.00,0.7737
238,5,30,99.65,HIGH,1392,192,1440,240,48,48, 103,1.00,1.00,0.8219
239,5,31,99.48,HIGH,1440,192,1488,240,48,48, 416,1.00,1.00,0.8565
240,5,32,99.74,HIGH,1488,192,1536,240,48,48, 118,1.00,1.00,0.8262
241,5,33,99.13,HIGH,1536,192,1584,240,48,48,  70,1.00,1.00,0.8073
242,5,34,99.09,HIGH,1584,192,1632,240,48,48,  96,1.00,1.00,0.8180
243,5,35,97.83,HIGH,1632,192,1680,240,48,48,  33,1.00,1.00,0.7713
244,5,36,97.40,HIGH,1680,192,1728,240,48,48,  84,1.00,1.00,0.8083
245,5,37,90.15,HIGH,1728,192,1776,240,48,48,  89,1.00,1.00,0.7854
246,5,38,52.04,MEDIUM,1776,192,1824,240,48,48,  15,1.00,0.20,0.2706
264,6,4,59.72,MEDIUM,144,240,192,288,48,48,   0,1.00,0.20,0.0000
265,6,5,89.15,HIGH,192,240,240,288,48,48,   0,1.00,1.00,0.0000
266,6,6,98.31,HIGH,240,240,288,288,48,48,   0,0.49,1.00,0.0000
267,6,7,54.04,MEDIUM,288,240,336,288,48,48,   0,1.00,0.20,0.0065
268,6,8,45.31,MEDIUM,336,240,384,288,48,48,   8,1.00,0.20,0.1671
270,6,10,20.49,MEDIUM,432,240,480,288,48,48,   1,1.00,0.20,0.0055
271,6,11,70.88,MEDIUM,480,240,528,288,48,48,   2,1.00,0.20,0.1659
272,6,12,63.06,MEDIUM,528,240,576,288,48,48,   1,1.00,0.20,0.0539
273,6,13,68.36,MEDIUM,576,240,624,288,48,48,   0,1.00,0.20,0.0403
274,6,14,89.50,HIGH,624,240,672,288,48,48,   0,1.00,1.00,0.0000
275,6,15,88.24,HIGH,672,240,720,288,48,48,   4,0.49,1.00,0.4421
276,6,16,85.94,HIGH,720,240,768,288,48,48,   1,1.00,1.00,0.3856
277,6,17,92.19,HIGH,768,240,816,288,48,48,   9,1.00,1.00,0.6593
278,6,18,97.92,HIGH,816,240,864,288,48,48,  10,0.49,1.00,0.6315
279,6,19,99.35,HIGH,864,240,912,288,48,48,  35,0.49,1.00,0.7411
280,6,20,87.80,HIGH,912,240,960,288,48,48,   1,1.00,1.00,0.4009
281,6,21,99.39,HIGH,960,240,1008,288,48,48,  15,0.49,1.00,0.6767
282,6,22,99.05,HIGH,1008,240,1056,288,48,48,   3,1.00,1.00,0.5903
283,6,23,98.78,HIGH,1056,240,1104,288,48,48,  18,0.49,1.00,0.6881
284,6,24,92.75,HIGH,1104,240,1152,288,48,48,  10,1.00,1.00,0.6734
285,6,25,96.27,HIGH,1152,240,1200,288,48,48,  81,0.49,1.00,0.7744
286,6,26,98.70,HIGH,1200,240,1248,288,48,48, 248,0.49,1.00,0.8240
287,6,27,99.00,HIGH,1248,240,1296,288,48,48,   0,0.49,1.00,0.0572
288,6,28,94.62,HIGH,1296,240,1344,288,48,48,   1,1.00,1.00,0.4292
289,6,29,95.88,HIGH,1344,240,1392,288,48,48,   8,1.00,1.00,0.6632
290,6,30,97.53,HIGH,1392,240,1440,288,48,48,   6,1.00,1.00,0.6416
291,6,31,98.35,HIGH,1440,240,1488,288,48,48,   9,0.49,1.00,0.6143
292,6,32,99.18,HIGH,1488,240,1536,288,48,48,  22,0.49,1.00,0.7064
293,6,33,99.48,HIGH,1536,240,1584,288,48,48,   5,0.49,1.00,0.5484
294,6,34,98.87,HIGH,1584,240,1632,288,48,48,   0,0.49,1.00,0.0560
295,6,35,93.36,HIGH,1632,240,1680,288,48,48,   1,1.00,1.00,0.3736
296,6,36,97.44,HIGH,1680,240,1728,288,48,48,  24,0.49,1.00,0.7061
297,6,37,98.26,HIGH,1728,240,1776,288,48,48,  39,0.49,1.00,0.7432
298,6,38,98.00,HIGH,1776,240,1824,288,48,48,  55,1.00,1.00,0.7947
299,6,39,91.36,HIGH,1824,240,1872,288,48,48,  67,1.00,1.00,0.7789
300,6,40,46.74,MEDIUM,1872,240,1920,288,48,48, 242,1.00,0.20,0.4600
318,7,6,20.79,MEDIUM,240,288,288,336,48,48,   0,1.00,0.20,0.0000
319,7,7,48.65,MEDIUM,288,288,336,336,48,48,   0,1.00,0.20,0.0083
320,7,8,82.07,HIGH,336,288,384,336,48,48,  21,1.00,1.00,0.6740
321,7,9,43.71,MEDIUM,384,288,432,336,48,48,   0,1.00,0.20,0.0000
322,7,10,46.05,MEDIUM,432,288,480,336,48,48,   1,1.00,0.20,0.0263
323,7,11,51.17,MEDIUM,480,288,528,336,48,48,   4,1.00,0.20,0.1225
324,7,12,56.21,MEDIUM,528,288,576,336,48,48,   1,1.00,0.20,0.0294
325,7,13,46.96,MEDIUM,576,288,624,336,48,48,   3,1.00,0.20,0.0874
326,7,14,25.48,MEDIUM,624,288,672,336,48,48,   1,1.00,0.20,0.0072
329,7,17,40.76,MEDIUM,768,288,816,336,48,48,   6,1.00,0.20,0.1122
330,7,18,68.27,MEDIUM,816,288,864,336,48,48,  63,1.00,0.20,0.5484
331,7,19,79.69,MEDIUM,864,288,912,336,48,48,  19,1.00,0.20,0.5012
332,7,20,86.59,HIGH,912,288,960,336,48,48,  23,1.00,1.00,0.7052
333,7,21,80.38,HIGH,960,288,1008,336,48,48,  23,1.00,1.00,0.6720
334,7,22,95.05,HIGH,1008,288,1056,336,48,48,   3,0.49,1.00,0.4585
335,7,23,94.14,HIGH,1056,288,1104,336,48,48,   8,1.00,1.00,0.6624
336,7,24,92.19,HIGH,1104,288,1152,336,48,48,   9,1.00,1.00,0.6636
337,7,25,87.59,HIGH,1152,288,1200,336,48,48,   8,1.00,1.00,0.6300
338,7,26,65.10,MEDIUM,1200,288,1248,336,48,48,   5,1.00,0.20,0.2166
339,7,27,72.92,MEDIUM,1248,288,1296,336,48,48,   3,1.00,0.20,0.1900
340,7,28,82.86,HIGH,1296,288,1344,336,48,48,  16,1.00,1.00,0.6604
341,7,29,96.01,HIGH,1344,288,1392,336,48,48,   5,1.00,1.00,0.6280
342,7,30,91.36,HIGH,1392,288,1440,336,48,48,   3,1.00,1.00,0.5541
343,7,31,77.91,MEDIUM,1440,288,1488,336,48,48,   5,1.00,0.20,0.2916
344,7,32,83.90,HIGH,1488,288,1536,336,48,48,   7,1.00,1.00,0.5950
345,7,33,80.47,HIGH,1536,288,1584,336,48,48,   0,1.00,1.00,0.0000
346,7,34,94.53,HIGH,1584,288,1632,336,48,48,   3,0.49,1.00,0.4338
347,7,35,97.48,HIGH,1632,288,1680,336,48,48,   1,0.49,1.00,0.1819
348,7,36,98.83,HIGH,1680,288,1728,336,48,48,   0,0.49,1.00,0.1334
349,7,37,96.66,HIGH,1728,288,1776,336,48,48,   1,1.00,1.00,0.4121
350,7,38,91.97,HIGH,1776,288,1824,336,48,48,   6,1.00,1.00,0.6204
351,7,39,98.35,HIGH,1824,288,1872,336,48,48,   7,0.49,1.00,0.5858
352,7,40,97.44,HIGH,1872,288,1920,336,48,48,  14,1.00,1.00,0.7190
353,7,41,85.85,HIGH,1920,288,1968,336,48,48,  39,1.00,1.00,0.7310
354,7,42,34.94,MEDIUM,1968,288,2016,336,48,48,  54,1.00,0.20,0.2315
372,8,8,33.29,MEDIUM,336,336,384,384,48,48,   0,0.49,0.20,0.0000
373,8,9,50.65,MEDIUM,384,336,432,384,48,48,   2,1.00,0.20,0.0761
374,8,10,42.58,MEDIUM,432,336,480,384,48,48,   0,1.00,0.20,0.0000
375,8,11,31.34,MEDIUM,480,336,528,384,48,48,   0,1.00,0.20,0.0000
377,8,13,32.16,MEDIUM,576,336,624,384,48,48,   6,1.00,0.20,0.0748
383,8,19,46.31,MEDIUM,864,336,912,384,48,48,  32,1.00,0.20,0.3002
384,8,20,46.05,MEDIUM,912,336,960,384,48,48,  35,1.00,0.20,0.3060
385,8,21,37.93,MEDIUM,960,336,1008,384,48,48, 127,1.00,0.20,0.3203
386,8,22,47.83,MEDIUM,1008,336,1056,384,48,48,   7,1.00,0.20,0.1651
387,8,23,45.70,MEDIUM,1056,336,1104,384,48,48,  27,1.00,0.20,0.2794
388,8,24,14.32,MEDIUM,1104,336,1152,384,48,48,   0,0.49,0.20,0.0000
390,8,26,44.31,MEDIUM,1200,336,1248,384,48,48,   4,1.00,0.20,0.1004
391,8,27,48.18,MEDIUM,1248,336,1296,384,48,48,   1,1.00,0.20,0.0536
392,8,28,52.99,MEDIUM,1296,336,1344,384,48,48,  13,1.00,0.20,0.2609
393,8,29,15.80,MEDIUM,1344,336,1392,384,48,48,   0,1.00,0.20,0.0000
394,8,30,23.26,MEDIUM,1392,336,1440,384,48,48,   0,1.00,0.20,0.0005
395,8,31,65.23,MEDIUM,1440,336,1488,384,48,48,  10,1.00,0.20,0.3159
396,8,32,65.28,MEDIUM,1488,336,1536,384,48,48,   1,1.00,0.20,0.0670
397,8,33,41.80,MEDIUM,1536,336,1584,384,48,48,   3,1.00,0.20,0.0741
398,8,34,66.10,MEDIUM,1584,336,1632,384,48,48,   2,1.00,0.20,0.1450
399,8,35,93.36,HIGH,1632,336,1680,384,48,48,   0,1.00,1.00,0.0000
400,8,36,83.68,HIGH,1680,336,1728,384,48,48,   5,1.00,1.00,0.5665
401,8,37,81.51,HIGH,1728,336,1776,384,48,48,   6,1.00,1.00,0.5633
402,8,38,83.12,HIGH,1776,336,1824,384,48,48,   8,1.00,1.00,0.6010
403,8,39,93.62,HIGH,1824,336,1872,384,48,48,   0,1.00,1.00,0.0000
404,8,40,98.22,HIGH,1872,336,1920,384,48,48,   2,0.49,1.00,0.3732
405,8,41,99.18,HIGH,1920,336,1968,384,48,48,   2,0.49,1.00,0.3662
406,8,42,98.96,HIGH,1968,336,2016,384,48,48,  22,1.00,1.00,0.7541
407,8,43,88.28,HIGH,2016,336,2064,384,48,48,  38,1.00,1.00,0.7410
408,8,44,35.50,MEDIUM,2064,336,2112,384,48,48,  79,1.00,0.20,0.2621
409,8,45,49.48,MEDIUM,2112,336,2160,384,48,48, 103,1.00,0.20,0.4291
410,8,46,77.26,MEDIUM,2160,336,2208,384,48,48,  25,1.00,0.20,0.5155
411,8,47,95.53,HIGH,2208,336,2256,384,48,48,  32,1.00,1.00,0.7620
412,8,48,96.09,HIGH,2256,336,2304,384,48,48,  15,1.00,1.00,0.7204
413,8,49,60.07,MEDIUM,2304,336,2352,384,48,48,   3,1.00,0.20,0.1588
444,9,28,34.24,MEDIUM,1296,384,1344,432,48,48,   0,1.00,0.20,0.0008
445,9,29,21.18,MEDIUM,1344,384,1392,432,48,48,   0,1.00,0.20,0.0000
448,9,32,21.96,MEDIUM,1488,384,1536,432,48,48,   3,1.00,0.20,0.0218
449,9,33,44.31,MEDIUM,1536,384,1584,432,48,48,  10,1.00,0.20,0.1801
450,9,34,57.81,MEDIUM,1584,384,1632,432,48,48,   0,1.00,0.20,0.0000
451,9,35,73.35,MEDIUM,1632,384,1680,432,48,48,   0,1.00,0.20,0.0000
452,9,36,93.71,HIGH,1680,384,1728,432,48,48,   0,0.49,1.00,0.0000
453,9,37,81.68,HIGH,1728,384,1776,432,48,48,   2,1.00,1.00,0.4394
454,9,38,86.41,HIGH,1776,384,1824,432,48,48,   0,1.00,1.00,0.2313
455,9,39,96.57,HIGH,1824,384,1872,432,48,48,   0,1.00,1.00,0.2645
456,9,40,90.06,HIGH,1872,384,1920,432,48,48,  11,1.00,1.00,0.6711
457,9,41,97.01,HIGH,1920,384,1968,432,48,48,  15,1.00,1.00,0.7220
458,9,42,93.23,HIGH,1968,384,2016,432,48,48,   5,1.00,1.00,0.6028
459,9,43,98.87,HIGH,2016,384,2064,432,48,48,   0,0.49,1.00,0.0991
460,9,44,99.31,HIGH,2064,384,2112,432,48,48,   6,1.00,1.00,0.6638
461,9,45,99.35,HIGH,2112,384,2160,432,48,48,   3,0.49,1.00,0.4420
462,9,46,98.22,HIGH,2160,384,2208,432,48,48,   7,1.00,1.00,0.6716
463,9,47,96.35,HIGH,2208,384,2256,432,48,48,   7,1.00,1.00,0.6563
464,9,48,94.97,HIGH,2256,384,2304,432,48,48,   0,1.00,1.00,0.0996
465,9,49,59.33,MEDIUM,2304,384,2352,432,48,48,   0,1.00,0.20,0.0000
500,10,32,41.67,MEDIUM,1488,432,1536,480,48,48,   0,1.00,0.20,0.0000
504,10,36,18.40,MEDIUM,1680,432,1728,480,48,48,   0,0.49,0.20,0.0015
505,10,37,37.59,MEDIUM,1728,432,1776,480,48,48,   0,1.00,0.20,0.0000
506,10,38,49.00,MEDIUM,1776,432,1824,480,48,48,   1,1.00,0.20,0.0306
507,10,39,79.69,MEDIUM,1824,432,1872,480,48,48,   5,1.00,0.20,0.3098
508,10,40,86.07,HIGH,1872,432,1920,480,48,48,   0,1.00,1.00,0.2222
509,10,41,32.47,MEDIUM,1920,432,1968,480,48,48,  24,1.00,0.20,0.1557
510,10,42,44.75,MEDIUM,1968,432,2016,480,48,48,   1,1.00,0.20,0.0372
511,10,43,84.59,HIGH,2016,432,2064,480,48,48,   0,1.00,1.00,0.0809
512,10,44,86.76,HIGH,2064,432,2112,480,48,48,   0,1.00,1.00,0.0000
513,10,45,97.79,HIGH,2112,432,2160,480,48,48,   0,1.00,1.00,0.0000
514,10,46,93.75,HIGH,2160,432,2208,480,48,48,   2,1.00,1.00,0.5023
515,10,47,96.27,HIGH,2208,432,2256,480,48,48,   0,1.00,1.00,0.0000
516,10,48,63.76,MEDIUM,2256,432,2304,480,48,48,   0,1.00,0.20,0.0000
524,11,4,16.19,MEDIUM,144,480,192,528,48,48,   1,1.00,0.20,0.0031
552,11,32,24.00,MEDIUM,1488,480,1536,528,48,48,   0,1.00,0.20,0.0000
557,11,37,37.15,MEDIUM,1728,480,1776,528,48,48,  15,1.00,0.20,0.1612
559,11,39,38.50,MEDIUM,1824,480,1872,528,48,48,   8,1.00,0.20,0.1258
560,11,40,19.97,MEDIUM,1872,480,1920,528,48,48,   1,1.00,0.20,0.0065
564,11,44,49.65,MEDIUM,2064,480,2112,528,48,48,   0,1.00,0.20,0.0217
565,11,45,73.61,MEDIUM,2112,480,2160,528,48,48,  15,1.00,0.20,0.4253
566,11,46,76.65,MEDIUM,2160,480,2208,528,48,48,   0,1.00,0.20,0.0349
567,11,47,79.21,MEDIUM,2208,480,2256,528,48,48,   3,1.00,0.20,0.2116
568,11,48,24.91,MEDIUM,2256,480,2304,528,48,48,   0,1.00,0.20,0.0000
576,12,4,56.90,MEDIUM,144,528,192,576,48,48,   0,1.00,0.20,0.0033
