Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2688x3648
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2688x3648
Scaled Tile Size: 48x48
Total Mask: 84.52%, Total Tissue: 15.48%
Tiles: 56x76 = 4256
   465 (10.93%) tiles >=80% tissue
   438 (10.29%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
150,3,38,23.52,MEDIUM,1776,96,1824,144,48,48,   0,1.00,0.20,0.0000
151,3,39,69.40,MEDIUM,1824,96,1872,144,48,48,   0,1.00,0.20,0.0000
152,3,40,80.56,HIGH,1872,96,1920,144,48,48,   0,1.00,1.00,0.0000
153,3,41,60.42,MEDIUM,1920,96,1968,144,48,48,   0,1.00,0.20,0.0000
205,4,37,63.28,MEDIUM,1728,144,1776,192,48,48,   0,1.00,0.20,0.0000
206,4,38,83.77,HIGH,1776,144,1824,192,48,48,   0,1.00,1.00,0.0000
207,4,39,90.93,HIGH,1824,144,1872,192,48,48,   0,1.00,1.00,0.0000
208,4,40,86.50,HIGH,1872,144,1920,192,48,48,   4,1.00,1.00,0.5525
209,4,41,82.86,HIGH,1920,144,1968,192,48,48,   0,1.00,1.00,0.0000
210,4,42,66.88,MEDIUM,1968,144,2016,192,48,48,   0,1.00,0.20,0.0000
211,4,43,19.57,MEDIUM,2016,144,2064,192,48,48,   0,1.00,0.20,0.0000
261,5,37,13.80,MEDIUM,1728,192,1776,240,48,48,   0,0.49,0.20,0.0000
262,5,38,13.89,MEDIUM,1776,192,1824,240,48,48,   0,1.00,0.20,0.0000
263,5,39,29.56,MEDIUM,1824,192,1872,240,48,48,   0,1.00,0.20,0.0000
264,5,40,76.65,MEDIUM,1872,192,1920,240,48,48,   0,1.00,0.20,0.0000
265,5,41,83.64,HIGH,1920,192,1968,240,48,48,   0,1.00,1.00,0.0000
266,5,42,72.57,MEDIUM,1968,192,2016,240,48,48,   0,1.00,0.20,0.0452
267,5,43,36.63,MEDIUM,2016,192,2064,240,48,48,   0,1.00,0.20,0.0000
270,5,46,30.56,MEDIUM,2160,192,2208,240,48,48,  35,1.00,0.20,0.1632
271,5,47,21.14,MEDIUM,2208,192,2256,240,48,48,   0,1.00,0.20,0.0000
272,5,48,25.30,MEDIUM,2256,192,2304,240,48,48,  16,1.00,0.20,0.0835
317,6,37,19.27,MEDIUM,1728,240,1776,288,48,48,   0,1.00,0.20,0.0000
322,6,42,27.26,MEDIUM,1968,240,2016,288,48,48,   0,1.00,0.20,0.0000
323,6,43,67.75,MEDIUM,2016,240,2064,288,48,48,   2,1.00,0.20,0.1502
